osoba_id,organ,funkce,zneni_web,zdroj_id
andrea-pazderova,Finanční výbor ZMB,Předseda,Ing. Andrea Pazderová,4666b6eacdc7e557
michal-marek,Finanční výbor ZMB,Místopředseda,JUDr. Michal Marek,4666b6eacdc7e557
jana-drapalova,Finanční výbor ZMB,Členové,Ing. Jana Drápalová,4666b6eacdc7e557
jiri-kment,Finanční výbor ZMB,Členové,Bc. Jiří Kment,4666b6eacdc7e557
marek-lahoda,Finanční výbor ZMB,Členové,Mgr. Marek Lahoda,4666b6eacdc7e557
daniel-struz,Finanční výbor ZMB,Členové,"Ing. Daniel Struž, MBA",4666b6eacdc7e557
tomas-skricka,Kontrolní výbor ZMB,Předseda,"doc. MUDr. Tomáš Skřička, CSc.",4fb358bdc289f8b9
sabina-benesova,Kontrolní výbor ZMB,Místopředseda,"Mgr. Sabina Benešová, DiS., LL.M.",4fb358bdc289f8b9
jakub-hruska,Kontrolní výbor ZMB,Členové,Bc. Jakub Hruška,4fb358bdc289f8b9
vit-prygl,Kontrolní výbor ZMB,Členové,Vít Prýgl,4fb358bdc289f8b9
adam-zemek,Kontrolní výbor ZMB,Členové,Mgr. Adam Zemek,4fb358bdc289f8b9
monika-lukasova-spilkova,Výbor pro národnostní menšiny ZMB,Předsedkyně,"Mgr. Monika Lukášová Spilková, Ph.D.",62b8f0920d75a799
michal-chladek,Výbor pro národnostní menšiny ZMB,Místopředseda,"JUDr. Michal Chládek, MBA",62b8f0920d75a799
tomas-kolacny,Výbor pro národnostní menšiny ZMB,Členové,Bc. Tomáš Koláčný,62b8f0920d75a799
bretislav-stefan,Výbor pro národnostní menšiny ZMB,Členové,Mgr. Břetislav Štefan,62b8f0920d75a799
martin-malecek,Komise bezpečnosti a veřejného pořádku Rady města Brna,Předseda,Mgr. Martin Maleček,fcbad40aeecc0fcb
daniel-struz,Komise bezpečnosti a veřejného pořádku Rady města Brna,Místopředseda,"Ing. Daniel Struž, MBA",fcbad40aeecc0fcb
pavel-jankuj,Komise dopravní Rady města Brna,Předseda,Ing. Pavel Jankůj,f7ffaaa4df628701
vit-prygl,Komise dopravní Rady města Brna,Místopředseda,Vít Prýgl,f7ffaaa4df628701
petr-bauer,Komise dopravní Rady města Brna,Členové,Petr Bauer,f7ffaaa4df628701
jasna-flamikova,Komise dopravní Rady města Brna,Členové,Mgr. Jasna Flamiková,f7ffaaa4df628701
jiri-kment,Komise dopravní Rady města Brna,Členové,Bc. Jiří Kment,f7ffaaa4df628701
marek-lahoda,Komise dopravní Rady města Brna,Členové,Mgr. Marek Lahoda,f7ffaaa4df628701
sabina-benesova,Komise bydlení Rady města Brna,Členové,"Mgr. Sabina Benešová, DiS., LL.M.",be55ea4e802ceaf9
blanka-borovska,Komise bydlení Rady města Brna,Členové,Mgr. Bc. Blanka Borovská,be55ea4e802ceaf9
david-trllo,Komise bydlení Rady města Brna,Členové,Ing. David Trllo,be55ea4e802ceaf9
jiri-herman,Komise energetiky Rady města Brna,Předseda,"RNDr. Jiří Herman, Ph.D.",d2e5419b1fe19253
filip-leder,Komise energetiky Rady města Brna,Místopředseda,Mgr. Filip Leder,d2e5419b1fe19253
jana-drapalova,Komise energetiky Rady města Brna,Členové,Ing. Jana Drápalová,d2e5419b1fe19253
jakub-hruska,Komise energetiky Rady města Brna,Členové,Bc. Jakub Hruška,d2e5419b1fe19253
tomas-kolacny,Komise energetiky Rady města Brna,Členové,Bc. Tomáš Koláčný,d2e5419b1fe19253
pavel-kriz,Komise energetiky Rady města Brna,Členové,"Ing. Pavel Kříž, Ph.D.",d2e5419b1fe19253
andrea-pazderova,Komise energetiky Rady města Brna,Členové,Ing. Andrea Pazderová,d2e5419b1fe19253
kristyna-cerna,Komise kulturní Rady města Brna,Členové,Kristýna Černá,7a760dab22ad9f9e
alena-gruberova,Komise kulturní Rady města Brna,Členové,MUDr. Alena Gruberová,7a760dab22ad9f9e
tomas-skricka,Komise kulturní Rady města Brna,Členové,"Doc. MUDr. Tomáš Skřička, CSc.",7a760dab22ad9f9e
monika-lukasova-spilkova,Komise kulturní Rady města Brna,Členové,"Mgr. Monika Lukášová Spilková, Ph.D.",7a760dab22ad9f9e
michal-marek,Komise legislativně organizační Rady města Brna,Členové,JUDr. Michal Marek,4c32ba990caa8f83
monika-lukasova-spilkova,Komise legislativně organizační Rady města Brna,Členové,"Mgr. Monika Lukášová Spilková, Ph.D.",4c32ba990caa8f83
bretislav-stefan,Komise legislativně organizační Rady města Brna,Členové,Mgr. Břetislav Štefan,4c32ba990caa8f83
karel-kalivoda,Komise investiční Rady města Brna,Předseda,Ing. Karel Kalivoda,5157bede1d76917e
pavel-jankuj,Komise investiční Rady města Brna,Místopředseda,Ing. Pavel Jankůj,5157bede1d76917e
jakub-hruska,Komise investiční Rady města Brna,Členové,Bc. Jakub Hruška,5157bede1d76917e
pavel-kriz,Komise investiční Rady města Brna,Členové,"Ing. Pavel Kříž, Ph.D.",5157bede1d76917e
filip-leder,Komise investiční Rady města Brna,Členové,Mgr. Filip Leder,5157bede1d76917e
leos-prokes,Komise investiční Rady města Brna,Členové,"Leoš Prokeš, MBA",5157bede1d76917e
radomir-vondra,Komise investiční Rady města Brna,Členové,Radomír Vondra,5157bede1d76917e
jitka-ivicicova,Komise majetková Rady města Brna,Členové,Mgr. Jitka Ivičičová,51182b64988a199f
michal-marek,Komise majetková Rady města Brna,Členové,JUDr. Michal Marek,51182b64988a199f
david-trllo,Komise majetková Rady města Brna,Členové,Ing. David Trllo,51182b64988a199f
