DATUMVOLEB,OKRES,KODZASTUP,COBVODU,POR_STR_HL,OSTRANA,PORCISLO,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,PSTRANA,NSTRANA,PLATNOST,POCHLASU,PRESKOCENI,POCPROCVSE,MANDAT,PORADIMAND,PORADINAHR
20220923,6202,582786,1,1,371,1,Jiří,Oliva,JUDr.,,45,náměstek primátorky města Brna,Brno-střed,7,7,A,8407,A,2.22,A,1,0
20220923,6202,582786,1,1,371,2,Tomáš,Kratochvíl,JUDr.,,54,starosta MČ Brno-Bystrc,Brno-Bystrc,7,7,A,7798,A,2.06,N,0,1
20220923,6202,582786,1,1,371,3,Marek,Viskot,Mgr.,,39,starosta MČ Brno – Řečkovice a Mokrá Hora,Brno – Řečkovice a Mokrá Hora,7,7,A,7988,A,2.11,A,3,0
20220923,6202,582786,1,1,371,4,Petr,Šafařík,,,57,starosta MČ Brno-Kohoutovice 2010 - 2021,Brno-Kohoutovice,7,7,A,7455,N,1.97,N,0,2
20220923,6202,582786,1,1,371,5,Jiří,Ides,,,41,starosta MČ Brno-Slatina,Brno-Slatina,7,7,A,7429,N,1.96,N,0,3
20220923,6202,582786,1,1,371,6,Břetislav,Štefan,Mgr.,,44,starosta MČ Brno-Líšeň,Brno-Líšeň,7,7,A,8028,A,2.12,A,2,0
20220923,6202,582786,1,1,371,7,Josef,Haluza,Mgr.,,58,starosta MČ Brno-jih,Brno-jih,7,7,A,7216,N,1.9,N,0,4
20220923,6202,582786,1,1,371,8,Miroslav,Sojka,,,60,starosta MČ Brno-Bosonohy,Brno-Bosonohy,7,7,A,7074,N,1.87,N,0,5
20220923,6202,582786,1,1,371,9,Lucie,Pokorná,Mgr.,,43,starostka MČ Brno-Žabovřesky,Brno-Žabovřesky,1197,7,A,7458,N,1.97,N,0,6
20220923,6202,582786,1,1,371,10,Stanislav,Dvořák,Ing.,,64,místostarosta MČ Brno – Maloměřice a Obřany,Brno – Maloměřice a Obřany,7,7,A,7060,N,1.86,N,0,7
20220923,6202,582786,1,1,371,11,Mirka,Wildmannová,Ing.,"Ph.D., MBA",52,"místostarostka MČ Brno-Černovice, vysokoškolský pedagog",Brno-Černovice,7,7,A,7094,N,1.87,N,0,8
20220923,6202,582786,1,1,371,12,Filip,Hrůza,Ing.,Ph.D.,38,místostarosta MČ Brno – Řečkovice a Mokrá Hora,Brno – Řečkovice a Mokrá Hora,7,7,A,7132,N,1.88,N,0,9
20220923,6202,582786,1,1,371,13,Vladimír,Vetchý,RNDr.,CSc.,73,"místostarosta MČ Brno-Bystrc, vysokoškolský učitel",Brno-Bystrc,7,7,A,7018,N,1.85,N,0,10
20220923,6202,582786,1,1,371,14,Michal,Kolařík,Bc.,,34,místostarosta MČ Brno-Slatina,Brno-Slatina,7,7,A,7007,N,1.85,N,0,11
20220923,6202,582786,1,1,371,15,Petr,Nováček,Mgr.,,35,zaměstnanec domova pro seniory,Brno-Židenice,7,7,A,6895,N,1.82,N,0,12
20220923,6202,582786,1,1,371,16,Luděk,Balcařík,Mgr.,,43,ředitel Základní školy Hroznová,Brno-Žabovřesky,7,7,A,6917,N,1.82,N,0,13
20220923,6202,582786,1,1,371,17,Klára,Musilová,Ing. arch.,,46,architektka,Brno-Kohoutovice,7,7,A,6922,N,1.83,N,0,14
20220923,6202,582786,1,1,371,18,Tomáš,Buček,Mgr.,,37,právník,Brno-Komín,7,7,A,6834,N,1.8,N,0,15
20220923,6202,582786,1,1,371,19,Štefan,Kandalec,,,69,"důchodce, expolicista",Brno-Bystrc,1197,7,A,6823,N,1.8,N,0,16
20220923,6202,582786,1,1,371,20,Martin,Filipčík,,,48,projektový manažer,Brno-střed,7,7,A,6779,N,1.79,N,0,17
20220923,6202,582786,1,1,371,21,Helena,Pluháčková,Ing.,Ph.D.,38,akademický a vědeckovýzkumný pracovník,Brno-sever,7,7,A,6856,N,1.81,N,0,18
20220923,6202,582786,1,1,371,22,David,Hrůza,,,31,zaměstnanec DPMB,Brno-Bystrc,99,80,A,6805,N,1.79,N,0,19
20220923,6202,582786,1,1,371,23,Jiří,Bertschinger,,,49,zaměstnanec DPMB – sociální odbor,Brno-Bystrc,7,7,A,6803,N,1.79,N,0,20
20220923,6202,582786,1,1,371,24,Petr,Semrád,Mgr.,,41,radní MČ Brno-Slatina,Brno-Slatina,7,7,A,6820,N,1.8,N,0,21
20220923,6202,582786,1,1,371,25,Marek,Šlapal,Mgr.,,46,pedagog,Brno-Žabovřesky,7,7,A,6854,N,1.81,N,0,22
20220923,6202,582786,1,1,371,26,Markéta,Janíčková,MUDr.,,57,kožní lékařka,Brno-Slatina,7,7,A,6791,N,1.79,N,0,23
20220923,6202,582786,1,1,371,27,Radmila,Vondráková,MUDr.,,57,"lékařka, pediatr",Brno-sever,7,7,A,6820,N,1.8,N,0,24
20220923,6202,582786,1,1,371,28,Hana,Ferina,Bc.,,34,tajemnice,Brno-Kohoutovice,7,7,A,6741,N,1.78,N,0,25
20220923,6202,582786,1,1,371,29,Zdeněk,Tichý,Ing.,,66,systémový inženýr,Brno-Kohoutovice,7,7,A,6733,N,1.78,N,0,26
20220923,6202,582786,1,1,371,30,Jan,Vaculín,Ing.,,39,obchodní ředitel,Brno – Řečkovice a Mokrá Hora,7,7,A,6733,N,1.78,N,0,27
20220923,6202,582786,1,1,371,31,Pavel,Boleslav,Ing.,,38,obchodní zástupce,Brno-sever,7,7,A,6723,N,1.77,N,0,28
20220923,6202,582786,1,1,371,32,Michal,Krátký,Bc.,,43,referent pro krizové řízení,Brno-Tuřany,7,7,A,6749,N,1.78,N,0,29
20220923,6202,582786,1,1,371,33,Blanka,Tuscherová,,,85,místopředsedkyně klubu seniorů,Brno-Líšeň,99,80,A,6717,N,1.77,N,0,30
20220923,6202,582786,1,1,371,34,David,Rašovský,Mgr.,,45,advokát,Brno-sever,7,7,A,6695,N,1.77,N,0,31
20220923,6202,582786,1,1,371,35,David,Špičák,,,33,jednatel,Brno-Bystrc,7,7,A,6550,N,1.73,N,0,32
20220923,6202,582786,1,1,371,36,Karel,Doležal,Ing.,,74,emeritní ředitel Úrazové nemocnice Brno,Brno-Žabovřesky,7,7,A,6752,N,1.78,N,0,33
20220923,6202,582786,1,1,371,37,Josef,Schmied,Bc.,,54,referent zdravotnictví a krizového řízení,Brno – Nový Lískovec,7,7,A,6692,N,1.76,N,0,34
20220923,6202,582786,1,1,371,38,Iveta,Gottwaldová,,,58,referentka,Brno-Slatina,7,7,A,6670,N,1.76,N,0,35
20220923,6202,582786,1,1,371,39,Ivan,Melichar,Ing.,,49,vedoucí odboru,Brno-Medlánky,7,7,A,6675,N,1.76,N,0,36
20220923,6202,582786,1,1,371,40,Martin,Otčenášek,Ing.,,39,manažer rozvoje,Brno – Řečkovice a Mokrá Hora,7,7,A,6673,N,1.76,N,0,37
20220923,6202,582786,1,1,371,41,Josef,Nekvapil,Mgr. et Mgr. Ing.,,48,"právník, cestovatel",Brno-sever,7,7,A,6677,N,1.76,N,0,38
20220923,6202,582786,1,1,371,42,Radmila,Preslová,,,51,vedoucí školní družiny ZŠ Řehořova,Brno-Černovice,7,7,A,6657,N,1.76,N,0,39
20220923,6202,582786,1,1,371,43,Vlasta,Zelinková,Ing.,,47,vedoucí oddělení informatiky,Brno – Řečkovice a Mokrá Hora,7,7,A,6645,N,1.75,N,0,40
20220923,6202,582786,1,1,371,44,Jitka,Škrabalová,Mgr.,,48,pedagog,Brno-Žabovřesky,7,7,A,6625,N,1.75,N,0,41
20220923,6202,582786,1,1,371,45,Jáchym,Frank,Mgr. Ing.,,57,ekonom,Brno-sever,7,7,A,6606,N,1.74,N,0,42
20220923,6202,582786,1,1,371,46,František,Procházka,Ing.,,90,lesní inženýr,Brno-Žabovřesky,7,7,A,6583,N,1.74,N,0,43
20220923,6202,582786,1,1,371,47,Alena,Stejskalová,Mgr.,,44,ředitelka Rodinného centra Pastelka,Brno-Líšeň,99,80,A,6666,N,1.76,N,0,44
20220923,6202,582786,1,1,371,48,Lucie,Dobiášová,Ing. Bc.,,30,mateřská dovolená,Brno-sever,7,7,A,6569,N,1.73,N,0,45
20220923,6202,582786,1,1,371,49,Jiří,Polák,,,43,jednatel společnosti,Brno-Tuřany,7,7,A,6541,N,1.73,N,0,46
20220923,6202,582786,1,1,371,50,Jan,Melichar,Mgr.,,61,marketingový specialista a projektový koordinátor,Brno-sever,7,7,A,6521,N,1.72,N,0,47
20220923,6202,582786,1,1,371,51,Stanislav,Zahradník,,,49,mistr elektro,Brno-Kohoutovice,7,7,A,6482,N,1.71,N,0,48
20220923,6202,582786,1,1,371,52,Ivo,Ševeček,Ing.,MBA,41,OSVČ,Brno-Slatina,7,7,A,6440,N,1.7,N,0,49
20220923,6202,582786,1,1,371,53,Zdeněk,Okáč,Mgr. Ing.,,38,sociální pracovník,Brno-Bystrc,7,7,A,6388,N,1.68,N,0,50
20220923,6202,582786,1,1,371,54,David,Aleš,,,47,místostarosta MČ Brno-sever,Brno-sever,99,80,A,6359,N,1.68,N,0,51
20220923,6202,582786,1,1,371,55,Petr,Nováček,MVDr.,,62,ředitel domova pro seniory,Brno-Židenice,7,7,A,6146,N,1.62,N,0,52
20220923,6202,582786,1,2,393,1,Jiří,Schauer,RNDr.,,61,učitel,Brno-Líšeň,99,80,A,1376,N,2.44,N,0,0
20220923,6202,582786,1,2,393,2,Martin,Švec,Ing. arch.,,33,architekt,Brno – Maloměřice a Obřany,74,74,A,1278,N,2.27,N,0,0
20220923,6202,582786,1,2,393,3,Anna,Mikulenková,Mgr.,,40,sanitářka,Brno-sever,74,74,A,1142,N,2.03,N,0,0
20220923,6202,582786,1,2,393,4,Martin,Tománek,Bc.,,33,pedagog,Brno-střed,74,74,A,1098,N,1.95,N,0,0
20220923,6202,582786,1,2,393,5,Anežka,Michnová,,,32,feministická aktivistka,Brno-střed,99,80,A,1120,N,1.99,N,0,0
20220923,6202,582786,1,2,393,6,Hana,Grygarová,,,47,členka poradního orgánu pro monitorování práv lidí s postižením,Brno-Žabovřesky,99,80,A,1271,N,2.26,N,0,0
20220923,6202,582786,1,2,393,7,Martin,Fejfárek,,,49,údržbář,Brno-střed,99,80,A,1047,N,1.86,N,0,0
20220923,6202,582786,1,2,393,8,Patrik,Kopkan,,,23,IT specialista,Brno-sever,99,80,A,1045,N,1.85,N,0,0
20220923,6202,582786,1,2,393,9,Monika,Balogová,,,44,asistentka pedagoga,Brno-střed,99,80,A,1052,N,1.87,N,0,0
20220923,6202,582786,1,2,393,10,Marcela,Bačková,Bc.,,26,zdravotní laborantka,Brno-střed,99,80,A,1057,N,1.87,N,0,0
20220923,6202,582786,1,2,393,11,Tomáš,Ulrich,Mgr.,Ph.D.,45,učitel,Brno-střed,74,74,A,1088,N,1.93,N,0,0
20220923,6202,582786,1,2,393,12,David,Mareš,,,27,knihkupec,Brno-jih,99,80,A,1044,N,1.85,N,0,0
20220923,6202,582786,1,2,393,13,Eulalie,Líčeníková,,,36,asistentka pedagoga,Brno-sever,99,80,A,1031,N,1.83,N,0,0
20220923,6202,582786,1,2,393,14,Blažena,Švandová,RNDr.,Ph.D.,77,důchodkyně,Brno – Řečkovice a Mokrá Hora,99,80,A,1055,N,1.87,N,0,0
20220923,6202,582786,1,2,393,15,Kateřina,Koutná,Bc.,,35,pečující osoba,Brno-Kohoutovice,99,80,A,1064,N,1.89,N,0,0
20220923,6202,582786,1,2,393,16,Helena,Musilová,,,65,důchodkyně,Brno-střed,99,80,A,979,N,1.74,N,0,0
20220923,6202,582786,1,2,393,17,Roman,Hoffman,,,36,technická správa budov,Brno-Bystrc,99,80,A,1029,N,1.83,N,0,0
20220923,6202,582786,1,2,393,18,Nikola,Stračárová,Mgr.,,30,studentka,Brno – Královo Pole,99,80,A,1045,N,1.85,N,0,0
20220923,6202,582786,1,2,393,19,Adéla,Bartlová,Mgr.,,44,překladatelka,Brno – Královo Pole,99,80,A,1033,N,1.83,N,0,0
20220923,6202,582786,1,2,393,20,Renata,Podroužková,,,57,zdravotní sestra,Brno-střed,99,80,A,1096,N,1.94,N,0,0
20220923,6202,582786,1,2,393,21,Vladimír,Bílek,,,22,student,Brno-Žabovřesky,99,80,A,1011,N,1.79,N,0,0
20220923,6202,582786,1,2,393,22,Zdeněk,Mucha,,,38,lešenář,Brno-střed,99,80,A,984,N,1.75,N,0,0
20220923,6202,582786,1,2,393,23,Renata,Novotná,,,52,prodavačka,Brno-Slatina,99,80,A,985,N,1.75,N,0,0
20220923,6202,582786,1,2,393,24,Pavel,Šeda,,,60,v domácnosti,Brno-sever,99,80,A,971,N,1.72,N,0,0
20220923,6202,582786,1,2,393,25,Marek,Suchánek,Bc.,,30,technical writer,Brno-sever,74,74,A,981,N,1.74,N,0,0
20220923,6202,582786,1,2,393,26,Libor,Ponížil,,,74,důchodce,Brno-střed,99,80,A,970,N,1.72,N,0,0
20220923,6202,582786,1,2,393,27,Ivana,Bílková,,,54,zahradnice,Brno-Žabovřesky,99,80,A,1015,N,1.8,N,0,0
20220923,6202,582786,1,2,393,28,Alexandr,Hradecký,Ing.,,73,důchodce,Brno-Žabovřesky,99,80,A,964,N,1.71,N,0,0
20220923,6202,582786,1,2,393,29,Alexander,Jakerle,Ing.,,64,důchodce,Brno-Bystrc,99,80,A,974,N,1.73,N,0,0
20220923,6202,582786,1,2,393,30,Kamila,Snášelová,,,57,úřednice,Brno-sever,99,80,A,972,N,1.72,N,0,0
20220923,6202,582786,1,2,393,31,Aleš,Brázda,,,47,na volné noze,Brno – Královo Pole,99,80,A,973,N,1.73,N,0,0
20220923,6202,582786,1,2,393,32,Rostislav,Kovář,,,62,důchodce,Brno – Královo Pole,99,80,A,963,N,1.71,N,0,0
