OKRES,KODZASTUP,COBVODU,POR_STR_HL,OSTRANA,PORCISLO,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,PSTRANA,NSTRANA,PLATNOST,POCHLASU,PRESKOCENI,POCPROCVSE,MANDAT,PORADIMAND,PORADINAHR
6202,582786,1,1,371,1,Zdeněk,Slavík,Mgr.,,54,vedoucí oddělení,Brno-Kohoutovice,7,7,A,0,N,0,N,0,0
6202,582786,1,1,371,2,Miloslav,Podal,,,61,obchodní ekonom,Brno-sever,7,7,A,0,N,0,N,0,0
6202,582786,1,1,371,3,Jiří,Polák,,,47,jednatel společnosti,Brno-Tuřany,7,7,A,0,N,0,N,0,0
6202,582786,1,1,371,4,Hana,Ferina,Bc.,,38,asistentka právního oddělení,Brno-Kohoutovice,7,7,A,0,N,0,N,0,0
6202,582786,1,1,371,5,Jozef,Daniel,,,55,předseda organizace Brno Tým,Brno-střed,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,6,Andrea,Vašíčková,Bc.,DiS.,38,zdravotní sestra,Brno-jih,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,7,Jan,Foltýn,Mgr.,MBA,61,technicko-hospodářský pracovník,Brno-sever,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,8,Josef,Mach,Mgr.,,55,středoškolský učitel,Brno-Chrlice,7,7,A,0,N,0,N,0,0
6202,582786,1,1,371,9,Michal,Krátký,Mgr. Bc.,,47,referent pro krizové řízení,Brno-Tuřany,7,7,A,0,N,0,N,0,0
6202,582786,1,1,371,10,Stanislav,Zahradník,,,53,mistr elektro,Brno-Kohoutovice,7,7,A,0,N,0,N,0,0
6202,582786,1,1,371,11,Karel,Neumann,,,58,OSVČ dopravce,Brno-Vinohrady,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,12,Ivan,Riziky,,,59,OSVČ elektrotechnik,Brno-Kohoutovice,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,13,Kamil,Franc,Ing.,,55,stavební inženýr,Brno-Bohunice,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,14,Jiří,Zonyga,Bc.,,52,produktový manažer,Brno-Řečkovice a Mokrá Hora,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,15,Radim,Urbánek,Mgr. Bc.,,48,státní zaměstnanec,Brno-Kohoutovice,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,16,Radomil,Pařízek,,,61,odborný prodejce,Brno-Starý Lískovec,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,17,Petra,Kuklová,,,51,vedoucí prodejny,Brno-jih,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,18,Vlastimil,Závadský,Ing.,,67,ekonom,Brno-Vinohrady,7,7,A,0,N,0,N,0,0
6202,582786,1,1,371,19,Karolína,Podalová,,,21,asistentka prodeje,Brno-Starý Lískovec,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,20,Milan,Horáček,,,55,OSVČ – dopravce,Brno-Nový Lískovec,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,21,Jakub,Kolář,,,35,technik,Brno-Žebětín,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,22,Jana,Jöbstl,,,68,ekonomka – analytička,Brno-sever,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,23,Tomáš,Mottl,,,45,rozpočtář,Brno-Židenice,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,24,Anna,Čechová,,,64,pokladní,Brno-Starý Lískovec,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,25,Radek,Pospíšil,,,53,dispečer CTD,Brno-Líšeň,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,26,Václav,Božek,Mgr.,CSc.,77,fyzik,Brno-Kohoutovice,7,7,A,0,N,0,N,0,0
6202,582786,1,1,371,27,Lukáš,Špenik,,,37,mechanik NC strojů,Brno-sever,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,28,Petra,Kupčíková,,,53,vedoucí prodejny,Brno-Bohunice,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,29,Marek,Murdych,,,33,odborný prodavač,Brno-Kohoutovice,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,30,Tomáš,Bauer,,,50,OSVČ,Brno-střed,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,31,Silvie,Bučková,,,38,administrativa,Brno-jih,7,7,A,0,N,0,N,0,0
6202,582786,1,1,371,32,Michal,Nový,,,58,řidič technických vozidel,Brno-střed,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,33,Jan,Rossi,,,46,stavební technik,Brno-Židenice,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,34,David,Hanák,,,52,dispečer,Brno-Královo Pole,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,35,Martin,Poláček,,,50,dispečer,Brno-jih,7,7,A,0,N,0,N,0,0
6202,582786,1,1,371,36,David,Klapal,,,45,provozní restaurace,Brno-Kohoutovice,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,37,Lucie,Vohrabalová,,,44,referent,Brno-Vinohrady,7,7,A,0,N,0,N,0,0
6202,582786,1,1,371,38,Martina,Murdychová,,,59,ekonom obchodu,Brno-Kohoutovice,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,39,Jana,Slavíková,,,58,dětská zdravotní sestra,Brno-Vinohrady,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,40,Jan,Jursa,,,59,vedoucí střediska,Brno-Černovice,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,41,Jaroslav,Crlík,Ing.,,65,technik,Brno-Bohunice,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,42,Hana,Pačinková,,,59,kuchařka,Brno-Vinohrady,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,43,Vít,Mareš,,,21,student,Brno-sever,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,44,Miroslav,Havlíček,,,52,servisní technik,Brno-střed,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,45,Rostislav,Kubišta,,,57,OSVČ,Brno-Žabovřesky,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,46,Marie,Prachařová,,,60,ekonom obchodního provozu,Brno-sever,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,47,Jan,Mikulášek,,,79,strojní zámečník,Brno-sever,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,48,Pavel,Koš,,,41,pracovník technických služeb,Brno-Slatina,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,49,Miroslav,Kračmer,,,58,správce sportovního areálu,Brno-střed,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,50,Lukáš,Ferina,Bc.,,39,prodejce náhradních dílů – technická podpora,Brno-Kohoutovice,7,7,A,0,N,0,N,0,0
6202,582786,1,1,371,51,Miroslava,Kočařová,,,71,referentka,Brno-Starý Lískovec,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,52,Jana,Hamplová,Bc.,,67,ekonomka,Brno-Kohoutovice,7,7,A,0,N,0,N,0,0
6202,582786,1,1,371,53,Jana,Hamrová,,,50,místopředsedkyně NNO Brno Tým,Brno-střed,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,54,David,Pollák,,,48,stavební mistr,Brno-střed,99,80,A,0,N,0,N,0,0
6202,582786,1,1,371,55,Zdeněk,Smolík,,,69,OSVČ, Brno-Kohoutovice,7,7,A,0,N,0,N,0,0
6202,582786,1,2,340,1,Jakub,Hruška,Bc.,,40,starosta MČ Brno-Kohoutovice,Brno-Kohoutovice,1,1,A,0,N,0,N,0,0
