DATUMVOLEB,OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR
20220923,6202,582786,Brno,1,1,371,371,ČSSD VAŠI STAROSTOVÉ,ČSSD VAŠI STAROSTOVÉ,ČSSD+NK,2,"007,080",378091,6.1,3
20220923,6202,582786,Brno,1,2,393,393,Brno Brňankám a Brňanům! (B3!),Brno Brňankám a Brňanům! (B3!),Levice+NK,2,"074,080",56224,.9,0
20220923,6202,582786,Brno,1,3,720,720,Česká pirátská strana,Česká pirátská strana,Piráti,1,720,437910,7.07,4
20220923,6202,582786,Brno,1,4,1554,1554,Zelení a Žít Brno s podporou Idealistů,Zelení a Žít Brno s podpor. Id,Zelen+ŽTB+Ideal,3,"005,1026,1233",369539,5.96,3
20220923,6202,582786,Brno,1,5,340,340,Lidovci a Starostové (KDU-ČSL + Starostové a nezávislí),Lid.a Star.(KDU-ČSL+St.a nez.),KDU-ČSL+STAN,2,"001,166",1059032,17.1,10
20220923,6202,582786,Brno,1,6,1503,1503,Brno Plus a Svobodní,Brno Plus a Svobodní,Svobodní+Brno+,2,"714,1200",102015,1.64,0
20220923,6202,582786,Brno,1,7,1492,1492,"SPD, TRIKOLORA, MORAVANÉ a nezávislí","SPD,TRIKOLORA,MORAVANÉ a NK",Mor+SPD+Trik+NK,4,"080,083,1114,1227",605982,9.78,6
20220923,6202,582786,Brno,1,8,768,768,ANO 2011,ANO 2011,ANO,1,768,1267461,20.46,13
20220923,6202,582786,Brno,1,9,1245,1245,PŘÍSAHA - občanské hnutí Roberta Šlachty,PŘÍSAHA Roberta Šlachty,PŘÍSAHA,1,1245,118243,1.9,0
20220923,6202,582786,Brno,1,10,482,482,Demokratická strana zelených - ZA PRÁVA ZVÍŘAT – sdružení DSZ - ZA PRÁVA ZVÍŘAT a NK,DSZ - ZA PRÁVA ZVÍŘAT a NK,DSZ+NK,2,"080,715",1193,.52,0
20220923,6202,582786,Brno,1,11,687,687,SPOLEČNĚ - ODS a TOP 09,SPOLEČNĚ - ODS a TOP 09,ODS+TOP 09,2,"053,721",1549837,25.02,16
20220923,6202,582786,Brno,1,12,1504,1504,RESTART PRO BRNO,RESTART PRO BRNO,KSČMSPOZSuvDOM,4,"047,724,759,1221",89436,1.44,0
20220923,6202,582786,Brno,1,13,1223,1223,JSI PRO? Jistota Solidarita Investice pro budoucnost,JSI PRO?Jist.Solid.In.pro bud.,JSI PRO?,1,1223,683,.1,0
20220923,6202,582786,Brno,1,14,1246,1246,Fakt Brno,Fakt Brno,Fakt Brno,1,1246,157120,2.53,0
