OKRES,KODZASTUP,NAZEVZAST,COBVODU,POR_STR_HL,OSTRANA,VSTRANA,NAZEVCELK,ZKRATKAO30,ZKRATKAO8,POCSTR_SLO,SLOZENI,HLASY_STR,PROCHLSTR,MAND_STR
6202,582786,Brno,1,1,371,371,Sociální demokracie,Sociální demokracie,SOCDEM+NK,2,"007,080",,,
6202,582786,Brno,1,2,340,340,Lidovci a Starostové – Brno blíž lidem,Lidovci a Starostové – Brno blíž lidem,KDU-ČSL+STAN,2,"001,166",,,
6202,582786,Brno,1,3,1869,1869,"ZELENÉ BRNO (Zelení, Žít Brno, SEN 21, LES, Volt, Budoucnost, Kruh)","ZELENÉ BRNO (Zel.,ŽTB,SEN 21,LES,Volt,Bud.,Kruh)",ZLESŽBSENBuVoKr,7,"005,795,1026,1187,1232,1272,1707",,,
6202,582786,Brno,1,4,768,768,ANO 2011,ANO 2011,ANO,1,768,,,
6202,582786,Brno,1,5,1710,1710,Za Lužánky,Za Lužánky,Za Lužánky,1,1710,,,
6202,582786,Brno,1,6,523,523,"ODS, TOP 09 a nezávislí","ODS, TOP 09 a nezávislí",ODS+TOP 09+NK,3,"053,080,721",,,
6202,582786,Brno,1,7,1832,1832,Restart pro Brno,Restart pro Brno,KSČMČSSDDOSmSt!,5,"047,759,1221,1248,1298",,,
6202,582786,Brno,1,8,1711,1711,Brnoklidem,Brnoklidem,KLID,1,1711,,,
6202,582786,Brno,1,9,1178,1178,Motoristé sobě,Motoristé sobě,AUTO,1,1178,,,
6202,582786,Brno,1,10,482,482,"Demokratická strana zelených - ZA PRÁVA ZVÍŘAT, sdružení DSZ - ZA PRÁVA ZVÍŘAT a NK","Sdružení DSZ - ZA PRÁVA ZVÍŘAT, NK",DSZ+NK,2,"080,715",,,
6202,582786,Brno,1,11,1901,1901,Brno Brňankám a Brňanům! (B3!),Brno Brňankám a Brňanům! (B3!),LANO+VRBa,2,"1286,1744",,,
6202,582786,Brno,1,12,1245,1245,PŘÍSAHA občanské hnutí,PŘÍSAHA občanské hnutí,PŘÍSAHA,1,1245,,,
6202,582786,Brno,1,13,1693,1693,"BRNO NAPLNO - koalice Svobodní, Trikolora, PRO","BRNO NAPLNO - koalice Svobodní, Trikolora, PRO",Svobo+Triko+PRO,3,"714,1227,1265",,,
6202,582786,Brno,1,14,1730,1730,Nové Brno,Nové Brno,NB,1,1730,,,
6202,582786,Brno,1,15,1870,1870,Piráti a Fakt Brno TU!,Piráti a Fakt Brno TU!,PirIdeFaktBrGEN,4,"720,1233,1246,1297",,,
6202,582786,Brno,1,16,1305,1305,SPD a nezávislí,SPD a nezávislí,SPD+NK,2,"080,1114",,,
