hlasovani_id,zasedani,cislo,datum,predmet,vysledek,zdroj_id,url,pritomno,ano,ne,zdrzel_se,nehlasoval,kontrola,omezeni,platnost_dle_zapisu,pouzitelne_pro_statistiky
Z9-01-001,Z9/01,1,2022-10-20,1. Technický bod - ověřovatelé zápisu,Přijato,48f2049f36d8888d,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-1-30975.html,54,53,0,0,1,ok,,není označeno jako neplatné,ano
Z9-01-002,Z9/01,2,2022-10-20,1. Technický bod - program,Přijato,9c2a1ec9ad7447f6,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-2-31055.html,54,54,0,0,0,ok,,není označeno jako neplatné,ano
Z9-01-003,Z9/01,3,2022-10-20,2. Stanovení počtu členek/členů Rady města Brna,Přijato,fbce0c21c16771d7,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-3-31137.html,54,54,0,0,0,ok,,není označeno jako neplatné,ano
Z9-01-004,Z9/01,4,2022-10-20,3. Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů,Přijato,76d6f8c4a728a1cd,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-4-31258.html,54,53,0,0,1,ok,,není označeno jako neplatné,ano
Z9-01-005,Z9/01,5,2022-10-20,"4. Určení funkcí, pro které budou členky/členové Zastupitelstva města Brna dlouhodobě uvolněny/uvolněni",Přijato,2bc27c0d67b572c7,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-5-31413.html,54,47,0,7,0,ok,,není označeno jako neplatné,ano
Z9-01-006,Z9/01,6,2022-10-20,"4. Určení funkcí, pro které budou členky/členové Zastupitelstva města Brna dlouhodobě uvolněny/uvolněni - 2. část usnesení",Přijato,3abb0be9ac2f9ab8,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-6-31521.html,54,45,0,7,2,ok,,není označeno jako neplatné,ano
Z9-01-007,Z9/01,7,2022-10-20,"5. Volební řád pro volbu primátora, náměstků primátora, dalších členů Rady města Brna a pro volbu dalších dlouhodobě uvolněných členů Zastupitelstva města Brna a volební komise pro jejich volbu - volba volební komise",Přijato,473abd7502e8f3e5,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-7-31686.html,54,53,0,1,0,ok,,není označeno jako neplatné,ano
Z9-01-009,Z9/01,9,2022-10-20,6. Volba primátorky/primátora města Brna - JUDr. Markéta Vaňková,Přijato,f53723cdb35d7644,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-9-32374.html,54,42,5,7,0,ok,,není označeno jako neplatné,ano
Z9-01-010,Z9/01,10,2022-10-20,7. Volba náměstkyň/náměstků primátorky města Brna - volba 1. náměstkyně/náměstka - Mgr. René Černý,Přijato,17063e20991f4475,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-10-32976.html,54,42,5,7,0,ok,,není označeno jako neplatné,ano
Z9-01-011,Z9/01,11,2022-10-20,7. Volba náměstkyň/náměstků primátorky města Brna - volba 2. náměstkyně/náměstka - Mgr. Jaroslav Suchý,Přijato,9f2b4123fb0f1fc6,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-11-33419.html,54,46,5,3,0,ok,,není označeno jako neplatné,ano
Z9-01-012,Z9/01,12,2022-10-20,7. Volba náměstkyň/náměstků primátorky města Brna - volba 3. náměstkyně/náměstka - JUDr. Robert Kerndl,Přijato,e9217ece460ced87,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-12-33815.html,54,42,5,7,0,ok,,není označeno jako neplatné,ano
Z9-01-013,Z9/01,13,2022-10-20,7. Volba náměstkyň/náměstků primátorky města Brna - volba 4. náměstkyně/náměstka - Ing. Karin Karasová,Přijato,12568e638ac5f450,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-13-34218.html,54,42,6,6,0,ok,,není označeno jako neplatné,ano
Z9-01-014,Z9/01,14,2022-10-20,8. Volba dalších členek/členů Rady města Brna - člen/členka Rady města Brna pro dopravu a správu městských účástí - Ing. Petr Kratochvíl,Přijato,53f0f5538b2d9586,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-14-34688.html,54,41,5,7,1,ok,,není označeno jako neplatné,ano
Z9-01-015,Z9/01,15,2022-10-20,8. Volba dalších členek/členů Rady města Brna - člen/členka Rady města Brna pro sport a informační technologie - Bc. Tomáš Aberl,Přijato,e13dbe84e2d316a1,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-15-35182.html,54,43,6,5,0,ok,,není označeno jako neplatné,ano
Z9-01-016,Z9/01,16,2022-10-20,8. Volba dalších členek/členů Rady města Brna - člen/členka Rady města Brna pro územní plánování - Ing. arch. Petr Bořecký,Přijato,e3ee05862a451120,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-16-35521.html,54,42,3,7,2,ok,,není označeno jako neplatné,ano
Z9-01-017,Z9/01,17,2022-10-20,8. Volba dalších členek/členů Rady města Brna - člen/členka Rady města Brna pro majetek - JUDr. Jiří Oliva,Přijato,7a88dd05417871ac,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-17-35867.html,54,41,5,6,2,ok,,není označeno jako neplatné,ano
Z9-01-018,Z9/01,18,2022-10-20,8. Volba dalších členek/členů Rady města Brna - člen/členka Rady města Brna pro školství - JUDr. Irena Matonohová,Přijato,80ede8e8737e6a06,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-18-36248.html,54,41,5,7,1,ok,,není označeno jako neplatné,ano
Z9-01-019,Z9/01,19,2022-10-20,"8. Volba dalších členek/členů Rady města Brna - člen/členka Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku - RNDr. Filip Chvátal, Ph.D.",Přijato,8aaac26511b090ca,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-19-36641.html,54,43,5,5,1,ok,,není označeno jako neplatné,ano
Z9-01-020,Z9/01,20,2022-10-20,"9. Volba dalších dlouhodobě uvolněných členek/členů Zastupitelstva města Brna - pro oblast marketingu a PR - Bc. Kateřina Jarošová, MBA",Přijato,25ba10cd3410a7e5,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-20-37119.html,54,42,0,11,1,ok,,není označeno jako neplatné,ano
Z9-01-021,Z9/01,21,2022-10-20,"9. Volba dalších dlouhodobě uvolněných členek/členů Zastupitelstva města Brna - pro oblast inovace a spolupráce s výzkumnými organizacemi - doc. RNDr. Anna Putnová, Ph.D., MBA",Přijato,abf41f890e1c70bc,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-21-37489.html,54,41,5,7,1,ok,,není označeno jako neplatné,ano
Z9-01-022,Z9/01,22,2022-10-20,9. Volba dalších dlouhodobě uvolněných členek/členů Zastupitelstva města Brna - předseda Kontrolního výboru Zastupitelstva města Brna - Bc. Matěj Hollan,Nepřijato,db99ee9f362afd9a,https://apl.brno.cz/protokoly-zmb/zmb-z9-01/20221020-22-41353.html,51,4,12,30,5,ok,,není označeno jako neplatné,ano
