hlasovani_id,zasedani,datum,osoba_id,jmeno_v_protokolu,klub_v_protokolu,volba,volba_original,zdroj_id,pouzitelne_pro_statistiky,omezeni_protokolu
Z9-01-004,Z9/01,2022-10-20,petr-bauer,Petr Bauer,ANO 2011,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,petr-borecky,Petr Bořecký,ANO 2011,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,rene-cerny,René Černý,ANO 2011,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,alena-gruberova,Alena Gruberová,ANO 2011,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,katerina-jarosova,Kateřina Jarošová,ANO 2011,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,karel-kalivoda,Karel Kalivoda,ANO 2011,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,karin-podivinska-karasova,Karin Karasová,ANO 2011,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,pavel-kriz,Pavel Kříž,ANO 2011,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,miroslav-kubasek,Miroslav Kubásek,ANO 2011,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,rene-novotny,René Novotný,ANO 2011,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,pavel-outrata,Pavel Outrata,ANO 2011,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,vit-prygl,Vít Prýgl,ANO 2011,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,daniel-struz,Daniel Struž,ANO 2011,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,jiri-oliva,Jiří Oliva,ČSSD VAŠI STAROSTOVÉ,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,bretislav-stefan,Břetislav Štefan,ČSSD VAŠI STAROSTOVÉ,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,marek-viskot,Marek Viskot,ČSSD VAŠI STAROSTOVÉ,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,petr-hladik,Petr Hladík,Lidovci a Starostové,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,jakub-hruska,Jakub Hruška,Lidovci a Starostové,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,filip-chvatal,Filip Chvátal,Lidovci a Starostové,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,jitka-ivicicova,Jitka Ivičičová,Lidovci a Starostové,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,filip-leder,Filip Leder,Lidovci a Starostové,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,martin-malecek,Martin Maleček,Lidovci a Starostové,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,michal-marek,Michal Marek,Lidovci a Starostové,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,irena-matonohova,Irena Matonohová,Lidovci a Starostové,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,jaroslav-suchy,Jaroslav Suchý,Lidovci a Starostové,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,radomir-vondra,Radomír Vondra,Lidovci a Starostové,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,tomas-aberl,Tomáš Aberl,ODS a TOP 09,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,kristyna-cerna,Kristýna Černá,ODS a TOP 09,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,david-grund,David Grund,ODS a TOP 09,Ano,Ano,76d6f8c4a728a1cd,ano,
Z9-01-004,Z9/01,2022-10-20,jiri-herman,Jiří Herman,ODS a TOP 09,Ano,Ano,76d6f8c4a728a1cd,ano,
