id,cislo_listiny,kampan,slib,opora_kod,opora_popis,duvod,dosavadni_jednani,pravomoc,proveditelnost,politicke_podminky,protidukazy,vykonna_role,vykonna_odpovednost,nevyuzita_moznost_json,co_by_zmenilo_zaver,zdroj_url,lokator,dalsi_zdroje,hlasovani,overeno
K01-02,1,SOCDEM,Prosazovat výstavbu stovek obecních bytů a připustit úvěrové financování.,bez_opory,Jen kydy!,"Stovky bytů jsou prioritou, ale v podkladech chybí termín, seznam projektů i propočet financování.",Nikdo z dnešní kandidátky neměl celoměstský mandát 2022–2026; bývalé hlasy SOCDEM nepřenášíme.,"Město může investovat do vlastního bydlení, rozhodovat o majetku a pravidlech; u městských bytů spravovaných městskými částmi musí zapojit i jejich vedení. Soukromou výstavbu nemůže jednoduše nařídit.","Lídr připouští úvěr vztažený k rozpočtu města. Bez ceny projektů, splatnosti a výnosů nelze posoudit udržitelnost; nájemné nezaručuje samofinancování celé stavby.",Bez vlastních zastupitelů z období 2022–2026; hlasování bývalých členů SOCDEM nelze připsat této kandidátce.,Novější odpověď již uvádí bytovou prioritu; závěr nelze stavět jen na starším obecném oznámení.,Strana ve vedení; dnešní tým bez mandátu 2022–2026,"ČSSD patřila v roce 2022 do vládnoucí koalice a Jiří Oliva měl na starosti městský majetek. Nikdo z dnešní kandidátky SOCDEM ale neměl mandát v tomto období. Strana tak nese odpovědnost za účast na vedení města, Olivovy jednotlivé hlasy nejsou hlasy dnešních kandidátů.",,"Seznam projektů, počet dokončených bytů a finanční plán.",https://www.metro.cz/kraje/jihomoravsky-kraj/lidri-v-brne-chteji-stavet-byty-podporuji-i-novy-fotbalovy-stadion-za-luzankami.A260912_073146_metro-brno-zpravy_air,otázka 1 – Zdeněk Slavík,92070caf8da6904e;e4f8e48e77fd9841;e13ec4718d18eb51;00986cd445f58d56,,2026-09-20
K02-01,2,Lidovci a Starostové,"Roční jízdné pro dospělé s trvalým pobytem 1 000 Kč, pro studenty 500 Kč; děti a senioři zdarma.",podminene,Podmíněně proveditelné,"Město už na roční jízdné přispívá a kampaň nabízí propočet další slevy; počítá však s vyššími příjmy města díky asi 10 tisícům lidí, kteří by si v Brně nově přihlásili trvalý pobyt.",Kampaň financování podmiňuje získáním dalších trvale přihlášených obyvatel; minulé schválení celého rozpočtu tuto cenu nedokládá.,"Město ovlivňuje vlastní dopravu a její financování. Ceny a pravidla jízdného společného pro Brno a kraj, regionální spoje a státní stavby musí řešit i s krajem, dopravci nebo státem.",Program odhaduje čistý dopad na 250–400 mil. Kč ročně a počítá s přibližně 10 tisíci nově přihlášených; jde o předpoklad kampaně. DPMB uvádí základní roční cenu 4 750 Kč a příspěvek 1 425 Kč pro oprávněné žadatele. Ceník a dotace nejsou totéž.,Dnešní kandidáti mají zkušenost s prosazováním rozpočtu a bytových projektů; to neprokazuje většinu pro nový tarif MHD.,Město už umí jízdné dotovat; sleva tedy není sama o sobě nemožná.,Lidé ve vedení města v období 2022–2026,"Lidovci a Starostové byli součástí koalice. Z dnešních kandidátů jsou v radě Filip Chvátal, Irena Matonohová a Petr Bořecký, který má na starosti zapojování obyvatel do rozhodování; na začátku období byl do vedení uveden i Jaroslav Suchý. Mají odpovědnost za vlastní hlasování rady a koaliční rozhodování, neměli však sami většinu a neodpovídali za všechny oblasti městské správy.",,"Výpočet, jak slevu zaplatit i při menším počtu nově přihlášených obyvatel, dohoda o ceně jízdného a schválené financování.",https://www.brnoblizlidem.cz/plan-pro-brno/,část o levnější MHD,0f370d838d2a82a6;92070caf8da6904e;0f370d838d2a82a6;e13ec4718d18eb51;00986cd445f58d56;ea80e5751d173075,,2026-09-20
K02-02,2,Lidovci a Starostové,"Do čtyř let opravit 800 volných bytů, ve spolupráci se soukromým partnerem (PPP) a pomocí modulární výstavby z prefabrikovaných částí vybudovat až 1 000 nových; ukončit prodej bytových domů a prověřit družstevní projekty.",nevyuzita_moznost,"Neudělali to, když mohli","Dnes slibují neprodávat městské bytové domy, ale osm jejich kandidátů včetně tří radních v březnu 2025 schválilo prodej dvou prázdných domů s celkem 40 byty na Dornychu soukromému developerovi. Mohli hlasovat proti; výtka se týká zachování těchto domů, ne schopnosti postavit nové byty.",Osm nynějších kandidátů v březnu 2025 hlasovalo pro prodej dvou městských bytových domů Dornych 29 a 31 developerovi. Osm v lednu 2026 podpořilo zrušení starých pravidel pro prodej městských bytů. Podporovali také financování přípravy bytového projektu Kamenný vrch II.,"Město může investovat do vlastního bydlení, rozhodovat o majetku a pravidlech; u městských bytů spravovaných městskými částmi musí zapojit i jejich vedení. Soukromou výstavbu nemůže jednoduše nařídit.","Program spojuje opravy do čtyř let, nové byty ve spolupráci se soukromým partnerem a z prefabrikovaných částí, konec prodejů a kontrolu družstevních projektů. V lednu město uvádělo 870 prázdných bytů ve správě městských částí, v březnu tento počet opravilo na 1 462. Původní součet s dalšími 62 byty spravovanými přímo městem proto není spolehlivým základem pro plán oprav. V červenci 2026 byla oznámena podepsaná smlouva se zhotovitelem 353 bytů v projektu Kamenný vrch II; projekt má tedy i realizační krok, nikoliv jen politický příslib.",Dnešní kandidáti mají zkušenost s prosazováním rozpočtu a bytových projektů; to neprokazuje většinu pro nový tarif MHD.,"Domy byly prázdné a ve špatném až průměrném stavebním stavu. Prodej měl ekonomické zdůvodnění a výnos byl navržen do Fondu bytové výstavby; neprokazujeme, že zachování bylo levnější nebo výhodnější. V lednu 2026 tito kandidáti podpořili zrušení starého privatizačního postupu. Dnešní program může být změnou politiky. Výtka hodnotí tehdejší nevyužití vlastního hlasu ve prospěch nyní slibovaného zachování domů, nikoli prokázané porušení totožného staršího slibu, lež nebo neschopnost stavět byty.",Lidé ve vedení města v období 2022–2026,"Lidovci a Starostové byli součástí koalice. Z dnešních kandidátů jsou v radě Filip Chvátal, Irena Matonohová a Petr Bořecký, který má na starosti zapojování obyvatel do rozhodování; na začátku období byl do vedení uveden i Jaroslav Suchý. Mají odpovědnost za vlastní hlasování rady a koaliční rozhodování, neměli však sami většinu a neodpovídali za všechny oblasti městské správy.","{""scope_label"": ""zachování domů Dornych 29/31"", ""scope"": ""Zachování dvou městských bytových domů Dornych 29 a 31: odpovědní politici mohli odepřít vlastní souhlas s jejich prodejem soukromému developerovi."", ""period"": ""Březen 2025; rozhodnutí ZMB dne 25. 3. 2025. Uskutečnění prodeje doloženo přijetím kupní ceny 5. 6. 2025."", ""actors"": [{""person"": ""filip-chvatal"", ""name"": ""Filip Chvátal"", ""role"": ""člen rady"", ""action"": ""5. 3. 2025 podpořil záměr prodeje v radě; 25. 3. podpořil prodej v zastupitelstvu""}, {""person"": ""irena-matonohova"", ""name"": ""Irena Matonohová"", ""role"": ""členka rady"", ""action"": ""5. 3. 2025 podpořila záměr prodeje v radě; 25. 3. podpořila prodej v zastupitelstvu""}, {""person"": ""petr-borecky-1"", ""name"": ""Petr Bořecký"", ""role"": ""radní pro zapojování obyvatel do rozhodování"", ""action"": ""5. 3. 2025 podpořil záměr prodeje v radě; 25. 3. podpořil prodej v zastupitelstvu""}], ""authority"": ""Kandidáti uvedení v tomto bloku byli členy městské rady a současně zastupitelstva. Rada připravovala majetkové rozhodnutí, o prodeji hlasovalo zastupitelstvo; vlastní hlas měli pod kontrolou. Jednotlivec ani tato dnešní listina neměli samostatné veto."", ""opportunity"": ""Rada města 5. 3. 2025 odsouhlasila záměr prodeje a zastupitelstvo 25. 3. prodej schválilo. Uvedení politici mohli hlasovat proti a uvnitř vládnoucí koalice prosazovat zachování domů ve vlastnictví města. Jejich nesouhlas by však sám nezaručil zamítnutí prodeje ani peníze na opravu domů."", ""outcome"": ""Prodej podpořilo osm lidí z dnešní listiny. Celkem prošel 38 hlasy proti 10. Zářijový materiál potvrzuje realizaci prodeje a přijetí 225 milionů Kč dne 5. 6. 2025. Šlo o dva prázdné městské bytové domy Dornych 29 a 31 s celkem 40 byty. Za 225 milionů Kč je koupila společnost CTP Vlněna Business Park, která plánovala jejich odstranění a novou výstavbu pro obchody, kanceláře a bydlení. Brno získalo peníze, ale ztratilo vlastnictví těchto domů a možnost samo rozhodovat o jejich bytech; nešlo o odebrání 40 právě obývaných bytů nájemníkům."", ""limitations"": ""Domy byly prázdné a ve špatném až průměrném stavebním stavu. Prodej měl ekonomické zdůvodnění a výnos byl navržen do Fondu bytové výstavby; neprokazujeme, že zachování bylo levnější nebo výhodnější. V lednu 2026 tito kandidáti podpořili zrušení starého privatizačního postupu. Dnešní program může být změnou politiky. Výtka hodnotí tehdejší nevyužití vlastního hlasu ve prospěch nyní slibovaného zachování domů, nikoli prokázané porušení totožného staršího slibu, lež nebo neschopnost stavět byty."", ""references"": [{""source"": ""ea80e5751d173075"", ""locator"": ""PDF s. 7 – jmenná tabulka hlasování rady dne 5. 3. 2025""}, {""source"": ""ea80e5751d173075"", ""locator"": ""PDF s. 4–5 – stav domů a ekonomické důvody prodeje""}, {""source"": ""51e4b76cc1f5ba4c"", ""locator"": ""jmenný protokol Z9-25-057 ze dne 25. 3. 2025""}, {""source"": ""e988b29ad183637c"", ""locator"": ""PDF s. 27 – schválení prodeje""}, {""source"": ""52f247a38ab38f70"", ""locator"": ""PDF s. 4 – uskutečněný prodej, příjem 5. 6. 2025 a návrh převodu do FBV""}, {""source"": ""00986cd445f58d56"", ""locator"": ""členové rady""}, {""source"": ""4a768991f20ccd16"", ""locator"": ""bytová a majetková gesce Podivinské""}], ""decision_kind"": ""vlastni_souhlas_s_prodejem""}","Tehdejší hlas změnit nelze. Výklad by změnil důkaz chybného přiřazení osoby, právní vázanosti jejího rozhodnutí nebo výslovné výjimky v dnešním slibu; nové rozhodování ukáže, zda byla změna politiky uskutečněna.",https://www.brnoblizlidem.cz/plan-pro-brno/,bydlení – do čtyř let,bcabc7c6ac31af4e;45bee869fd2c38ad;54680ebc827751f8;67608a0aa50e0c9a;92070caf8da6904e;e4f8e48e77fd9841;e13ec4718d18eb51;00986cd445f58d56;ea80e5751d173075;ea80e5751d173075;ea80e5751d173075;51e4b76cc1f5ba4c;e988b29ad183637c;52f247a38ab38f70;00986cd445f58d56;4a768991f20ccd16,Z9-25-057;Z9-32-036;Z9-36-071,2026-09-20
K02-05,2,Lidovci a Starostové,"Dokončit nový, třetí kotel brněnské spalovny městské odpadové společnosti SAKO, která z odpadu vyrábí teplo a elektřinu.",podlozeno,Podloženo činy,"Městská odpadová společnost SAKO už oznámila smlouvu na modernizaci spalovny s novým kotlem za 5,4 mld. Kč a podporu z fondu; to dokládá postup projektu, ale ne dokončenou stavbu ani osobní zásluhu každé kampaně.","Osobní hlasy uvedené níže ukazují, zda kandidáti chtěli o SAKO hlasovat veřejně, nebo tajně. Neprozrazují, jak potom tajně hlasovali o samotném rozhodnutí. Postup stavby dokládá samostatné oznámení společnosti SAKO o podpisu smlouvy.","Město jako vlastník ovlivňuje své firmy. Stavby a změny cen ale vyžadují také rozhodnutí firmy, zajištěné peníze a dodržení pravidel pro zakázky a ceny.","Městská odpadová společnost SAKO provozuje brněnskou spalovnu, která z odpadu vyrábí teplo a elektřinu. Oznámila podepsanou smlouvu na modernizaci za 5,4 mld. Kč a podporu z Modernizačního fondu; dřívější sdělení uvádělo dokončení v květnu 2028. Nový kotel tedy není jen volební nápad. Zbývá ověřit dodržování termínů a finanční rizika; oznámení firmy není nezávislou kontrolou projektu.",Dnešní kandidáti mají zkušenost s prosazováním rozpočtu a bytových projektů; to neprokazuje většinu pro nový tarif MHD.,"Odmítnutí tajné volby je doložené, následný tajný hlas jednotlivců však neznáme.",Lidé ve vedení města v období 2022–2026,"Lidovci a Starostové byli součástí koalice. Z dnešních kandidátů jsou v radě Filip Chvátal, Irena Matonohová a Petr Bořecký, který má na starosti zapojování obyvatel do rozhodování; na začátku období byl do vedení uveden i Jaroslav Suchý. Mají odpovědnost za vlastní hlasování rady a koaliční rozhodování, neměli však sami většinu a neodpovídali za všechny oblasti městské správy.",,"Zrušení smlouvy, nezajištěné financování nebo zásadní skluz by oporu oslabily; ověřené plnění milníků a dokončení by ji posílily.",https://www.brnoblizlidem.cz/plan-pro-brno/,levnější energie,cad8eb04b0609826;88da08b32dbbccce;e4f8e48e77fd9841;92070caf8da6904e;e13ec4718d18eb51;00986cd445f58d56;ea80e5751d173075,Z9-11-007,2026-09-20
K02-06,2,Lidovci a Starostové,"Do dvou let zavést systém, v němž každý podnět dostane odpověď, termín a odpovědnou osobu.",bez_opory,Jen kydy!,"Slib má termín i požadovaný výsledek, ale nemáme doložený systém odpovědností, personální plán ani dosavadní splnění této garance.",Přímý celoměstský výsledek odpovídající této garanci není v ověřeném výběru doložen.,Městské zastupitelstvo může změnit rozpočet a financovat městské služby. Konkrétní výdaj potřebuje schválení a opakované krytí v dalších letech.,"Program do dvou let slibuje odpověď, termín a odpovědnou osobu u každého podnětu. Rozhodující bude evidence, personální kapacita a zveřejnění plnění.",Dnešní kandidáti mají zkušenost s prosazováním rozpočtu a bytových projektů; to neprokazuje většinu pro nový tarif MHD.,"Jde o organizační změnu, ne o slib závislý na státní megastavbě.",Lidé ve vedení města v období 2022–2026,"Lidovci a Starostové byli součástí koalice. Z dnešních kandidátů jsou v radě Filip Chvátal, Irena Matonohová a Petr Bořecký, který má na starosti zapojování obyvatel do rozhodování; na začátku období byl do vedení uveden i Jaroslav Suchý. Mají odpovědnost za vlastní hlasování rady a koaliční rozhodování, neměli však sami většinu a neodpovídali za všechny oblasti městské správy.",,"Veřejná pravidla lhůt, odpovědností a statistiky vyřízení.",https://www.brnoblizlidem.cz/plan-pro-brno/,"Město, které komunikuje – Do 2 let",e4f8e48e77fd9841;e13ec4718d18eb51;00986cd445f58d56;ea80e5751d173075,,2026-09-20
K03-01,3,ZELENÉ BRNO,Opravit přibližně 800 bytů; na konci období dosáhnout výstavby 300 až 400 nových bytů ročně.,podminene,Podmíněně proveditelné,Jana Drápalová upozornila na chybu v počtu prázdných městských bytů a spolupodepsala smlouvu na stavbu 353 bytů v projektu Kamenný vrch II; pro všechny slíbené opravy a nové byty ale ještě chybí úplný plán.,"Jana Drápalová v lednu 2026 upozornila na nesprávný součet neobsazených bytů; březnová odpověď obsahuje opravenou tabulku. Jana Drápalová jako starostka Nového Lískovce spolupodepsala smlouvu na Kamenný vrch; jde o konkrétní jinou veřejnou roli, ne samostatný audit městské části.","Město může investovat do vlastního bydlení, rozhodovat o majetku a pravidlech; u městských bytů spravovaných městskými částmi musí zapojit i jejich vedení. Soukromou výstavbu nemůže jednoduše nařídit.","Tempo 300–400 nových bytů se vztahuje až ke konci období. Nejde o 400 bytů každý rok. U oprav záleží na technickém stavu a spolupráci městských částí. V červenci 2026 byla oznámena podepsaná smlouva se zhotovitelem 353 bytů v projektu Kamenný vrch II; projekt má tedy i realizační krok, nikoliv jen politický příslib.","Natálie Vencovská preferuje spolupráci s Piráty, Lidovci a Starosty a Za Lužánky; odmítá SPD a Motoristy. Zatím nevíme, zda preferovaní partneři získají dohromady většinu zastupitelů.","Kontrola dat je konkrétní práce, sama ale nové byty nepostaví.",V období 2022–2026 v městské opozici,"Zelení s Žít Brno nebyli součástí městské koalice ustavené v roce 2022. Jejich zastupitelé mohli navrhovat, kontrolovat a hlasovat, nemohli však sami řídit město. U Jany Drápalové odděleně dokládáme roli starostky Nového Lískovce; pravomoc městské části není pravomoc nad celým Brnem.",,"Projektový seznam, financování a každoroční rozlišení oprav, zahájených a dokončených bytů.",https://www.zelenebrno.cz/program/dostupne-bydleni-a-vystavba/,závazky kapitoly 01,45bee869fd2c38ad;67608a0aa50e0c9a;92070caf8da6904e;e4f8e48e77fd9841;e13ec4718d18eb51;67608a0aa50e0c9a,,2026-09-20
K03-02,3,ZELENÉ BRNO,"Rozšířit bezplatnou MHD pro děti do 15 let, studenty do 26 let a seniory od 65 let.",podminene,Podmíněně proveditelné,"Bezplatnou přepravu lze rozšířit v existujícím tarifním systému, podmínkou je vyčíslit a uhradit nové slevy pro všechny uvedené skupiny.",Přímý osobní návrh nebo realizovaný výsledek odpovídající tomuto slibu nebyl v ověřeném výběru doložen; nejde o důkaz nečinnosti.,"Město ovlivňuje vlastní dopravu a její financování. Ceny a pravidla jízdného společného pro Brno a kraj, regionální spoje a státní stavby musí řešit i s krajem, dopravci nebo státem.","Dnes má část těchto cestujících snížený tarif a někteří již jezdí zdarma. Je nutné počítat jen nové slevy, jejich věkové hranice a rozsah zón.","Natálie Vencovská preferuje spolupráci s Piráty, Lidovci a Starosty a Za Lužánky; odmítá SPD a Motoristy. Zatím nevíme, zda preferovaní partneři získají dohromady většinu zastupitelů.",Existující systém slev usnadňuje provedení; nejde o technicky nový způsob přepravy.,V období 2022–2026 v městské opozici,"Zelení s Žít Brno nebyli součástí městské koalice ustavené v roce 2022. Jejich zastupitelé mohli navrhovat, kontrolovat a hlasovat, nemohli však sami řídit město. U Jany Drápalové odděleně dokládáme roli starostky Nového Lískovce; pravomoc městské části není pravomoc nad celým Brnem.",,Ověřený propočet nově zvýhodněných cestujících a schválená kompenzace.,https://www.zelenebrno.cz/program/bezpecna-doprava/,závazky kapitoly 02,0f370d838d2a82a6;92070caf8da6904e;0f370d838d2a82a6;e13ec4718d18eb51;67608a0aa50e0c9a,,2026-09-20
K03-03,3,ZELENÉ BRNO,Nikdy nepodpořit tajné hlasování v zastupitelstvu.,podlozeno,Podloženo činy,"Jana Drápalová a Jasna Flamiková už hlasovaly proti tomu, aby se hlasovalo tajně a veřejnost neviděla rozhodnutí jednotlivých zastupitelů; to podporuje dnešní slib, ale dokládá jednání těchto dvou lidí v konkrétním případě.","Jana Drápalová a Jasna Flamiková 18. 10. 2023 odmítly, aby hlasování o městské odpadové společnosti SAKO bylo tajné. Matouš Vencálek tehdy ještě nebyl zastupitelem. Záznam ukazuje postoj k utajení, ne to, jak kdo následně tajně hlasoval.","Zastupitel může přímo ovlivnit vlastní hlas. Změna městských pravidel, zadání auditu nebo zveřejňování dalších údajů potřebuje podporu rady nebo zastupitelstva podle toho, kdo o věci rozhoduje.",Vlastní hlas mají případní zastupitelé pod kontrolou a nepotřebují rozpočtovou většinu. Silný důkaz pro chování dvou lidí není zárukou jednání všech nově zvolených.,"Natálie Vencovská preferuje spolupráci s Piráty, Lidovci a Starosty a Za Lužánky; odmítá SPD a Motoristy. Zatím nevíme, zda preferovaní partneři získají dohromady většinu zastupitelů.","Z tohoto důkazu nelze vyvodit, jak někdo hlasoval v následném tajném hlasování.",V období 2022–2026 v městské opozici,"Zelení s Žít Brno nebyli součástí městské koalice ustavené v roce 2022. Jejich zastupitelé mohli navrhovat, kontrolovat a hlasovat, nemohli však sami řídit město. U Jany Drápalové odděleně dokládáme roli starostky Nového Lískovce; pravomoc městské části není pravomoc nad celým Brnem.",,"Pokud by příště podpořily utajení hlasování, opora slibu by zeslábla; další veřejné hlasy nově zvolených by umožnily ověřit i ostatní kandidáty.",https://www.zelenebrno.cz/program/otevrena-radnice-a-dobre-hospodareni/,bod 9.1.1,e4f8e48e77fd9841;e13ec4718d18eb51;67608a0aa50e0c9a,Z9-11-007,2026-09-20
K03-04,3,ZELENÉ BRNO,"Navýšit rozpočet Dáme na vás, v němž obyvatelé navrhují a hlasováním vybírají městské projekty, na 50 milionů Kč ročně.",podminene,Podmíněně proveditelné,"Obyvatelé už mohou přes Dáme na vás vybírat projekty placené městem, ale slíbených 50 milionů ročně musí zastupitelé teprve vyčlenit v rozpočtu.",Zřízení fondu pro Dáme na vás v roce 2024 vytvořilo způsob správy peněz na projekty obyvatel. Samo o sobě nedokládá schválení slíbené roční částky 50 milionů Kč.,Městské zastupitelstvo může změnit rozpočet a financovat městské služby. Konkrétní výdaj potřebuje schválení a opakované krytí v dalších letech.,"Je třeba rozlišit peníze vyčleněné na nové návrhy v daném roce a platby za dříve vybrané projekty. Vyšší částka se musí vejít do rozpočtu vedle bydlení, dopravy a dalších služeb.","Natálie Vencovská preferuje spolupráci s Piráty, Lidovci a Starosty a Za Lužánky; odmítá SPD a Motoristy. Zatím nevíme, zda preferovaní partneři získají dohromady většinu zastupitelů.","Systém, v němž obyvatelé vybírají městské projekty, už existuje; to ale nedokládá slíbené zvýšení jeho rozpočtu.",V období 2022–2026 v městské opozici,"Zelení s Žít Brno nebyli součástí městské koalice ustavené v roce 2022. Jejich zastupitelé mohli navrhovat, kontrolovat a hlasovat, nemohli však sami řídit město. U Jany Drápalové odděleně dokládáme roli starostky Nového Lískovce; pravomoc městské části není pravomoc nad celým Brnem.",,Schválená roční částka 50 mil. Kč a pravidla započítávání projektů.,https://www.zelenebrno.cz/program/otevrena-radnice-a-dobre-hospodareni/,závazky kapitoly 09,e4f8e48e77fd9841;e13ec4718d18eb51;67608a0aa50e0c9a,Z9-20-042,2026-09-20
K03-06,3,ZELENÉ BRNO,"Rozvíjet zeleň, zadržování vody a stín ve městě.",bez_opory,Jen kydy!,"Tento obecný slib nemá v rozboru doložený rozsah výsadeb, rozpočet péče ani měření výsledného stínu.",Přímý souhrnný výsledek odpovídající této formulaci nebyl v podkladech prokázán.,"Město může upravovat své veřejné prostory a financovat údržbu. Zásahy do ulic závisí také na správě sítí, vlastnictví pozemků a povolování.","Samotný počet vysazených stromů není plocha skutečného stínu; ověření vyžaduje místa výsadby, přežití stromů a péči.","Natálie Vencovská preferuje spolupráci s Piráty, Lidovci a Starosty a Za Lužánky; odmítá SPD a Motoristy. Zatím nevíme, zda preferovaní partneři získají dohromady většinu zastupitelů.",Podrobná kapitola obsahuje konkrétnější nástroje; hodnotíme jen tento vybraný hlavní směr.,V období 2022–2026 v městské opozici,"Zelení s Žít Brno nebyli součástí městské koalice ustavené v roce 2022. Jejich zastupitelé mohli navrhovat, kontrolovat a hlasovat, nemohli však sami řídit město. U Jany Drápalové odděleně dokládáme roli starostky Nového Lískovce; pravomoc městské části není pravomoc nad celým Brnem.",,"Seznam ulic, rozpočet péče a měření stínu.",https://www.zelenebrno.cz/program/,"kapitola 04 Zeleň, voda a stín ve městě",92070caf8da6904e;e13ec4718d18eb51;67608a0aa50e0c9a,,2026-09-20
