cislo_listiny,listina,kratky_nazev,lidr,kandidatu,soucasnych_zastupitelu,drzitelu_mandatu_2022_2026,s_hlasovacim_zaznamem,pokryti_kampane,shrnuti,zdroj_ids,pocet_vybranych_tvrzeni,kandidati_zdroj_id,stav_ke_dni
1,Sociální demokracie,SOCDEM,Zdeněk Slavík,55,0,0,0,Priority oznámené v srpnu; úplný celoměstský program nenalezen,"Vlastní zpráva strany z 11. 8. 2026 uvádí zdravotnictví, školství a služby občanům. Starý klub ČSSD se nesmí přičítat nové kandidátce: žádný ze tří tehdejších zastupitelů na ní nyní není.",2f2cd4e0729b1211,1,73b68b4ff9d559e8,2026-09-19
2,Lidovci a Starostové – Brno blíž lidem,Lidovci a Starostové,Jakub Hruška,55,10,12,11,Celoměstský program 2026,"Program rozlišuje úkoly do dvou a čtyř let. Obsahuje levnější MHD, nové a opravené byty, audit družstevního bydlení a kontrolu velkých investic.",a5c21a6ba96acdd7,5,73b68b4ff9d559e8,2026-09-19
3,"ZELENÉ BRNO (Zelení, Žít Brno, SEN 21, LES, Volt, Budoucnost, Kruh)",ZELENÉ BRNO,Natálie Vencovská,55,3,3,3,Celoměstský program 2026; PDF a 11 kapitol,"Program zdůrazňuje opravy bytů, bezpečné ulice, zeleň a otevřenost. Číselné závazky doprovází termíny; odmítání tajných hlasování lze přímo porovnat s rokem 2023.",7a6b0de97db9da61,5,73b68b4ff9d559e8,2026-09-19
4,ANO 2011,ANO,Václav Trojan,55,1,3,3,Celoměstský program 2026,"Program zahrnuje bydlení, dopravu včetně lanovky a školní sport. Hlasovací historie nynějších kandidátů je personálně výrazně užší než někdejší třináctičlenný klub ANO.",08614cda1a445d8c,3,73b68b4ff9d559e8,2026-09-19
5,Za Lužánky,Za Lužánky,Jana Tichá Janulíková,55,1,1,1,Celoměstský program 2026,"Vedle stadionu uvádí bydlení, dopravu, kulturu, majetek a otevřenou správu. Z končícího městského zastupitelstva kandiduje Tomáš Koláčný.",bf1d45a61931b218,2,73b68b4ff9d559e8,2026-09-19
6,"ODS, TOP 09 a nezávislí","ODS, TOP 09 a nezávislí",Kamila Zlatušková,55,11,11,11,Celoměstský program 2026; úvod a 10 kapitol,"Kampaň deklaruje návaznost na dosavadní rozvoj, ale s novou lídryní Kamilou Zlatuškovou. Podporuje bydlení, sportovní a kulturní infrastrukturu a dopravní investice.",ac3bdecd898a2937,5,73b68b4ff9d559e8,2026-09-19
7,Restart pro Brno,Restart pro Brno,Martin Říha,55,0,0,0,Celoměstský program 2026; osm kapitol,"Prioritami jsou dostupné bydlení, bezpečnost, doprava a sociální služby. Na kandidátce není žádný držitel celoměstského mandátu z období 2022–2026.",10ee956abb50aa0e,3,73b68b4ff9d559e8,2026-09-19
8,Brnoklidem,Brnoklidem,Karin Podivinská Karasová,55,9,9,9,Celoměstský program 2026,"Program staví na městském a družstevním bydlení, péči o veřejný prostor a pokračování projektů. Na listině je osm lidí s mandátem odvozeným od ANO 2022 a Petr Levíček z tehdejší společné listiny SPD a dalších.",bc367294a3a2b4cb,3,73b68b4ff9d559e8,2026-09-19
9,Motoristé sobě,Motoristé,Tomáš Kratochvíl,55,0,0,0,Celostátní komunální priority a představení brněnského lídra,"Doloženy jsou priority dopravy, bezpečnosti, hospodaření a podnikání. Samostatný podrobný brněnský program nebyl v ověřených zdrojích dohledán. Tomáš Kratochvíl není městský radní Petr Kratochvíl.",35b44e8f185e7ebb;745504fac9517dc9,1,73b68b4ff9d559e8,2026-09-19
10,"Demokratická strana zelených - ZA PRÁVA ZVÍŘAT, sdružení DSZ - ZA PRÁVA ZVÍŘAT a NK",DSZ – Za práva zvířat,Ivona Galová,3,0,0,0,"Celostátní komunální prohlášení 13. 8. 2026, výslovně zahrnuje Brno","Prohlášení se věnuje ochraně zvířat, útulkům, kastracím a pyrotechnice. Nejde o samostatně formulovaný brněnský program. Listina má tři kandidátky; s koalicí ZELENÉ BRNO jde o odlišné uskupení.",d719a868b3bfdf9b,2,73b68b4ff9d559e8,2026-09-19
