tvrzeni_id,cislo_listiny,tema,tvrzeni_parafraze,zdroj_id,lokator,hlasovani_ids,vztah_k_hlasovani,poznamka,zdroj_url,overeno_ke_dni,typ_zdroje,primy_doklad_minuleho_hlasu
K01-01,1,Veřejné služby,"Zaměřit se na zdravotnictví, školství a služby občanům.",2f2cd4e0729b1211,zpráva 11. 8. 2026,,Nový závazek; samotné minulé hlasování jej neověří,"Doloženy oznámené priority, nikoliv úplný program nebo kvantifikované závazky.",https://socdem.cz/en/akt-aktuality/socialni-demokracie-jde-v-brne-znovu-do-boje/,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K02-01,2,MHD,"Roční jízdné pro dospělé s trvalým pobytem 1 000 Kč, pro studenty 500 Kč; děti a senioři zdarma.",a5c21a6ba96acdd7,část o levnější MHD,,Nový závazek; samotné minulé hlasování jej neověří,Kampaň financování podmiňuje získáním dalších trvale přihlášených obyvatel; minulé schválení celého rozpočtu tuto cenu nedokládá.,https://www.brnoblizlidem.cz/plan-pro-brno/,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K02-02,2,Bydlení,Do čtyř let opravit 800 prázdných bytů a pomocí PPP a modulární výstavby postavit až 1 000 nových.,a5c21a6ba96acdd7,bydlení – do čtyř let,,Nový závazek; samotné minulé hlasování jej neověří,Opravy a novostavby jsou dvě různé veličiny.,https://www.brnoblizlidem.cz/plan-pro-brno/,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K02-03,2,Bydlení a majetek,Ukončit prodej bytových domů.,a5c21a6ba96acdd7,bydlení a investice,Z9-23-052;Z9-25-057;Z9-32-036,Napětí vůči části minulých hlasů; zároveň již přijatý dílčí krok,"Osm nynějších kandidátů podpořilo Dornych 29/31. V lednu 2026 osm podpořilo zrušení starého privatizačního postupu; další dva byli přítomni bez hlasu, resp. nepřítomni. Budoucí závazek sám neprokazuje lež o minulosti.",https://www.brnoblizlidem.cz/plan-pro-brno/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K02-04,2,Bydlení,Provést audit družstevního bydlení.,a5c21a6ba96acdd7,družstevní bydlení,Z9-26-063;Z9-36-071,"Požadavek na kontrolu projektu, který kandidáti dříve podporovali",Osm nynějších kandidátů podpořilo červnový výběr banky. Podpora financování a požadavek auditu se nevylučují.,https://www.brnoblizlidem.cz/plan-pro-brno/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K02-05,2,SAKO,Dokončit třetí kotel SAKO.,a5c21a6ba96acdd7,levnější energie,Z9-11-007,Doložen postoj k proceduře; konečné hlasy byly převážně tajné,Osm tehdejších zastupitelů na nynější listině bylo proti tajné volbě. Z toho nelze vyvodit jejich následný tajný hlas.,https://www.brnoblizlidem.cz/plan-pro-brno/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K03-01,3,Bydlení,Opravit přibližně 800 bytů; na konci období dosáhnout výstavby 300 až 400 nových bytů ročně.,21e4512b441a968a,závazky kapitoly 01,,Nový závazek; samotné minulé hlasování jej neověří,Roční tempo na konci období není závazek postavit 400 bytů v každém ze čtyř let.,https://www.zelenebrno.cz/program/dostupne-bydleni-a-vystavba/,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K03-02,3,MHD,"Rozšířit bezplatnou MHD pro děti do 15 let, studenty do 26 let a seniory od 65 let.",9d37f12bf9c84ce4,závazky kapitoly 02,,Nový závazek; samotné minulé hlasování jej neověří,,https://www.zelenebrno.cz/program/bezpecna-doprava/,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K03-03,3,Otevřenost,Nikdy nepodpořit tajné hlasování v zastupitelstvu.,b1601a4c78eb08d6,bod 9.1.1,Z9-11-007,Soulad dostupných osobních hlasů,Jana Drápalová a Jasna Flamiková byly proti tajné volbě. Matouš Vencálek v roce 2023 neměl mandát.,https://www.zelenebrno.cz/program/otevrena-radnice-a-dobre-hospodareni/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K03-04,3,Participace,Zvýšit participativní rozpočet Dáme na vás na 50 mil. Kč.,b1601a4c78eb08d6,závazky kapitoly 09,Z9-20-042,Pouze tematická souvislost,Zřízení fondu v roce 2024 není hlas o budoucí částce 50 milionů.,https://www.zelenebrno.cz/program/otevrena-radnice-a-dobre-hospodareni/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
