hlasovani_id,zasedani,cislo,datum,predmet,vysledek,zdroj_id,url,pritomno,ano,ne,zdrzel_se,nehlasoval,kontrola,omezeni,platnost_dle_zapisu,pouzitelne_pro_statistiky,tema,vyznam_ano,mez_interpretace,zapis_zdroj_id,zapis_pdf_strana
Z9-03-064,Z9/03,64,2022-12-13,48. Návrh rozpočtu statutárního města Brna na rok 2023,Přijato,4faa94e1033d1917,https://apl.brno.cz/protokoly-zmb/zmb-z9-03/20221213-64-42181.html,52,40,5,7,0,ok,,není označeno jako neplatné,ano,Finance,Schválit rozpočet 2023,Souhlas s celým rozpočtem neprokazuje souhlas s každou dílčí položkou.,31d42a3a0b7a27be,42
Z9-08-094,Z9/08,94,2023-06-20,24. Multifunkční sportovní a kulturní hala ve městě Brně – návrh úvěrové a finanční dokumentace,Přijato,64a4f89ad9c902ce,https://apl.brno.cz/protokoly-zmb/zmb-z9-08/20230620-94-38788.html,53,40,3,9,1,ok,,není označeno jako neplatné,ano,Aréna,Schválit finanční dokumentaci multifunkční haly,Nejde o původní rozhodnutí zahájit celý projekt ani konečný účet stavby.,1b7d3b44f9e1e083,53
Z9-09-016,Z9/09,16,2023-09-05,12. Pravidla pro zveřejňování otevřených dat městských společností – návrh předchozího souhlasu s udělením koncernového pokynu,Přijato,ec4090e61b65ea5f,https://apl.brno.cz/protokoly-zmb/zmb-z9-09/20230905-16-33065.html,51,49,0,2,0,ok,,není označeno jako neplatné,ano,Otevřenost,Souhlasit s pravidly zveřejňování otevřených dat městských společností,Schválení pravidel samo nedokládá jejich úplné plnění.,3662325cd3a42957,16
Z9-11-007,Z9/11,7,2023-10-18,"3. Projekt OHB II – linka K1 – poskytnutí informací od obchodní společnosti SAKO Brno, a. s., návrh koncernových pokynů - tajné hlasování o variantním návrhu usnesení",Přijato,316596c68d910dc3,https://apl.brno.cz/protokoly-zmb/zmb-z9-11/20231018-7-47404.html,51,28,14,6,3,ok,,není označeno jako neplatné,ano,SAKO a otevřenost,Použít tajné hlasování o variantním usnesení k SAKO,"Tento hlas neurčuje, jak člověk následně hlasoval v tajné volbě.",8b2034d2529405ca,36
Z9-13-026,Z9/13,26,2023-12-12,14. Návrh rozpočtu statutárního města Brna na rok 2024,Přijato,570defb94e215f28,https://apl.brno.cz/protokoly-zmb/zmb-z9-13/20231212-26-37854.html,54,41,2,10,1,ok,,není označeno jako neplatné,ano,Finance,Schválit rozpočet 2024,Souhrnný rozpočet; nelze z něj odvodit postoj ke každému projektu.,1f55fba1fd91456a,28
Z9-17-060,Z9/17,60,2024-05-14,53. Návrh změny Pravidel pronájmu bytů v domech v majetku statutárního města Brna a jejich Přílohy č. 1 Statut sociálního bytu a Přílohy č. 2 Statut startovacího bytu,Přijato,cfa5c2b525403a11,https://apl.brno.cz/protokoly-zmb/zmb-z9-17/20240514-60-36323.html,46,43,0,0,3,ok,,není označeno jako neplatné,ano,Bydlení,Schválit změny pravidel nájmu včetně startovacích a sociálních bytů,Změna pravidel není počet nově postavených bytů.,7ebec469c9c23f69,40
Z9-18-088,Z9/18,88,2024-06-18,"11. Projekt ""Přestavba železničního uzlu Brno"" – majetkoprávní vypořádání se společností ČSAD Brno holding, a. s.– koncernový pokyn společnosti Brněnské komunikace a. s.",Přijato,1d4b26db3428b0ab,https://apl.brno.cz/protokoly-zmb/zmb-z9-18/20240618-88-47355.html,46,29,11,1,5,ok,,není označeno jako neplatné,ano,Nádraží a majetek,Souhlasit s koncernovým pokynem k majetkovému vypořádání ČSAD pro železniční uzel,Konkrétní majetkový krok; nejde o nové rozhodnutí o poloze nádraží.,aeee21aca2ee1a98,70
Z9-18-115,Z9/18,115,2024-06-18,168. Změna parametrů „Rodičovských voucherů“ s účinností od 1. 7. 2024,Přijato,ea6647a97f9c89d5,https://apl.brno.cz/protokoly-zmb/zmb-z9-18/20240618-115-53949.html,44,38,0,4,2,ok,,není označeno jako neplatné,ano,Děti a sport,Změnit parametry rodičovských voucherů od 1. 7. 2024,"Hlas o tehdejší podobě programu, nikoliv automaticky o slibovaných částkách pro rok 2026.",aeee21aca2ee1a98,107
Z9-19-005,Z9/19,5,2024-09-10,"5. Kvalifikovaná žádost občanů dle § 16 odst. 2 písm. f) zákona o obcích – projekt ""Lanová dráha Pisárky-Kampus"" - hlasování o návrhu pí Flamikové",Nepřijato,d4184f30d47e2a2e,https://apl.brno.cz/protokoly-zmb/zmb-z9-19/20240910-5-31359.html,51,14,3,16,18,ok,,není označeno jako neplatné,ano,Lanovka a otevřenost,Uložit veřejné projednání analýz lanovky podle návrhu Jasny Flamikové,Není to hlas o výstavbě nebo zastavení lanovky.,7a2e7987609bcbd0,13
Z9-19-006,Z9/19,6,2024-09-10,"5. Kvalifikovaná žádost občanů dle § 16 odst. 2 písm. f) zákona o obcích – projekt ""Lanová dráha Pisárky-Kampus""",Přijato,bf1d0a52917d5107,https://apl.brno.cz/protokoly-zmb/zmb-z9-19/20240910-6-31417.html,51,48,0,2,1,ok,,není označeno jako neplatné,ano,Lanovka,Vzít na vědomí petici proti lanovce,Vzetí petice na vědomí neznamená souhlas s jejím požadavkem.,7a2e7987609bcbd0,13
