hlasovani_id,zapis_soucty,protokol_soucty,kontrola,zdroj_zapisu
Z9-01-001,"(53, 0, 0, 1)","(53, 0, 0, 1)",shoda,36036d38da50510d
Z9-01-002,"(54, 0, 0, 0)","(54, 0, 0, 0)",shoda,36036d38da50510d
Z9-01-003,"(54, 0, 0, 0)","(54, 0, 0, 0)",shoda,36036d38da50510d
Z9-01-004,"(53, 0, 0, 1)","(53, 0, 0, 1)",shoda,36036d38da50510d
Z9-01-005,"(47, 0, 7, 0)","(47, 0, 7, 0)",shoda,36036d38da50510d
Z9-01-006,"(45, 0, 7, 2)","(45, 0, 7, 2)",shoda,36036d38da50510d
Z9-01-007,"(53, 0, 1, 0)","(53, 0, 1, 0)",shoda,36036d38da50510d
Z9-01-009,"(42, 5, 7, 0)","(42, 5, 7, 0)",shoda,36036d38da50510d
Z9-01-010,"(42, 5, 7, 0)","(42, 5, 7, 0)",shoda,36036d38da50510d
Z9-01-011,"(46, 5, 3, 0)","(46, 5, 3, 0)",shoda,36036d38da50510d
Z9-01-012,"(42, 5, 7, 0)","(42, 5, 7, 0)",shoda,36036d38da50510d
Z9-01-013,"(42, 6, 6, 0)","(42, 6, 6, 0)",shoda,36036d38da50510d
Z9-01-014,"(41, 5, 7, 1)","(41, 5, 7, 1)",shoda,36036d38da50510d
Z9-01-015,"(43, 6, 5, 0)","(43, 6, 5, 0)",shoda,36036d38da50510d
Z9-01-016,"(42, 3, 7, 2)","(42, 3, 7, 2)",shoda,36036d38da50510d
Z9-01-017,"(41, 5, 6, 2)","(41, 5, 6, 2)",shoda,36036d38da50510d
Z9-01-018,"(41, 5, 7, 1)","(41, 5, 7, 1)",shoda,36036d38da50510d
Z9-01-019,"(43, 5, 5, 1)","(43, 5, 5, 1)",shoda,36036d38da50510d
Z9-01-020,"(42, 0, 11, 1)","(42, 0, 11, 1)",shoda,36036d38da50510d
Z9-01-021,"(41, 5, 7, 1)","(41, 5, 7, 1)",shoda,36036d38da50510d
Z9-01-022,"(4, 12, 30, 5)","(4, 12, 30, 5)",shoda,36036d38da50510d
Z9-01-023,"(43, 1, 3, 5)","(43, 1, 3, 5)",shoda,36036d38da50510d
Z9-01-024,"(53, 0, 1, 0)","(53, 0, 1, 0)",shoda,36036d38da50510d
Z9-01-025,"(52, 0, 0, 2)","(52, 0, 0, 2)",shoda,36036d38da50510d
Z9-01-026,"(44, 1, 8, 0)","(44, 1, 8, 0)",shoda,36036d38da50510d
Z9-01-027,"(47, 0, 7, 0)","(47, 0, 7, 0)",shoda,36036d38da50510d
Z9-01-028,"(53, 0, 1, 0)","(53, 0, 1, 0)",shoda,36036d38da50510d
Z9-01-029,"(45, 0, 5, 3)","(45, 0, 5, 3)",shoda,36036d38da50510d
Z9-01-030,"(54, 0, 0, 0)","(54, 0, 0, 0)",shoda,36036d38da50510d
Z9-01-031,"(47, 2, 5, 0)","(47, 2, 5, 0)",shoda,36036d38da50510d
Z9-01-032,"(46, 0, 8, 0)","(46, 0, 8, 0)",shoda,36036d38da50510d
Z9-01-033,"(53, 0, 1, 0)","(53, 0, 1, 0)",shoda,36036d38da50510d
Z9-01-034,"(53, 0, 1, 0)","(53, 0, 1, 0)",shoda,36036d38da50510d
Z9-01-035,"(54, 0, 0, 0)","(54, 0, 0, 0)",shoda,36036d38da50510d
Z9-01-036,"(47, 1, 5, 1)","(47, 1, 5, 1)",shoda,36036d38da50510d
Z9-01-037,"(47, 2, 5, 0)","(47, 2, 5, 0)",shoda,36036d38da50510d
Z9-01-038,"(52, 0, 0, 2)","(52, 0, 0, 2)",shoda,36036d38da50510d
Z9-01-039,"(49, 0, 4, 1)","(49, 0, 4, 1)",shoda,36036d38da50510d
Z9-01-040,"(48, 0, 6, 0)","(48, 0, 6, 0)",shoda,36036d38da50510d
Z9-04-001,"(48, 0, 0, 1)","(48, 0, 0, 1)",shoda,a43c0850f687c0a3
Z9-04-002,"(40, 0, 7, 5)","(40, 0, 7, 5)",shoda,a43c0850f687c0a3
Z9-04-003,"(50, 0, 0, 2)","(50, 0, 0, 2)",shoda,a43c0850f687c0a3
Z9-04-004,"(50, 0, 2, 0)","(50, 0, 2, 0)",shoda,a43c0850f687c0a3
Z9-04-005,"(51, 0, 0, 1)","(51, 0, 0, 1)",shoda,a43c0850f687c0a3
Z9-04-006,"(51, 0, 1, 0)","(51, 0, 1, 0)",shoda,a43c0850f687c0a3
Z9-04-007,"(52, 0, 0, 0)","(52, 0, 0, 0)",shoda,a43c0850f687c0a3
Z9-04-008,"(51, 0, 0, 1)","(51, 0, 0, 1)",shoda,a43c0850f687c0a3
Z9-04-009,"(48, 0, 0, 4)","(48, 0, 0, 4)",shoda,a43c0850f687c0a3
Z9-04-010,"(50, 0, 2, 0)","(50, 0, 2, 0)",shoda,a43c0850f687c0a3
Z9-04-011,"(52, 0, 0, 0)","(52, 0, 0, 0)",shoda,a43c0850f687c0a3
Z9-04-012,"(46, 0, 6, 0)","(46, 0, 6, 0)",shoda,a43c0850f687c0a3
Z9-04-013,"(51, 0, 0, 1)","(51, 0, 0, 1)",shoda,a43c0850f687c0a3
Z9-04-014,"(46, 0, 6, 0)","(46, 0, 6, 0)",shoda,a43c0850f687c0a3
Z9-04-015,"(46, 0, 6, 0)","(46, 0, 6, 0)",shoda,a43c0850f687c0a3
Z9-04-016,"(52, 0, 0, 0)","(52, 0, 0, 0)",shoda,a43c0850f687c0a3
Z9-04-017,"(51, 0, 1, 0)","(51, 0, 1, 0)",shoda,a43c0850f687c0a3
Z9-04-018,"(52, 0, 0, 0)","(52, 0, 0, 0)",shoda,a43c0850f687c0a3
Z9-04-019,"(51, 0, 0, 1)","(51, 0, 0, 1)",shoda,a43c0850f687c0a3
Z9-04-020,"(45, 0, 6, 1)","(45, 0, 6, 1)",shoda,a43c0850f687c0a3
Z9-04-021,"(43, 0, 6, 4)","(43, 0, 6, 4)",shoda,a43c0850f687c0a3
