zasedani,nazev,url
Z9/01,"Stanovení počtu členek/členů Rady města Brna (PDF, 130 kB)",https://www.brno.cz/documents/20121/3276331/2.pdf/c0b732c0-1660-586b-4974-a79ffd7a3553?t=1677010076376
Z9/01,"Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů (PDF, 147 kB)",https://www.brno.cz/documents/20121/3276331/3.pdf/242bf067-b986-a587-39db-d4c3b297c382?t=1677010077581
Z9/01,"Určení funkcí, pro které budou členky/členové Zastupitelstva města Brna dlouhodobě uvolněny/uvolněni (PDF, 144 kB)",https://www.brno.cz/documents/20121/3276331/4.pdf/45595c5e-8164-887b-d234-334b6e79b39f?t=1677010079033
Z9/01,"Volební řád pro volbu primátora, náměstků primátora, dalších členů Rady města Brna a pro volbu dalších dlouhodobě uvolněných členů Zastupitelstva města Brna a volební komise pro jejich volbu (PDF, 210 kB)",https://www.brno.cz/documents/20121/3276331/5.pdf/6b5d90fc-301f-2a94-7b3e-ec18de53cf07?t=1677010079881
Z9/01,"Volba primátorky/primátora města Brna (PDF, 128 kB)",https://www.brno.cz/documents/20121/3276331/6.pdf/efc3e456-8a8c-9332-726c-e3ea7aa19200?t=1677010080477
Z9/01,"Volba náměstkyň/náměstků primátorky/primátora města Brna (PDF, 129 kB)",https://www.brno.cz/documents/20121/3276331/7.pdf/a80224a6-4370-d445-9979-e0f8d5736741?t=1677010080983
Z9/01,"Volba dalších členek/členů Rady města Brna (PDF, 139 kB)",https://www.brno.cz/documents/20121/3276331/8.pdf/0a114d09-e3db-ea9a-18ac-a07ac646e12a?t=1677010081578
Z9/01,"Volba dalších dlouhodobě uvolněných členek/členů Zastupitelstva města Brna (PDF, 129 kB)",https://www.brno.cz/documents/20121/3276331/9.pdf/d97db9ab-2ddf-8b51-03a6-1871e6129efe?t=1677010082262
Z9/01,"Volební řád pro volbu neuvolněných předsedů, místopředsedů a členů výborů Zastupitelstva města Brna a volební komise pro jejich volbu (PDF, 226 kB)",https://www.brno.cz/documents/20121/3276331/10.pdf/da6502f9-9748-539b-3f6b-119276b80161?t=1677010082679
Z9/01,"Volba neuvolněných předsedkyň/předsedů, místopředsedkyň/místopředsedů a členek/členů výborů Zastupitelstva města Brna (PDF, 278 kB)",https://www.brno.cz/documents/20121/3276331/11.pdf/f0c41a97-1799-37e5-4f04-86f3f84d54ed?t=1677010083087
Z9/01,"Návrh delegování zástupkyň/zástupců statutárního města Brna na valné hromady obchodních společností s menší než 100% majetkovou účastí města (PDF, 179 kB)",https://www.brno.cz/documents/20121/3276331/12.pdf/f379fc4b-37e8-0881-1d33-01c75a093ffb?t=1677010083478
Z9/01,"Návrh na změny v orgánech obchodních společností s menší než 100% majetkovou účastí statutárního města Brna (PDF, 253 kB)",https://www.brno.cz/documents/20121/3276331/13.pdf/4b33d083-d153-b041-4e21-7d1edfe129f0?t=1677010083791
Z9/01,"Návrh harmonogramu zasedání Zastupitelstva města Brna do konce roku 2022 a v roce 2023 (PDF, 93 kB)",https://www.brno.cz/documents/20121/3276331/14.pdf/70e8ac1e-c2ef-5027-a5e7-dc1d2f5b38c4?t=1677010084201
Z9/01,Navržený program ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného dne 20.10.2022,https://www.brno.cz/documents/20121/300693/Svolani-ZMB-01.pdf/1c8b0d6b-0d51-6d79-595b-0b3f57abae44?t=1676646838047
Z9/02,"Zpráva Kontrolního výboru ZMB, Finančního výboru ZMB, Výboru pro národnostní menšiny ZMB, Policie ČR, Městské policie Brno a Hasičského záchranného sboru   (1. bod 2. dne jednání, v případě jednodenního zasedání předposlední bod jednání) (PDF, 25 MB)",https://www.brno.cz/documents/20121/3402559/Materi%C3%A1l_3-3.pdf/73db1f20-bcb7-ea00-c4b1-5cf1cbaee77f?t=1677013811984
Z9/02,"Volba dalších členů Výboru pro národnostní menšiny Zastupitelstva města Brna (PDF, 168 kB)",https://www.brno.cz/documents/20121/3402559/Materi%C3%A1l_5-5.pdf/d59aa1df-30b3-c97c-d67b-e2fe00ce5516?t=1677013871632
Z9/02,"Odměňování neuvolněných členů Zastupitelstva města Brna a členů komisí Rady města Brna a výborů Zastupitelstva města Brna, kteří nejsou členy Zastupitelstva města Brna (PDF, 260 kB)",https://www.brno.cz/documents/20121/3402559/Materi%C3%A1l_6-6.pdf/0ada9011-29e1-dbf4-dd13-bcf4abc3543d?t=1677013842893
