osoba_id,jmeno,jmeno_2022,tituly_2022,nyni_zastupitel,kandidatka_2022,cislo_listiny_2022,poradi_na_listine,osobni_hlasy_2022,zvolen_2022,poradi_nahradnika_2022,mandat_od,mandat_do,zdroj_nastupu,zdroj_odchodu,funkce_nyni,klub_web_2026_09_18,profil_url,poznamka
jiri-oliva,Jiří Oliva,Jiří Oliva,JUDr.,ano,ČSSD VAŠI STAROSTOVÉ,1,1,8407,ano,0,2022-09-24,,1372236db3bb163f,,uvolněný člen RMB pro majetek,,https://www.brno.cz/w/jiri-oliva,
marek-viskot,Marek Viskot,Marek Viskot,Mgr.,ano,ČSSD VAŠI STAROSTOVÉ,1,3,7988,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,,https://www.brno.cz/w/marek-viskot,
bretislav-stefan,Břetislav Štefan,Břetislav Štefan,Mgr.,ano,ČSSD VAŠI STAROSTOVÉ,1,6,8028,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,,https://www.brno.cz/w/bretislav-stefan,
marek-lahoda,Marek Lahoda,Marek Lahoda,Mgr.,ano,Česká pirátská strana,3,1,9578,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,Česká pirátská strana,https://www.brno.cz/w/marek-lahoda,
monika-lukasova-spilkova,Monika Lukášová Spilková,Monika Lukášová Spilková,Mgr. Ph.D.,ano,Česká pirátská strana,3,2,8981,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,Česká pirátská strana,https://www.brno.cz/w/monika-lukasova-spilkova,
adam-zemek,Adam Zemek,Adam Zemek,Mgr.,ano,Česká pirátská strana,3,3,8849,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,Česká pirátská strana,https://www.brno.cz/w/adam-zemek,
tomas-kolacny,Tomáš Koláčný,Tomáš Koláčný,Bc.,ano,Česká pirátská strana,3,4,8843,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,,https://www.brno.cz/w/tomas-kolacny,
jana-drapalova,Jana Drápalová,Jana Drápalová,Ing.,ano,Zelení a Žít Brno s podporou Idealistů,4,1,9149,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,Zelení a Žít Brno s podpor. Id,https://www.brno.cz/w/jana-drapalova,
matej-hollan,Matěj Hollan,Matěj Hollan,Bc.,ne,Zelení a Žít Brno s podporou Idealistů,4,2,7728,ano,0,2022-09-24,2026-01-06,1372236db3bb163f,f2d978b02f87f5fa,Mandát ukončen,,,
matous-vencalek,Matouš Vencálek,Matouš Vencálek,Mgr.,ano,Zelení a Žít Brno s podporou Idealistů,4,3,7348,ne,1,2026-01-07,,f2d978b02f87f5fa,,neuvolnění členové ZMB,Zelení a Žít Brno s podpor. Id,https://www.brno.cz/w/matous-vencalek,
