zasedani,zapis_id,ctverice_vysledku_v_zapisu,zpracovane_protokoly,poznamka
Z9/01,36036d38da50510d,39,39,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/02,9d9381375d84a343,95,95,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/03,31d42a3a0b7a27be,115,115,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/04,a43c0850f687c0a3,67,67,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/05,855e8c7abe4c7621,104,104,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/06,e715158e17e939ea,99,99,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/07,736feb627c8ee927,111,111,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/08,1b7d3b44f9e1e083,139,143,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/09,3662325cd3a42957,129,129,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/10,eb0d7acd8a1bcc62,105,105,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/11,8b2034d2529405ca,10,10,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/12,36a4e03789f899b5,77,77,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/13,1f55fba1fd91456a,96,96,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/14,198b605f95c9e2a9,100,100,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/15,f5c65d180b769ffd,99,99,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/16,d527a00c9a941791,82,82,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/17,7ebec469c9c23f69,85,85,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/18,aeee21aca2ee1a98,114,114,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/19,7a2e7987609bcbd0,123,123,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/20,21185e2ff631d16f,102,102,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/21,f9d440624b7d3d49,72,72,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/22,0a5e067d7f1d3081,110,110,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/23,4658264f1b9b47c0,74,74,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/24,0f8748a98e03e9ac,66,66,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/25,e988b29ad183637c,74,74,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/26,e5fe37ddafdb66a3,88,89,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/27,1ac7d00d7789f14d,119,120,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/28,7ac680d41d8d0dd0,95,95,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/29,af870d56898ecc01,77,77,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/30,b92d222bc5bd1312,80,80,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/31,be8083cfb4f00a99,79,80,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/32,f2d978b02f87f5fa,65,65,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/33,91c18ad4dbe746da,83,83,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/34,75ba75c42ae44f62,91,92,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/35,0e845920a9ca9f72,85,85,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
Z9/36,597f2a8effabe498,102,104,Počty nemusí být shodné kvůli neplatným nebo zvláštním hlasováním; viz kontrola jednotlivých položek.
