osoba_id,jmeno_s_tituly,funkce,klub_web,url
tomas-aberl,Bc. Tomáš Aberl,uvolněný člen RMB pro sport a informační technologie,SPOLEČNĚ - ODS a TOP 09,https://www.brno.cz/w/tomas-aberl
tomas-anderle,"Mgr. Bc. Tomáš Anderle, MBA, LL.M.",neuvolnění členové ZMB,"SPD, TRIKOLORA, MORAVANÉ a NK",https://www.brno.cz/w/tomas-anderle
sabina-benesova,"Mgr. et Mgr. Sabina Benešová, DiS., LL.M.",neuvolnění členové ZMB,Brnoklidem a nezávislí zastupitelé,https://www.brno.cz/w/sabina-benesova
blanka-borovska,Mgr. Bc. Blanka Borovská,neuvolnění členové ZMB,"SPD, TRIKOLORA, MORAVANÉ a NK",https://www.brno.cz/w/blanka-borovska
petr-borecky-1,Petr Bořecký,uvolněný člen RMB pro participaci,Lidovci a Starostové,https://www.brno.cz/w/petr-borecky-1
petr-borecky,Ing. arch. Petr Bořecký,uvolněný člen RMB pro územní plánování,Brnoklidem a nezávislí zastupitelé,https://www.brno.cz/w/petr-borecky
rene-cerny,Mgr. René Černý,I. náměstek primátorky,Brnoklidem a nezávislí zastupitelé,https://www.brno.cz/w/rene-cerny
jana-drapalova,Ing. Jana Drápalová,neuvolnění členové ZMB,Zelení a Žít Brno s podpor. Id,https://www.brno.cz/w/jana-drapalova
jasna-flamikova,Mgr. Jasna Flamiková,neuvolnění členové ZMB,Zelení a Žít Brno s podpor. Id,https://www.brno.cz/w/jasna-flamikova
alena-gruberova,MUDr. Alena Gruberová,neuvolnění členové ZMB,Brnoklidem a nezávislí zastupitelé,https://www.brno.cz/w/alena-gruberova
david-grund,Ing. David Grund,neuvolnění členové ZMB,SPOLEČNĚ - ODS a TOP 09,https://www.brno.cz/w/david-grund
jiri-herman,"RNDr. Jiří Herman, Ph.D.",neuvolnění členové ZMB,SPOLEČNĚ - ODS a TOP 09,https://www.brno.cz/w/jiri-herman
petr-hladik,Mgr. Petr Hladík,neuvolnění členové ZMB,Lidovci a Starostové,https://www.brno.cz/w/petr-hladik
jakub-hruska,Bc. Jakub Hruška,neuvolnění členové ZMB,Lidovci a Starostové,https://www.brno.cz/w/jakub-hruska
michal-chladek,"JUDr. Michal Chládek, MBA",neuvolnění členové ZMB,SPOLEČNĚ - ODS a TOP 09,https://www.brno.cz/w/michal-chladek
filip-chvatal,"RNDr. Filip Chvátal, Ph.D.",náměstek primátorky,Lidovci a Starostové,https://www.brno.cz/w/filip-chvatal
pavel-jankuj,Ing. Pavel Jankůj,neuvolnění členové ZMB,SPOLEČNĚ - ODS a TOP 09,https://www.brno.cz/w/pavel-jankuj
katerina-jarosova,"Bc. Kateřina Jarošová, MBA",uv. členka ZMB pro oblast marketingu a PR,Brnoklidem a nezávislí zastupitelé,https://www.brno.cz/w/katerina-jarosova
karel-kalivoda,Ing. Karel Kalivoda,neuvolnění členové ZMB,Brnoklidem a nezávislí zastupitelé,https://www.brno.cz/w/karel-kalivoda
robert-kerndl,JUDr. Robert Kerndl,náměstek primátorky,SPOLEČNĚ - ODS a TOP 09,https://www.brno.cz/w/robert-kerndl
jiri-kment,Bc. Jiří Kment,neuvolnění členové ZMB,"SPD, TRIKOLORA, MORAVANÉ a NK",https://www.brno.cz/w/jiri-kment
tomas-kolacny,Bc. Tomáš Koláčný,neuvolnění členové ZMB,,https://www.brno.cz/w/tomas-kolacny
vladan-krasny,Mgr. Vladan Krásný,neuvolnění členové ZMB,SPOLEČNĚ - ODS a TOP 09,https://www.brno.cz/w/vladan-krasny
petr-kratochvil,Ing. Petr Kratochvíl,uvolněný člen RMB pro dopravu a městských účastí,SPOLEČNĚ - ODS a TOP 09,https://www.brno.cz/w/petr-kratochvil
pavel-kriz,"Ing. Pavel Kříž, Ph.D.",neuvolnění členové ZMB,Brnoklidem a nezávislí zastupitelé,https://www.brno.cz/w/pavel-kriz
miroslav-kubasek,"RNDr. Miroslav Kubásek, Ph.D.",neuvolnění členové ZMB,ANO 2011,https://www.brno.cz/w/miroslav-kubasek
marek-lahoda,Mgr. Marek Lahoda,neuvolnění členové ZMB,Česká pirátská strana,https://www.brno.cz/w/marek-lahoda
filip-leder,Mgr. Filip Leder,neuvolnění členové ZMB,Lidovci a Starostové,https://www.brno.cz/w/filip-leder
petr-levicek,"Petr Levíček, MBA",neuvolnění členové ZMB,Brnoklidem a nezávislí zastupitelé,https://www.brno.cz/w/petr-levicek
monika-lukasova-spilkova,"Mgr. Monika Lukášová Spilková, Ph.D.",neuvolnění členové ZMB,Česká pirátská strana,https://www.brno.cz/w/monika-lukasova-spilkova
martin-malecek,Mgr. Martin Maleček,neuvolnění členové ZMB,Lidovci a Starostové,https://www.brno.cz/w/martin-malecek
michal-marek,JUDr. Michal Marek,neuvolnění členové ZMB,Lidovci a Starostové,https://www.brno.cz/w/michal-marek
irena-matonohova,JUDr. Irena Matonohová,uvolněná členka RMB pro školství,Lidovci a Starostové,https://www.brno.cz/w/irena-matonohova
rene-novotny,Mgr. René Novotný,neuvolnění členové ZMB,ANO 2011,https://www.brno.cz/w/rene-novotny
