osoba_id,protokolu_s_osobou,ano,ne,zdrzel_se,nehlasoval,nepritomen,prvni_protokol,posledni_protokol
adam-zemek,3255,2775,21,323,74,62,2022-10-20,2026-06-23
alena-gruberova,3255,3092,17,88,53,5,2022-10-20,2026-06-23
andrea-pazderova,3255,2883,10,28,246,88,2022-10-20,2026-06-23
anna-putnova,3255,2974,6,54,59,162,2022-10-20,2026-06-23
blanka-borovska,3255,1864,171,918,47,255,2022-10-20,2026-06-23
bretislav-stefan,3255,2425,7,49,238,536,2022-10-20,2026-06-23
dagmar-seidlova,3255,2844,1,23,97,290,2022-10-20,2026-06-23
daniel-struz,3255,2598,6,44,77,530,2022-10-20,2026-06-23
david-grund,3255,2896,2,0,148,209,2022-10-20,2026-06-23
david-trllo,3255,3052,1,3,195,4,2022-10-20,2026-06-23
filip-chvatal,3255,3072,5,40,57,81,2022-10-20,2026-06-23
filip-leder,3255,2777,10,14,140,314,2022-10-20,2026-06-23
irena-matonohova,3255,3018,8,67,30,132,2022-10-20,2026-06-23
jakub-hruska,3255,2865,7,17,99,267,2022-10-20,2026-06-23
jana-drapalova,3255,2577,32,425,167,54,2022-10-20,2026-06-23
jaroslav-suchy,3255,2744,2,30,78,401,2022-10-20,2026-06-23
jasna-flamikova,3255,2202,54,415,210,374,2022-10-20,2026-06-23
jiri-herman,3255,2893,8,51,124,179,2022-10-20,2026-06-23
jiri-kment,3255,2002,187,1029,28,9,2022-10-20,2026-06-23
jiri-oliva,3255,2985,8,24,146,92,2022-10-20,2026-06-23
jitka-ivicicova,1189,1104,3,27,52,3,2022-10-20,2023-12-12
karel-kalivoda,3255,3095,6,52,86,16,2022-10-20,2026-06-23
karin-podivinska-karasova,3255,2680,3,29,170,373,2022-10-20,2026-06-23
katerina-jarosova,3255,2880,7,40,95,233,2022-10-20,2026-06-23
kristyna-cerna,2976,2570,6,46,105,249,2022-10-20,2026-03-03
leos-prokes,3255,1644,165,909,290,247,2022-10-20,2026-06-23
libor-zabransky-1,3255,1742,4,16,177,1316,2022-10-20,2026-06-23
marek-lahoda,3255,2608,23,306,105,213,2022-10-20,2026-06-23
marek-viskot,3255,2800,1,49,285,120,2022-10-20,2026-06-23
marketa-vankova,3255,2762,6,53,84,350,2022-10-20,2026-06-23
martin-malecek,3255,2954,7,56,117,121,2022-10-20,2026-06-23
martin-priborsky,3255,2982,6,59,77,131,2022-10-20,2026-06-23
matej-hollan,2829,1159,54,633,367,616,2022-10-20,2025-12-10
matous-vencalek,426,375,5,38,8,0,2026-01-20,2026-06-23
michal-chladek,3255,2436,6,13,194,606,2022-10-20,2026-06-23
michal-marek,3255,2775,5,35,164,276,2022-10-20,2026-06-23
miroslav-kubasek,3255,3110,3,36,104,2,2022-10-20,2026-06-23
monika-lukasova-spilkova,3255,2482,12,275,133,353,2022-10-20,2026-06-23
pavel-jankuj,279,269,2,6,2,0,2026-04-14,2026-06-23
pavel-kriz,3255,2905,9,57,75,209,2022-10-20,2026-06-23
pavel-outrata,3255,2507,5,71,34,638,2022-10-20,2026-06-23
pavel-urubek,3255,3055,6,24,98,72,2022-10-20,2026-06-23
petr-bauer,1669,1613,2,41,13,0,2022-10-20,2024-06-18
petr-borecky,3255,3015,13,57,142,28,2022-10-20,2026-06-23
petr-borecky-1,2066,1974,4,24,61,3,2024-01-30,2026-06-23
petr-hladik,3255,1917,11,18,119,1190,2022-10-20,2026-06-23
petr-kratochvil,3255,2829,2,7,309,108,2022-10-20,2026-06-23
petr-levicek,3255,1417,71,573,87,1107,2022-10-20,2026-06-23
radomir-vondra,3255,2878,7,53,70,247,2022-10-20,2026-06-23
rene-cerny,3255,2925,10,74,85,161,2022-10-20,2026-06-23
rene-novotny,3255,2547,4,15,275,414,2022-10-20,2026-06-23
robert-kerndl,3255,2609,2,0,544,100,2022-10-20,2026-06-23
sabina-benesova,876,837,6,13,20,0,2025-06-10,2026-06-23
tomas-aberl,3255,3060,24,42,90,39,2022-10-20,2026-06-23
tomas-anderle,3255,1811,195,960,82,207,2022-10-20,2026-06-23
tomas-hejl,710,687,0,2,21,0,2024-09-10,2025-04-29
tomas-kolacny,3255,2736,19,273,78,149,2022-10-20,2026-06-23
tomas-skricka,3255,1964,177,1010,86,18,2022-10-20,2026-06-23
vit-prygl,3255,2830,4,74,154,193,2022-10-20,2026-06-23
vladan-krasny,3255,2557,5,42,161,490,2022-10-20,2026-06-23
