tema,hlasovani_id,zasedani,cislo,datum,predmet,vysledek,zdroj_id,url,pritomno,ano,ne,zdrzel_se,nehlasoval,kontrola,omezeni,platnost_dle_zapisu,pouzitelne_pro_statistiky
Rozpočet 2023,Z9-03-064,Z9/03,64,2022-12-13,48. Návrh rozpočtu statutárního města Brna na rok 2023,Přijato,4faa94e1033d1917,https://apl.brno.cz/protokoly-zmb/zmb-z9-03/20221213-64-42181.html,52,40,5,7,0,ok,,není označeno jako neplatné,ano
Financování multifunkční haly,Z9-08-094,Z9/08,94,2023-06-20,24. Multifunkční sportovní a kulturní hala ve městě Brně – návrh úvěrové a finanční dokumentace,Přijato,64a4f89ad9c902ce,https://apl.brno.cz/protokoly-zmb/zmb-z9-08/20230620-94-38788.html,53,40,3,9,1,ok,,není označeno jako neplatné,ano
Zavedení tajné volby o SAKO,Z9-11-007,Z9/11,7,2023-10-18,"3. Projekt OHB II – linka K1 – poskytnutí informací od obchodní společnosti SAKO Brno, a. s., návrh koncernových pokynů - tajné hlasování o variantním návrhu usnesení",Přijato,316596c68d910dc3,https://apl.brno.cz/protokoly-zmb/zmb-z9-11/20231018-7-47404.html,51,28,14,6,3,ok,,není označeno jako neplatné,ano
Rozpočet 2024,Z9-13-026,Z9/13,26,2023-12-12,14. Návrh rozpočtu statutárního města Brna na rok 2024,Přijato,570defb94e215f28,https://apl.brno.cz/protokoly-zmb/zmb-z9-13/20231212-26-37854.html,54,41,2,10,1,ok,,není označeno jako neplatné,ano
Vydání územního plánu,Z9-22-011,Z9/22,11,2024-12-10,7. Územní plán města Brna – návrh na vydání formou opatření obecné povahy,Přijato,1fb4559fed5b5568,https://apl.brno.cz/protokoly-zmb/zmb-z9-22/20241210-11-34554.html,55,54,0,1,0,ok,,není označeno jako neplatné,ano
Rozpočet 2025,Z9-22-016,Z9/22,16,2024-12-10,6. Návrh rozpočtu statutárního města Brna na rok 2025,Přijato,b2999502ba6eeafc,https://apl.brno.cz/protokoly-zmb/zmb-z9-22/20241210-16-35980.html,55,41,2,11,1,ok,,není označeno jako neplatné,ano
Audit TIC — návrh Tomáše Koláčného,Z9-25-075,Z9/25,75,2025-03-25,86. Návrh na provedení hloubkového auditu hospodaření příspěvkové organizace TIC Brno při pořádání vánočních trhů - hlasování o návrhu p. Koláčného,Nepřijato,fc94fc9a8c92cc25,https://apl.brno.cz/protokoly-zmb/zmb-z9-25/20250325-75-41035.html,49,7,2,18,22,ok,,není označeno jako neplatné,ano
Audit TIC — návrh Markéty Vaňkové,Z9-25-076,Z9/25,76,2025-03-25,86. Návrh na provedení hloubkového auditu hospodaření příspěvkové organizace TIC Brno při pořádání vánočních trhů - hlasování o návrhu pí Vaňkové,Přijato,97148bdb758b26f3,https://apl.brno.cz/protokoly-zmb/zmb-z9-25/20250325-76-41086.html,49,44,1,3,1,ok,,není označeno jako neplatné,ano
Regulace pyrotechniky,Z9-31-011,Z9/31,11,2025-12-10,9. Návrh obecně závazné vyhlášky statutárního města Brna o regulaci zacházení s pyrotechnickými výrobky,Přijato,205eb0007283cacd,https://apl.brno.cz/protokoly-zmb/zmb-z9-31/20251210-11-31014.html,51,46,0,0,5,ok,,není označeno jako neplatné,ano
Rozpočet 2026,Z9-31-022,Z9/31,22,2025-12-10,20. Návrh rozpočtu statutárního města Brna na rok 2026,Přijato,a04e20e4eb5af420,https://apl.brno.cz/protokoly-zmb/zmb-z9-31/20251210-22-33889.html,52,40,0,12,0,ok,,není označeno jako neplatné,ano
Zařazení nesouhlasu se Sudetoněmeckým sněmem,Z9-34-004,Z9/34,4,2026-04-14,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o návrhu p. Kmenta na zařazení bodu I",Nepřijato,4309feb0d4cef6e1,https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-4-34348.html,50,9,4,4,33,ok,,není označeno jako neplatné,ano
Závěrečný účet 2025,Z9-35-010,Z9/35,10,2026-05-19,"9. Návrh závěrečného účtu statutárního města Brna za rok 2025, návrh účetní závěrky statutárního města Brna za rok 2025",Přijato,9a491c6387510a0d,https://apl.brno.cz/protokoly-zmb/zmb-z9-35/20260519-10-33804.html,50,44,0,6,0,ok,,není označeno jako neplatné,ano
