jmeno,hlasovani_id,zasedani,datum,osoba_id,jmeno_v_protokolu,klub_v_protokolu,volba,volba_original,zdroj_id,pouzitelne_pro_statistiky,omezeni_protokolu
Petr Bauer,Z9-08-094,Z9/08,2023-06-20,petr-bauer,Petr Bauer,ANO 2011,Ano,Ano,64a4f89ad9c902ce,ano,
"Petr Bořecký (arch., ANO 2022)",Z9-08-094,Z9/08,2023-06-20,petr-borecky,Petr Bořecký,ANO 2011,Ano,Ano,64a4f89ad9c902ce,ano,
René Černý,Z9-08-094,Z9/08,2023-06-20,rene-cerny,René Černý,ANO 2011,Ano,Ano,64a4f89ad9c902ce,ano,
Alena Gruberová,Z9-08-094,Z9/08,2023-06-20,alena-gruberova,Alena Gruberová,ANO 2011,Ano,Ano,64a4f89ad9c902ce,ano,
Kateřina Jarošová,Z9-08-094,Z9/08,2023-06-20,katerina-jarosova,Kateřina Jarošová,ANO 2011,Ano,Ano,64a4f89ad9c902ce,ano,
Karel Kalivoda,Z9-08-094,Z9/08,2023-06-20,karel-kalivoda,Karel Kalivoda,ANO 2011,Ano,Ano,64a4f89ad9c902ce,ano,
Karin Podivinská Karasová,Z9-08-094,Z9/08,2023-06-20,karin-podivinska-karasova,Karin Podivinská,ANO 2011,Ano,Ano,64a4f89ad9c902ce,ano,
Pavel Kříž,Z9-08-094,Z9/08,2023-06-20,pavel-kriz,Pavel Kříž,ANO 2011,Ano,Ano,64a4f89ad9c902ce,ano,
Miroslav Kubásek,Z9-08-094,Z9/08,2023-06-20,miroslav-kubasek,Miroslav Kubásek,ANO 2011,Ano,Ano,64a4f89ad9c902ce,ano,
René Novotný,Z9-08-094,Z9/08,2023-06-20,rene-novotny,René Novotný,ANO 2011,Ano,Ano,64a4f89ad9c902ce,ano,
Pavel Outrata,Z9-08-094,Z9/08,2023-06-20,pavel-outrata,Pavel Outrata,ANO 2011,Ano,Ano,64a4f89ad9c902ce,ano,
Vít Prýgl,Z9-08-094,Z9/08,2023-06-20,vit-prygl,Vít Prýgl,ANO 2011,Ano,Ano,64a4f89ad9c902ce,ano,
Daniel Struž,Z9-08-094,Z9/08,2023-06-20,daniel-struz,Daniel Struž,ANO 2011,nepřít.,nepřít.,64a4f89ad9c902ce,ano,
Jiří Oliva,Z9-08-094,Z9/08,2023-06-20,jiri-oliva,Jiří Oliva,ČSSD VAŠI STAROSTOVÉ,Ano,Ano,64a4f89ad9c902ce,ano,
Břetislav Štefan,Z9-08-094,Z9/08,2023-06-20,bretislav-stefan,Břetislav Štefan,ČSSD VAŠI STAROSTOVÉ,Ano,Ano,64a4f89ad9c902ce,ano,
Marek Viskot,Z9-08-094,Z9/08,2023-06-20,marek-viskot,Marek Viskot,ČSSD VAŠI STAROSTOVÉ,Ano,Ano,64a4f89ad9c902ce,ano,
Petr Hladík,Z9-08-094,Z9/08,2023-06-20,petr-hladik,Petr Hladík,Lidovci a Starostové,nepřít.,nepřít.,64a4f89ad9c902ce,ano,
Jakub Hruška,Z9-08-094,Z9/08,2023-06-20,jakub-hruska,Jakub Hruška,Lidovci a Starostové,Ano,Ano,64a4f89ad9c902ce,ano,
Filip Chvátal,Z9-08-094,Z9/08,2023-06-20,filip-chvatal,Filip Chvátal,Lidovci a Starostové,Ano,Ano,64a4f89ad9c902ce,ano,
Jitka Ivičičová,Z9-08-094,Z9/08,2023-06-20,jitka-ivicicova,Jitka Ivičičová,Lidovci a Starostové,Ano,Ano,64a4f89ad9c902ce,ano,
Filip Leder,Z9-08-094,Z9/08,2023-06-20,filip-leder,Filip Leder,Lidovci a Starostové,Ano,Ano,64a4f89ad9c902ce,ano,
Martin Maleček,Z9-08-094,Z9/08,2023-06-20,martin-malecek,Martin Maleček,Lidovci a Starostové,Ano,Ano,64a4f89ad9c902ce,ano,
Michal Marek,Z9-08-094,Z9/08,2023-06-20,michal-marek,Michal Marek,Lidovci a Starostové,Ano,Ano,64a4f89ad9c902ce,ano,
Irena Matonohová,Z9-08-094,Z9/08,2023-06-20,irena-matonohova,Irena Matonohová,Lidovci a Starostové,Ano,Ano,64a4f89ad9c902ce,ano,
Jaroslav Suchý,Z9-08-094,Z9/08,2023-06-20,jaroslav-suchy,Jaroslav Suchý,Lidovci a Starostové,Ano,Ano,64a4f89ad9c902ce,ano,
Radomír Vondra,Z9-08-094,Z9/08,2023-06-20,radomir-vondra,Radomír Vondra,Lidovci a Starostové,Ano,Ano,64a4f89ad9c902ce,ano,
Tomáš Aberl,Z9-08-094,Z9/08,2023-06-20,tomas-aberl,Tomáš Aberl,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
Kristýna Černá,Z9-08-094,Z9/08,2023-06-20,kristyna-cerna,Kristýna Černá,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
David Grund,Z9-08-094,Z9/08,2023-06-20,david-grund,David Grund,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
Jiří Herman,Z9-08-094,Z9/08,2023-06-20,jiri-herman,Jiří Herman,ODS a TOP 09,Ano,Ano (VK),64a4f89ad9c902ce,ano,
Michal Chládek,Z9-08-094,Z9/08,2023-06-20,michal-chladek,Michal Chládek,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
Robert Kerndl,Z9-08-094,Z9/08,2023-06-20,robert-kerndl,Robert Kerndl,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
Vladan Krásný,Z9-08-094,Z9/08,2023-06-20,vladan-krasny,Vladan Krásný,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
Petr Kratochvíl,Z9-08-094,Z9/08,2023-06-20,petr-kratochvil,Petr Kratochvíl,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
Andrea Pazderová,Z9-08-094,Z9/08,2023-06-20,andrea-pazderova,Andrea Pazderová,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
Martin Příborský,Z9-08-094,Z9/08,2023-06-20,martin-priborsky,Martin Příborský,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
Anna Putnová,Z9-08-094,Z9/08,2023-06-20,anna-putnova,Anna Putnová,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
Dagmar Seidlová,Z9-08-094,Z9/08,2023-06-20,dagmar-seidlova,Dagmar Seidlová,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
David Trllo,Z9-08-094,Z9/08,2023-06-20,david-trllo,David Trllo,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
Pavel Urubek,Z9-08-094,Z9/08,2023-06-20,pavel-urubek,Pavel Urubek,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
Markéta Vaňková,Z9-08-094,Z9/08,2023-06-20,marketa-vankova,Markéta Vaňková,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
Libor Zábranský,Z9-08-094,Z9/08,2023-06-20,libor-zabransky-1,Libor Zábranský,ODS a TOP 09,Ano,Ano,64a4f89ad9c902ce,ano,
Tomáš Koláčný,Z9-08-094,Z9/08,2023-06-20,tomas-kolacny,Tomáš Koláčný,Piráti,Zdržel se,Zdržel se,64a4f89ad9c902ce,ano,
Marek Lahoda,Z9-08-094,Z9/08,2023-06-20,marek-lahoda,Marek Lahoda,Piráti,Zdržel se,Zdržel se,64a4f89ad9c902ce,ano,
Monika Lukášová Spilková,Z9-08-094,Z9/08,2023-06-20,monika-lukasova-spilkova,Monika Lukášová Spilková,Piráti,Zdržel se,Zdržel se,64a4f89ad9c902ce,ano,
Adam Zemek,Z9-08-094,Z9/08,2023-06-20,adam-zemek,Adam Zemek,Piráti,Zdržel se,Zdržel se,64a4f89ad9c902ce,ano,
Tomáš Anderle,Z9-08-094,Z9/08,2023-06-20,tomas-anderle,Tomáš Anderle,SPD+Trikolora,Ne,Ne,64a4f89ad9c902ce,ano,
Blanka Borovská,Z9-08-094,Z9/08,2023-06-20,blanka-borovska,Blanka Borovská,SPD+Trikolora,Zdržel se,Zdržel se,64a4f89ad9c902ce,ano,
Jiří Kment,Z9-08-094,Z9/08,2023-06-20,jiri-kment,Jiří Kment,SPD+Trikolora,Zdržel se,Zdržel se,64a4f89ad9c902ce,ano,
Petr Levíček,Z9-08-094,Z9/08,2023-06-20,petr-levicek,Petr Levíček,SPD+Trikolora,Zdržel se,Zdržel se,64a4f89ad9c902ce,ano,
Leoš Prokeš,Z9-08-094,Z9/08,2023-06-20,leos-prokes,Leoš Prokeš,SPD+Trikolora,Zdržel se,Zdržel se,64a4f89ad9c902ce,ano,
Tomáš Skřička,Z9-08-094,Z9/08,2023-06-20,tomas-skricka,Tomáš Skřička,SPD+Trikolora,Zdržel se,Zdržel se,64a4f89ad9c902ce,ano,
