zasedani,nazev,url
Z9/37,15. 09. 2026 Zasedání Zastupitelstva města Brna č. ZMB Z9/37,https://www.brno.cz/w/zasedani-zmb-1316
Z9/36,23. 06. 2026 Zasedání Zastupitelstva města Brna č. ZMB Z9/36,https://www.brno.cz/w/zasedani-zmb-1315
Z9/35,19. 05. 2026 Zasedání Zastupitelstva města Brna č. ZMB Z9/35,https://www.brno.cz/w/zasedani-zmb-1314
Z9/34,14. 04. 2026 Zasedání Zastupitelstva města Brna č. ZMB Z9/34,https://www.brno.cz/w/zasedani-zmb-1313
Z9/33,03. 03. 2026 Zasedání Zastupitelstva města Brna č. ZMB Z9/33,https://www.brno.cz/w/zasedani-zmb-1312
Z9/32,20. 01. 2026 Zasedání Zastupitelstva města Brna č. ZMB Z9/32,https://www.brno.cz/w/zasedani-zmb-1311
Z9/31,10. 12. 2025 Zasedání Zastupitelstva města Brna č. ZMB Z9/31,https://www.brno.cz/w/zasedani-zmb-1026
Z9/30,11. 11. 2025 Zasedání Zastupitelstva města Brna č. ZMB Z9/30,https://www.brno.cz/w/zasedani-zmb-1025
Z9/29,14. 10. 2025 Zasedání Zastupitelstva města Brna č. ZMB Z9/29,https://www.brno.cz/w/zasedani-zmb-1024
Z9/28,09. 09. 2025 Zasedání Zastupitelstva města Brna č. ZMB Z9/28,https://www.brno.cz/w/zasedani-zmb-1023
Z9/27,10. 06. 2025 Zasedání Zastupitelstva města Brna č. ZMB Z9/27,https://www.brno.cz/w/zasedani-zmb-1022
Z9/26,29. 04. 2025 Zasedání Zastupitelstva města Brna č. ZMB Z9/26,https://www.brno.cz/w/zasedani-zmb-1021
Z9/25,25. 03. 2025 Zasedání Zastupitelstva města Brna č. ZMB Z9/25,https://www.brno.cz/w/zasedani-zmb-1020
Z9/24,25. 02. 2025 Zasedání Zastupitelstva města Brna č. ZMB Z9/24,https://www.brno.cz/w/zasedani-zmb-1019
Z9/23,28. 01. 2025 Zasedání Zastupitelstva města Brna č. ZMB Z9/23,https://www.brno.cz/w/zasedani-zmb-1018
Z9/22,10. 12. 2024 Zasedání Zastupitelstva města Brna č. ZMB Z9/22,https://www.brno.cz/w/zasedani-zmb-729
Z9/21,12. 11. 2024 Zasedání Zastupitelstva města Brna č. ZMB Z9/21,https://www.brno.cz/w/zasedani-zmb-724
Z9/20,15. 10. 2024 Zasedání Zastupitelstva města Brna č. ZMB Z9/20,https://www.brno.cz/w/zasedani-zmb-719
Z9/19,10. 09. 2024 Zasedání Zastupitelstva města Brna č. ZMB Z9/19,https://www.brno.cz/w/zasedani-zmb-713
Z9/18,18. 06. 2024 Zasedání Zastupitelstva města Brna č. ZMB Z9/18,https://www.brno.cz/w/zasedani-zmb-704
Z9/17,14. 05. 2024 Zasedání Zastupitelstva města Brna č. ZMB Z9/17,https://www.brno.cz/w/zasedani-zmb-698
Z9/16,09. 04. 2024 Zasedání Zastupitelstva města Brna č. ZMB Z9/16,https://www.brno.cz/w/zasedani-zmb-692
Z9/15,05. 03. 2024 Zasedání Zastupitelstva města Brna č. ZMB Z9/15,https://www.brno.cz/w/zasedani-zmb-686
Z9/14,30. 01. 2024 Zasedání Zastupitelstva města Brna č. ZMB Z9/14,https://www.brno.cz/w/zasedani-zmb-682
Z9/13,12. 12. 2023 Zasedání Zastupitelstva města Brna č. ZMB Z9/13,https://www.brno.cz/w/zasedani-zmb-504
Z9/12,14. 11. 2023 Zasedání Zastupitelstva města Brna č. ZMB Z9/12,https://www.brno.cz/w/zasedani-zmb-503
Z9/11,18. 10. 2023 Zasedání Zastupitelstva města Brna č. ZMB Z9/11,https://www.brno.cz/w/zasedani-zmb-675
Z9/10,10. 10. 2023 Zasedání Zastupitelstva města Brna č. ZMB Z9/10,https://www.brno.cz/w/zasedani-zmb-502-1
Z9/09,05. 09. 2023 Zasedání Zastupitelstva města Brna č. ZMB Z9/09,https://www.brno.cz/w/zasedani-zmb-501
Z9/08,20. 06. 2023 Zasedání Zastupitelstva města Brna č. ZMB Z9/08,https://www.brno.cz/w/zasedani-zmb-500
Z9/07,16. 05. 2023 Zasedání Zastupitelstva města Brna č. ZMB Z9/07,https://www.brno.cz/w/zasedani-zmb-499
Z9/06,04. 04. 2023 Zasedání Zastupitelstva města Brna č. ZMB Z9/06,https://www.brno.cz/w/zasedani-zmb-498
Z9/05,28. 02. 2023 Zasedání Zastupitelstva města Brna č. ZMB Z9/05,https://www.brno.cz/w/zasedani-zmb-497
Z9/04,24. 01. 2023 Zasedání Zastupitelstva města Brna č. ZMB Z9/04,https://www.brno.cz/w/zasedani-zmb-496
Z9/03,13. 12. 2022 Zasedání Zastupitelstva města Brna č. ZMB Z9/03,https://www.brno.cz/w/zasedani-zmb-495
Z9/02,15. 11. 2022 Zasedání Zastupitelstva města Brna č. ZMB Z9/02,https://www.brno.cz/w/zasedani-zmb-494
Z9/01,20. 10. 2022 Zasedání Zastupitelstva města Brna č. ZMB Z9/01,https://www.brno.cz/w/zasedani-zmb-493
