osoba_id,jmeno,jmeno_2022,tituly_2022,nyni_zastupitel,kandidatka_2022,cislo_listiny_2022,poradi_na_listine,osobni_hlasy_2022,zvolen_2022,poradi_nahradnika_2022,mandat_od,mandat_do,zdroj_nastupu,zdroj_odchodu,funkce_nyni,klub_web_2026_09_18,profil_url,poznamka
jiri-oliva,Jiří Oliva,Jiří Oliva,JUDr.,ano,ČSSD VAŠI STAROSTOVÉ,1,1,8407,ano,0,2022-09-24,,1372236db3bb163f,,uvolněný člen RMB pro majetek,,https://www.brno.cz/w/jiri-oliva,
marek-viskot,Marek Viskot,Marek Viskot,Mgr.,ano,ČSSD VAŠI STAROSTOVÉ,1,3,7988,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,,https://www.brno.cz/w/marek-viskot,
bretislav-stefan,Břetislav Štefan,Břetislav Štefan,Mgr.,ano,ČSSD VAŠI STAROSTOVÉ,1,6,8028,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,,https://www.brno.cz/w/bretislav-stefan,
matej-hollan,Matěj Hollan,Matěj Hollan,Bc.,ne,Zelení a Žít Brno s podporou Idealistů,4,2,7728,ano,0,2022-09-24,2026-01-06,1372236db3bb163f,f2d978b02f87f5fa,Mandát ukončen,,,
tomas-skricka,Tomáš Skřička,Tomáš Skřička,doc. MUDr. CSc.,ano,"SPD, TRIKOLORA, MORAVANÉ a nezávislí",7,1,11892,ano,0,2022-09-24,,1372236db3bb163f,,"uvolněný člen ZMB, předseda KV ZMB","SPD, TRIKOLORA, MORAVANÉ a NK",https://www.brno.cz/w/tomas-skricka,
tomas-anderle,Tomáš Anderle,Tomáš Anderle,"Mgr. Bc. MBA, LL.M.",ano,"SPD, TRIKOLORA, MORAVANÉ a nezávislí",7,2,11569,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,"SPD, TRIKOLORA, MORAVANÉ a NK",https://www.brno.cz/w/tomas-anderle,
blanka-borovska,Blanka Borovská,Blanka Borovská,Mgr. Bc.,ano,"SPD, TRIKOLORA, MORAVANÉ a nezávislí",7,6,11264,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,"SPD, TRIKOLORA, MORAVANÉ a NK",https://www.brno.cz/w/blanka-borovska,
rene-cerny,René Černý,René Černý,Mgr.,ano,ANO 2011,8,1,23785,ano,0,2022-09-24,,1372236db3bb163f,,I. náměstek primátorky,Brnoklidem a nezávislí zastupitelé,https://www.brno.cz/w/rene-cerny,
rene-novotny,René Novotný,René Novotný,Mgr.,ano,ANO 2011,8,6,23684,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,ANO 2011,https://www.brno.cz/w/rene-novotny,
daniel-struz,Daniel Struž,Daniel Struž,Ing. MBA,ano,ANO 2011,8,11,23234,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,Brnoklidem a nezávislí zastupitelé,https://www.brno.cz/w/daniel-struz,
pavel-outrata,Pavel Outrata,Pavel Outrata,Mgr.,ano,ANO 2011,8,13,23233,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,ANO 2011,https://www.brno.cz/w/pavel-outrata,
marketa-vankova,Markéta Vaňková,Markéta Vaňková,JUDr.,ano,SPOLEČNĚ - ODS a TOP 09,11,1,31167,ano,0,2022-09-24,,1372236db3bb163f,,Primátorka města Brna,SPOLEČNĚ - ODS a TOP 09,https://www.brno.cz/w/marketa-vankova,
anna-putnova,Anna Putnová,Anna Putnová,"doc. RNDr. Ph.D., MBA",ano,SPOLEČNĚ - ODS a TOP 09,11,2,29339,ano,0,2022-09-24,,1372236db3bb163f,,uv. členka ZMB pro oblast inovací a spolupráce s výzk. organizacemi,SPOLEČNĚ - ODS a TOP 09,https://www.brno.cz/w/anna-putnova,
robert-kerndl,Robert Kerndl,Robert Kerndl,JUDr.,ano,SPOLEČNĚ - ODS a TOP 09,11,3,29026,ano,0,2022-09-24,,1372236db3bb163f,,náměstek primátorky,SPOLEČNĚ - ODS a TOP 09,https://www.brno.cz/w/robert-kerndl,
libor-zabransky-1,Libor Zábranský,Libor Zábranský,,ano,SPOLEČNĚ - ODS a TOP 09,11,4,29716,ano,0,2022-09-24,,1372236db3bb163f,,neuvolnění členové ZMB,SPOLEČNĚ - ODS a TOP 09,https://www.brno.cz/w/libor-zabransky-1,
petr-kratochvil,Petr Kratochvíl,Petr Kratochvíl,Ing.,ano,SPOLEČNĚ - ODS a TOP 09,11,5,28905,ano,0,2022-09-24,,1372236db3bb163f,,uvolněný člen RMB pro dopravu a městských účastí,SPOLEČNĚ - ODS a TOP 09,https://www.brno.cz/w/petr-kratochvil,
kristyna-cerna,Kristýna Černá,Kristýna Černá,,ne,SPOLEČNĚ - ODS a TOP 09,11,15,28466,ano,0,2022-09-24,2026-03-31,1372236db3bb163f,75ba75c42ae44f62,Mandát ukončen,,,
