osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
andrea-pazderova,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
andrea-pazderova,Z9/01,12,"Komise si ze svého středu volí předsedu, který dle článku 4 odst. 3 schváleného volebního řádu průběh voleb řídí. Předsedou volební komise byl členy volební komise zvolen Mgr. Bc. Marek Viskot. Schválené usnesení: 1. ZMB schvaluje Volební řád pro volbu neuvolněných předsedů, místopředsedů a členů výborů Zastupitelstva města Brna, který tvoří přílohu č. 1 tohoto zápisu. 2. ZMB volí volební komisi pro volbu neuvolněných předsedkyň/předsedů, místopředsedkyň/místopředsedů a členek/členů výborů Zastupitelstva města Brna, pro volební období 2022–2026, ve složení: Mgr. Bc. Marek Viskot - předseda Ing. Karel Kalivoda, RNDr. Miroslav Kubásek, Ph.D. 11. Volba neuvolněných předsedkyň/předsedů, místopředsedkyň/místopředsedů a členek/členů výborů Zastupitelstva města Brna JUDr. Markéta Vaňková, primátorka – v úvodu tohoto bodu informovala, že členové Zastupitelstva města Brna obdrželi materiál s příslušným usnesením, které bude uvedeno v zápisu ze zasedání, a upozornila, že o tomto usnesení se nehlasuje, je to konstatování výsledků uskutečněných voleb. Poté vyzvala předsedu volební komise Mgr. Bc. Marka Viskota, aby se v souladu s volebním řádem ujal řízení volby. Volba neuvolněné/neuvolněného předsedkyně/předsedy Finančního výboru Zastupitelstva města Brna Předseda volební komise seznámil přítomné členy Zastupitelstva města Brna s pořadím prováděných voleb a poté je vyzval k podání návrhů na funkci předsedkyně/předsedy Finančního výboru Zastupitelstva města Brna. JUDr. Robert Kerndl, náměstek primátorky, navrhl do funkce předsedkyně Finančního výboru Zastupitelstva města Brna Ing. Andreu Pazderovou. Jiný návrh na zvolení do funkce předsedkyně/předsedy Finančního výboru Zastupitelstva města Brna podán nebyl. Navržená kandidátka Ing. Andrea Pazderová vyslovila souhlas s kandidaturou. V souladu s volebním řádem kandidáti na funkce neuvolněných předsedkyň/předsedů, místopředsedkyň/místopředsedů a členek/členů výborů Zastupitelstva města Brna nevystupují se svým prohlášením a neodpovídají na případné dotazy. Hlasování o volbě předsedkyně Finančního výboru Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo …………… 53 členů Zastupitelstva města Brna - pro Ing. Andreu Pazderovou ……... 44 hlasů Hlasování č. 26: 44 - 1 - 8 - 0",8,36036d38da50510d
andrea-pazderova,Z9/01,12,"Předsedkyní Finančního výboru Zastupitelstva města Brna byla zvolena Ing. Andrea Pazderová. Volba neuvolněné/neuvolněného místopředsedkyně/místopředsedy Finančního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci neuvolněné/neuvolněného místopředsedkyně/místopředsedy Finančního výboru Zastupitelstva města Brna. Mgr. Jaroslav Suchý, náměstek primátorky, navrhl zvolit do funkce místopředsedy Finančního výboru Zastupitelstva města Brna JUDr. Michala Marka. Jiný návrh na zvolení do funkce neuvolněné/neuvolněného místopředsedkyně/místopředsedy",4,36036d38da50510d
andrea-pazderova,Z9/02,22,"Ing. Andrea Pazderová, předsedkyně Finančního výboru ZMB: Já bych jenom ráda doplnila pana kolegu Kmenta, že o této problematice jsme se poměrně dlouze a široce bavili na finančním výboru. A ten výstup z finančního výboru byl takový, že jsme požádali příslušné odbory, protože tady se protíná školství a kultura, o výstup nebo nějakou zprávu o tom, zda tento projekt je přínosem, či nikoliv. A ten termín je na příští zasedání finančního výboru, které bude v prosinci. Takže ta podpora, se domnívám, že ze strany finančního výboru byla, a ty informace dostaneme do měsíce.",2,9d9381375d84a343
andrea-pazderova,Z9/03,39,"Ing. Andrea Pazderová, předsedkyně Finančního výboru Zastupitelstva města Brna: Já bych chtěla reagovat na pana zastupitele Hollana. Chtěla bych ho přesvědčit o tom, že ten rozpočet je opravdu mimořádně dobře sestaven. Domnívám se, že vedení města Brno bylo při jeho sestavování mimořádně odpovědné, a ona ta doba, která byla, kterou zažil tady pan Hollan, před covidem a před krizí, nebo před válkou na Ukrajině, už prostě není. My musíme",0,31d42a3a0b7a27be
andrea-pazderova,Z9/03,41,"Ing. Andrea Pazderová, předsedkyně Finančního výboru Zastupitelstva města Brna: A já bych chtěla okomentovat, v rychlosti, tu důvodovou zprávu vlastně, kde kolega Kment tady říká, že v kapitole vzdělání a školy je nižší navrhovaný rozpočet, o 16,3 %. To je sice pravda,",0,31d42a3a0b7a27be
andrea-pazderova,Z9/05,10,"Ing. Andrea Pazderová, předsedkyně Finančního výboru Zastupitelstva města Brna: Já jenom bych chtěla doplnit, že v rámci jednání finančního výboru jsme poměrně obsáhle diskutovali o těch předložených materiálech, které zde máte. A domnívám se, že není možné, aby jednotlivé položky, například Odboru dopravy nebo investičního, byly rozpracovány v detailu a v tom zdůvodnění tak, aby odpověděly na všechny případné dotazy. Čili my jsme se domluvili na určitém systému, v rámci finančního výboru, kde opravdu členové, pokud budou mít detail položky, nebo pokud budou mít zájem o vysvětlení, tak aby ty odpovědi dostali. Takže se domnívám, že ten systém jsme tadynatomto finančním výboru, který proběhl, nastavili tak, aby všechny dotazy byly uspokojivě zodpovězeny.",0,855e8c7abe4c7621
andrea-pazderova,Z9/05,72,"Ing. Andrea Pazderová: Já bych jenom chtěla doplnit, že opravdu tadyty pozemky jsou pro Královo Pole stěžejní. Je tam vybudována příjezdová komunikace, parkoviště, je tam místo pro separovaný sběr a zeleň, že když si nedovedu představit, že město by tyto pozemky nevlastnilo. My dlouhodobě tam s ministerstvem řešíme, kdo bude sekat trávu, kdo se bude starat o parkoviště, a občané obtížně chápou, že tadyvtomto ta městská část nemá vůbec žádné pravomoci. Takže z tohoto důvodu bych byla velmi ráda, pokud ty pozemky by město nabylo.",0,855e8c7abe4c7621
andrea-pazderova,Z9/06,18,"Ing. Andrea Pazderová: Já si myslím, že by bylo fajn si připomenout čísla, abychom si udělali představu, kolik město Brno vlastně přispívá na jednotlivé oblasti, včetně kultury. Takže na životní prostředí, pro příspěvkové organizace, město Brno vydává 178.000.000, na školství a mládež necelých 19.000.000, na zdraví 187.000.000, na sociální péči, znovu opakuji, sociální péči 541.000.000 a na kulturu 1.199.000.000 Kč. Tak jenom abysme si udělali představu o tom, jak město Brno kulturu podporuje a kolik peněz na to vynakládá. A já jenom mohu říct panu zastupiteli Hollanovi, že to jeho počínání považuji za strašně nefér vůči všem, co se snaží o nějaký konsenzus, a je to jenom opravdu hledání toho, jak se zviditelnit. A na závěr mohu konstatovat, že číslům pan zastupitel Hollan opravdu nerozumí.",0,e715158e17e939ea
andrea-pazderova,Z9/08,51,"Ing. Andrea Pazderová: Já bych jenom ráda odpověděla na dotaz paní starostky Drápalové, z jakého důvodu nebyl zařazen materiál na jednání Finančního výboru. Ona ta logika zařazování materiálů na Finanční výbor je taková, že pokud materiál neobsahuje rozpočtové opatření, tak není zařazen. Čili z tohoto důvodu vlastně jsme ten materiál nezařadili nebo nebyl zařazen, nicméně mohu říct, že já i kolegové z ORF jsme byli připraveni na diskusi, kterou tedy paní starostka nevyužila.",0,1b7d3b44f9e1e083
