osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
anna-putnova,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
anna-putnova,Z9/01,10,"Dlouhodobě uvolněnou členkou Zastupitelstva města Brna pro oblast marketingu a PR byla zvolena Bc. Kateřina Jarošová, MBA. Volba dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi. JUDr. Robert Kerndl, náměstek primátorky, navrhl zvolit do funkce dlouhodobě uvolněné členky Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi doc. RNDr. Annu Putnovou, Ph.D., MBA. Jiný návrh na zvolení do funkce dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi podán nebyl. Navržená kandidátka doc. RNDr. Anna Putnová, Ph.D., MBA., vyslovila souhlas s kandidaturou a přednesla kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě dlouhodobě uvolněné členky Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi. Výsledek hlasování: - hlasování se zúčastnilo ……………………….. 54 členů Zastupitelstva města Brna - pro doc. RNDr. Annu Putnovou, Ph.D., MBA.. 41 hlasů Hlasování č. 21: 41 - 5 - 7 - 1",4,36036d38da50510d
anna-putnova,Z9/01,10,"Dlouhodobě uvolněnou členkou Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi byla zvolena doc. RNDr. Anna Putnová, Ph.D., MBA. JUDr. Markéta Vaňková, primátorka – vyhlásila v souladu s Jednacím řádem Zastupitelstva města Brna přestávku v jednání do 11:00 hod.",0,36036d38da50510d
anna-putnova,Z9/06,20,"doc. RNDr. Anna Putnová, Ph.D., MBA: Já vítám tu poznámku paní zastupitelky Drápalové k věcné diskusi, ale musím podotknout, že je obtížné udržet věcnou rovinu, pokud jsou sociální média plná emocí a burcujících reakcí. Především tedy ze strany pana zastupitele Hollana. Pan zastupitel Hollan nám v průběhu času řekl, co všechno nechápeme, a já se chci přiznat k tomu, co nechápu já. Nechápu, že se díváte na tuto problematickou situaci jenom z té perspektivy, té negativní, a velmi jako černé situace. Přece taková situace znamená také příležitost. Divím se, že člověk kreativní, mladý, jako jste Vy, nevidí, že tady je možnost připravit – zaprvé, nově zrekonstruovaný prostor Scaly i Divadla Bolka Polívky, vytvořit spolupráci mezi divadly brněnskými, ať už dopadne dohoda jakkoliv, ukázat, že kulturní obec je jenom jedna a má zájem na to, aby kulturní život v Brně existoval. Čili pojďme se na to podívat i z té stránky, která je nejenom frustrující, a do určité míry nikdo nezpochybňuje to, že je to diskomfort, ale že je to také příležitost. Příležitost ukázat, že se umíme dohodnout.",0,e715158e17e939ea
anna-putnova,Z9/17,65,"doc. RNDr. Anna Putnová, Ph.D., MBA: Já mám jenom krátkou informaci týkající se připravovaného programu 17. května, tento pátek.",0,7ebec469c9c23f69
anna-putnova,Z9/17,65,"doc. RNDr. Anna Putnová, Ph.D., MBA: Takže já se vrátím k tomu, k tomu avizovanému programu, který měl proběhnout 17. května, a s lítostí musíme oznámit, že z technických a organizačních důvodů jsme museli tento program zrušit. O případném náhradním programu budete včas informováni. Děkuji.",0,7ebec469c9c23f69
anna-putnova,Z9/21,29,"doc. RNDr. Anna Putnová, Ph.D., MBA: Já se ráda vyjádřím k této oblasti, protože si myslím, že Brno Expat Centru za svoje působení přitáhlo nejenom do Brna, ale na jižní Moravu obecně, řadu velmi schopných lidí, kteří se nejenom prosadili, ale také dotá, dokázali přivést nové, inovativní produkty. Pokud se budeme bavit o tomto projektu, konkrétně, jedná se o to, že vznikla podpora takzvaného TAIM, což znamená Talent Attraction and Interna, and Integration Management. Je to dvouletý projekt, který má za cíl zkoordinovat právě tu roztříštěnost, která ve městě Brně a v Jihomoravském kraji je, pro přitáha, pro přilákání talentů. Nejedná se jenom o pracovníky ve firmách, jedná se také o experty pro oblast výzkumu a pro univerzity.",0,f9d440624b7d3d49
anna-putnova,Z9/21,29,"doc. RNDr. Anna Putnová, Ph.D., MBA: Jestli ještě mohu dodat, oni samozřejmě dodávají každoročně výroční zprávu, takže bude Vám poskytnuta.",0,f9d440624b7d3d49
anna-putnova,Z9/21,30,"doc. RNDr. Anna Putnová, Ph.D., MBA: Ano. Já jsem chtěla říct totéž, dostanete materiály k dispozici.",0,f9d440624b7d3d49
anna-putnova,Z9/23,1,"Omluveni: Mgr. Jasna Flamiková (od 9:30 hod.), Mgr. Pavel Outrata, Ing. Andrea Pazderová, Ing. Karin Podivinská, náměstkyně primátorky, doc. RNDr. Anna Putnová, Ph.D., MBA, Libor Zábranský.",0,4658264f1b9b47c0
