osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
bretislav-stefan,Z9/01,2,"ČSSD VAŠI STAROSTOVÉ – předseda JUDr. Jiří Oliva Mgr. Břetislav Štefan Mgr. Bc. Marek Viskot Zelení a Žít Brno – předseda Ing. Jana Drápalová Mgr. Jasna Flamiková Bc. Matěj Hollan Poté JUDr. Markéta Vaňková, primátorka, upozornila, že jednání se řídí platným Jednacím řádem Zastupitelstva města Brna. Jmenování zapisovatelek a pověření právní asistencí Zapisovatelkami jednání byly jmenovány Jana Sovová a Marie Doubravová, zaměstnankyně Organizačního odboru MMB, a právní asistencí byly pověřeny JUDr. Hana Doležalová a Mgr. Nikol Wagnerová, zaměstnankyně Právního oddělení Organizačního odboru MMB. Složení slibu členů Zastupitelstva města Brna Primátorka JUDr. Markéta Vaňková konstatovala, že všem přítomným členům Zastupitelstva města Brna, zvoleným ve volbách do zastupitelstev obcí konaných ve dnech 23. a 24. 9. 2022, bylo předáno „Osvědčení o zvolení členem Zastupitelstva města Brna“ podle § 53 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. V období od zvolení rezignovala na svůj mandát dne 19. 10. 2022 Bc. Petra Quittová. Prvním náhradníkem na kandidátní listině Lid. a Star. (KDU-ČSL+St. a nez.) byl Mgr. Jaroslav Suchý, který se v souladu s § 56 odst. 1 zákona o volbách do zastupitelstev obcí stal dne 20. 10. 2022 členem Zastupitelstva města Brna. Před složením slibu primátorka JUDr. Markéta Vaňková upozornila přítomné členy Zastupitelstva města Brna, že odmítnutí složit slib nebo složení slibu s výhradou má za následek okamžitý zánik mandátu dle § 55 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. Ing. Oliver Pospíšil, tajemník Magistrátu města Brna, přednesl slib stanovený v § 69 odst. 2 zákona o obcích: „Slibuji věrnost České republice. Slibuji na svou čest a svědomí, že svoji funkci budu vykonávat svědomitě, v zájmu města a jeho občanů, a řídit se Ústavou a zákony České republiky.“ Poté jmenovitě vyzval všechny přítomné členy Zastupitelstva města Brna, aby složili slib pronesením slova „slibuji“ a stvrdili jej podpisem na připravených listinách. Následně všech 54 členů Zastupitelstva města Brna složilo bez výhrad slib stanovený zákonem o obcích. Určení ověřovatelů zápisu a schválení programu ustavujícího zasedání Zastupitelstva města Brna Za ověřovatele zápisu byli navrženi JUDr. Robert Kerndl, Vít Prýgl a Mgr. Jaroslav Suchý. K hlasování o návrhu na ověřovatele zápisu bylo přistoupeno bez rozpravy. Hlasování je dále uváděno v pořadí: pro - proti - zdržel se - nehlasoval. Hlasování č. 1: 53 - 0 - 0 - 1",6,36036d38da50510d
bretislav-stefan,Z9/01,6," Mgr. Bc. Marek Viskot - předseda  Mgr. Břetislav Štefan · Ing. Karel Kalivoda 6. Volba primátorky/primátora města Brna JUDr. Markéta Vaňková, primátorka – v úvodu tohoto bodu informovala, že členové Zastupitelstva města Brna obdrželi materiál s příslušným usnesením, které bude uvedeno v zápisu ze zasedání, a upozornila, že o tomto usnesení se nehlasuje, je to konstatování výsledků uskutečněných voleb. Poté vyzvala předsedu volební komise Mgr. Bc. Marka Viskota, aby se v souladu s volebním řádem ujal řízení volby. Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci primátorky/primátora města Brna. Člen Zastupitelstva města Brna JUDr. Robert Kerndl podal návrh na zvolení JUDr. Markéty Vaňkové do funkce primátorky města Brna. Jiný návrh na zvolení do funkce primátorky/primátora města Brna podán nebyl. Navržená kandidátka na primátorku města Brna JUDr. Markéta Vaňková vyslovila souhlas s kandidaturou a přednesla svůj kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě primátorky města Brna: Hlasování č. 8: Neplatné hlasování",6,36036d38da50510d
bretislav-stefan,Z9/01,9,Členem Rady města Brna pro územní plánování byl zvolen Ing. arch. Petr Bořecký. Volba členky/člena Rady města Brna pro majetek Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro majetek. Člen zastupitelstva Mgr. Břetislav Štefan navrhl zvolit do funkce člena Rady města Brna pro majetek JUDr. Jiřího Olivu. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro majetek podán nebyl. Navržený kandidát JUDr. Jiří Oliva vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě člena Rady města Brna pro majetek. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro JUDr. Jiřího Olivu …………………… .. 41 hlasů Hlasování č. 17: 41 - 5 - 6 - 2,4,36036d38da50510d
bretislav-stefan,Z9/01,12,"Úprava byla přijata. Dále bylo nezbytné zvolit novou volební komisi pro volby neuvolněných předsedů, místopředsedů a členů výborů Zastupitelstva města Brna. JUDr. Markéta Vaňková, primátorka, vyzvala přítomné členy Zastupitelstva města Brna k podání návrhů na členy volební komise. Ing. Daniel Struž, MBA, navrhl RNDr. Miroslava Kubáska, Ph.D., Mgr. Břetislav Štefan navrhl Mgr. Bc. Marka Viskota, který dále ještě navrhl Ing. Karla Kalivodu. Hlasování o složení volební komise: Hlasování č. 25: 52 - 0 - 0 - 2",4,36036d38da50510d
bretislav-stefan,Z9/01,14,"Ides. Volba neuvolněné/neuvolněného předsedkyně/předsedy Výboru pro národnostní menšiny Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci předsedkyně/předsedy Výboru pro národnostní menšiny Zastupitelstva města Brna. Člen zastupitelstva JUDr. Michal Marek navrhl Mgr. Jitku Ivičičovou, JUDr. Jiří Oliva, člen Rady města Brna, navrhl Mgr. Břetislava Štefana. Na základě odkazu JUDr. Markéty Vaňkové, primátorky, na sjednanou dohodu v rámci koaličního vyjednávání člen zastupitelstva JUDr. Michal Marek vzal zpět návrh kandidatury Mgr. Jitky Ivičičové. Navržený kandidát na funkci předsedy Výboru pro národnostní menšiny Zastupitelstva města Brna Mgr. Břetislav Štefan vyslovil souhlas s kandidaturou. Hlasování o volbě předsedy Výboru pro národnostní menšiny Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo …………… 54 členů Zastupitelstva města Brna - pro Mgr. Břetislava Štefana ..……... 47 hlasů Hlasování č. 31: 47 - 2 - 5 - 0",4,36036d38da50510d
bretislav-stefan,Z9/01,14,"Předsedou Výboru pro národnostní menšiny Zastupitelstva města Brna byl zvolen Mgr. Břetislav Štefan. Volba neuvolněné/neuvolněného místopředsedkyně/místopředsedy Výboru pro národnostní menšiny Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci neuvolněné/neuvolněného místopředsedkyně/místopředsedy Výboru pro národnostní menšiny Zastupitelstva města Brna. JUDr. Robert Kerndl, náměstek primátorky, navrhl zvolit do funkce místopředsedy Výboru pro národnostní menšiny Zastupitelstva města Brna JUDr. Michala Chládka, MBA. Jiný návrh na zvolení do funkce neuvolněné/neuvolněného místopředsedkyně/místopředsedy Výboru pro národnostní menšiny Zastupitelstva města Brna podán nebyl. Navržený kandidát JUDr. Michal Chládek, MBA, vyslovil souhlas s kandidaturou. Hlasování o volbě místopředsedy Výboru pro národnostní menšiny Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo ……………… 54 členů Zastupitelstva města Brna - pro JUDr. Michala Chládka, MBA…… 46 hlasů Hlasování č. 32: 46 - 0 - 8 - 0",4,36036d38da50510d
bretislav-stefan,Z9/02,6,"JUDr. Markéta Vaňková, primátorka, upozornila, že podle čl. 5 odst. 2 Volebního řádu pro volbu neuvolněných předsedů, místopředsedů a členů výborů Zastupitelstva města Brna členem volební komise nemůže být kandidát na funkce volené dle tohoto volebního řádu. Poté vyzvala přítomné členy Zastupitelstva města Brna k podání návrhů na členy volební komise. Mgr. Břetislav Štefan navrhl Mgr. Bc. Marka Viskota, Mgr. Bc. Marek Viskot navrhl Mgr. Břetislava Štefana a Mgr. Martin Maleček navrhl Mgr. Jitku Ivičičovou.",8,9d9381375d84a343
bretislav-stefan,Z9/02,11,ZMB volí volební komisi pro volbu dalších členů Výboru pro národnostní menšiny Zastupitelstva města Brna ve složení: Mgr. Marek Viskot - předseda Mgr. Břetislav Štefan Mgr. Jitka Ivičičová,0,9d9381375d84a343
bretislav-stefan,Z9/03,62,"Mgr. Břetislav Štefan: Já jsem se chtěl zeptat, kolik změn vlastně bylo podáno, do toho termínu 15. 11., a případně kdo vybíral změny k zařazení? Nebo která osoba je kompetentní, nebo jak, kdo to, kdo se na tom podílel?",0,31d42a3a0b7a27be
bretislav-stefan,Z9/03,68,"JUDr. Markéta Vaňková, primátorka, vyzvala přítomné členy Zastupitelstva města Brna k podání návrhů na minimálně 3 členy volební komise. Zastupitel Ing. Daniel Struž, MBA, navrhl RNDr. Miroslava Kubáska, Ph.D., JUDr. Robert Kerndl, náměstek primátorky, navrhl Ing. Pavla Urubka a zastupitel Mgr. Břetislav Štefan navrhl Mgr. Bc. Marka Viskota.",4,31d42a3a0b7a27be
