osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
dagmar-seidlova,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
dagmar-seidlova,Z9/01,18,"Schválené usnesení: *** ZMB ukládá MUDr. Dagmar Seidlové, Ph.D., člence Zastupitelstva města Brna, plnění úkolů v oblasti zdravotnictví se zaměřením na zajištění optimálního fungování zdravotnictví na území statutárního města Brna. *** úkol č.: [Z9/01/15/01] zodpovídá: MUDr. Dagmar Seidlová, členka ZMB [3321] termín: [průběžně] *** ZMB ukládá Kristýně Černé, člence Zastupitelstva města Brna, plnění úkolů v oblasti cestovního ruchu se zaměřením na propagaci statutárního města Brna. *** úkol č.: [Z9/01/15/02] zodpovídá: Kristýna Černá, členka ZMB [3307] termín: [průběžně] *** ZMB ukládá JUDr. PhDr. Martinu Příborskému, EMLE, členu Zastupitelstva města Brna, plnění úkolů v oblasti strategického rozvoje, metropolitní spolupráce a integrovaných územních investic (ITI). *** úkol č.: [Z9/01/15/03] zodpovídá: JUDr. PhDr. Martin Příborský [3322] termín: [průběžně] 16. Určení člena Zastupitelstva města Brna pro spolupráci s Odborem územního plánování a rozvoje Magistrátu města Brna při pořizování územně plánovací dokumentace a jejích změn K hlasování o návrhu usnesení bylo přistoupeno bez rozpravy: Hlasování č. 40: 48 - 0 - 6 - 0 18",2,36036d38da50510d
dagmar-seidlova,Z9/06,44,"MUDr. Dagmar Seidlová, Ph.D.: Hlásím k tomuto bodu podjatost.",0,e715158e17e939ea
dagmar-seidlova,Z9/06,45,"MUDr. Dagmar Seidlová, Ph.D.: Já, pokud jako lékař s více než 30letou praxí, na to můžu odpovědět, a jako primář na Anesteziologicko-resuscitačním oddělení v Porodnici, kde pracuju víc jak 15 let, tak se k tomu vyjádřím tak, že paní doktorka Ivičičová má zcela pravdu. Nic víc k tomu říct asi nechci. Protože tady budeme zabíhat do nesmyslných podrobností a budeme se bavit, upřímně řečeno, pánové, o něčem, o čem máte jenom hrubé představy.",0,e715158e17e939ea
dagmar-seidlova,Z9/06,87,"MUDr. Dagmar Seidlová, Ph.D.: Já budu opravdu stručná. Od 13. dubna se konají na náměstí Svobody Brněnské dny prevence, kam bych Vás ráda pozvala, za Odbor zdraví. A protože další zastupitelstvo bude až po Brněnském dnu bez úrazu, i tam bych Vás ráda pozvala. Ten se bude konat 15. 5., i za účasti pana ministra Válka. Děkuji, to je vše.",0,e715158e17e939ea
dagmar-seidlova,Z9/11,25,"MUDr. Dagmar Seidlová, Ph.D.: Já nejsem, vážená paní primátorko, vážení kolegové, já nejsem odborník na energetiku, nejsem odborník na spalování odpadu a likvidaci odpadů. To, co bych chtěla říct, je zásadní z toho pohledu, že 3 hod. už tady mluvíme o něčem, k čemu se máme zavázat a co máme udělat. A vrátila bych se tady ke slovům paní primátorky, které řekla před týdnem. My jsme se zavázali Brnu a zavázali jsme se Brňanům svým slibem. A 3 hod. tady vyvstávají další a další pochybnosti o tom, proč takovéto zařízení budovat, proč je mít. A jestliže vyvstávají pochybnosti, tak nemohu zodpovědně hlasovat pro něco, co vyvolává obrovské pochybnosti. A myslím si a domnívám se a mám pro to svoje důvody, že pro takovéto zařízení se opravdu hlasovat nedá, pokud jsem něco Brňanům slíbila.",0,8b2034d2529405ca
dagmar-seidlova,Z9/14,1,"Omluveni: JUDr. Michal Chládek, MBA (do 10:00 hod.), MUDr. Dagmar Seidlová, Ph.D. (do 9:30 hod.), Radomír Vondra.",0,198b605f95c9e2a9
dagmar-seidlova,Z9/16,1,"Omluveni: Kristýna Černá, Mgr. Petr Hladík, JUDr. Robert Kerndl, Bc. Tomáš Koláčný, MUDr. Dagmar Seidlová, Ph.D.",0,d527a00c9a941791
dagmar-seidlova,Z9/20,75,"MUDr. Dagmar Seidlová, Ph.D.: Vážená paní primátorko, milí kolegové, milé kolegyně, ráda bych Vás pozvala na kampaň, kterou pořádá Odbor zdraví. Začíná 19., v sobotu, ve VIDĚ!, jste tam zváni, i případně s dětmi. A jedná se o Brno v růžové, prevence onkologických onemocnění a dárcovství krve.",0,21185e2ff631d16f
dagmar-seidlova,Z9/19,1,"Omluveni: Bc. Matěj Hollan (do 8:25 hod.), Bc. Jakub Hruška (od 11:30 do 12:00 hod.), Mgr. René Novotný (do 9:00 hod.), MUDr. Dagmar Seidlová, Ph.D. (do 9:00 hod.), Mgr. Břetislav Štefan (do 9:00 hod.), Libor Zábranský.",0,7a2e7987609bcbd0
