osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
daniel-struz,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
daniel-struz,Z9/01,12,"Úprava byla přijata. Dále bylo nezbytné zvolit novou volební komisi pro volby neuvolněných předsedů, místopředsedů a členů výborů Zastupitelstva města Brna. JUDr. Markéta Vaňková, primátorka, vyzvala přítomné členy Zastupitelstva města Brna k podání návrhů na členy volební komise. Ing. Daniel Struž, MBA, navrhl RNDr. Miroslava Kubáska, Ph.D., Mgr. Břetislav Štefan navrhl Mgr. Bc. Marka Viskota, který dále ještě navrhl Ing. Karla Kalivodu. Hlasování o složení volební komise: Hlasování č. 25: 52 - 0 - 0 - 2",4,36036d38da50510d
daniel-struz,Z9/01,13,"Členy Finančního výboru Zastupitelstva města Brna byli zvoleni Bc. Jiří Kment, Mgr. Marek Lahoda, Ing. Daniel Struž, MBA, Ing. Jana Drápalová a Petr Šafařík. Volba neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Mgr. Marek Lahoda navrhl zvolit do funkce místopředsedkyně Kontrolního výboru Zastupitelstva města Brna Mgr. Moniku Lukášovou Spilkovou, Ph.D. Jiný návrh na zvolení do funkce neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna podán nebyl. Navržená kandidátka Mgr. Monika Lukášová Spilková, Ph.D., vyslovila souhlas s kandidaturou. Hlasování o volbě místopředsedkyně Kontrolního výboru Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo ………………………. 53 členů Zastupitelstva města Brna - pro Mgr. Moniku Lukášovou Spilkovou, Ph.D. 45 hlasů Hlasování č. 29: 45 - 0 - 5 - 3",4,36036d38da50510d
daniel-struz,Z9/01,17,"Martina Drdlu, MSc., narozeného X. X. XXXX, bytem XXXXXXXXX XXXXX, XXX XX XXXX, jako zástupce JUDr. Ph.Dr. Martina Příborského, EMLE, člena Zastupitelstva města Brna, jako náhradníka k zastupování na všech valných hromadách společnosti Technologický Park Brno, a. s.“ 13. Změny v orgánech obchodních společností s menší než 100% majetkovou účastí statutárního města Brna JUDr. Markéta Vaňková, primátorka – v úvodu bodu sdělila, že návrhy na změny ve funkcích členů představenstev a členů dozorčích rad budou uváděny k jednotlivým společnostem, v pořadí představenstvo, dozorčí rada, a pokud budou podány nějaké návrhy nad rámec těch, které již obdržela, je nutné tyto návrhy dodat písemně. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., se omluvil za nedorozumění, když v bodu 12) uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce na valných hromadách společnosti namísto jeho navržení do funkce člena dozorčí rady společnosti. JUDr. Markéta Vaňková, primátorka, sdělila, že člen zastupitelstva Petr Levíček, MBA, může být delegován do obou zmíněných funkcí. Doc. MUDr. Tomáš Skřička, CSc., oba návrhy potvrdil. Brněnské vodárny a kanalizace, a.s. – návrhy kandidátů do představenstva: Ing. David Grund, Ing. Jaroslav Folprecht, Ing. Daniel Struž, MBA. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Bc. Marka Viskota. Návrhy kandidátů do dozorčí rady: PhDr. Martin Krytinář a Ludvík Kadlec. Jihomoravská rozvojová společnost, s.r.o. – návrh kandidátky do dozorčí rady: Kristýna Černá. Jiný kandidát navržen nebyl. KORDIS JMK, a.s. – návrhy kandidátů do představenstva: Mgr. Jiří Dvořáček a Ing. Jan Seitl. Návrhy kandidátů do dozorčí rady: Vít Prýgl, Ing. Pavel Jankůj. Doc. MUDr. Tomáš Skřička, CSc., navrhl dalšího kandidáta Ak. arch. Tomáše Kotase. Technologický Park Brno, a.s. – návrhy kandidátů do představenstva: Ing. David Trllo, Dipl.-Kfm. Dalimil Ospalý, Ing. Karel Kalivoda, prof. Ing. Vladislav Musil a JUDr. Michal Marek. Návrh kandidáta do dozorčí rady: Ing. David Geryk. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Břetislava Štefana. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o odvolání předchozích členů představenstev a dozorčích rad výše uvedených společností a zároveň o přednesených návrzích na nové členy představenstev a dozorčích rad těchto společností: Hlasování č. 37: 47 - 2 - 5 - 0",1,36036d38da50510d
daniel-struz,Z9/03,1,"Schválení ověřovatelů zápisu Za ověřovatele zápisu byli navrženi Ing. Daniel Struž, MBA, a JUDr. PhDr. Martin Příborský, EMLE.",0,31d42a3a0b7a27be
daniel-struz,Z9/03,68,"JUDr. Markéta Vaňková, primátorka, vyzvala přítomné členy Zastupitelstva města Brna k podání návrhů na minimálně 3 členy volební komise. Zastupitel Ing. Daniel Struž, MBA, navrhl RNDr. Miroslava Kubáska, Ph.D., JUDr. Robert Kerndl, náměstek primátorky, navrhl Ing. Pavla Urubka a zastupitel Mgr. Břetislav Štefan navrhl Mgr. Bc. Marka Viskota.",4,31d42a3a0b7a27be
daniel-struz,Z9/05,1,"Omluveni: Kristýna Černá, Mgr. Vladan Krásný (od 11:00 hod.), Petr Levíček, MBA, Ing. Daniel Struž, MBA.",0,855e8c7abe4c7621
daniel-struz,Z9/06,1,"Omluveni: RNDr. Jiří Herman, Ph.D. (od 13:00 hod.), Mgr. Petr Hladík (od 13:00 hod.), Mgr. Martin Maleček (od 13:00 hod.), Ing. Daniel Struž, MBA (od 13:00 hod.), Mgr. Bc. Marek Viskot, Libor Zábranský.",0,e715158e17e939ea
daniel-struz,Z9/08,1,"Omluveni: Mgr. Jasna Flamiková (od 11:15 hod.), Mgr. Petr Hladík, Mgr. Monika Lukášová Spilková, Ph.D. (do 9:00 hod.) a Ing. Daniel Struž, MBA.",0,1b7d3b44f9e1e083
daniel-struz,Z9/11,22,"Ing. Daniel Struž, MBA: Já bych chtěl pro další jednání, v dalších bodech, nahlásit, jako místopředseda představenstva SAKO, střet zájmů.",0,8b2034d2529405ca
