osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
david-grund,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
david-grund,Z9/01,16,"*** ZMB ukládá předsedovi Výboru pro národnostní menšiny Zastupitelstva města Brna připravit návrh na doplňující volbu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna a předložit jej na příští zasedání Zastupitelstva města Brna. T: do příštího zasedání Zastupitelstva města Brna *** úkol č.: [Z9/01/11] zodpovídá: předseda Výboru pro národnostní menšiny [75] termín: [viz usnesení] 12. Delegování zástupkyň/zástupců statutárního města Brna na valné hromady obchodních společností s menší než 100% majetkovou účastí města JUDr. Markéta Vaňková, primátorka, v úvodu projednání tohoto bodu sdělila, že u některých společností již obdržela návrhy na delegování zástupců statutárního města Brna a jejich náhradníků na valné hromady společností. U některých společností očekává návrhy v rámci tohoto zasedání Zastupitelstva města Brna. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce k zastupování na všech valných hromadách společnosti Automotodrom Brno, a.s. Návrh na náhradníka podán nebyl. Brněnské vodárny a kanalizace, a.s. – byl navržen člen zastupitelstva Ing. David Grund, jako zástupce, Ing. Karin Karasová, náměstkyně primátorky, jako náhradnice. Jihomoravská rozvojová společnost, s.r.o. – byla navržena členka zastupitelstva Kristýna Černá, jako zástupce, Mgr. René Černý, 1. náměstek primátorky, jako náhradník. KORDIS JMK, a.s. – byl navržen Ing. Petr Kratochvíl, člen Rady města Brna, jako zástupce, Ing. arch. Petr Bořecký, člen Rady města Brna, jako náhradník. Technologický Park Brno, a.s. – byl navržen Martin Drdla, MSc., jako zástupce, člen zastupitelstva JUDr. PhDr. Martin Příborský, EMLE, jako náhradník. Jiné návrhy zástupců statutárního města Brna a jejich náhradníků delegovaných na valné hromady výše uvedených společností předloženy nebyly. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o předložených návrzích na delegování zástupců a jejich náhradníků u výše uvedených společností: Hlasování č. 36: 47 - 1 - 5 - 1",1,36036d38da50510d
david-grund,Z9/01,17,"Martina Drdlu, MSc., narozeného X. X. XXXX, bytem XXXXXXXXX XXXXX, XXX XX XXXX, jako zástupce JUDr. Ph.Dr. Martina Příborského, EMLE, člena Zastupitelstva města Brna, jako náhradníka k zastupování na všech valných hromadách společnosti Technologický Park Brno, a. s.“ 13. Změny v orgánech obchodních společností s menší než 100% majetkovou účastí statutárního města Brna JUDr. Markéta Vaňková, primátorka – v úvodu bodu sdělila, že návrhy na změny ve funkcích členů představenstev a členů dozorčích rad budou uváděny k jednotlivým společnostem, v pořadí představenstvo, dozorčí rada, a pokud budou podány nějaké návrhy nad rámec těch, které již obdržela, je nutné tyto návrhy dodat písemně. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., se omluvil za nedorozumění, když v bodu 12) uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce na valných hromadách společnosti namísto jeho navržení do funkce člena dozorčí rady společnosti. JUDr. Markéta Vaňková, primátorka, sdělila, že člen zastupitelstva Petr Levíček, MBA, může být delegován do obou zmíněných funkcí. Doc. MUDr. Tomáš Skřička, CSc., oba návrhy potvrdil. Brněnské vodárny a kanalizace, a.s. – návrhy kandidátů do představenstva: Ing. David Grund, Ing. Jaroslav Folprecht, Ing. Daniel Struž, MBA. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Bc. Marka Viskota. Návrhy kandidátů do dozorčí rady: PhDr. Martin Krytinář a Ludvík Kadlec. Jihomoravská rozvojová společnost, s.r.o. – návrh kandidátky do dozorčí rady: Kristýna Černá. Jiný kandidát navržen nebyl. KORDIS JMK, a.s. – návrhy kandidátů do představenstva: Mgr. Jiří Dvořáček a Ing. Jan Seitl. Návrhy kandidátů do dozorčí rady: Vít Prýgl, Ing. Pavel Jankůj. Doc. MUDr. Tomáš Skřička, CSc., navrhl dalšího kandidáta Ak. arch. Tomáše Kotase. Technologický Park Brno, a.s. – návrhy kandidátů do představenstva: Ing. David Trllo, Dipl.-Kfm. Dalimil Ospalý, Ing. Karel Kalivoda, prof. Ing. Vladislav Musil a JUDr. Michal Marek. Návrh kandidáta do dozorčí rady: Ing. David Geryk. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Břetislava Štefana. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o odvolání předchozích členů představenstev a dozorčích rad výše uvedených společností a zároveň o přednesených návrzích na nové členy představenstev a dozorčích rad těchto společností: Hlasování č. 37: 47 - 2 - 5 - 0",1,36036d38da50510d
david-grund,Z9/04,39,"Ing. David Grund: Ano, bylo vy, bylo vyhlášeno, schvál, nevím, jestli teďka už to visí, ale bylo schváleno na představenstvu BKOM.",0,a43c0850f687c0a3
david-grund,Z9/08,17,"JUDr. Markéta Vaňková, primátorka: Tak, poprosím o reakci někoho z BKOM, to znamená, buď pan ředitel Borový, anebo David Grund. Jo, hlásí se David Grund.",0,1b7d3b44f9e1e083
david-grund,Z9/08,17,"Ing. David Grund: Je to z důvodu toho, že se na dobudovávanou, dobudovávané sídlo BKOM na Renneské budou umisťovat fotovoltaické panely. Takže z tohoto důvodu žádáme o rozšíření.",0,1b7d3b44f9e1e083
david-grund,Z9/10,62,"Ing. David Grund: Já mám prosbu, která spočívá v změně přílohy ve znění: v rámci přílohy č. 002/2023, lokality č. 814 by se vypustily pozemky p. č. 904/22925/2925/3926/2926/3926/4926/9, vše k. ú. Horní Heršpice. Jedná se o lokalitu bývalého Florimexu. Takto narychlo to děláme, protože to projednání materiálu bylo komplikované, z nějakých administrativních důvodů, měla by být na tom shoda. Je to víceméně pro potřeby směny za pozemky, které, na kterých jsou komunikace, které vedou, za pozemky a komunikace, které vedou k objektu, který město vlastní. Je svěřen městské části a bez těch pozemků bychom se k němu nedostali. Tak poprosím o shovívavost a o kladné vyřízení mého podnětu. Předávám písemně. A samozřejmě, pokud kolegové budou mít dotazy, tak rád upřesním, ale myslím, že jsem řekl vše.",0,eb0d7acd8a1bcc62
david-grund,Z9/10,62,"JUDr. Markéta Vaňková, primátorka: Nikdo další není přihlášený, to znamená, já teďka přemýšlím, jak to vzít postupně, protože ty úpravy, které načítal David Grund, tak předpokládám, se vztahují právě k té 2. odrážce. Takže já teďka nechám hlasovat po odrážkách, s tím, že ta 2. odrážka bude už v rámci té úpravy, kterou načetl pan zastupitel Grund. Jo? Dobrá. Takže první budeme hlasovat o odrážce, pudem prostě postupně, po usneseních. Takže hlasujeme nyní o 1. usnesení, to znamená, zastupitelstvo trvá na stanovení strategických lokalit. Zahajuji hlasování: Hlasování č. 79: 37 - 0 - 9 - 1",0,eb0d7acd8a1bcc62
david-grund,Z9/10,84,"Ing. David Grund: Já se moc omlouvám, nechci prodlužovat, jenom, protože nás sledujou aji občané Brna-jihu, tak aby byla ta informace zřejmá i pro ně. Já myslím, že tam jsou 3 varianty, které se posuzují, Bohunická, Vídeňská, Starý Lískovec, co se týká terminálu na VRT. Aspoň tak nám to bylo prezentováno na kraji. Jestli 1 z toho vypadla, tak fajn, 1 varianta byla pod Ořechovskou, 1 byla u Vídeňské. Pod tou Ořechovskou samozřejmě by to byl problém, co se týká napojení, ale do toho teď nebudeme zabíhat.",0,eb0d7acd8a1bcc62
david-grund,Z9/18,57,"Ing. David Grund: Úplně stejně a ze stejných důvodů, jako pan kolega Bořecký, hlásím, dle zákonu o střetu zájmů, podjatost.",0,aeee21aca2ee1a98
david-grund,Z9/21,67,"Ing. David Grund: Já jenom v krátkosti. Co se týká toho zoo, tak tam se propadl, nebo byla špatná vodovodní přípojka. V majetku zoo už mají vysoutěženého zhotovitele a ve, v koordinaci se SÚS a, se SÚS a s BKOM se bude sanovat ten rozsah oprav, ale měl by začít každým dnem. A, a jinak, jenom na podporu paní XXXXXXXX. Prostě sedí na XXXX, tak vopravdu, těch rozhodnutí, si myslím, že jsou minimálně nižší stovky ročně, a ta její práce je neocenitelná.",0,f9d440624b7d3d49
david-grund,Z9/22,41,"Ing. David Grund: Jenom krátce na vysvětlení. Samozřejmě jsme rádi, že můžeme být v rámci města Brna, jako městská část, pionýry v další oblasti, a to je, to jsou kolo, to jsou právě zahrádkářské kolonie. Vše bylo konzultováno a připraveno i s lidmi ze zahrádkářského svazu. My jsme do toho zasahovali taky přiměřeně, i když ú, úpravy jsme tam dělali tak, aby to dávalo smysl a nebylo to právě předražené. Nicméně debatu o předraženosti čehokoliv s panem kolegou zastupitelem vedeme už, už poměrně dlouho, myslím, že nějakých 6 let, takže mě nepřekvapuje ani tento, tento jeho podnět. Nicméně já si nemyslím, že, že to je nějaká astronomická částka. A myslím si, že skutečně odpovídá tomu, co, co chceme v té oblasti vytvořit. A doufám, že i díky tomuto hlasování se nám to povede, společně s městem Brnem a se všemi kolegy, kteří jsou zde. A že to bude, jak říkal pan, pan radní, pilotní projekt a možná i inspirace pro další.",0,0a5e067d7f1d3081
