osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
filip-chvatal,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
filip-chvatal,Z9/01,9,"Členkou Rady města Brna pro školství byla zvolena JUDr. Irena Matonohová. Volba členky/člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku. Člen zastupitelstva JUDr. Michal Marek navrhl zvolit do funkce člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku RNDr. Filipa Chvátala, Ph.D. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku podán nebyl. Navržený kandidát RNDr. Filip Chvátal, Ph.D., vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro RNDr. Filipa Chvátala, Ph. …………… 43 hlasů Hlasování č. 19: 43 - 5 - 5 - 1",4,36036d38da50510d
filip-chvatal,Z9/01,10,"Členem Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku byl zvolen RNDr. Filip Chvátal, Ph.D. Schválené usnesení: ZMB volí v souladu s ustanovením § 84 odst. 2 písm. m) zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění, pro volební období 2022–2026, dne 20. října 2022:",0,36036d38da50510d
filip-chvatal,Z9/08,50,"Bc. Tomáš Koláčný: Já si dovolím dvě doplnění, nejdřív na paní primátorku, doplnění týkající se toho jednání v rámci koncesního řízení. Ne, skutečně se nejednalo o nějaké, nevím, jaké boční setkání, ale o oficiální jednání hodnotící komise, ze které existuje zápis a kterého kromě mě, byl účasten Petr Kratochvíl, Jaroslav Suchý a myslím aji Filip Chvátal, to si nejsem úplně jistý. Takže skutečně tady tadlensta nabídka od Libora Zábranského tam zazněla, předpokládám, že pokud to někoho zajímá, tak ji může potvrdit. Druhé doplnění směrem k Petru Kratochvílovi, ne, já jsem nehovořil o maximálním rámci peněžitých příplatků ze strany SMB, který skutečně činí 7.200.000.000, ale hovořil jsem o úrocích, které plynou z toho harmonogramu splácení, který je tuším na straně 104 materiálu, kde se píše, že ty celkové úroky budou 1.660.000.000, to je to, o čem hovořím, to je to, čímž se prodraží ta stavba prostřednictvím jenom toho, že si město tady tenhlensten úvěr vezme.",0,1b7d3b44f9e1e083
filip-chvatal,Z9/14,14,"JUDr. Jiří Oliva, člen Rady města Brna, navrhl Mgr. Břetislava Štefana, Ing. Jana Drápalová navrhla JUDr. Kristýnu Fuchsovou s tím, že tuto kandidátku již navrhovala při doplňující volbě do Výboru pro národnostní menšiny Zastupitelstva města Brna v souvislosti s rezignací Mgr. Jasny Flamikové, konané na zasedání Zastupitelstva města Brna č. Z9/07 dne 16. 5. 2023, a má její písemný souhlas s kandidaturou. Doc. MUDr. Tomáš Skřička, CSc., navrhl doc. PhDr. Jiřího Pernese, Ph.D., a poskytl podrobné odůvodnění pro svůj návrh. RNDr. Filip Chvátal, Ph.D., člen Rady města Brna, navrhl PhDr. Martina Krytináře.",6,198b605f95c9e2a9
filip-chvatal,Z9/14,18,"Navržený kandidát RNDr. Filip Chvátal, Ph.D., člen Rady města Brna, vyslovil souhlas s kandidaturou a přednesl svůj kandidátský projev. Vzhledem k většímu počtu dotazů je tento projev i následné dotazy zapsány doslovně.",0,198b605f95c9e2a9
filip-chvatal,Z9/14,18,"RNDr. Filip Chvátal, Ph.D., člen Rady města Brna: Vážené kolegyně, vážení kolegové. Dovolte mi, pro ty z Vás, kdo mě neznají, se krátce představit. Jmenuji se Filip Chvátal, je mi 37 let, vystudoval jsem Přírodovědeckou fakultu Masarykovy univerzity, potom jsem působil jako mikroregion, jako manažer mikroregion na Šlapanicku a potom jsem 2. volební období tady součástí ctěné Rady města Brna. Dovolte mi na začátku poděkovat velice panu náměstkovi Jarkovi Suchému za skvělou spolupráci, kterou jsme mohli tento rok spolu tady na radnici mít. Velice si toho cením a chci mu poděkovat i za ty dlouhé roky působení pro město Brno, které, jak Jarek jistě ví, jsou vlastně rekordní. Myslím si, že je skutečně tím rekordmanem, takže obrovské díky za to, že jsem měl tu čest s Jarkem spolupracovat. Jenom krátce dovolil bych si zmínit hlavní priority, které vidím v oblasti životního prostředí, které nás čekají. Myslím si, že jak už tady, na našem zastupitelstvu velmi silně padalo, tak je to určitě recyklace, která je jedním ze základních úkolů, který si myslím, že naše město čeká. Je to znovuvyužití odpadu, jak ReUse střediska, nábytkové banky a další způsoby toho, abychom se skutečně stali lídři v této záležitosti. Myslím si, že inspirací nám může být skvěle Vídeň i Ostrava. Dále vnímám velmi kritickou situaci, která je v Zoo. Není to jenom o tom, co čteme možná v článcích, ale myslím si, že Zoo je dlouhodobě podfinancovaná. A tak, aby mohla konkurovat ostatním zoo v naší republice, i v okolí, tak potřebuje opravdu velké množství úsilí, aktivit a získávání dotačních prostředků, které jsou k tomu k dispozici. To si beru jako hlavní úkol, i včetně přístupnosti pro všechny věkové kategorie, ale především pro rodiny s dětmi. Poslední neopomenutelnou záležitostí je ochrana zeleně, ochrana stromořadí a obnova malých ploch zeleně v našem městě. Není to jenom o velkých parcích, o spolupráci s Veřejnou zelení města Brna, s Lesy města Brna, ale právě i o obnově těch malých ploch, které všichni známe v našem okolí. A myslím si, že to je přesně to, čemu se věnuje dotační titul, na který navazujeme, a to jsou parky pro Brno. Dovolte mi požádat Vás o důvěru. Doufám, že ji nezklamu, a budu velice rád pracovat v této gesci, která si myslím, že naše Brno může posouvat skutečně dopředu, i ve spolupráci se státem a dotačními tituly, které jsou k dispozici. Moc díky a, děkuji.",0,198b605f95c9e2a9
filip-chvatal,Z9/14,18,"RNDr. Filip Chvátal, Ph.D., člen Rady města Brna: Omlouvám se, samozřejmě měl jsem tam ještě více bodů, nezmínil jsem všechny. V rámci emisí a v rámci plnění našeho paktu primátorů a starostů si myslím, že je tou hlavní prioritou, a doufám, že se nám toto v tomto volebním období i podaří. Beru i záležitost naší spalovny a těch zdrojů energií, které město může nějakým způsobem řešit, tak abychom opravdu snižovali emise. Samozřejmě je to gesce, která zasahuje do energetiky, ale myslím si, že tohle je základ, nehledě na to, že ve strategickém plánu jsou tyto věci všechny popsány. Takže vycházíme z tohoto platného strategického plánu.",0,198b605f95c9e2a9
filip-chvatal,Z9/14,19,"RNDr. Filip Chvátal, Ph.D., člen Rady města Brna: Ano, toto jsme řešili už i s panem náměstkem. Já si beru jako zásadní úkol podívat se na to celé znovu. Myslím si, že i další, úplně stěžejní záležitostí, kterou jsem taky v tom krátkém projevu nezmínil, je opravdu i strategie Zoo, která zatím prostě předložená, schválena není. Je tam těch úkolů výrazně více. Podle těch informací, které mám, tak si myslím, že co se týče těch úhynů, to bylo všechno v pořádku, ale říkám, podíváme se, podíváme se na to znovu. Co se týče výběru stánků, v zásadě asi myslím, že ta situace už stabilizovaná je. Ale znovu, samozřejmě teď jsem to v gesci neměl, musíme si to s paní ředitelkou probrat. A chci taky všechny informace o těch věcech, které probíhaly předtím. Já prostě detailní informace teď nemám.",0,198b605f95c9e2a9
filip-chvatal,Z9/14,19,"RNDr. Filip Chvátal, Ph.D., člen Rady města Brna: Je mě slyšet? Dovolte mi krátkou reakci. Co se týče ochrany zeleně, vzrostlých stromů, i z hlediska legislativy, tady si myslím, že to musí být i ve spolupráci s státem. Není to rozhodně jednoduchý úkol, ale beru si to jako jednu z hlavních priorit, protože skutečně často i v rámci vyjádření se tohle opomíná. Například teď naposledy v Maloměřicích to nedostřelo ani k Odboru životního prostředí, ani k městské části. Co se týče protipovodňových opatření, tady si myslím, že pokud jsme chtěli splnit limity kapacity prostě té, toho objemu vody, který musí ty protipovodňová opatření splnit, tak nešlo jinak, než zasáhnout do těch břehů. Logicky to samozřejmě postihlo i ty stromy, ale ta náhradní výsadba a ta kvalita, která vzešla z architektonické soutěže i vítězného návrhu pana prof. Rullera, si myslím, že za to stojí. A chápu, že teď, na začátku, ta stavba působí poměrně monstrózně, ale ten výsledek, si myslím, že si Brno skutečně zaslouží. To znamená, pokud ty protipovodňová opatření samozřejmě zasahují do těch břehů, beru to jako zcela logickou věc, že ty stromy budou muset být náhrad, náhradou vysazeny.",2,198b605f95c9e2a9
filip-chvatal,Z9/14,19,"RNDr. Filip Chvátal, Ph.D., člen Rady města Brna: Tak mým, mým plánem rozhodně není, aby lanovka teď, jako projekt, padla. Myslím si, že naším cílem má být, aby ta lanovka byla co možná nejvíce šetrná k životnímu prostředí. Už z podstaty věci lanovky, která má být nad těmi stromy, si myslím, že tohle je úkol snad řešitelný. Co se týče toho hnízdiště, my už jsme na to reagovali s kolegy i v rámci té brněnské koridy, nebo jak se ta rubrika v Brněnské Drbně jmenuje. Já si myslím, že tady je zásadní se teď potkat s ornitology, s tím, v jakém stavu to významné hnízdiště je. Pro mě to byla zcela nová informace, že tadyvtom místě je významné hnízdiště havranů a kavek, a nedokážu teď posoudit, jak je to přímo v konfliktu s tím koridorem té lanovky, která tam vede. Takže rozhodně, aby lanovka zasahovala co nejméně do životního prostředí a do, do té vzrostlé zeleně. Ale nejsem příznivec toho, abychom ten projekt ukončili.",0,198b605f95c9e2a9
filip-chvatal,Z9/14,20,"RNDr. Filip Chvátal, Ph.D., byl zvolen v pořadí druhým náměstkem primátorky města Brna.",0,198b605f95c9e2a9
filip-chvatal,Z9/16,15,"RNDr. Filip Chvátal, Ph.D., náměstek primátorky: Já jenom krátkou reakci, bude odpovězeno samozřejmě písemně. Já si myslím, že to zásadní, co tady padlo ústy pana radního Kratochvíla, je skutečně posouzení ekonomiky té stavby. Ale co se týče biologického hodnocení, já jenom musím avizovat, už jsem to kolegům říkal, že jsme měli setkání se zástupci ornitologické společnosti, a tady skutečně je, z hlediska životního prostředí, zásadní, že v tom biologickém hodnocení nebylo zmíněno, že tam je to významné hnízdiště.",0,d527a00c9a941791
