osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
filip-leder,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
filip-leder,Z9/07,1,"Omluveni: Mgr. Petr Hladík (od 12:00 hod.), Mgr. Vladan Krásný, Ing. Pavel Kříž, Ph.D., Mgr. Filip Leder a Libor Zábranský.",0,736feb627c8ee927
filip-leder,Z9/08,73,Mgr. Filip Leder – požádal o samostatné hlasování o bodu 124).,2,1b7d3b44f9e1e083
filip-leder,Z9/08,76,"Mgr. Filip Leder: Já bych chtěl jenom doplnit, že Zastupitelstvo městské části Brno-Žabovřesky minulý týden doporučilo využití toho předkupního práva. A ten důvod je zejména ten, že podle nového územního plánu se to nachází v tom polygonu pro propojení Hradecké a Korejské.",0,1b7d3b44f9e1e083
filip-leder,Z9/08,76,"Mgr. Filip Leder: Takže já dávám návrh na to, abychom hlasovali o tom, že to předkupní právo využijeme.",2,1b7d3b44f9e1e083
filip-leder,Z9/08,76,"Mgr. Filip Leder: Městská část to odesílala v pondělí ráno, to stanovisko.",0,1b7d3b44f9e1e083
filip-leder,Z9/08,88,"Mgr. Filip Leder: My jsme tady už slyšeli, co tady zaznělo v té diskusi s občany na tom začátku. Přišel nám asi i všem email od pana Ing. Kosaře, kde vysvětluje celou tu anabázi dispozice s tím pozemkem v Žabovřeskách. Podotýkám, že s těma ostatníma pozemkama nemám žádný problém. Ta dispozice s tím pozemkem v Žabovřeskách už probíhá, tuším, asi šestý rok. Naše městská část k tomu zaujímala stanovisko několikrát. Pokaždé naprosto stejné. My s tou dispozicí nesouhlasíme a v zásadě ty důvody, které, pro které nás k tomu vedou, jsou popsány v tom, co napsal pan Ing. Kosař. Ten pozemek je protkán infrastrukturou, prostě veškerou, kterou tam je. Je tam šestistovkovej vodovod, je tam čtyřstovková kanalizace. Navíc teda musím říct, že ten pozemek je zatížen dalšími, další infrastrukturou, který vůbec nejsou popsány v těch materiálech, ani v té samotné smlouvě. Prostředkem toho pozemku vede plynovod, který tam vůbec není uveden. Vedou tam telekomunikační sítě, které tam taktéž uvedeny nejsou a vede tam samozřejmě i elektřina, která tam také uvedena není. Asi pouze náhodou se opakovalo to, co se stalo před jednáním rady, že nebylo k tomu materiálu dodáno stanovisko městské části, které k tomu zaujalo už na květnovém zastupitelstvu a bylo odesláno 16. května na magistrát a bylo doručeno tentýž den. Naše stanovisko městské části, hlasovalo pro to usnesení nedoporučující té směny 24 z 24 přítomných zastupitelů. Předpokládám, že to je docela silný mandát. Navíc Odbor územního plánování a rozvoje s tím nesouhlasí. Je to, prostě skutečně ten pozemek je protkán inženýrskými sítěmi, které jsou ve vlastnictví města Brna. Vůbec nechápu, proč bychom s tímto pozemkem měli nakládat. Já samozřejmě vím, že Žabovřesky jsou nejkrásnější městskou částí v Brně. A musím říct, že, a docela mě fakt jako překvapilo, přestože si to opravdu myslím, že k nám budou zahrádkařit jezdit lidé z Prahy na tento krásný pozemek. Je to skutečně pro nás velké vyznamenání, že budou vážit takovou dalekou cestu, takže tak, no. Takže my samozřejmě navrhujem ten protinávrh, jsem nechal ráno rozdat všem. V zásadě je to o tom, že my souhlasíme s tou směnou, jako takovou. Nesouhlasíme s tím, se zařazením do té směny toho pozemku v Žabovřeskách. A o tu cenu toho pozemku v Žabovřeskách se ponižuje ta částka, kterou by měl ten směnitel doplatit. To je vše.",2,1b7d3b44f9e1e083
filip-leder,Z9/11,11,"Mgr. Filip Leder: Já bych chtěl jednu věc, abych tady ani nevystupoval, pokud bych nedostal jednu odpověď, a to zásadní, kterou jsem položil při prezentaci té komplexní analýzy. Ta zásadní otázka, podle mého názoru, zní tak, co bude Brno dělat po roce 2030, když skončí skládkování? A jak jsme se před chvilkou dozvěděli, na území Jihomoravského kraje se doposud skládkuje 200 000 t odpadu, který bude potřeba nějakým způsobem po tom roce 2030 likvidovat, a jiná varianta, než ho spalovat, nebude. Pokud nenavýšíme kapacitu SAKA, tak samozřejmě dojde k tomu, že nebudeme schopni likvidovat odpad, teda Jihomoravského kraje určitě, ale samozřejmě otázka je, zda budeme schopni likvidovat odpad putující z Brna? A to z jednoho, prostého důvodu. Já jsem položil otázku při, při té prezentaci té komplexní analýzy, zda bude moct SAKO Brno, s ohledem na to, že ty 2 kotle, které tam už nyní jsou, byly vybudovány, z velké části, z veřejných zdrojů, tak zda SAKO Brno bude moct upřednostňovat odpad pocházející z města Brna na úkor těch ostatních obcí, a to nejenom samozřejmě z Jihomoravského kraje? A samozřejmě jedna otázka, která tady ještě taky nezazněla, nebo je to taky k diskusi, že do toho SAKA sváží odpad z města Brna nejenom samotné SAKO, ale spousta jiných svozových společností. A netýká se to samozřejmě jenom toho živnostenského odpadu, ale týká se to i toho našeho odpadu, konkrétně třeba z těch odpadkových košů, které máme, které máme v parcích, které máme na ulicích. To samozřejmě z velké části nesváží SAKO a sváží to jiné společnosti. Tak bych se rád dotázal, zda budeme moci, po tom roce 2030, kdy bude pravděpodobně velký přetlak poptávky po spalování v té spalovně, které provozuje SAKO, zda budeme moct upřednostnit ten náš odpad na úkor těch ostatních obcí, anebo zda budeme muset vlastně ty dodávky do toho spalovacího procesu krátit, poměrně, pro všechny ty obce, které o ten, o spalování toho odpadu v té naší spalovně projeví zájem?",2,8b2034d2529405ca
filip-leder,Z9/11,11,"JUDr. Robert Kerndl, náměstek primátorky: Ve městě Brně, pokud se nepletu, vzniká nějaké množství odpadů, které se energeticky zhodnotí tím, že se dá do kotle, spálí se. Pak vzniká nějaké množství odpadu, které se prostě nedá do toho kotle dát, a to musíme skládkovat. To tak bude, jenom pro Vaši informaci, je to asi 20 000 t. Ale to tady se řeší delší dobu, s tím odpadem se prostě nic dalšího udělat nedá, než se musí skládkovat, anebo musíme přemýšlet o tom, jakým způsobem ho potom využijeme. Takže to je 20 000 tun. Na území města Brna není žádná skládka. Ve stanovách naší akciové společnosti není nic o tom, že máme řešit odpad, který vzniká mimo rámec Brna a jeho nejbližšího okolí. A já jsem to tady říkal minule, pokud dnes neprojde K1, OHB II, tak je naprosto jasné a logické, že krom jiného budeme muset vstoupit do jednání s krajem. A to, co Filip Leder tady říkal minule, že na to ten kraj dával ty nemalé peníze, to není pravda, to jsme si vyjasnili, nedali na to vůbec nic. A my přece neříkáme, že nebudeme řešit do budoucna, co s odpadem. Já jenom říkám, že toto je poslední šance tento projekt zastavit a dívat se na odpad úplně jinou optikou. Pro mě je naprosto fatální, když zjišťuji, že paní Drápalová, ze Strany zelených, prostě prosazuje pálení odpadků a tvrdí, že, že musíme být solidární vůči ostatním krajům. Prosím Vás, kde jste na tom byli? Máte nějaké stanovy? Máte nějaký zákon o obcích? Skládali jste tady všichni slib, že všechno budete dělat ve prospěch občanů města Brna. A ne ve prospěch Vysočiny, nebo jiných krajů. To je, to je úplně postavený na hlavu prostě, jo? A k tomu, co říká kolega Leder. Ano, máš pravdu, je to tak, ale to nevyřešíme tím, že tady postavíme K1, tadytendlencten problém. To bysme jich tady museli, těch K1, postavit dalších",0,8b2034d2529405ca
filip-leder,Z9/11,13,"Mgr. Filip Leder: Já velmi děkuji panu náměstku Kerndlovi za jeho odpověď, ale myslím si, že mně neodpověděl úplně přesně. Já bych se chtěl skutečně zeptat na to, zda teda můžeme upřednostnit v té spalovně, nebo SAKO Brno, zda může upřednostnit v té spalovně ten náš odpad z Brna oproti ostatním původcům odpadu, tedy ostatním obcím, případně dalším subjektům, kterými jsou původci odpadu?",0,8b2034d2529405ca
