osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
irena-matonohova,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
irena-matonohova,Z9/01,9,Členem Rady města Brna pro majetek byl zvolen JUDr. Jiří Oliva. Volba členky/člena Rady města Brna pro školství Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro školství. Člen zastupitelstva JUDr. Michal Marek navrhl zvolit do funkce členky Rady města Brna pro školství JUDr. Irenu Matonohovou. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro školství podán nebyl. Navržená kandidátka JUDr. Irena Matonohová vyslovila souhlas s kandidaturou a přednesla kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě členky Rady města Brna pro školství. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro JUDr. Irenu Matonohovou …………… 41 hlasů Hlasování č. 18: 41 - 5 - 7 - 1,4,36036d38da50510d
irena-matonohova,Z9/01,9,"Členkou Rady města Brna pro školství byla zvolena JUDr. Irena Matonohová. Volba členky/člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku. Člen zastupitelstva JUDr. Michal Marek navrhl zvolit do funkce člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku RNDr. Filipa Chvátala, Ph.D. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku podán nebyl. Navržený kandidát RNDr. Filip Chvátal, Ph.D., vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro RNDr. Filipa Chvátala, Ph. …………… 43 hlasů Hlasování č. 19: 43 - 5 - 5 - 1",4,36036d38da50510d
irena-matonohova,Z9/02,48,"JUDr. Irena Matonohová, členka Rady města Brna: Ráda bych tadynaten dotaz odpověděla. Začnu tím, že celkové požadavky ze stran školských zařízení 3× převýšily možnost, naše možnosti finanční, takže to rozhodování bylo velmi obtížné. Co se týká školství, tak určitě bychom velmi rádi vyhověli všem požadavkům, ale není to možné. Já jsem byla přesvědčená o důležitosti projektu v Brně-Komíně, ale je zapotřebí dosáhnout shody koaliční a té jsme nedosáhli.",0,9d9381375d84a343
irena-matonohova,Z9/02,48,"JUDr. Irena Matonohová, členka Rady města Brna: Já děkuji za tento podnět.",0,9d9381375d84a343
irena-matonohova,Z9/06,29,"JUDr. Irena Matonohová, členka Rady města Brna: Ano, já Vás slyším.",0,e715158e17e939ea
irena-matonohova,Z9/06,29,"JUDr. Irena Matonohová, členka Rady města Brna: Haló, už se slyšíme?",0,e715158e17e939ea
irena-matonohova,Z9/06,29,"JUDr. Irena Matonohová, členka Rady města Brna: Ano? Tak mohu mluvit?",0,e715158e17e939ea
irena-matonohova,Z9/06,29,"JUDr. Irena Matonohová, členka Rady města Brna: Jo? Tak děkuji. Já bych velice ráda reagovala na vystoupení pana zastupitele. My jsme skutečně tento bod probírali na komisi a já jsem měla za to, že jsme si to vysvětlili. Tady ani nejde o výši částky, kterou bychom jaksi hodlali podporovat tyto děti. Tady se skutečně jedná o nějaký princip. A já bych chtěla říct, že to nejsou děti, které jsou a priori neúspěšné ve svém školském snažení. To jsou děti, které jsou znevýhodněné. To jsou děti, které jsou skutečně ze znevýhodněných rodin. Maminky tam mají prostě dětí x, nehledě k tomu, že jsou to maminky, které někdy ani nemluví česky. Takže skutečně podpora ze strany rodiny, která samozřejmě by měla být primární, tam se mnohdy, v mnohých případech nedá očekávat. A já si myslím, že se skutečně jedná o gesto dobré vůle ze strany Rady města Brna, Zastupitelstva města Brna, pomoci těmto znevýhodněným dětem.",0,e715158e17e939ea
irena-matonohova,Z9/06,30,"JUDr. Irena Matonohová, členka Rady města Brna: Pane zastupiteli, já to vůbec neberu ve zlém. Ale my jsme se tadytomuto tématu věnovali na školské komisi celkem dlouho a obsáhle. A měla jsem za to, že jsem Vám svůj postoj dostatečně vysvětlila.",0,e715158e17e939ea
irena-matonohova,Z9/06,37,"JUDr. Irena Matonohová, členka Rady města Brna: Mohu mluvit? Slyšíte mě?",0,e715158e17e939ea
irena-matonohova,Z9/06,37,"JUDr. Irena Matonohová, členka Rady města Brna: Mohu mluvit? Už?",0,e715158e17e939ea
irena-matonohova,Z9/06,37,"JUDr. Irena Matonohová, členka Rady města Brna: Už ano, výborně, děkuji. Děkuji za slovo. Pane zastupiteli, já plně respektuji Váš názor a jenom bych ještě jednou Vás požádala, tak jako na školské komisi, aby Vy jste respektoval názor můj. Já bych jenom v krátkosti Vám ráda doplnila, že se jedná o 4 školy, které jsou zapojeny v tomto programu. A na těchto školách jsou děti, které by rády trávily svůj volný čas smysluplným způsobem, například hrou na hudební nástroj, ale, bohužel, sociální podmínky dané rodiny to neumožňují. Proto jsem velmi ráda, že, jako město Brno, takovýto program podporujeme. A k Vašemu dotazu, já jsem se samozřejmě na tyto informace již doptávala. Bylo mi řečeno, že výuce na hudební nástroj na těchto školách vyučují lidé, kteří normálně jsou schopni učit na uměleckých školách. Takže tolik k Vašemu dotazu. A jenom bych ještě hrozně ráda doplnila, že výuka na hudební nástroj každopádně je pro děti, a nejenom pro děti, i pro dospělé, velice, velice přínosná, protože rozvíjí funkci mozku a rozvíjí také kreativní činnosti všech, kdo se výuce na hudební nástroj věnují.",4,e715158e17e939ea
