osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
jakub-hruska,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
jakub-hruska,Z9/01,13,"Členy Kontrolního výboru Zastupitelstva města Brna byli zvoleni Mgr. et Mgr. Jana Nováková, Mgr. Adam Zemek, Vít Prýgl, Bc. Matěj Hollan, Bc. Jakub Hruška, Mgr. Michal Chládek a Jiří 13",0,36036d38da50510d
jakub-hruska,Z9/03,61,"Bc. Jakub Hruška: Já bych využil toho, že pan radní vlastně zahájil jakousi sérii bodů, 91) a dále. Chtěl bych říct, že jako zastupitel města rád podpořím tyto body a návrh na zahájení procesu pořízení, ale zároveň bych také chtěl říct, že jako starosta Kohoutovic musím upozornit, že naše městská část",2,31d42a3a0b7a27be
jakub-hruska,Z9/05,75,"Bc. Jakub Hruška: Já se přiznám, že vnímám tendleten bod trochu kontroverzně, a to i s přihlédnutím na bod, který už byl schválen, a to bod 121), kde vlastně, v sice v trochu jiné situaci, ale město své peníze poukázalo na výkup pozemků, zatímco v tomhletom případě poskytuje město Komínu pouze půjčku. Já bych chtěl říct, že to považuju za významně nekoncepční a byl bych velmi rád, kdyby my, jako starostové, jsme měli v podstatě nějakou vodící linku, zda město stojí o to, aby se pozemky, které je potřeba pro městské, pro městskou část nebo pro celoměstský význam, měly vykupovat či nikoliv. A chci se zároveň zeptat, jestli je to tak, že když se tedy v případě tadyté, tohoto bodu peníze pouze půjčují, tak jestli máme, jako starostové, počítat i s tím, že když se budou pozemky prodávat, tak jestli naopak zase ty peníze z toho prodeje poputují přímo do té městské části?",0,855e8c7abe4c7621
jakub-hruska,Z9/11,10,"Bc. Jakub Hruška: Já bych chtěl moc poděkovat za čas a energii, kterou věnujete projektu, který je pro město nadějí na ekologický, levný a správný směr, jak nakládat s odpadem a energií v našem městě. Chci poděkovat taky Vám všem, kteří nepodpoříte řešení, které zdraží teplo Brňanům. Je to totiž zjevný fakt, který se sice Teplárny ve své odpovědi snaží krýt, vzít na sebe, což je od nich milé, ale není jisté, že si budou moci dovolit vždycky. Ano, bilance ceny tepla vychází, ale důvodem je, že Teplárny zaplatí 109.000.000 ze svého, aby zdražení zamezily. Chci taky poděkovat Vám všem, kteří podporujete kotel, protože je pro město přínosem. Je totiž řešením končící životnosti kotlů stávajících a logickým způsobem, jak má město Brno řešit odpadové hospodářství, což dokazuje i to, že to tento projekt nejenže přežil, ale byl podporován několika vedeními brněnské radnice. Chtěl bych také poděkovat všem, kteří nevystaví město nákladům spojený s nerealizací, která může být až v řádech miliard. Máme tu mnoho informací a já bych rád poukázal na jednu, velmi zásadní. Představenstvo společnosti již jednou rozhodlo pro výstavbu kotle. Pokud se ovšem, kolegové a kolegyně, rozhodne zastupitelstvo pro jeho zrušení, vystavíme město velkému nebezpečí. Újma, která je odhadována až v řádech miliard, je něco, co se případným usnesením město zavazuje uhradit. Tedy spíše mělo by, protože pokud toto vyčíslení a pojmenování újmy neproběhne, nebude tento pokyn skutečným pokenem, nebude platný. Chtěl bych říct, že kotel je správná a ekologická varianta pro město Brno. Je to projekt, ke kterému se dlouhodobě přistupuje, po mém soudu, s chirurgickou opatrností za využití mnoha a mnoha analýz. Zásadním potvrzením, že se jedná o ekologické řešení, jak má město v odpadovém hospodářství, ale taky v energetickém hospodářství postupovat, je, po mém soudu, i fakt, že jsme na tento projekt získali zásadní dotaci z Ministerstva životního prostředí, v obrovské míře, téměř 3.000.000.000 Kč. Po mém soudu je tento projekt pro město správným řešení. A chtěl bych Vás, vážené kolegyně a vážení kolegové, požádat, abyste město nevystavovali zdražování tepla, abyste město nenutili vrátit 2.800.000.000 dotace, ale abyste udělali to, co je pro město správné, tedy podpořili ekologickou, levnou variantu, jak zajistit odpadové hospodářství ve městě Brně, tedy výstavbu 3. kotle.",0,8b2034d2529405ca
jakub-hruska,Z9/11,10,"Bc. Jakub Hruška: Já jsem k takovémuto rozhodnutí přišel tak, že jsem chtěl, aby byla Rada města Brna, potažmo město Brno, zastupitelé města Brna informováni, plně informováni o tom, jakým způsobem se pokračuje. A protože Rada města Brna nebyla ochotna projednat materiály, které představenstvo opakovaně předkládalo do Rady města Brna, tak jsem považ, považoval za správné v tomto hlasování vyjádřit svůj názor, to znamená podpořit to, výstavbu kotle, ale nikoli hlasovat.",0,8b2034d2529405ca
jakub-hruska,Z9/11,23,"Bc. Jakub Hruška: Já bych chtěl rovněž, také nahlásit podjatost.",0,8b2034d2529405ca
jakub-hruska,Z9/10,2,Bc. Jakub Hruška – navrhl stažení bodu č. 7) z programu jednání.,2,eb0d7acd8a1bcc62
jakub-hruska,Z9/10,52,"Bc. Jakub Hruška: Já bych si jenom dovolil upozornit na informaci, která, tuším, tady dneska nezazněla. Já jsem ji včera řekl, že mně, jako ostatním členům představenstva, byl včera doručen e-mail, který je vlastně adresován představenstvu společnosti SAKO Brno, od společnosti Metrostav, prostřednictvím",0,eb0d7acd8a1bcc62
jakub-hruska,Z9/10,57,"Bc. Jakub Hruška: Omlouvám se za případně špatně čárky. Bylo to myšleno skutečně tak, aby byly osloveny ty subjekty, které zpracovávaly ty analýzy, které byly doposud, na základě kterých byla zpracována ta analýza, která byla představena dneska, aby se k nim nějakým způsobem vyjádřily. Protože se tady objevily některé informace, které do určité míry zpochybňují ty závěry těch předcházejících analýz, tak abysme měli nějakou jejich oponenturu. Samozřejmě chápu, že to nemusí být časově zvládnutelné, ale přesto si myslím, že by se o to, že bysme se o to měli pokusit.",0,eb0d7acd8a1bcc62
