osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
jana-drapalova,Z9/01,2,"ČSSD VAŠI STAROSTOVÉ – předseda JUDr. Jiří Oliva Mgr. Břetislav Štefan Mgr. Bc. Marek Viskot Zelení a Žít Brno – předseda Ing. Jana Drápalová Mgr. Jasna Flamiková Bc. Matěj Hollan Poté JUDr. Markéta Vaňková, primátorka, upozornila, že jednání se řídí platným Jednacím řádem Zastupitelstva města Brna. Jmenování zapisovatelek a pověření právní asistencí Zapisovatelkami jednání byly jmenovány Jana Sovová a Marie Doubravová, zaměstnankyně Organizačního odboru MMB, a právní asistencí byly pověřeny JUDr. Hana Doležalová a Mgr. Nikol Wagnerová, zaměstnankyně Právního oddělení Organizačního odboru MMB. Složení slibu členů Zastupitelstva města Brna Primátorka JUDr. Markéta Vaňková konstatovala, že všem přítomným členům Zastupitelstva města Brna, zvoleným ve volbách do zastupitelstev obcí konaných ve dnech 23. a 24. 9. 2022, bylo předáno „Osvědčení o zvolení členem Zastupitelstva města Brna“ podle § 53 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. V období od zvolení rezignovala na svůj mandát dne 19. 10. 2022 Bc. Petra Quittová. Prvním náhradníkem na kandidátní listině Lid. a Star. (KDU-ČSL+St. a nez.) byl Mgr. Jaroslav Suchý, který se v souladu s § 56 odst. 1 zákona o volbách do zastupitelstev obcí stal dne 20. 10. 2022 členem Zastupitelstva města Brna. Před složením slibu primátorka JUDr. Markéta Vaňková upozornila přítomné členy Zastupitelstva města Brna, že odmítnutí složit slib nebo složení slibu s výhradou má za následek okamžitý zánik mandátu dle § 55 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. Ing. Oliver Pospíšil, tajemník Magistrátu města Brna, přednesl slib stanovený v § 69 odst. 2 zákona o obcích: „Slibuji věrnost České republice. Slibuji na svou čest a svědomí, že svoji funkci budu vykonávat svědomitě, v zájmu města a jeho občanů, a řídit se Ústavou a zákony České republiky.“ Poté jmenovitě vyzval všechny přítomné členy Zastupitelstva města Brna, aby složili slib pronesením slova „slibuji“ a stvrdili jej podpisem na připravených listinách. Následně všech 54 členů Zastupitelstva města Brna složilo bez výhrad slib stanovený zákonem o obcích. Určení ověřovatelů zápisu a schválení programu ustavujícího zasedání Zastupitelstva města Brna Za ověřovatele zápisu byli navrženi JUDr. Robert Kerndl, Vít Prýgl a Mgr. Jaroslav Suchý. K hlasování o návrhu na ověřovatele zápisu bylo přistoupeno bez rozpravy. Hlasování je dále uváděno v pořadí: pro - proti - zdržel se - nehlasoval. Hlasování č. 1: 53 - 0 - 0 - 1",6,36036d38da50510d
jana-drapalova,Z9/01,11,"Pokračování po přestávce JUDr. Markéta Vaňková, primátorka – přistoupila k dokončení voleb dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna, a to předsedkyně/předsedy Kontrolního výboru Zastupitelstva města Brna. Volba dlouhodobě uvolněné/uvolněného předsedkyně/předsedy Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci dlouhodobě uvolněné/uvolněného předsedkyně/předsedy Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Mgr. Bc. Tomáš Anderle, MBA, LL.M., navrhl zvolit do funkce dlouhodobě uvolněného předsedy Kontrolního výboru Zastupitelstva města Brna doc. MUDr. Tomáše Skřičku, CSc. Členka zastupitelstva Ing. Jana Drápalová navrhla zvolit do funkce dlouhodobě uvolněného předsedy Kontrolního výboru Zastupitelstva města Brna Bc. Matěje Hollana. Navržení kandidáti, doc. MUDr. Tomáš Skřička, CSc., i Bc. Matěj Hollan, vyslovili souhlas s kandidaturou a přednesli kandidátské projevy. Dotazy vzneseny nebyly. Hlasování o volbě dlouhodobě uvolněného předsedy Kontrolního výboru Zastupitelstva města Brna, v abecedním pořadí. Výsledek hlasování: - hlasování se zúčastnilo ………… 51 členů Zastupitelstva města Brna - pro Bc. Matěje Hollana …………. 4 hlasy Hlasování č. 22: 4 - 12 - 30 - 5",6,36036d38da50510d
jana-drapalova,Z9/01,13,"Členy Finančního výboru Zastupitelstva města Brna byli zvoleni Bc. Jiří Kment, Mgr. Marek Lahoda, Ing. Daniel Struž, MBA, Ing. Jana Drápalová a Petr Šafařík. Volba neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Mgr. Marek Lahoda navrhl zvolit do funkce místopředsedkyně Kontrolního výboru Zastupitelstva města Brna Mgr. Moniku Lukášovou Spilkovou, Ph.D. Jiný návrh na zvolení do funkce neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna podán nebyl. Navržená kandidátka Mgr. Monika Lukášová Spilková, Ph.D., vyslovila souhlas s kandidaturou. Hlasování o volbě místopředsedkyně Kontrolního výboru Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo ………………………. 53 členů Zastupitelstva města Brna - pro Mgr. Moniku Lukášovou Spilkovou, Ph.D. 45 hlasů Hlasování č. 29: 45 - 0 - 5 - 3",4,36036d38da50510d
jana-drapalova,Z9/01,13,"Místopředsedkyní Kontrolního výboru Zastupitelstva města Brna byla zvolena Mgr. Monika Lukášová Spilková, Ph.D. Volba neuvolněných členek/členů Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 7 neuvolněných členek/členů Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Bc. Jiří Kment navrhl nezastupitelku Mgr. et Mgr. Janu Novákovou, Mgr. Marek Lahoda navrhl Mgr. Adama Zemka, Ing. Karin Karasová, náměstkyně primátorky, navrhla Víta Prýgla, členka zastupitelstva Ing. Jana Drápalová navrhla Bc. Matěje Hollana, JUDr. Michal Marek navhl Bc. Jakuba Hrušku, JUDr. Robert Kerndl, náměstek primátorky, navrhl nezastupitele",6,36036d38da50510d
jana-drapalova,Z9/01,14,"Místopředsedou Výboru pro národnostní menšiny Zastupitelstva města Brna byl zvolen JUDr. Michal Chládek, MBA. Volba neuvolněných členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 4 neuvolněných členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna. Člen zastupitelstva Leoš Prokeš, MBA, navrhl nezastupitele Akopa Chodžajana, Ing. Jana Drápalová navrhla Mgr. Jasnu Flamikovou, Mgr. Marek Lahoda navrhl Bc. Tomáše Koláčného, Ing. Karin Karasová, náměstkyně primátorky, navrhla nezastupitelku Bc. Sabinu Benešovou, člen zastupitelstva JUDr. Michal Marek navrhl Mgr. Jitku Ivičičovou. JUDr. Markéta Vaňková, primátorka, na základě právní porady navrhla přerušení projednávání bodu 11), opětovné zařazení a projednání bodu 3) Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů z důvodu zájmu o navýšení počtu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna. 3. Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů JUDr. Markéta Vaňková, primátorka, navrhla hlasovat o revokaci usnesení o počtu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna a o změně usnesení spočívající v navýšení počtu ze 13 na 15 členů: Hlasování č. 33: 53 - 0 - 1 - 0",6,36036d38da50510d
jana-drapalova,Z9/04,37,"Ing. Jana Drápalová: Já jsem si přečetla ten návrh usnesení a nejsem si úplně jistá, jestli mu dobře rozumím. Protože se zde uvádí odkaz na nějaké rozhodnutí Kontrolního výboru Zastupitelstva města Brna a já si nejsem vědoma toho, že by kontrolní výbory mohly přijímat nějaká rozhodnutí. Takže může mi někdo vysvětlit ten návrh usnesení?",2,a43c0850f687c0a3
jana-drapalova,Z9/04,38,"Ing. Jana Drápalová: Takže já jsem se nedočkala odpovědi na svůj dotaz, tak si myslím, že pokud by se hlasovalo o tom, co navrhoval pan Hladík, tak už to je bezpředmětné. Nicméně jsem jenom chtěla upozornit, že kontrolní výbor nepřijímá rozhodnutí, ale usnesení.",0,a43c0850f687c0a3
jana-drapalova,Z9/02,10,"Volba další členky/člena Výboru pro národnostní menšiny Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 1 členky/člena Výboru pro národnostní menšiny Zastupitelstva města Brna. Člen Rady města Brna Bc. Tomáš Aberl navrhl nezastupitelku Mgr. Zdeňku Dubovou, člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., navrhl nezastupitele Olega Beznosika, členka zastupitelstva Ing. Jana Drápalová navrhla nezastupitele Mgr. Matouše Vencálka.",6,9d9381375d84a343
jana-drapalova,Z9/02,25,"Ing. Jana Drápalová: Já bych tadyktomu bodu měla 3 dotazy. První je, jak je možné, že se příspěvkové organizaci při pořádání akce podaří překročit plánovaný rozpočet této akce téměř na trojnásobek, a přitom dodržet všechna pravidla řídicí kontroly? Druhá otázka je, zda příslušný odbor prováděl veřejnosprávní kontrolu tadyvtéto příspěvkové organizaci na základě té podané žádosti o dokrytí financí na ty 2 akce, které se vlastně v rámci toho rozpočtového opatření mají dofinancovat? A třetí otázka, ta už je víceméně řečnická, jaký je to signál pro ostatní ředitele příspěvkových organizací, kteří musí dodržovat všechna pravidla, a zároveň vidíme na tom předchozím bodě, Muzeum města Brna se úzkostlivě snaží dodržovat všechna pravidla, aby náhodou nebyli nařčeni z porušení rozpočtové kázně, a žádají si i o změnu účelu, že buď je to vitrína s nožičkama, nebo bez nožiček?",0,9d9381375d84a343
jana-drapalova,Z9/02,26,"Ing. Jana Drápalová: Ano, děkuji, já si myslím, že se dá částečně pochopit i to, že se jednalo o mimořádnou dobu a souvislosti s covidem, takže když se ta akce plánovala, tak nebyla známa dopředu všechna možná opatření. To je jedna věc. Dokonce dokážu i pochopit, že při velké návštěvnosti je potřeba některé peníze vydat například na mimořádný úklid parku, a tak to tam, v tom materiálu, je popsáno, ale ty největší navýšení oproti plánovanému rozpočtu se týkají právě těch licenčních smluv na ta umělecká díla, které se nepochybně musely dopředu připravovat, soutěžit, a ty smlouvy byly uzavírány ještě dlouho před začátkem těchto akcí. A tam jsem zejména směřovala svoje dotazy, protože tam určitě muselo proběhnout nějaké výběrové řízení a zároveň už dopředu bylo známo, že teda se nedají ty předpokládané věci pořídit za ty peníze, které byly v tom rozpočtu naplánovány. Tak k tomu směřoval můj dotaz a zároveň bych chtěla poprosit tedy o protokol z té veřejnosprávní kontroly.",0,9d9381375d84a343
