osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
jaroslav-suchy,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
jaroslav-suchy,Z9/01,2,"ČSSD VAŠI STAROSTOVÉ – předseda JUDr. Jiří Oliva Mgr. Břetislav Štefan Mgr. Bc. Marek Viskot Zelení a Žít Brno – předseda Ing. Jana Drápalová Mgr. Jasna Flamiková Bc. Matěj Hollan Poté JUDr. Markéta Vaňková, primátorka, upozornila, že jednání se řídí platným Jednacím řádem Zastupitelstva města Brna. Jmenování zapisovatelek a pověření právní asistencí Zapisovatelkami jednání byly jmenovány Jana Sovová a Marie Doubravová, zaměstnankyně Organizačního odboru MMB, a právní asistencí byly pověřeny JUDr. Hana Doležalová a Mgr. Nikol Wagnerová, zaměstnankyně Právního oddělení Organizačního odboru MMB. Složení slibu členů Zastupitelstva města Brna Primátorka JUDr. Markéta Vaňková konstatovala, že všem přítomným členům Zastupitelstva města Brna, zvoleným ve volbách do zastupitelstev obcí konaných ve dnech 23. a 24. 9. 2022, bylo předáno „Osvědčení o zvolení členem Zastupitelstva města Brna“ podle § 53 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. V období od zvolení rezignovala na svůj mandát dne 19. 10. 2022 Bc. Petra Quittová. Prvním náhradníkem na kandidátní listině Lid. a Star. (KDU-ČSL+St. a nez.) byl Mgr. Jaroslav Suchý, který se v souladu s § 56 odst. 1 zákona o volbách do zastupitelstev obcí stal dne 20. 10. 2022 členem Zastupitelstva města Brna. Před složením slibu primátorka JUDr. Markéta Vaňková upozornila přítomné členy Zastupitelstva města Brna, že odmítnutí složit slib nebo složení slibu s výhradou má za následek okamžitý zánik mandátu dle § 55 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. Ing. Oliver Pospíšil, tajemník Magistrátu města Brna, přednesl slib stanovený v § 69 odst. 2 zákona o obcích: „Slibuji věrnost České republice. Slibuji na svou čest a svědomí, že svoji funkci budu vykonávat svědomitě, v zájmu města a jeho občanů, a řídit se Ústavou a zákony České republiky.“ Poté jmenovitě vyzval všechny přítomné členy Zastupitelstva města Brna, aby složili slib pronesením slova „slibuji“ a stvrdili jej podpisem na připravených listinách. Následně všech 54 členů Zastupitelstva města Brna složilo bez výhrad slib stanovený zákonem o obcích. Určení ověřovatelů zápisu a schválení programu ustavujícího zasedání Zastupitelstva města Brna Za ověřovatele zápisu byli navrženi JUDr. Robert Kerndl, Vít Prýgl a Mgr. Jaroslav Suchý. K hlasování o návrhu na ověřovatele zápisu bylo přistoupeno bez rozpravy. Hlasování je dále uváděno v pořadí: pro - proti - zdržel se - nehlasoval. Hlasování č. 1: 53 - 0 - 0 - 1",6,36036d38da50510d
jaroslav-suchy,Z9/01,7,1. náměstkem primátorky města Brna byl zvolen Mgr. René Černý. Volba v pořadí 2. náměstkyně/náměstka primátorky města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci v pořadí 2. náměstkyně/náměstka primátorky města Brna. Člen zastupitelstva JUDr. Michal Marek navrhl zvolit do funkce v pořadí 2. náměstka primátorky města Brna Mgr. Jaroslava Suchého. Jiný návrh na zvolení do funkce 2. náměstkyně/náměstka primátorky města Brna podán nebyl. Navržený kandidát Mgr. Jaroslav Suchý vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě v pořadí 2. náměstka primátorky města Brna. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro Mgr. Jaroslava Suchého ……………... 46 hlasů Hlasování č. 11: 46 - 5 - 3 - 0,4,36036d38da50510d
jaroslav-suchy,Z9/01,7,"V pořadí 2. náměstkem primátorky města Brna byl zvolen Mgr. Jaroslav Suchý. Volba v pořadí 3. náměstkyně/náměstka primátorky města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci v pořadí 3. náměstkyně/náměstka primátorky města Brna. JUDr. Markéta Vaňková, primátorka, navrhla zvolit do funkce v pořadí 3. náměstka primátorky města Brna JUDr. Roberta Kerndla. Jiný návrh na zvolení do funkce 3. náměstkyně/náměstka primátorky města Brna podán nebyl. Navržený kandidát JUDr. Robert Kerndl vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě v pořadí 3. náměstka primátorky města Brna. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro JUDr. Roberta Kerndla ……………….. 42 hlasů Hlasování č. 12: 42 - 5 - 7 - 0",6,36036d38da50510d
jaroslav-suchy,Z9/01,12,"Předsedkyní Finančního výboru Zastupitelstva města Brna byla zvolena Ing. Andrea Pazderová. Volba neuvolněné/neuvolněného místopředsedkyně/místopředsedy Finančního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci neuvolněné/neuvolněného místopředsedkyně/místopředsedy Finančního výboru Zastupitelstva města Brna. Mgr. Jaroslav Suchý, náměstek primátorky, navrhl zvolit do funkce místopředsedy Finančního výboru Zastupitelstva města Brna JUDr. Michala Marka. Jiný návrh na zvolení do funkce neuvolněné/neuvolněného místopředsedkyně/místopředsedy",4,36036d38da50510d
jaroslav-suchy,Z9/01,19,"Ověřovatelé JUDr. Robert Kerndl v. r. Vít Prýgl v. r. Mgr. Jaroslav Suchý v. r. V Brně dne 27. října 2022 Zápis zpracovala Jana Sovová, Organizační odbor MMB Usnesení zapsala Marie Doubravová, Organizační odbor MMB",0,36036d38da50510d
jaroslav-suchy,Z9/02,22,"Mgr. Jaroslav Suchý, náměstek primátorky: Já chci jenom doplnit, že doporučuji, velmi, učinit s tímto projektem osobní zkušenost, stejně jako jsem to udělal já.",0,9d9381375d84a343
jaroslav-suchy,Z9/05,11,"Mgr. Jaroslav Suchý, náměstek primátorky: Ano, jestli, dobré ráno, dámy a pánové. Já děkuji za podnět. A pokud máte zájem, prosím, objednejte se ke mně, do kanceláře, a můžeme si o tom popovídat.",0,855e8c7abe4c7621
jaroslav-suchy,Z9/07,7,"Mgr. Jaroslav Suchý, náměstek primátorky – prohlásil hlasování o kandidátce JUDr. Kristýně Fuchsové za zmatečné a požádal o opakování hlasování.",2,736feb627c8ee927
jaroslav-suchy,Z9/07,32,"Mgr. Jaroslav Suchý, náměstek primátorky: Paní primátorko, dobrý den, prosím o krátké přerušení zastupitelstva za účelem porady klubu KDU-ČSL a Starostů. Děkuju.",0,736feb627c8ee927
jaroslav-suchy,Z9/06,86,"Mgr. Jaroslav Suchý, náměstek primátorky: Já si jenom dovolím na chviličku zpátky, k Tomáši Koláčnému a incidentu v oboře. Samozřejmě prověříme, dáme vědět, ozveme se.",0,e715158e17e939ea
jaroslav-suchy,Z9/08,16,"Mgr. Jaroslav Suchý, náměstek primátorky, navrhl jmenovat do funkce člena dozorčí rady Ing. Jana Zámečníka.",2,1b7d3b44f9e1e083
jaroslav-suchy,Z9/08,50,"Bc. Tomáš Koláčný: Já si dovolím dvě doplnění, nejdřív na paní primátorku, doplnění týkající se toho jednání v rámci koncesního řízení. Ne, skutečně se nejednalo o nějaké, nevím, jaké boční setkání, ale o oficiální jednání hodnotící komise, ze které existuje zápis a kterého kromě mě, byl účasten Petr Kratochvíl, Jaroslav Suchý a myslím aji Filip Chvátal, to si nejsem úplně jistý. Takže skutečně tady tadlensta nabídka od Libora Zábranského tam zazněla, předpokládám, že pokud to někoho zajímá, tak ji může potvrdit. Druhé doplnění směrem k Petru Kratochvílovi, ne, já jsem nehovořil o maximálním rámci peněžitých příplatků ze strany SMB, který skutečně činí 7.200.000.000, ale hovořil jsem o úrocích, které plynou z toho harmonogramu splácení, který je tuším na straně 104 materiálu, kde se píše, že ty celkové úroky budou 1.660.000.000, to je to, o čem hovořím, to je to, čímž se prodraží ta stavba prostřednictvím jenom toho, že si město tady tenhlensten úvěr vezme.",0,1b7d3b44f9e1e083
jaroslav-suchy,Z9/08,60,"Mgr. Jaroslav Suchý, náměstek primátorky – navrhl opětovné zařazení bodu 48) Návrh na poskytnutí individuální neinvestiční dotace společnosti EkoInkubátor, z.ú., na podporu Mezinárodního filmového festivalu EKOFILM a návrh smlouvy o poskytnutí dotace na program jednání.",4,1b7d3b44f9e1e083
jaroslav-suchy,Z9/08,80,"Mgr. Jaroslav Suchý, náměstek primátorky: Dovoluji si navrhnout změnu usnesení v bodě č. 2, a to na souhlasí.",0,1b7d3b44f9e1e083
jaroslav-suchy,Z9/09,41,"Mgr. Jaroslav Suchý, náměstek primátorky: Já jenom tadynatendleten dotaz chci zareagovat tak, že cesty, které jsou potřeba pro případnou automobilovou techniku, tak zůstanou přístupné, k té redukci asfaltových ploch dojde, nikoliv na minimum, ale na pohodlnou šířku pro všechny skupiny obyvatelstva. A hlavní přínos tadyvtomhletom projektu vidím v tom, že srážková voda, která nám dneska mizí v kanalizaci pod ústředním hřbitovem, bude využita jak na zálivku, tak na v podstatě stromy, které jsou tam dneska již vzrostlé, kterým to prospěje.",0,3662325cd3a42957
jaroslav-suchy,Z9/11,26,"Mgr. Jaroslav Suchý, náměstek primátorky: Prosím o pauzu na poradu klubu Lidovců a Starostů.",0,8b2034d2529405ca
jaroslav-suchy,Z9/11,29,"Mgr. Jaroslav Suchý, náměstek primátorky: Já bych chtěl jen stručně deklarovat, že klub Lidovců a Starostů se vysloví proti tajnému hlasování . Ing. Jana Drápalová: Náš klub bude také hlasovat proti tajnému hlasování, protože si myslím, že zastupitelstvo koná ze své, z principu, ze zákona veřejně, je veřejně přístupné pro občany, občané mají právo vědět,",0,8b2034d2529405ca
jaroslav-suchy,Z9/11,36,"Mgr. Jaroslav Suchý, náměstek primátorky: Paní primátorko, omlouvám se, uklikl jsem se. Prosím, hlasovat ještě jednou.",0,8b2034d2529405ca
jaroslav-suchy,Z9/10,1,"Omluveni: RNDr. Jiří Herman, Ph.D. (od 14:30 hod.), Mgr. Petr Hladík (od 12:45 do 13:00 hod.), Bc. Kateřina Jarošová, MBA (od 15:00 hod.), JUDr. Irena Matonohová, členka Rady města Brna, Mgr. Jaroslav Suchý, náměstek primátorky, Ing. Daniel Struž, MBA.",0,eb0d7acd8a1bcc62
jaroslav-suchy,Z9/12,7,"Mgr. Jaroslav Suchý, náměstek primátorky: Já bych jenom chtěl doplnit to, o čem tady bylo hovořeno ze straní paní zastupitelky Flamikové. Padlo tady, že Odbor životního prostředí nemá dostatečné informace o počtech případně uschlých stromů na městských částech. Já chci jenom upřesnit, že Odbor životního prostředí má ty informace, které mu městské části zašlou. To znamená, od některých městských částí tyto informace máme, od některých je nemáme. A ty, od kterých je nemáme, prosím, abychom je dostali.",0,36a4e03789f899b5
jaroslav-suchy,Z9/12,8,"Mgr. Jaroslav Suchý, náměstek primátorky: Já jenom ještě malé upřesnění. Pokud vím, pokud mám správnou informaci, tak Odbor životního prostředí městské části o tyto informace pravidelně žádá.",0,36a4e03789f899b5
jaroslav-suchy,Z9/12,12,"Mgr. Jaroslav Suchý, náměstek primátorky: Já bych jenom chtěl potvrdit to, co říkala paní Flamiková, v podstatě to řekla za mě. A chci jenom říct, že Veřejná zeleň nevysazuje stromy jen tak halabala, ale pečlivě, s ohledem na současné klimatické podmínky a naši geografickou polohu.",0,36a4e03789f899b5
jaroslav-suchy,Z9/14,41,"Mgr. Jaroslav Suchý, náměstek primátorky: Ano, všechno je to, prosím, ze strany odboru kontrolováno a zacházeno s tím tak, aby to mělo veškeré náležitosti, které platná žádost o dotaci má mít.",0,198b605f95c9e2a9
jaroslav-suchy,Z9/13,32,"Mgr. Jaroslav Suchý, náměstek primátorky: Já jenom, pokud mám správné informace, tak rekonstrukce obřadní síně je zajišťována z úrovně městské části a veškeré práce související s touto akcí jsou sladěny s rekonstrukcí povrchu, z úrovně Správy hřbitovů.",0,1f55fba1fd91456a
jaroslav-suchy,Z9/13,44,"Mgr. Jaroslav Suchý, náměstek primátorky: Děkuji za podnět a já zařídím, aby příště tadytakováto věc na komisi životního prostředí byla.",0,1f55fba1fd91456a
jaroslav-suchy,Z9/13,79,"Mgr. Jaroslav Suchý, náměstek primátorky: Já se chci připojit ke kolegům a za klub lidovců a starostů všem popřát klidný Advent, hezké Vánoce a vše dobré v roce 2024.",0,1f55fba1fd91456a
jaroslav-suchy,Z9/18,1,"Omluveni: Mgr. Vladan Krásný (od 8:00 do 9:00 hod.), Mgr. Marek Lahoda, JUDr. Michal Marek, Mgr. Pavel Outrata, Mgr. Jaroslav Suchý (do 12:25 hod.), JUDr. Markéta Vaňková, primátorka.",0,aeee21aca2ee1a98
jaroslav-suchy,Z9/22,18,"Mgr. Jaroslav Suchý: Jak už tady bylo zmíněno, Petrem Bořeckým, tak příprava územního plánu byla dlouhodobá záležitost a Petr Bořecký zmiňoval, že spousta lidí za to zaslouží poděkování. Já bych tadyvtomto smyslu chtěl vypíchnout jednu osobu, která si myslím, že to poděkování si zaslouží, a to je Filip Chvátal. Filipe, díky.",0,0a5e067d7f1d3081
jaroslav-suchy,Z9/24,1,"Omluveni: Ing. Jana Drápalová (do 9:45 hod.), Mgr. Jasna Flamiková (do 9:25 hod.), Ing. David Grund (od 12:15 do 13:00 hod.), Bc. Matěj Hollan (do 9:10 hod.), Mgr. Vladan Krásný (do 9:45 hod.), Mgr. Martin Maleček (od 11:45 hod.), Mgr. Jaroslav Suchý (do 9:25 hod.).",0,0f8748a98e03e9ac
jaroslav-suchy,Z9/24,24,Mgr. Jaroslav Suchý: Já bych rád navrhnul projednání tadytohoto bodu po přestávce.,0,0f8748a98e03e9ac
jaroslav-suchy,Z9/26,1,"Omluveni: Ing. David Grund, Mgr. Petr Hladík, Bc. Matěj Hollan (do 9:15 hod.), Bc. Kateřina Jarošová, MBA, Mgr. Jaroslav Suchý, Libor Zábranský.",0,e5fe37ddafdb66a3
jaroslav-suchy,Z9/29,1,"Omluveni: Mgr. Bc. Blanka Borovská, Bc. Matěj Hollan (od 10:30 hod.), Mgr. Filip Leder, Mgr. Martin Maleček (od 9:30 do 10:30 hod.), Mgr. Jaroslav Suchý (od 10:30 hod.), Mgr. Břetislav Štefan.",0,af870d56898ecc01
jaroslav-suchy,Z9/33,12,"Mgr. Jaroslav Suchý: Já bych se chtěl ve svém krátkém vystoupení vrátit k tomu, co tady říkala kolegyně, Iva Zajíčková, a to je multifunkční sportoviště Lužánky, včetně rychlobruslařské dráhy. Chtěl bych tímto poprosit kolegu zastupitele, Tomáše Aberla, aby studii multifuch, funkčního sportoviště, která už byla rozpracována, předložil, pokud možno, k dalšímu rozpracování. Mockrát děkuju za zvážení.",0,91c18ad4dbe746da
jaroslav-suchy,Z9/33,82,"Mgr. Jaroslav Suchý: Já bych se chtěl jenom ještě ve stručnosti vrátit k multifunkčnímu sportovišti Lužánky, a to jen, prosím, nejen v návaznosti na olympijské úspěchy našich sportovců. Je tam projekt multifunkčního sportoviště včetně rychlobruslařské dráhy, který byl pozastaven. A já, vzhledem k tomu, že Brno je v podstatě pro tyto druhy sportů spádové, jak pro Vídeň, tak pro Bratislavu, vzhledem k neexistenci žádných jiných sportovišť tohoto typu, plnilo by roli pro nejenom vrcholové, ale taky pro výkonnostní a rekreační sportovce, a bylo by celoročně využitelné, tak bych rád doporučil panu radnímu pro sport, aby zvážil vytažení tadytohoto projektu ze šuplíku a vrátil ho zpět do projednávání.",0,91c18ad4dbe746da
jaroslav-suchy,Z9/33,84,"Mgr. Jaroslav Suchý: Já bych jenom chtěl poděkovat Tomášovi za odpověď a myslím si, že pokud v tom procesu, který je nastaven, může nějakým způsobem figurovat fotbalový stadion, mohlo by tam klidně figurovat i multifunkční sportoviště, na jedné straně, na druhé straně moc si vážím nabídky ke schůzce a rád ji přijmu a pobavme se o tom.",0,91c18ad4dbe746da
jaroslav-suchy,Z9/35,1,"Omluveni: Mgr. Bc. Marek Viskot (od 10:00 do 13:00hod), Mgr. Vladan Krásný, JUDr. Michal Chládek (od13:00hod), Ing. Karin Podivinská, náměstkyně primátorky, Ing. Daniel Struž, MBA (od 12:00hod), Mgr. Petr Hladík (od 11:00 hod), Mgr. Jaroslav Suchý (od 13:00hod), Leoš Prokeš, MBA (od 12:00hod), Mgr. Jasna Flamiková (od 12:00hod), Mgr. Pavel Outrata.",0,0e845920a9ca9f72
jaroslav-suchy,Z9/36,58,Mgr. Jaroslav Suchý: požádal o samostatné hlasování o bodu 35).,2,597f2a8effabe498
