osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
jasna-flamikova,Z9/01,2,"ČSSD VAŠI STAROSTOVÉ – předseda JUDr. Jiří Oliva Mgr. Břetislav Štefan Mgr. Bc. Marek Viskot Zelení a Žít Brno – předseda Ing. Jana Drápalová Mgr. Jasna Flamiková Bc. Matěj Hollan Poté JUDr. Markéta Vaňková, primátorka, upozornila, že jednání se řídí platným Jednacím řádem Zastupitelstva města Brna. Jmenování zapisovatelek a pověření právní asistencí Zapisovatelkami jednání byly jmenovány Jana Sovová a Marie Doubravová, zaměstnankyně Organizačního odboru MMB, a právní asistencí byly pověřeny JUDr. Hana Doležalová a Mgr. Nikol Wagnerová, zaměstnankyně Právního oddělení Organizačního odboru MMB. Složení slibu členů Zastupitelstva města Brna Primátorka JUDr. Markéta Vaňková konstatovala, že všem přítomným členům Zastupitelstva města Brna, zvoleným ve volbách do zastupitelstev obcí konaných ve dnech 23. a 24. 9. 2022, bylo předáno „Osvědčení o zvolení členem Zastupitelstva města Brna“ podle § 53 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. V období od zvolení rezignovala na svůj mandát dne 19. 10. 2022 Bc. Petra Quittová. Prvním náhradníkem na kandidátní listině Lid. a Star. (KDU-ČSL+St. a nez.) byl Mgr. Jaroslav Suchý, který se v souladu s § 56 odst. 1 zákona o volbách do zastupitelstev obcí stal dne 20. 10. 2022 členem Zastupitelstva města Brna. Před složením slibu primátorka JUDr. Markéta Vaňková upozornila přítomné členy Zastupitelstva města Brna, že odmítnutí složit slib nebo složení slibu s výhradou má za následek okamžitý zánik mandátu dle § 55 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. Ing. Oliver Pospíšil, tajemník Magistrátu města Brna, přednesl slib stanovený v § 69 odst. 2 zákona o obcích: „Slibuji věrnost České republice. Slibuji na svou čest a svědomí, že svoji funkci budu vykonávat svědomitě, v zájmu města a jeho občanů, a řídit se Ústavou a zákony České republiky.“ Poté jmenovitě vyzval všechny přítomné členy Zastupitelstva města Brna, aby složili slib pronesením slova „slibuji“ a stvrdili jej podpisem na připravených listinách. Následně všech 54 členů Zastupitelstva města Brna složilo bez výhrad slib stanovený zákonem o obcích. Určení ověřovatelů zápisu a schválení programu ustavujícího zasedání Zastupitelstva města Brna Za ověřovatele zápisu byli navrženi JUDr. Robert Kerndl, Vít Prýgl a Mgr. Jaroslav Suchý. K hlasování o návrhu na ověřovatele zápisu bylo přistoupeno bez rozpravy. Hlasování je dále uváděno v pořadí: pro - proti - zdržel se - nehlasoval. Hlasování č. 1: 53 - 0 - 0 - 1",6,36036d38da50510d
jasna-flamikova,Z9/01,13,"Místopředsedou Finančního výboru Zastupitelstva města Brna byl zvolen JUDr. Michal Marek. Volba neuvolněných členek/členů Finančního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 5 neuvolněných členek/členů Finančního výboru Zastupitelstva města Brna. Člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., navrhl Bc. Jiřího Kmenta, Bc. Tomáš Koláčný navrhl Mgr. Marka Lahodu, Ing. Karin Karasová, náměstkyně primátorky, navrhla Ing. Daniela Struže, MBA, členka zastupitelstva Mgr. Jasna Flamiková navrhla Ing. Janu Drápalovou a JUDr. Jiří Oliva, člen Rady města Brna, navrhl nezastupitele Petra Šafaříka. O všech kandidátech na člena Finančního výboru Zastupitelstva města Brna bylo hlasováno společně. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - všichni navržení kandidáti obdrželi ……… 53 hlasů Hlasování č. 28: 53 - 0 - 1 - 0",6,36036d38da50510d
jasna-flamikova,Z9/01,15,"Členy Výboru pro národnostní menšiny Zastupitelstva města Brna byli zvoleni Akop Chodžajan, Mgr. Jasna Flamiková, Bc. Tomáš Koláčný, Bc. Sabina Benešová a Mgr. Jitka Ivičičová. JUDr. Markéta Vaňková, primátorka, upozornila, že v případě Výboru pro národnostní menšiny Zastupitelstva města Brna musí nadpoloviční většinu jeho členů tvořit zástupci národnostních menšin. Proto je nutné, aby předseda tohoto výboru oslovil příslušné spolky národnostních menšin se žádostí o delegování kandidátů na členy výboru, jak je uvedeno v navrženém usnesení k bodu 11). JUDr. Markéta Vaňková, primátorka – přistoupila k hlasování o návrhu na uložení povinnosti předsedovi Výboru pro národnostní menšiny Zastupitelstva města Brna připravit doplňující volbu členek/členů tohoto výboru na příští zasedání Zastupitelstva města Brna: Hlasování č. 35: 54 - 0 - 0 - 0",6,36036d38da50510d
jasna-flamikova,Z9/04,40,"Mgr. Jasna Flamiková: Já nevím, jestli bude pan Kratochvíl odpovídat. Já bych kdyžtak počkala. JUDr. Markéta Vaňková, primátorka: Já myslím, že asi bude reagovat až písemně.",0,a43c0850f687c0a3
jasna-flamikova,Z9/04,40,"Mgr. Jasna Flamiková: Jo, dobře. Tak každopádně, já se vrátím, já bych chtěla poděkovat za stažení toho bodu č. 8) a chtěla bych poprosit, aby kromě komise dopravy byl předložený i v komisi bezpečnosti dopravy.",0,a43c0850f687c0a3
jasna-flamikova,Z9/02,27,"Mgr. Jasna Flamiková: Já bych se jenom chtěla zeptat, znamená to, že kdyby ty akce nebyly tak úspěšné, jak o nich teďka mluvíme, protože ty výdaje byly známé dopředu, tak by to panu Duškovi nebylo, a Hvězdárně, jakoby odpuštěno? Tak to trošku vyznívá. A já si myslím, že ty pravidla nějakým způsobem platí a prostě ten ředitel Hvězdárny, nebo Hvězdárna samotná si tyhle věci prostě měla ošetřit dopředu",0,9d9381375d84a343
jasna-flamikova,Z9/02,52,"Mgr. Jasna Flamiková: Já bych se chtěla zeptat na jednu věc. Já jsem si včera porovnávala přílohu 3, to znamená dopravně provozní standardy linek, které mají být platné od 11. 12. 2022, a když jsem porovnávala jednotlivé jízdní řády těch linek, tak jsem zjistila, že v podstatě, zdá se, že plošně, neprošla jsem všechny, že linky, které začínaly jezdit po 4. hod., tak začínají jezdit až po 5. hod., ty, které začínaly jezdit po 5., začínají jezdit po 6., což v podstatě znamená, jako spousta lidí, kteří se ráno potřebují dopravit do práce. Stejně tak se prodlužují intervaly ve večerních hodinách, po 20:30, od trolejbusu třeba, z 20 min. na 30 min. Tak bych se chtěla zeptat, proč tadytoto vůbec v té důvodové zprávě není? Protože, za mě, to není zachování stávajícího rozsahu městské hromadné dopravy.",0,9d9381375d84a343
jasna-flamikova,Z9/02,53,"Mgr. Jasna Flamiková: Já se přiznám, že tomu teď nerozumím. Protože když srovnávám tu přílohu č. 3 s aktuálně platnými jízdními řády vyvěšenými na webovém, na webových stránkách Dopravního podniku, tak se prostě liší v tom, co jsem uváděla. Ty večerní intervaly se prodlužují a ty spoje před tou 5., nebo 6. najednou nejezdí. Tak teď nerozumím tomu, kde je vlastně, znamená to, že jezdíte nadstandard toho, co nám tvrdíte?",0,9d9381375d84a343
jasna-flamikova,Z9/02,53,"Mgr. Jasna Flamiková: Jednička tam má výluku, na tu jsem se vůbec nedívala, ale například linka 44 jezdila už mezi 4. a 5. hod., stejně tak některé trolejbusy. Stejně tak u těch trolejbusů, na které jsem se dívala, třeba, nevím, byl, ale bylo jich fakt jakoby víc, tak se prodlužoval ten večerní interval, z 20 min. na 30 min.",0,9d9381375d84a343
jasna-flamikova,Z9/02,53,"Mgr. Jasna Flamiková: Tak já jenom, uváděla jsem konkrétní linku, 44 …",0,9d9381375d84a343
