osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
jiri-herman,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
jiri-herman,Z9/03,1,"Připojeni on-line: Kristýna Černá, RNDr. Jiří Herman, Ph.D., Mgr. Jitka Ivičičová a Mgr. Vladan Krásný.",0,31d42a3a0b7a27be
jiri-herman,Z9/06,1,"Omluveni: RNDr. Jiří Herman, Ph.D. (od 13:00 hod.), Mgr. Petr Hladík (od 13:00 hod.), Mgr. Martin Maleček (od 13:00 hod.), Ing. Daniel Struž, MBA (od 13:00 hod.), Mgr. Bc. Marek Viskot, Libor Zábranský.",0,e715158e17e939ea
jiri-herman,Z9/10,1,"Omluveni: RNDr. Jiří Herman, Ph.D. (od 14:30 hod.), Mgr. Petr Hladík (od 12:45 do 13:00 hod.), Bc. Kateřina Jarošová, MBA (od 15:00 hod.), JUDr. Irena Matonohová, členka Rady města Brna, Mgr. Jaroslav Suchý, náměstek primátorky, Ing. Daniel Struž, MBA.",0,eb0d7acd8a1bcc62
jiri-herman,Z9/10,16,"RNDr. Jiří Herman, Ph.D. – nahlásil střet zájmů k tomuto bodu.",0,eb0d7acd8a1bcc62
jiri-herman,Z9/10,17,"RNDr. Jiří Herman, Ph.D. – nahlásil střet zájmů k tomuto bodu.",0,eb0d7acd8a1bcc62
jiri-herman,Z9/14,39,"RNDr. Jiří Herman, Ph.D. – nahlásil střet zájmů k tomuto bodu.",0,198b605f95c9e2a9
jiri-herman,Z9/15,27,"RNDr. Jiří Herman, Ph.D. - nahlásil střet zájmů k tomuto bodu.",0,f5c65d180b769ffd
jiri-herman,Z9/13,35,"RNDr. Jiří Herman, Ph.D. – nahlásil střet zájmů k tomuto bodu.",0,1f55fba1fd91456a
jiri-herman,Z9/17,27,"RNDr. Jiří Herman, Ph.D. - nahlásil střet zájmů k tomuto bodu.",0,7ebec469c9c23f69
jiri-herman,Z9/17,28,"RNDr. Jiří Herman, Ph.D. - nahlásil střet zájmů k tomuto bodu.",0,7ebec469c9c23f69
jiri-herman,Z9/19,35,"RNDr. Jiří Herman, Ph.D. - nahlásil střet zájmů k tomuto bodu.",0,7a2e7987609bcbd0
jiri-herman,Z9/23,1,"Schválení ověřovatelů zápisu Za ověřovatele zápisu byli navrženi Ing. Daniel Struž, MBA, Petr Bořecký (Lidovci a Starostové), RNDr. Jiří Herman, Ph.D.",0,4658264f1b9b47c0
jiri-herman,Z9/23,15,"RNDr. Jiří Herman, Ph.D. - nahlásil střet zájmů k bodům 21) a 22).",0,4658264f1b9b47c0
jiri-herman,Z9/28,1,"Omluveni: Mgr. Jasna Flamiková, RNDr. Jiří Herman, Ph.D., Mgr. Petr Hladík (od 12:35 hod.), Bc. Matěj Hollan, JUDr. Michal Chládek, MBA (od 13:00 hod.), Petr Levíček, MBA, Mgr. Monika Lukášová Spilková, Ph.D. (od 13:00 hod.), Leoš Prokeš (do 11:00 hod.).",0,7ac680d41d8d0dd0
jiri-herman,Z9/36,1,"Připojeni on-line: RNDr. Jiří Herman Ph.D., Libor Zábranský.",0,597f2a8effabe498
