osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
jiri-kment,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
jiri-kment,Z9/01,13,"Členy Finančního výboru Zastupitelstva města Brna byli zvoleni Bc. Jiří Kment, Mgr. Marek Lahoda, Ing. Daniel Struž, MBA, Ing. Jana Drápalová a Petr Šafařík. Volba neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Mgr. Marek Lahoda navrhl zvolit do funkce místopředsedkyně Kontrolního výboru Zastupitelstva města Brna Mgr. Moniku Lukášovou Spilkovou, Ph.D. Jiný návrh na zvolení do funkce neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna podán nebyl. Navržená kandidátka Mgr. Monika Lukášová Spilková, Ph.D., vyslovila souhlas s kandidaturou. Hlasování o volbě místopředsedkyně Kontrolního výboru Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo ………………………. 53 členů Zastupitelstva města Brna - pro Mgr. Moniku Lukášovou Spilkovou, Ph.D. 45 hlasů Hlasování č. 29: 45 - 0 - 5 - 3",4,36036d38da50510d
jiri-kment,Z9/01,13,"Místopředsedkyní Kontrolního výboru Zastupitelstva města Brna byla zvolena Mgr. Monika Lukášová Spilková, Ph.D. Volba neuvolněných členek/členů Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 7 neuvolněných členek/členů Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Bc. Jiří Kment navrhl nezastupitelku Mgr. et Mgr. Janu Novákovou, Mgr. Marek Lahoda navrhl Mgr. Adama Zemka, Ing. Karin Karasová, náměstkyně primátorky, navrhla Víta Prýgla, členka zastupitelstva Ing. Jana Drápalová navrhla Bc. Matěje Hollana, JUDr. Michal Marek navhl Bc. Jakuba Hrušku, JUDr. Robert Kerndl, náměstek primátorky, navrhl nezastupitele",6,36036d38da50510d
jiri-kment,Z9/02,21,"Bc. Jiří Kment: V tomto bodě, už jsem se ptal na finančním výboru, nedostal jsem odpověď, takže bych se chtěl zeptat znovu, jestli by byla možná nějaká podrobnější evaluace tohohle projektu? Protože přece jenom už to probíhá delší dobu, jsou tady jenom takové, nějaké obecné hodnocení, jako že tam byla pozitivní odezva cílové skupiny a že tam zhruba nějaké počty lidí se učily hrát na housle, nějaké počty na kytaru, nějaké počty byly ve sboru. Není zde jakoby úplně jasné, jestli tedy tato investice města Brna, která v současné chvíli bude 2.000.000 Kč, jestli jakoby je, řekněme, k něčemu. Jestli by mně někdo mohl odpovědět, kdo se tímto projektem zabývá?",0,9d9381375d84a343
jiri-kment,Z9/02,26,"Bc. Jiří Kment: Já bych se jenom ještě chtěl zeptat, protože vlastně obrovskou položku tadyvtěchto penězích dělá, pro VISUALY, autorské dílo, umělecký výkon, je to zhruba 1.500.000, tak co si pod tím mám představit? Protože nejsou to vlastně ty instalace, takové ty nafouknuté modely. Tak co to vlastně je, toto?",0,9d9381375d84a343
jiri-kment,Z9/02,28,"Bc. Jiří Kment: Takže v tomto bodě bych měl několik takových doplňujících dotazů, protože vlastně přispíváme na tento projekt nějakých 413.000 Kč, z pozice města, jsou tam nějaké provozní náklady, v těchto penězích, nějaké mzdové náklady, jak jsem se tady dočetl. Osobně si myslím, že by podobné projekty měly pokrývat plně peníze, které na tyto migranty dává vlastně Česká republika, protože, jak jsem se dočetl, na ubytování v bytě, kterých je tady celkem 14, v tomto objektu, dává stát nějakých 5-15.000 Kč, podle obsazenosti, případně 9.000 Kč za pokoj, pro migranty, k tomu tyto osoby mají nárok na nějaké kapesné, což dělá 5.000 Kč měsíčně na jednoho migranta. Takže v těchto nákladech jsou nějaké mzdové náklady, píše se tu, že ty matky se, matky s dětmi, i ty matky se samy podílí vlastně na provozu této budovy, jsou tam pro ně vytvořeny nějaké pracovní pozice. Takže bych se chtěl zeptat, jestli těch 20.000, těch mzdových nákladů, je vlastně, se vlastně platí těmto ubytovaným za to, že se starají jakoby o chod té budovy?",0,9d9381375d84a343
jiri-kment,Z9/02,29,"Bc. Jiří Kment: Já bych chtěl poděkovat za odpověď, je určitě přínosná, říkám si, proč tyto informace nebyly v materiálu? Každopádně je teda obdivuhodné, že z válečné zóny se dostaly až sem, to je určitě skvělé, no, ale i tak si myslím, že by prostě tyto věci měl financovat stát, a ne město Brno.",0,9d9381375d84a343
jiri-kment,Z9/03,22,"Bc. Jiří Kment: Já se omlouvám, ale tohle mi zní celkem alibisticky. Tak, snad máme městskou policii, aby toto řešila.",0,31d42a3a0b7a27be
jiri-kment,Z9/03,30,"Bc. Jiří Kment: Já bych tady jenom chtěl poprosit o opravu, zřejmě překlep, na straně 5/10, chyba součtu. Je tam napsáno, že dostali 3.000.000 a 7.500.000, a dohromady je to 10.000.000. A ono je to dohromady teda 10.500.000.",0,31d42a3a0b7a27be
jiri-kment,Z9/03,41,"Bc. Jiří Kment: Takže vidím, že už žádné příspěvky nejsou, takže je čas na přednesení našeho pozměňovacího návrhu k rozpočtu. Dával jsem ho už i písemně. Navrhujeme vlastně přesunout výdaje na rok 2023 tak, že z Odd. 63 - Finanční operace, § 6310 - Obecné příjmy a výdaje z finančních operací, odebereme 50.000.000 a tyto rozdělíme do Oddílu 31/32 - Vzdělávání a školské služby, to znamená, na mateřské školy 25.000.000, základní 15.000.000 a střediska volného času 5.000.000, a do Odd. Zdravotnictví 5.000.000 Kč. Co se týká odůvodnění, navrhované výdaje finanční, Odd. Finanční operace, na rok 2023 jsou o 19 % vyšší než pro letošní rok, 2022, proto navrhujeme z toho oddílu odebrat těch 50.000.000. Naopak navrhované výdaje Odd. Vzdělávání a školské služby pro rok 2023 jsou o 16,3 % nižší než výdaje tohoto oddílu v roce 2022 a navrhované výdaje Odd. Zdravotnictví jsou oproti výdajům v letošním roce nižší o 5,7 %. Takže to by bylo k zdůvodnění.",2,31d42a3a0b7a27be
