osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
jiri-oliva,Z9/01,2,"ČSSD VAŠI STAROSTOVÉ – předseda JUDr. Jiří Oliva Mgr. Břetislav Štefan Mgr. Bc. Marek Viskot Zelení a Žít Brno – předseda Ing. Jana Drápalová Mgr. Jasna Flamiková Bc. Matěj Hollan Poté JUDr. Markéta Vaňková, primátorka, upozornila, že jednání se řídí platným Jednacím řádem Zastupitelstva města Brna. Jmenování zapisovatelek a pověření právní asistencí Zapisovatelkami jednání byly jmenovány Jana Sovová a Marie Doubravová, zaměstnankyně Organizačního odboru MMB, a právní asistencí byly pověřeny JUDr. Hana Doležalová a Mgr. Nikol Wagnerová, zaměstnankyně Právního oddělení Organizačního odboru MMB. Složení slibu členů Zastupitelstva města Brna Primátorka JUDr. Markéta Vaňková konstatovala, že všem přítomným členům Zastupitelstva města Brna, zvoleným ve volbách do zastupitelstev obcí konaných ve dnech 23. a 24. 9. 2022, bylo předáno „Osvědčení o zvolení členem Zastupitelstva města Brna“ podle § 53 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. V období od zvolení rezignovala na svůj mandát dne 19. 10. 2022 Bc. Petra Quittová. Prvním náhradníkem na kandidátní listině Lid. a Star. (KDU-ČSL+St. a nez.) byl Mgr. Jaroslav Suchý, který se v souladu s § 56 odst. 1 zákona o volbách do zastupitelstev obcí stal dne 20. 10. 2022 členem Zastupitelstva města Brna. Před složením slibu primátorka JUDr. Markéta Vaňková upozornila přítomné členy Zastupitelstva města Brna, že odmítnutí složit slib nebo složení slibu s výhradou má za následek okamžitý zánik mandátu dle § 55 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. Ing. Oliver Pospíšil, tajemník Magistrátu města Brna, přednesl slib stanovený v § 69 odst. 2 zákona o obcích: „Slibuji věrnost České republice. Slibuji na svou čest a svědomí, že svoji funkci budu vykonávat svědomitě, v zájmu města a jeho občanů, a řídit se Ústavou a zákony České republiky.“ Poté jmenovitě vyzval všechny přítomné členy Zastupitelstva města Brna, aby složili slib pronesením slova „slibuji“ a stvrdili jej podpisem na připravených listinách. Následně všech 54 členů Zastupitelstva města Brna složilo bez výhrad slib stanovený zákonem o obcích. Určení ověřovatelů zápisu a schválení programu ustavujícího zasedání Zastupitelstva města Brna Za ověřovatele zápisu byli navrženi JUDr. Robert Kerndl, Vít Prýgl a Mgr. Jaroslav Suchý. K hlasování o návrhu na ověřovatele zápisu bylo přistoupeno bez rozpravy. Hlasování je dále uváděno v pořadí: pro - proti - zdržel se - nehlasoval. Hlasování č. 1: 53 - 0 - 0 - 1",6,36036d38da50510d
jiri-oliva,Z9/01,6,"nyní navržen pouze k vzetí na vědomí. Dále uvedla, že v souladu s tímto volebním řádem je třeba zvolit volební komisi, která bude sledovat průběh voleb a vyhotovovat a podepisovat zápis o průběhu a výsledku voleb. Poté ještě upozornila, že podle článku 4 odst. 2 volebního řádu nemůže být členem volební komise kandidát na tyto volené funkce. JUDr. Markéta Vaňková, primátorka, vyzvala přítomné členy Zastupitelstva města Brna k podání návrhů na členy volební komise. JUDr. Jiří Oliva navrhl Mgr. Bc. Marka Viskota, Ing. Karin Karasová navrhla Ing. Karla Kalivodu a Mgr. Bc. Marek Viskot navrhl Mgr. Břetislava Štefana. Hlasování o složení volební komise: Hlasování č. 7: 53 - 0 - 1 - 0",10,36036d38da50510d
jiri-oliva,Z9/01,9,Členem Rady města Brna pro územní plánování byl zvolen Ing. arch. Petr Bořecký. Volba členky/člena Rady města Brna pro majetek Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro majetek. Člen zastupitelstva Mgr. Břetislav Štefan navrhl zvolit do funkce člena Rady města Brna pro majetek JUDr. Jiřího Olivu. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro majetek podán nebyl. Navržený kandidát JUDr. Jiří Oliva vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě člena Rady města Brna pro majetek. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro JUDr. Jiřího Olivu …………………… .. 41 hlasů Hlasování č. 17: 41 - 5 - 6 - 2,4,36036d38da50510d
jiri-oliva,Z9/01,9,Členem Rady města Brna pro majetek byl zvolen JUDr. Jiří Oliva. Volba členky/člena Rady města Brna pro školství Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro školství. Člen zastupitelstva JUDr. Michal Marek navrhl zvolit do funkce členky Rady města Brna pro školství JUDr. Irenu Matonohovou. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro školství podán nebyl. Navržená kandidátka JUDr. Irena Matonohová vyslovila souhlas s kandidaturou a přednesla kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě členky Rady města Brna pro školství. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro JUDr. Irenu Matonohovou …………… 41 hlasů Hlasování č. 18: 41 - 5 - 7 - 1,4,36036d38da50510d
jiri-oliva,Z9/01,13,"Místopředsedou Finančního výboru Zastupitelstva města Brna byl zvolen JUDr. Michal Marek. Volba neuvolněných členek/členů Finančního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 5 neuvolněných členek/členů Finančního výboru Zastupitelstva města Brna. Člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., navrhl Bc. Jiřího Kmenta, Bc. Tomáš Koláčný navrhl Mgr. Marka Lahodu, Ing. Karin Karasová, náměstkyně primátorky, navrhla Ing. Daniela Struže, MBA, členka zastupitelstva Mgr. Jasna Flamiková navrhla Ing. Janu Drápalovou a JUDr. Jiří Oliva, člen Rady města Brna, navrhl nezastupitele Petra Šafaříka. O všech kandidátech na člena Finančního výboru Zastupitelstva města Brna bylo hlasováno společně. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - všichni navržení kandidáti obdrželi ……… 53 hlasů Hlasování č. 28: 53 - 0 - 1 - 0",6,36036d38da50510d
jiri-oliva,Z9/01,13,"Mgr. Michala Chládka, JUDr. Jiří Oliva, člen Rady města Brna, navrhl nezastupitele Jiřího Idese. O všech kandidátech na členku/člena Kontrolního výboru Zastupitelstva města Brna bylo hlasováno společně. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - všichni navržení kandidáti obdrželi ………. 54 hlasů Hlasování č. 30: 54 - 0 - 0 - 0",2,36036d38da50510d
jiri-oliva,Z9/01,14,"Ides. Volba neuvolněné/neuvolněného předsedkyně/předsedy Výboru pro národnostní menšiny Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci předsedkyně/předsedy Výboru pro národnostní menšiny Zastupitelstva města Brna. Člen zastupitelstva JUDr. Michal Marek navrhl Mgr. Jitku Ivičičovou, JUDr. Jiří Oliva, člen Rady města Brna, navrhl Mgr. Břetislava Štefana. Na základě odkazu JUDr. Markéty Vaňkové, primátorky, na sjednanou dohodu v rámci koaličního vyjednávání člen zastupitelstva JUDr. Michal Marek vzal zpět návrh kandidatury Mgr. Jitky Ivičičové. Navržený kandidát na funkci předsedy Výboru pro národnostní menšiny Zastupitelstva města Brna Mgr. Břetislav Štefan vyslovil souhlas s kandidaturou. Hlasování o volbě předsedy Výboru pro národnostní menšiny Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo …………… 54 členů Zastupitelstva města Brna - pro Mgr. Břetislava Štefana ..……... 47 hlasů Hlasování č. 31: 47 - 2 - 5 - 0",4,36036d38da50510d
jiri-oliva,Z9/01,17,"Martina Drdlu, MSc., narozeného X. X. XXXX, bytem XXXXXXXXX XXXXX, XXX XX XXXX, jako zástupce JUDr. Ph.Dr. Martina Příborského, EMLE, člena Zastupitelstva města Brna, jako náhradníka k zastupování na všech valných hromadách společnosti Technologický Park Brno, a. s.“ 13. Změny v orgánech obchodních společností s menší než 100% majetkovou účastí statutárního města Brna JUDr. Markéta Vaňková, primátorka – v úvodu bodu sdělila, že návrhy na změny ve funkcích členů představenstev a členů dozorčích rad budou uváděny k jednotlivým společnostem, v pořadí představenstvo, dozorčí rada, a pokud budou podány nějaké návrhy nad rámec těch, které již obdržela, je nutné tyto návrhy dodat písemně. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., se omluvil za nedorozumění, když v bodu 12) uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce na valných hromadách společnosti namísto jeho navržení do funkce člena dozorčí rady společnosti. JUDr. Markéta Vaňková, primátorka, sdělila, že člen zastupitelstva Petr Levíček, MBA, může být delegován do obou zmíněných funkcí. Doc. MUDr. Tomáš Skřička, CSc., oba návrhy potvrdil. Brněnské vodárny a kanalizace, a.s. – návrhy kandidátů do představenstva: Ing. David Grund, Ing. Jaroslav Folprecht, Ing. Daniel Struž, MBA. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Bc. Marka Viskota. Návrhy kandidátů do dozorčí rady: PhDr. Martin Krytinář a Ludvík Kadlec. Jihomoravská rozvojová společnost, s.r.o. – návrh kandidátky do dozorčí rady: Kristýna Černá. Jiný kandidát navržen nebyl. KORDIS JMK, a.s. – návrhy kandidátů do představenstva: Mgr. Jiří Dvořáček a Ing. Jan Seitl. Návrhy kandidátů do dozorčí rady: Vít Prýgl, Ing. Pavel Jankůj. Doc. MUDr. Tomáš Skřička, CSc., navrhl dalšího kandidáta Ak. arch. Tomáše Kotase. Technologický Park Brno, a.s. – návrhy kandidátů do představenstva: Ing. David Trllo, Dipl.-Kfm. Dalimil Ospalý, Ing. Karel Kalivoda, prof. Ing. Vladislav Musil a JUDr. Michal Marek. Návrh kandidáta do dozorčí rady: Ing. David Geryk. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Břetislava Štefana. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o odvolání předchozích členů představenstev a dozorčích rad výše uvedených společností a zároveň o přednesených návrzích na nové členy představenstev a dozorčích rad těchto společností: Hlasování č. 37: 47 - 2 - 5 - 0",1,36036d38da50510d
jiri-oliva,Z9/02,37,"Schválené usnesení: 1. ZMB bere na vědomí že Bytový odbor MMB dne 1. 11. 2022 obdržel oznámení, kterým se JUDr. Jiří Oliva, člen Rady města Brna, vzdal - pověření k zastupování statutárního města Brna jako člena bytových družstev:",0,9d9381375d84a343
jiri-oliva,Z9/03,11,"JUDr. Jiří Oliva, člen Rady města Brna: Já jenom úplně krátkou reakci. Pane Kirchnere, prosím Vás, nepřekrucujte to, co včera na tom jednání jsem řekl. Já jsem neřekl, že obchvat Tuřan není priorita města Brna. Já jsem říkal, že je to investice Jihomoravského kraje, že tam je memorandum, město Brno má nějaká práva",0,31d42a3a0b7a27be
