osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
karel-kalivoda,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
karel-kalivoda,Z9/01,6," Mgr. Bc. Marek Viskot - předseda  Mgr. Břetislav Štefan · Ing. Karel Kalivoda 6. Volba primátorky/primátora města Brna JUDr. Markéta Vaňková, primátorka – v úvodu tohoto bodu informovala, že členové Zastupitelstva města Brna obdrželi materiál s příslušným usnesením, které bude uvedeno v zápisu ze zasedání, a upozornila, že o tomto usnesení se nehlasuje, je to konstatování výsledků uskutečněných voleb. Poté vyzvala předsedu volební komise Mgr. Bc. Marka Viskota, aby se v souladu s volebním řádem ujal řízení volby. Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci primátorky/primátora města Brna. Člen Zastupitelstva města Brna JUDr. Robert Kerndl podal návrh na zvolení JUDr. Markéty Vaňkové do funkce primátorky města Brna. Jiný návrh na zvolení do funkce primátorky/primátora města Brna podán nebyl. Navržená kandidátka na primátorku města Brna JUDr. Markéta Vaňková vyslovila souhlas s kandidaturou a přednesla svůj kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě primátorky města Brna: Hlasování č. 8: Neplatné hlasování",6,36036d38da50510d
karel-kalivoda,Z9/01,12,"Komise si ze svého středu volí předsedu, který dle článku 4 odst. 3 schváleného volebního řádu průběh voleb řídí. Předsedou volební komise byl členy volební komise zvolen Mgr. Bc. Marek Viskot. Schválené usnesení: 1. ZMB schvaluje Volební řád pro volbu neuvolněných předsedů, místopředsedů a členů výborů Zastupitelstva města Brna, který tvoří přílohu č. 1 tohoto zápisu. 2. ZMB volí volební komisi pro volbu neuvolněných předsedkyň/předsedů, místopředsedkyň/místopředsedů a členek/členů výborů Zastupitelstva města Brna, pro volební období 2022–2026, ve složení: Mgr. Bc. Marek Viskot - předseda Ing. Karel Kalivoda, RNDr. Miroslav Kubásek, Ph.D. 11. Volba neuvolněných předsedkyň/předsedů, místopředsedkyň/místopředsedů a členek/členů výborů Zastupitelstva města Brna JUDr. Markéta Vaňková, primátorka – v úvodu tohoto bodu informovala, že členové Zastupitelstva města Brna obdrželi materiál s příslušným usnesením, které bude uvedeno v zápisu ze zasedání, a upozornila, že o tomto usnesení se nehlasuje, je to konstatování výsledků uskutečněných voleb. Poté vyzvala předsedu volební komise Mgr. Bc. Marka Viskota, aby se v souladu s volebním řádem ujal řízení volby. Volba neuvolněné/neuvolněného předsedkyně/předsedy Finančního výboru Zastupitelstva města Brna Předseda volební komise seznámil přítomné členy Zastupitelstva města Brna s pořadím prováděných voleb a poté je vyzval k podání návrhů na funkci předsedkyně/předsedy Finančního výboru Zastupitelstva města Brna. JUDr. Robert Kerndl, náměstek primátorky, navrhl do funkce předsedkyně Finančního výboru Zastupitelstva města Brna Ing. Andreu Pazderovou. Jiný návrh na zvolení do funkce předsedkyně/předsedy Finančního výboru Zastupitelstva města Brna podán nebyl. Navržená kandidátka Ing. Andrea Pazderová vyslovila souhlas s kandidaturou. V souladu s volebním řádem kandidáti na funkce neuvolněných předsedkyň/předsedů, místopředsedkyň/místopředsedů a členek/členů výborů Zastupitelstva města Brna nevystupují se svým prohlášením a neodpovídají na případné dotazy. Hlasování o volbě předsedkyně Finančního výboru Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo …………… 53 členů Zastupitelstva města Brna - pro Ing. Andreu Pazderovou ……... 44 hlasů Hlasování č. 26: 44 - 1 - 8 - 0",8,36036d38da50510d
karel-kalivoda,Z9/01,17,"Martina Drdlu, MSc., narozeného X. X. XXXX, bytem XXXXXXXXX XXXXX, XXX XX XXXX, jako zástupce JUDr. Ph.Dr. Martina Příborského, EMLE, člena Zastupitelstva města Brna, jako náhradníka k zastupování na všech valných hromadách společnosti Technologický Park Brno, a. s.“ 13. Změny v orgánech obchodních společností s menší než 100% majetkovou účastí statutárního města Brna JUDr. Markéta Vaňková, primátorka – v úvodu bodu sdělila, že návrhy na změny ve funkcích členů představenstev a členů dozorčích rad budou uváděny k jednotlivým společnostem, v pořadí představenstvo, dozorčí rada, a pokud budou podány nějaké návrhy nad rámec těch, které již obdržela, je nutné tyto návrhy dodat písemně. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., se omluvil za nedorozumění, když v bodu 12) uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce na valných hromadách společnosti namísto jeho navržení do funkce člena dozorčí rady společnosti. JUDr. Markéta Vaňková, primátorka, sdělila, že člen zastupitelstva Petr Levíček, MBA, může být delegován do obou zmíněných funkcí. Doc. MUDr. Tomáš Skřička, CSc., oba návrhy potvrdil. Brněnské vodárny a kanalizace, a.s. – návrhy kandidátů do představenstva: Ing. David Grund, Ing. Jaroslav Folprecht, Ing. Daniel Struž, MBA. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Bc. Marka Viskota. Návrhy kandidátů do dozorčí rady: PhDr. Martin Krytinář a Ludvík Kadlec. Jihomoravská rozvojová společnost, s.r.o. – návrh kandidátky do dozorčí rady: Kristýna Černá. Jiný kandidát navržen nebyl. KORDIS JMK, a.s. – návrhy kandidátů do představenstva: Mgr. Jiří Dvořáček a Ing. Jan Seitl. Návrhy kandidátů do dozorčí rady: Vít Prýgl, Ing. Pavel Jankůj. Doc. MUDr. Tomáš Skřička, CSc., navrhl dalšího kandidáta Ak. arch. Tomáše Kotase. Technologický Park Brno, a.s. – návrhy kandidátů do představenstva: Ing. David Trllo, Dipl.-Kfm. Dalimil Ospalý, Ing. Karel Kalivoda, prof. Ing. Vladislav Musil a JUDr. Michal Marek. Návrh kandidáta do dozorčí rady: Ing. David Geryk. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Břetislava Štefana. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o odvolání předchozích členů představenstev a dozorčích rad výše uvedených společností a zároveň o přednesených návrzích na nové členy představenstev a dozorčích rad těchto společností: Hlasování č. 37: 47 - 2 - 5 - 0",1,36036d38da50510d
karel-kalivoda,Z9/16,64,"Ing. Karel Kalivoda: Já snad jenom pár nějakých čísel, protože, začnu tedy tím, že určitě pro lanovku, jako takovou, pokud se budeme snažit získat nějaké finance z vnější, z vnějšku, z do, třeba z evropských dotací, tak zcela jistě bude zpracována standardní cost-benej, benefit analýza, která se musí zpracovat podl, pro všechny projekty. Dokonce si myslím, že podle tédleté ministerské metodiky by mohla být zpracovaná i ta analýza, po které voláte již nyní. Ale jenom pro srovnání těch nákladů a těch jiných, jiných druhů dopravy. Dneš, v dnešních dnech je nejatraktivnější dopravní stavbou, kterou v podstatě se chlubí Ministerstvo dopravy, z minulého programového období, tramvajová trať na kampus. Ta tramvajová trať na kampus měří 1,3 km a stála zhruba 1.200.000.000. Má na své, na své trase má 2 zastávky a ta tramvajová trať je pouze holá tramvajová trať. Aby tam byli přepravováni ještě lidé, tak k tomu musíte ještě dokoupit nějaké tramvaje. Takže na tuto vzdálenost, abyste zajistili nějakou kapacitu, musíte počítat s navýšením, tak zhruba, 4-5 tramvají, to máte dalších, nějakých, 300.000.000. V době výstavby, nebo plánování tramvajové trati na kampus byla předpokládaná cena lanovky, zhruba, nějakých 400.000.000. Bohužel, ceny nám vyskočily, za to nemůže ani tady magistrát, ani Dopravní podnik, který v podstatě nechával zpracovávat projektovou dokumentaci, ale srovnám to se stavbou, kterou nyní chystá, která se nyní chystá, a to je tramvajová trať na Kamechy. Opět trať s 2 zastávkami, její délka 1,4 km. Předpokládaná cena, když se z té ceny, z rozpočtu, vyháž, vyhážou ty objekty, které spíš prospějí městské části a městu, jako jsou parkoviště, komunikace, nějaké pěší lávky, tak je, zhruba, nějaké 2.200.000.000. Lanovka proti tomu, 1,7 km, 4 zastávky, 900.000.000, a včetně dopravních prostředku. A co se týče",0,d527a00c9a941791
karel-kalivoda,Z9/16,66,"Ing. Karel Kalivoda: Já si teda dovolím na to odpovědět. Protože nečtu jenom tiskoviny tady, lokální, ale čtu i tiskoviny zahraniční, takže třeba jsem se dostal ke studii, německé, která řeší výstavbu lanovek v německých městech a rozšiřování počtu těch lanovek, tak lanovky jezdí rychlostí od nějakých těch 18 km, až do rychlosti 35 km. To samozřejmě záleží na tom, ve finále, jaká lanovka a jaký dodavatel tu lanovku bude dodávat. Takže to dneska úplně neumíme, neumíme říct, a abych řekl pravdu, netuším, kde vzali novináři to číslo 18. Ale možná vzali to přízemní, že nebudeme tady dneska říkat, že dosáhneme 35km rychlosti, která je u některých lanovek už jakoby běžně dosahovaná. Takže se použila rychlost tahleta.",0,d527a00c9a941791
karel-kalivoda,Z9/20,11,"Ing. Karel Kalivoda: Já vím, že tady už o té lanovce bylo řečeno strašně mnoho. Také si uvědomuji, že na mně bude, stejně jako na panu generálním řediteli, to stigma, že jsem zaměstnancem Dopravního podniku, a eště teda navíc odpovědným za oddělení, které vlastně dělá veškeré investice. Ale tady, od paní zastupitelky Flamikové, zaznělo něco o studii, že studie je tajná, ale studii, zprávu, vyjádření, vyjádření z Univerzity Pardubice paní zastupitelka dostala. Jediná věc, která nebyla dodána, tak je podrobná projektová dokumentace, která v podstatě v sobě obsahuje technické detaily, které jsou potom předmětem i případného výběrového řízení zhotovitele. Co se týče, co se týče pana zastupitele Hollana a jeho, jeho dotazům na kácení, tak já jsem přesvědče, jednak teda byly zase, paní zastupitelce Flamikové, dány výstupy z předběžné tržní konzultace, ze které, ze kterých je jednoznačné, že prostě možní dodavatelé, nebo výrobci lanovek mají technické systémy, jak v podstatě evakuovat z lanovek osoby bez toho, aniž by museli přímo pod ně. Já předpokládám, že všichni zastupitelé umí používat internet, a velice jednoduchým vyhledáním na Googlu se dá najít, minimálně, 5 různých systémů, které slouží na evakuace nad různými propastmi, nad vodními překážkami. Taky se nevysušují někde nějaká jezera a podobně, nad kterými jsou lanovky, jenom proto, aby se pod ně dostalo hasičské vozidlo a ty cestující nějakým sem zachránili. Jinak, už tady zaznělo, mám takový dojem, že od pana radního Kratochvíla, o lanovce se bavíme od roku 2015. Od roku 2015 všichni zúčastnění se mohli o tu lanovku konkrétněji zajímat a dostali by k ní všechny informace. Ten materiál, který tady byl vzpomenut, z toho německého ministerstva dopravy, tak ten jsem tady, do toho našeho kruhu, donesl já, díky tomu, že jsem se skutečně vod těch prvních diskusích tady, na zastupitelstvu, tou oblastí zabýval celkem podrobně. V něm se, ano, píše o tom, že se má zapojovat veřejnost. Ale veřejnost se zapojuje tak, že se jí sdělují vizualiza, že se jí dávají vizualizace, říkají se podklady k tomu, jak daný projekt má vypadat. A já si myslím, že všechny tyhlety věci tady už zazněly. Tady nebyly že, řečeny žádné nepravdy o tom, že lanovka něco zničí, že se bude muset kácet, že nepřepraví žádné cestující. Takže, myslím si, že se motáme pořád v kruhu. Soud rozhodl o tom, že nebyl dodržen zákon, nebo postup krajským úřadem, který vydal dle, tedy, nemáme to finální rozhodnutí, ale vydal neoprávněně to zjednodušené vyjádření, že nemusí být dělané nějaké posouzení. Čili pokud se město rozhodne, že ta posouzení provede, tak prostě jedeme dál. Divím se, že stejný, stejná diskuse, jasně, není to území města Brna, ale že stejná diskuse neproběhla před, před několika lety, a vůbec tady nezaznělo, že ti hnízdící ptáci, zimní, sem se přestěhovali z oblasti židlochovických lesů, kde došlo k významné výstavbě průmyslových, průmyslových objektů, a z klidové zóny, v podstatě v divoké přírodě, se nám semka dostali, do města. A zcela jistě se umí pohybovat v té zóně víc, než si možná myslíme. Možná jsem to trošku zamotal, ale, asi, je to k tomu všechno.",0,21185e2ff631d16f
karel-kalivoda,Z9/18,110,"Ing. Karel Kalivoda: Já jenom bych upřesnil. Vy tady používáte název stěžovník. A to jako asociuje, že si tam někdo má na něco stěžovat. Ale otcem té aplikace jsem já, tu jsem dovedl do Dopravního podniku já, po zkušenostěch z předcházejících dopravních firem, a jmenuje se Manažer kvality - závady, náměty a připomínky, ano? Čili, a od začátku sloužila, protože jsem ji, dlouho jsem ji administroval, než jsem se nějakým sem, přesunul na jinou pozici. Sloužila skutečně na to, že řidiči upozorňovali na závady v provozu. Zásadním způsobem se zife, zefektivnila třeba práce při vylepování poškozených jízdních řádů, kde místo neefektivní skupiny, která projížděla Brno a v podstatě přijela, vylepila jízdní řád, někdo ho hned počmáral, protože víme, jak ti, někteří pracují, a ona se tam dostala znovu za měsíc, tak to začali hlásit řidiči, kteří na těch zastávkách jsou každý den. A mohu říct, že za nějakých, 10 let, co jsem se té aplikaci věnoval já, aktivně, jsem 2x jenom musel jakoby zasáhnout a tu připomínku nějakým sem, revidovat, protože se tam objevily slova, které by neměly úplně zaznívat ve veřejném prostoru. Takže, prosím, nikoliv stěžovník, ale závady, náměty a připomínky.",0,aeee21aca2ee1a98
karel-kalivoda,Z9/27,2,Schválení ověřovatelů zápisu Za ověřovatele zápisu byli navrženi Ing. Karel Kalivoda a Bc. Tomáš Aberl.,0,1ac7d00d7789f14d
karel-kalivoda,Z9/29,12,4.ZMB volí volební komisi pro volbu členky/člena Kontrolního výboru Zastupitelstva města Brna ve složení: 1. Mgr. Marek Viskot – předseda 2. Ing. David Trllo 3. Ing. Karel Kalivoda 4. Petr Bořecký (KDU),0,af870d56898ecc01
