osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
karin-podivinska-karasova,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
karin-podivinska-karasova,Z9/01,6,"nyní navržen pouze k vzetí na vědomí. Dále uvedla, že v souladu s tímto volebním řádem je třeba zvolit volební komisi, která bude sledovat průběh voleb a vyhotovovat a podepisovat zápis o průběhu a výsledku voleb. Poté ještě upozornila, že podle článku 4 odst. 2 volebního řádu nemůže být členem volební komise kandidát na tyto volené funkce. JUDr. Markéta Vaňková, primátorka, vyzvala přítomné členy Zastupitelstva města Brna k podání návrhů na členy volební komise. JUDr. Jiří Oliva navrhl Mgr. Bc. Marka Viskota, Ing. Karin Karasová navrhla Ing. Karla Kalivodu a Mgr. Bc. Marek Viskot navrhl Mgr. Břetislava Štefana. Hlasování o složení volební komise: Hlasování č. 7: 53 - 0 - 1 - 0",10,36036d38da50510d
karin-podivinska-karasova,Z9/01,7,"V úvodu projednávání tohoto bodu JUDr. Markéta Vaňková, primátorka, upozornila, že v rámci bodu č. 4) byla určena i funkce 4. náměstkyně/náměstka primátorky města Brna, tudíž proběhne volba i do této funkce. Průběh voleb řídil Mgr. Bc. Marek Viskot, předseda volební komise. Volba 1. náměstkyně/náměstka primátorky města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 1. náměstkyně/náměstka primátorky města Brna. Členka zastupitelstva Ing. Karin Karasová navrhla zvolit do funkce 1. náměstka primátorky města Brna Mgr. Reného Černého. Jiný návrh na zvolení do funkce 1. náměstkyně/náměstka primátorky města Brna podán nebyl. Navržený kandidát Mgr. René Černý vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě 1. náměstka primátorky města Brna. Výsledek hlasování: - hlasování se zúčastnilo ………………… 54 členů Zastupitelstva města Brna - pro Mgr. Reného Černého …………….. 42 hlasů Hlasování č. 10: 42 - 5 - 7 - 0",10,36036d38da50510d
karin-podivinska-karasova,Z9/01,7,"V pořadí 3. náměstkem primátorky města Brna byl zvolen JUDr. Robert Kerndl. Volba v pořadí 4. náměstkyně/náměstka primátorky města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci v pořadí 4. náměstkyně/náměstka primátorky města Brna. Mgr. René Černý, 1. náměstek primátorky, navrhl zvolit do funkce v pořadí 4. náměstkyně primátorky města Brna Ing. Karin Karasovou. Jiný návrh na zvolení do funkce 4. náměstkyně/náměstka primátorky města Brna podán nebyl. Navržená kandidátka Ing. Karin Karasová vyslovila souhlas s kandidaturou a přednesla kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě v pořadí 4. náměstkyně primátorky města Brna. Výsledek hlasování: - hlasování se zúčastnilo ……………………… 54 členů Zastupitelstva města Brna - pro Ing. Karin Karasovou ……………………. 42 hlasů",4,36036d38da50510d
karin-podivinska-karasova,Z9/01,8,"V pořadí 4. náměstkyní primátorky města Brna byla zvolena Ing. Karin Karasová. Schválené usnesení: ZMB volí v souladu s ustanovením § 84 odst. 2 písm. m) zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění, pro volební období 2022–2026, dne 20. října 2022:",0,36036d38da50510d
karin-podivinska-karasova,Z9/01,8,"Členem Rady města Brna pro sport a informační technologie byl zvolen Bc. Tomáš Aberl. Volba členky/člena Rady města Brna pro územní plánování Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro územní plánování. Ing. Karin Karasová, náměstkyně primátorky, navrhla zvolit do funkce člena Rady města Brna",6,36036d38da50510d
karin-podivinska-karasova,Z9/01,10,"Ing. Petra Kratochvíla členem Rady města Brna pro dopravu a správu městských účastí, Bc. Tomáše Aberla členem Rady města Brna pro sport a informační technologie, Ing. arch. Petra Bořeckého členem Rady města Brna pro územní plánování, JUDr. Jiřího Olivu členem Rady města Brna pro majetek, JUDr. Irenu Matonohovou členkou Rady města Brna pro školství, RNDr. Filipa Chvátala, Ph.D., členem Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku. 9. Volba dalších dlouhodobě uvolněných členek/členů Zastupitelstva města Brna Průběh voleb řídil Mgr. Bc. Marek Viskot, předseda volební komise, opět podle platného volebního řádu, který určuje, že volba probíhá u každé/každého další/dalšího dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna jednotlivě. Volba dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast marketingu a PR Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast marketingu a PR. Ing. Karin Karasová, náměstkyně primátorky, navrhla zvolit do funkce dlouhodobě uvolněné členky Zastupitelstva města Brna pro oblast marketingu a PR Bc. Kateřinu Jarošovou, MBA. Jiný návrh na zvolení do funkce dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast marketingu a PR podán nebyl. Navržená kandidátka Bc. Kateřina Jarošová, MBA, vyslovila souhlas s kandidaturou a přednesla kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě dlouhodobě uvolněné členky Zastupitelstva města Brna pro oblast marketingu a PR. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro Bc. Kateřinu Jarošovou, MBA ……….. 42 hlasů Hlasování č. 20: 42 - 0 - 11 - 1",6,36036d38da50510d
karin-podivinska-karasova,Z9/01,13,"Místopředsedou Finančního výboru Zastupitelstva města Brna byl zvolen JUDr. Michal Marek. Volba neuvolněných členek/členů Finančního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 5 neuvolněných členek/členů Finančního výboru Zastupitelstva města Brna. Člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., navrhl Bc. Jiřího Kmenta, Bc. Tomáš Koláčný navrhl Mgr. Marka Lahodu, Ing. Karin Karasová, náměstkyně primátorky, navrhla Ing. Daniela Struže, MBA, členka zastupitelstva Mgr. Jasna Flamiková navrhla Ing. Janu Drápalovou a JUDr. Jiří Oliva, člen Rady města Brna, navrhl nezastupitele Petra Šafaříka. O všech kandidátech na člena Finančního výboru Zastupitelstva města Brna bylo hlasováno společně. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - všichni navržení kandidáti obdrželi ……… 53 hlasů Hlasování č. 28: 53 - 0 - 1 - 0",6,36036d38da50510d
karin-podivinska-karasova,Z9/01,13,"Místopředsedkyní Kontrolního výboru Zastupitelstva města Brna byla zvolena Mgr. Monika Lukášová Spilková, Ph.D. Volba neuvolněných členek/členů Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 7 neuvolněných členek/členů Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Bc. Jiří Kment navrhl nezastupitelku Mgr. et Mgr. Janu Novákovou, Mgr. Marek Lahoda navrhl Mgr. Adama Zemka, Ing. Karin Karasová, náměstkyně primátorky, navrhla Víta Prýgla, členka zastupitelstva Ing. Jana Drápalová navrhla Bc. Matěje Hollana, JUDr. Michal Marek navhl Bc. Jakuba Hrušku, JUDr. Robert Kerndl, náměstek primátorky, navrhl nezastupitele",6,36036d38da50510d
karin-podivinska-karasova,Z9/01,14,"Místopředsedou Výboru pro národnostní menšiny Zastupitelstva města Brna byl zvolen JUDr. Michal Chládek, MBA. Volba neuvolněných členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 4 neuvolněných členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna. Člen zastupitelstva Leoš Prokeš, MBA, navrhl nezastupitele Akopa Chodžajana, Ing. Jana Drápalová navrhla Mgr. Jasnu Flamikovou, Mgr. Marek Lahoda navrhl Bc. Tomáše Koláčného, Ing. Karin Karasová, náměstkyně primátorky, navrhla nezastupitelku Bc. Sabinu Benešovou, člen zastupitelstva JUDr. Michal Marek navrhl Mgr. Jitku Ivičičovou. JUDr. Markéta Vaňková, primátorka, na základě právní porady navrhla přerušení projednávání bodu 11), opětovné zařazení a projednání bodu 3) Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů z důvodu zájmu o navýšení počtu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna. 3. Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů JUDr. Markéta Vaňková, primátorka, navrhla hlasovat o revokaci usnesení o počtu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna a o změně usnesení spočívající v navýšení počtu ze 13 na 15 členů: Hlasování č. 33: 53 - 0 - 1 - 0",6,36036d38da50510d
