osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
katerina-jarosova,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
katerina-jarosova,Z9/01,10,"Ing. Petra Kratochvíla členem Rady města Brna pro dopravu a správu městských účastí, Bc. Tomáše Aberla členem Rady města Brna pro sport a informační technologie, Ing. arch. Petra Bořeckého členem Rady města Brna pro územní plánování, JUDr. Jiřího Olivu členem Rady města Brna pro majetek, JUDr. Irenu Matonohovou členkou Rady města Brna pro školství, RNDr. Filipa Chvátala, Ph.D., členem Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku. 9. Volba dalších dlouhodobě uvolněných členek/členů Zastupitelstva města Brna Průběh voleb řídil Mgr. Bc. Marek Viskot, předseda volební komise, opět podle platného volebního řádu, který určuje, že volba probíhá u každé/každého další/dalšího dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna jednotlivě. Volba dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast marketingu a PR Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast marketingu a PR. Ing. Karin Karasová, náměstkyně primátorky, navrhla zvolit do funkce dlouhodobě uvolněné členky Zastupitelstva města Brna pro oblast marketingu a PR Bc. Kateřinu Jarošovou, MBA. Jiný návrh na zvolení do funkce dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast marketingu a PR podán nebyl. Navržená kandidátka Bc. Kateřina Jarošová, MBA, vyslovila souhlas s kandidaturou a přednesla kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě dlouhodobě uvolněné členky Zastupitelstva města Brna pro oblast marketingu a PR. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro Bc. Kateřinu Jarošovou, MBA ……….. 42 hlasů Hlasování č. 20: 42 - 0 - 11 - 1",6,36036d38da50510d
katerina-jarosova,Z9/01,10,"Dlouhodobě uvolněnou členkou Zastupitelstva města Brna pro oblast marketingu a PR byla zvolena Bc. Kateřina Jarošová, MBA. Volba dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi. JUDr. Robert Kerndl, náměstek primátorky, navrhl zvolit do funkce dlouhodobě uvolněné členky Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi doc. RNDr. Annu Putnovou, Ph.D., MBA. Jiný návrh na zvolení do funkce dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi podán nebyl. Navržená kandidátka doc. RNDr. Anna Putnová, Ph.D., MBA., vyslovila souhlas s kandidaturou a přednesla kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě dlouhodobě uvolněné členky Zastupitelstva města Brna pro oblast inovace a spolupráce s výzkumnými organizacemi. Výsledek hlasování: - hlasování se zúčastnilo ……………………….. 54 členů Zastupitelstva města Brna - pro doc. RNDr. Annu Putnovou, Ph.D., MBA.. 41 hlasů Hlasování č. 21: 41 - 5 - 7 - 1",4,36036d38da50510d
katerina-jarosova,Z9/03,9,"JUDr. Markéta Vaňková, primátorka: Tady uvádím, že Rada města Brna doporučila zastupitelstvu, aby tou osobou byla Kateřina Jarošová. Otevírám diskusi. Není nikdo přihlášený, pan zastupitel Skřička.",0,31d42a3a0b7a27be
katerina-jarosova,Z9/06,83,"Bc. Kateřina Jarošová, MBA: Nadační fond letos slaví 30 let od svého vzniku. A já Vás tímto všechny velice ráda zvu na 10. května, na koncert, který se bude konat tady, na Dominikánském náměstí, před radnicí, od 17 hodin. Já Vám materiály pošlu a opravdu budu ráda, pokud nám pomůžete sehnat tyto sponzory, protože začneme oslovovat, materiál do, finišujeme. Myslím si, že ho budu mít do konce tohodle týdne. Takže já Vám všem pošlu e-mail s PDF podkladem, kde budete mít vše vysvětleno. Máme vše nachystáno a budu od Vás moc vděčná, pokud nám ty sponzory přivedete. Máme tady",0,e715158e17e939ea
katerina-jarosova,Z9/08,81,"Bc. Kateřina Jarošová, MBA – nahlásila střet zájmů k bodu 135).",0,1b7d3b44f9e1e083
katerina-jarosova,Z9/10,1,"Omluveni: RNDr. Jiří Herman, Ph.D. (od 14:30 hod.), Mgr. Petr Hladík (od 12:45 do 13:00 hod.), Bc. Kateřina Jarošová, MBA (od 15:00 hod.), JUDr. Irena Matonohová, členka Rady města Brna, Mgr. Jaroslav Suchý, náměstek primátorky, Ing. Daniel Struž, MBA.",0,eb0d7acd8a1bcc62
katerina-jarosova,Z9/14,57,"Bc. Kateřina Jarošová, MBA – nahlásila střet zájmů k bodu 78).",0,198b605f95c9e2a9
katerina-jarosova,Z9/16,1,"Připojeni on-line: JUDr. Michal Chládek, MBA, Bc. Kateřina Jarošová, MBA.",0,d527a00c9a941791
katerina-jarosova,Z9/21,1,"Omluveni: Bc. Matěj Hollan (do 10:00 hod.), Bc. Kateřina Jarošová, MBA, Mgr. Filip Leder (od 8:45 hod.), Petr Levíček, MBA, Mgr. René Novotný, JUDr. Markéta Vaňková, primátorka.",0,f9d440624b7d3d49
