osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
kristyna-cerna,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
kristyna-cerna,Z9/01,16,"*** ZMB ukládá předsedovi Výboru pro národnostní menšiny Zastupitelstva města Brna připravit návrh na doplňující volbu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna a předložit jej na příští zasedání Zastupitelstva města Brna. T: do příštího zasedání Zastupitelstva města Brna *** úkol č.: [Z9/01/11] zodpovídá: předseda Výboru pro národnostní menšiny [75] termín: [viz usnesení] 12. Delegování zástupkyň/zástupců statutárního města Brna na valné hromady obchodních společností s menší než 100% majetkovou účastí města JUDr. Markéta Vaňková, primátorka, v úvodu projednání tohoto bodu sdělila, že u některých společností již obdržela návrhy na delegování zástupců statutárního města Brna a jejich náhradníků na valné hromady společností. U některých společností očekává návrhy v rámci tohoto zasedání Zastupitelstva města Brna. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce k zastupování na všech valných hromadách společnosti Automotodrom Brno, a.s. Návrh na náhradníka podán nebyl. Brněnské vodárny a kanalizace, a.s. – byl navržen člen zastupitelstva Ing. David Grund, jako zástupce, Ing. Karin Karasová, náměstkyně primátorky, jako náhradnice. Jihomoravská rozvojová společnost, s.r.o. – byla navržena členka zastupitelstva Kristýna Černá, jako zástupce, Mgr. René Černý, 1. náměstek primátorky, jako náhradník. KORDIS JMK, a.s. – byl navržen Ing. Petr Kratochvíl, člen Rady města Brna, jako zástupce, Ing. arch. Petr Bořecký, člen Rady města Brna, jako náhradník. Technologický Park Brno, a.s. – byl navržen Martin Drdla, MSc., jako zástupce, člen zastupitelstva JUDr. PhDr. Martin Příborský, EMLE, jako náhradník. Jiné návrhy zástupců statutárního města Brna a jejich náhradníků delegovaných na valné hromady výše uvedených společností předloženy nebyly. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o předložených návrzích na delegování zástupců a jejich náhradníků u výše uvedených společností: Hlasování č. 36: 47 - 1 - 5 - 1",1,36036d38da50510d
kristyna-cerna,Z9/01,17,"Martina Drdlu, MSc., narozeného X. X. XXXX, bytem XXXXXXXXX XXXXX, XXX XX XXXX, jako zástupce JUDr. Ph.Dr. Martina Příborského, EMLE, člena Zastupitelstva města Brna, jako náhradníka k zastupování na všech valných hromadách společnosti Technologický Park Brno, a. s.“ 13. Změny v orgánech obchodních společností s menší než 100% majetkovou účastí statutárního města Brna JUDr. Markéta Vaňková, primátorka – v úvodu bodu sdělila, že návrhy na změny ve funkcích členů představenstev a členů dozorčích rad budou uváděny k jednotlivým společnostem, v pořadí představenstvo, dozorčí rada, a pokud budou podány nějaké návrhy nad rámec těch, které již obdržela, je nutné tyto návrhy dodat písemně. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., se omluvil za nedorozumění, když v bodu 12) uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce na valných hromadách společnosti namísto jeho navržení do funkce člena dozorčí rady společnosti. JUDr. Markéta Vaňková, primátorka, sdělila, že člen zastupitelstva Petr Levíček, MBA, může být delegován do obou zmíněných funkcí. Doc. MUDr. Tomáš Skřička, CSc., oba návrhy potvrdil. Brněnské vodárny a kanalizace, a.s. – návrhy kandidátů do představenstva: Ing. David Grund, Ing. Jaroslav Folprecht, Ing. Daniel Struž, MBA. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Bc. Marka Viskota. Návrhy kandidátů do dozorčí rady: PhDr. Martin Krytinář a Ludvík Kadlec. Jihomoravská rozvojová společnost, s.r.o. – návrh kandidátky do dozorčí rady: Kristýna Černá. Jiný kandidát navržen nebyl. KORDIS JMK, a.s. – návrhy kandidátů do představenstva: Mgr. Jiří Dvořáček a Ing. Jan Seitl. Návrhy kandidátů do dozorčí rady: Vít Prýgl, Ing. Pavel Jankůj. Doc. MUDr. Tomáš Skřička, CSc., navrhl dalšího kandidáta Ak. arch. Tomáše Kotase. Technologický Park Brno, a.s. – návrhy kandidátů do představenstva: Ing. David Trllo, Dipl.-Kfm. Dalimil Ospalý, Ing. Karel Kalivoda, prof. Ing. Vladislav Musil a JUDr. Michal Marek. Návrh kandidáta do dozorčí rady: Ing. David Geryk. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Břetislava Štefana. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o odvolání předchozích členů představenstev a dozorčích rad výše uvedených společností a zároveň o přednesených návrzích na nové členy představenstev a dozorčích rad těchto společností: Hlasování č. 37: 47 - 2 - 5 - 0",1,36036d38da50510d
kristyna-cerna,Z9/01,18,"Schválené usnesení: *** ZMB ukládá MUDr. Dagmar Seidlové, Ph.D., člence Zastupitelstva města Brna, plnění úkolů v oblasti zdravotnictví se zaměřením na zajištění optimálního fungování zdravotnictví na území statutárního města Brna. *** úkol č.: [Z9/01/15/01] zodpovídá: MUDr. Dagmar Seidlová, členka ZMB [3321] termín: [průběžně] *** ZMB ukládá Kristýně Černé, člence Zastupitelstva města Brna, plnění úkolů v oblasti cestovního ruchu se zaměřením na propagaci statutárního města Brna. *** úkol č.: [Z9/01/15/02] zodpovídá: Kristýna Černá, členka ZMB [3307] termín: [průběžně] *** ZMB ukládá JUDr. PhDr. Martinu Příborskému, EMLE, členu Zastupitelstva města Brna, plnění úkolů v oblasti strategického rozvoje, metropolitní spolupráce a integrovaných územních investic (ITI). *** úkol č.: [Z9/01/15/03] zodpovídá: JUDr. PhDr. Martin Příborský [3322] termín: [průběžně] 16. Určení člena Zastupitelstva města Brna pro spolupráci s Odborem územního plánování a rozvoje Magistrátu města Brna při pořizování územně plánovací dokumentace a jejích změn K hlasování o návrhu usnesení bylo přistoupeno bez rozpravy: Hlasování č. 40: 48 - 0 - 6 - 0 18",2,36036d38da50510d
kristyna-cerna,Z9/03,1,"Připojeni on-line: Kristýna Černá, RNDr. Jiří Herman, Ph.D., Mgr. Jitka Ivičičová a Mgr. Vladan Krásný.",0,31d42a3a0b7a27be
kristyna-cerna,Z9/05,1,"Omluveni: Kristýna Černá, Mgr. Vladan Krásný (od 11:00 hod.), Petr Levíček, MBA, Ing. Daniel Struž, MBA.",0,855e8c7abe4c7621
kristyna-cerna,Z9/06,18,"Kristýna Černá: Tak já bych to tady shrnula. Takže tady je Matěj Hollan, odborník na všechno, na kulturu, na všechno, a tadyk vážená rada a ostatní, tak my jsme tady ti blbci, kteří ničemu nerozumíme a kteří bysme se od něho měli učit a poslouchat jeho názory. Já bych chtěla panu zastupitelovi připomenout, že jeho doba slávy už tady byla, už tady seděl, už se tady mohl blýsknout. A asi bych to shrnula jednou větou. Když se kdykoli bavím s jakýmkoli jeho bývalým podřízeným, nebo lidmi z jeho okolí, kteří s ním museli spolupracovat, tak většinou je to věta typu – Matěj Hale, Matěj Hollan, no more. Takže, prosím, pane zastupiteli, nejste tady jedinej, letadlo, a my ostatní jsme blbci, kteří ničemu nerozumíme. Vraťte se zpátky na zem. Tohle je diskuse. Už několikrát tady padlo, že to je pouze, pouze v jednání, a akorát si tady děláte kampaň. Ale toto není Vaše sociální síť, toto je jednání zastupitelstva, tady se to prostě nehodí.",0,e715158e17e939ea
kristyna-cerna,Z9/06,52,"Mgr. Monika Lukášová Spilková, Ph.D., Kristýna Černá, doc. MUDr. Tomáš Skřička, CSc., MUDr. Alena Gruberová – nahlásili střet zájmů k tomuto bodu.",0,e715158e17e939ea
kristyna-cerna,Z9/06,83,"Kristýna Černá: Já bych se jenom krátce vyjádřila k tomu, k té marketingové smlouvě, protože to tady vypadá, jako kdyby bylo podepsáno něco nestandardního. Takže nic takového se nestalo. Takovýhle smluv, a s tímto zněním, kdy se samozřejmě propaguje město Brno a propaguje se ten statutár, což je v tuhle chvíli paní primátorka, uzavírá Kancelář marketingu a cestovního ruchu desítky ročně. Žádná nestandardní věc se nedělá, ta smlouva nějak upravovaná pro tuhle akci nebyla, těchle smluv se podepisuje několik za rok. V tomto stejném znění. Nic, nic nestandardního se neděje. Tady prostě senzace se nekoná.",0,e715158e17e939ea
kristyna-cerna,Z9/16,1,"Omluveni: Kristýna Černá, Mgr. Petr Hladík, JUDr. Robert Kerndl, Bc. Tomáš Koláčný, MUDr. Dagmar Seidlová, Ph.D.",0,d527a00c9a941791
kristyna-cerna,Z9/20,1,"Připojeni on-line: Petr Bořecký (Lidovci a Starostové), člen Rady města Brna, Kristýna Černá, Mgr. Monika Lukášová Spilková, Ph.D., Ing. David Trllo.",0,21185e2ff631d16f
kristyna-cerna,Z9/18,1,"Připojeni on-line: Petr Bauer, Petr Bořecký (Lidovci a Starostové, člen Rady města Brna, od 14:30 hod.), Kristýna Černá, Mgr. Petr Hladík, JUDr. Michal Chládek, MBA, RNDr. Filip Chvátal, Ph.D., náměstek primátorky (od 14:30 hod.), Libor Zábranský.",0,aeee21aca2ee1a98
kristyna-cerna,Z9/25,1,"Připojeni on-line: Bc. Tomáš Aberl, člen Rady města Brna, Kristýna Černá, Mgr. Marek Lahoda (od 9:00 do 11:00 hod.).",0,e988b29ad183637c
kristyna-cerna,Z9/24,25,"Kristýna Černá: Véch jenom chtěla reagovat na paní zastupitelku. Dyť je to přece otázka nabídky a poptávky. A ta poptávka, po tomhle typu vzdělávání, a konkrétně po PORG, je opravdu velká. Několikanásobně větší, než jaké mají kapacity. A o tom to tady je. A my přece jsme tadyk na místě, abychom mohli zpřístupnit a maximálně zefektivnit jejich práci a zkusit co nejvíc uspokojit tu poptávku. Která",0,0f8748a98e03e9ac
kristyna-cerna,Z9/26,18,"Kristýna Černá: Já bych jenom řekla, že marketing je jako řádově desítkách milionů korun, které prostě my získáme za pořádání MotoGP. To bysme si v žádném případě nemohli nakoupit, jenom takhle jednoduše. Takže to je z toho marketingového pohledu. A co se týká příjmů města, tak samozřejmě v tu chvíli, kdy je MotoGP, tak jsou vyprodány všechny hotely, ubytování, a to jsou příjmy městských částí, kdy se odvádí ubytovací poplatek a de do kasy městských částí. A těch multiplikačních efektů, kdy ten turista přijede ze zahraničí, víme, že utratí denně mezi 3, 4.000 Kč. Prostě vyplatí se to. Je to prostě skvělá zpráva, že se MotoGP vrací do Brna. Ze všech možných pohledů.",0,e5fe37ddafdb66a3
kristyna-cerna,Z9/27,23,"Kristýna Černá: Já jsem jenom chtěla pana zastupitele informovat, že web, Co bude, Brno?, tam jsou shromážděné tyto projekty.",0,1ac7d00d7789f14d
