osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
leos-prokes,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
leos-prokes,Z9/01,14,"Místopředsedou Výboru pro národnostní menšiny Zastupitelstva města Brna byl zvolen JUDr. Michal Chládek, MBA. Volba neuvolněných členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 4 neuvolněných členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna. Člen zastupitelstva Leoš Prokeš, MBA, navrhl nezastupitele Akopa Chodžajana, Ing. Jana Drápalová navrhla Mgr. Jasnu Flamikovou, Mgr. Marek Lahoda navrhl Bc. Tomáše Koláčného, Ing. Karin Karasová, náměstkyně primátorky, navrhla nezastupitelku Bc. Sabinu Benešovou, člen zastupitelstva JUDr. Michal Marek navrhl Mgr. Jitku Ivičičovou. JUDr. Markéta Vaňková, primátorka, na základě právní porady navrhla přerušení projednávání bodu 11), opětovné zařazení a projednání bodu 3) Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů z důvodu zájmu o navýšení počtu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna. 3. Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů JUDr. Markéta Vaňková, primátorka, navrhla hlasovat o revokaci usnesení o počtu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna a o změně usnesení spočívající v navýšení počtu ze 13 na 15 členů: Hlasování č. 33: 53 - 0 - 1 - 0",6,36036d38da50510d
leos-prokes,Z9/04,2,"Leoš Prokeš, MBA – vznesl dotaz vztahující se k důvodu stažení bodu 68).",0,a43c0850f687c0a3
leos-prokes,Z9/04,25,"Leoš Prokeš, MBA – požádal o samostatné hlasování o bodu 49).",2,a43c0850f687c0a3
leos-prokes,Z9/04,39,"Leoš Prokeš, MBA: Já bych měl ještě dotaz na pana Kratochvíla ohledně mostu na Šamalově. Mě by zajímalo, jak se to mohlo vlastně stát, že ta vozovka se prostě dokončila a nedošlo k tomu rozšíření a čeká se prostě, až se bude dělat ta kanalizace. Proč se v tuhletu chvíli neudělala část kanalizace a pak se, dejme tomu, na to nějak nedoplnilo?",0,a43c0850f687c0a3
leos-prokes,Z9/05,8,"Leoš Prokeš, MBA: Já, já se omlouvám, já jsem se snažil přihlásit do té diskuse k tohletomu bodu, bohužel jsem špatně asi předmáčkl, takže už bylo pak pozdě a hlasovalo se. Nicméně k tohletomu bodu já jsem se chtěl zeptat, memorandum porozumění, já to moc jakoby nechápu. V té důvodové zprávě vlastně ani nevíme, kolik nás to bude stát, jaký vlastně byla, nebo jaká byla vlastně konkrétní spolupráce do téhleté doby, co jsme z toho my vlastně měli? A chtěl bych to nějak jakokdyby vokomentovat. Jestli by někdo mně k tomu mohl dat nějaký informace?",0,855e8c7abe4c7621
leos-prokes,Z9/05,8,"Leoš Prokeš, MBA: Já jenom teda vím, že jsme teda dostali 2 800 TENA roušek, to je sice pěkný, myslím si, že v té době spousta z nás i šilo ty roušky a ušilo jich možná více. Já, já prostě nechápu tu cestu, nechápu jakokdyby možnost té spolupráce, zvlášť v téhleté době. Nemyslím si, že je to úplně teďka, teďka jakokdyby vhodný. Takže, v tomhletom případě si myslím, že je to spíš, za mě, vostuda.",0,855e8c7abe4c7621
leos-prokes,Z9/05,13,"Leoš Prokeš, MBA: Já si myslím, že pokud byly vybraný nějaké peníze do téhleté sbírky, tak by měly být použity výhradně, k čemu vlastně sloužily. A to znamená, podle mě je tak spoustu lidí, které mají eště nějaké pozůstalé, nebo jsou spojení s tym covidem, takže tyto peníze by měly být použity i nadále, k čemu byly vybrány. To jenom za mě.",0,855e8c7abe4c7621
leos-prokes,Z9/05,50,"Leoš Prokeš, MBA – požádal o samostatné hlasování o bodech 79) a 80).",2,855e8c7abe4c7621
leos-prokes,Z9/05,72,"Leoš Prokeš, MBA: Já bych jenom doplnil kolegu. Jelikož se teda jedná bez to, bezúplatné nabytí, k čemu vůbec by ty pozemky měly sloužit? Do budoucna?",0,855e8c7abe4c7621
