osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
libor-zabransky-1,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
libor-zabransky-1,Z9/05,80,"Bc. Matěj Hollan: Já bych se chtěl zeptat, vzhledem k informacím, které jsem obdržel o tomto víkendu, že na základě intervencí mořské víly ze spacáku se opět zrušilo výběrko na ředitele veletrhů a Petr Vokřál dostal z centra jejich strany zákaz, aby se tím ředitelem stal, tak jaké jsou další, jaký bude další postup kolem, ohledně výstaviště, jestli se to bude zase znova vypisovat a kolikrát se to ještě bude vypisovat? Jestli je opravdu nutné paní Schillerovou, i když není zastupitelka Brna, takle ve všem poslouchat? Jaké jsou, jaké jsou prostě představy vedení města o tom, jak výstaviště dál se bude řídit? A já bych měl k tomu jeden konstruktivní návrh. Vzhledem k tomu, že asi už se rezignovalo na to, aby se to výstaviště nějak rozvíjelo a plnilo tu svoji primární funkci, a řeší se jenom to, jak tam realizovat tu hokejovou halu, tak jestli by to nevzal Libor Zábranský? Protože v rámci té, těch kumulací funkcí a toho střetu zájmu už by to bylo jenom taková další, další do toho střípek a dávalo by to určitě stejnou logiku jako ten stávající střet zájmu.",2,855e8c7abe4c7621
libor-zabransky-1,Z9/07,1,"Omluveni: Mgr. Petr Hladík (od 12:00 hod.), Mgr. Vladan Krásný, Ing. Pavel Kříž, Ph.D., Mgr. Filip Leder a Libor Zábranský.",0,736feb627c8ee927
libor-zabransky-1,Z9/06,1,"Omluveni: RNDr. Jiří Herman, Ph.D. (od 13:00 hod.), Mgr. Petr Hladík (od 13:00 hod.), Mgr. Martin Maleček (od 13:00 hod.), Ing. Daniel Struž, MBA (od 13:00 hod.), Mgr. Bc. Marek Viskot, Libor Zábranský.",0,e715158e17e939ea
libor-zabransky-1,Z9/08,48,"Bc. Tomáš Koláčný: Já na úvod musím říct, že mě docela zaujalo to, že paní primátorka v tom svém úvodním slovu hovořila o brněnské filharmonii, která tedy minimálně dle mého názoru nečeká na stavbu multifunkční haly, ale Janáčkova kulturního centra, které současná koalice už půl roku úspěšně blokuje. Nicméně k tomu se dostanu v bodě Podněty, připomínky členů zastupitelstva, na konci dnešního jednání. Nyní k multifunkční hale. Já jsem si materiál samozřejmě velmi důkladně přečetl a zaujala mě jedna skutečnost, a to, že bude-li tento materiál schválen, tak prodraží celou stavbu o 1.660.000.000. Jedno rozhodnutí, docela nákladné, je to částka, kterou město Brno prostřednictvím své společnosti ARENA BRNO přeplatí České spořitelně za těch 25 let na úrocích. To, co by mě k tomu zajímalo je, jednak proč je tady tenhlensten návrh na vzetí úvěru předkládán v situaci, kdy město nemá provozovatele, nemá zajištěno kompletní financování, myslím si, že není pravdou to, že by nebyla možnost získat provozovatele, já sám jsem za minulého období seděl na jednání, kde zde přítomný Libor Zábranský nabízel 30.000.000 jako možný koncesní poplatek, což bylo ze strany vedení města odmítnuto, to znamená, todlensto by mě zajímalo a zajímalo by mě také proč se tento materiál předkládá v situaci, kdy není zřejmé, zda bude vůbec možné celou akci financovat z veřejných rozpočtů, jelikož město nedisponuje notifikací Evropské komise. To jsou první dva dotazy a druhé dotazy se týkají materiálu samotného, kdy zde chybí, pokud jsem dobře počítal, tři přílohy. Konkrétně jsou to přílohy na straně 102 ze 166, příloha číslo 5 – Projektové pozemky, dále je to příloha číslo 7 a 8 na stranách 105 a 106 ze 166.",2,1b7d3b44f9e1e083
libor-zabransky-1,Z9/08,50,"Ing. Petr Kratochvíl, člen Rady města Brna: Já jenom velmi krátce. Začnu odzadu, máme fixní úrok na dobu 10 roků. Po 10. letech vstupujeme do jednání s poskytovatelem stávajícího úvěru nebo můžeme, omlouvám se tímto České spořitelně dopředu, diskutovat o případně jiném bankovním zdroji, který nám nabídne lepší a výhodnější úrok, případně, v čase, kde se budem nacházet. Co se týče vlastního koncesionáře, to možná potvrdí spíš Libor Zábranský, my jsme se dostali jen tenkrát do situace, že přicházela bohužel válka na Ukrajině, ano, jo, to bylo podle mě pár dní s tím spojený a na základě této skutečnosti, jestli si to dobře pamatuji, došlo k odstoupení a nepokračování koncesního řízení ze strany Komety, to možná potvrdí tady pan Zábranský. Pokud si to správně pamatuji. A výhrady strany pirátské, takové, které já si pamatuji, omlouvám se, během uplynulého volebního období, byly pouze takové, ano, že chtěli provozovatele arény zajistit, mezinárodního nebo velkého. My jsme na základě jejich požadavků otevřeli tu soutěž velmi extrémně do široka, byla publikována v evropských různých věstnících, v angličtině a tak dále a samozřejmě to období, které bylo v té době, tak nebylo, řeknu, tak komfortní, aby se o tuto halu někdo ucházel a měli jsme dvě možnosti, buďto budem čekat x y let, pardon, ano nebo se pokusíme rozjet tu halu a provozovat to sami, což se nyní děje a nevylučuje se a ty diskuse se vedou neustále paralelně, nevylučuje se, že v určitej moment zahájíme případně opět koncesní řízení.",0,1b7d3b44f9e1e083
libor-zabransky-1,Z9/13,1,"Připojeni on-line: Petr Bauer, JUDr. Michal Chládek, MBA, Mgr. René Novotný a Libor Zábranský.",0,1f55fba1fd91456a
libor-zabransky-1,Z9/17,1,"Omluveni: Ing. Jana Drápalová (od 10:00 hod.), Mgr. Petr Hladík, Bc. Matěj Hollan, JUDr. Michal Chládek, MBA, RNDr. Filip Chvátal, Ph.D., náměstek primátorky (od 8:45 do 10:45 hod.), Mgr. Vladan Krásný, Petr Levíček, MBA, Mgr. Monika Lukášová Spilková, Ph.D., Libor Zábranský.",0,7ebec469c9c23f69
libor-zabransky-1,Z9/18,1,"Připojeni on-line: Petr Bauer, Petr Bořecký (Lidovci a Starostové, člen Rady města Brna, od 14:30 hod.), Kristýna Černá, Mgr. Petr Hladík, JUDr. Michal Chládek, MBA, RNDr. Filip Chvátal, Ph.D., náměstek primátorky (od 14:30 hod.), Libor Zábranský.",0,aeee21aca2ee1a98
libor-zabransky-1,Z9/19,1,"Omluveni: Bc. Matěj Hollan (do 8:25 hod.), Bc. Jakub Hruška (od 11:30 do 12:00 hod.), Mgr. René Novotný (do 9:00 hod.), MUDr. Dagmar Seidlová, Ph.D. (do 9:00 hod.), Mgr. Břetislav Štefan (do 9:00 hod.), Libor Zábranský.",0,7a2e7987609bcbd0
