osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
marek-lahoda,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
marek-lahoda,Z9/01,13,"Členy Finančního výboru Zastupitelstva města Brna byli zvoleni Bc. Jiří Kment, Mgr. Marek Lahoda, Ing. Daniel Struž, MBA, Ing. Jana Drápalová a Petr Šafařík. Volba neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Mgr. Marek Lahoda navrhl zvolit do funkce místopředsedkyně Kontrolního výboru Zastupitelstva města Brna Mgr. Moniku Lukášovou Spilkovou, Ph.D. Jiný návrh na zvolení do funkce neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna podán nebyl. Navržená kandidátka Mgr. Monika Lukášová Spilková, Ph.D., vyslovila souhlas s kandidaturou. Hlasování o volbě místopředsedkyně Kontrolního výboru Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo ………………………. 53 členů Zastupitelstva města Brna - pro Mgr. Moniku Lukášovou Spilkovou, Ph.D. 45 hlasů Hlasování č. 29: 45 - 0 - 5 - 3",4,36036d38da50510d
marek-lahoda,Z9/01,13,"Místopředsedkyní Kontrolního výboru Zastupitelstva města Brna byla zvolena Mgr. Monika Lukášová Spilková, Ph.D. Volba neuvolněných členek/členů Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 7 neuvolněných členek/členů Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Bc. Jiří Kment navrhl nezastupitelku Mgr. et Mgr. Janu Novákovou, Mgr. Marek Lahoda navrhl Mgr. Adama Zemka, Ing. Karin Karasová, náměstkyně primátorky, navrhla Víta Prýgla, členka zastupitelstva Ing. Jana Drápalová navrhla Bc. Matěje Hollana, JUDr. Michal Marek navhl Bc. Jakuba Hrušku, JUDr. Robert Kerndl, náměstek primátorky, navrhl nezastupitele",6,36036d38da50510d
marek-lahoda,Z9/01,14,"Místopředsedou Výboru pro národnostní menšiny Zastupitelstva města Brna byl zvolen JUDr. Michal Chládek, MBA. Volba neuvolněných členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 4 neuvolněných členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna. Člen zastupitelstva Leoš Prokeš, MBA, navrhl nezastupitele Akopa Chodžajana, Ing. Jana Drápalová navrhla Mgr. Jasnu Flamikovou, Mgr. Marek Lahoda navrhl Bc. Tomáše Koláčného, Ing. Karin Karasová, náměstkyně primátorky, navrhla nezastupitelku Bc. Sabinu Benešovou, člen zastupitelstva JUDr. Michal Marek navrhl Mgr. Jitku Ivičičovou. JUDr. Markéta Vaňková, primátorka, na základě právní porady navrhla přerušení projednávání bodu 11), opětovné zařazení a projednání bodu 3) Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů z důvodu zájmu o navýšení počtu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna. 3. Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů JUDr. Markéta Vaňková, primátorka, navrhla hlasovat o revokaci usnesení o počtu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna a o změně usnesení spočívající v navýšení počtu ze 13 na 15 členů: Hlasování č. 33: 53 - 0 - 1 - 0",6,36036d38da50510d
marek-lahoda,Z9/03,18,"Mgr. Marek Lahoda: Já se připojím vlastně tady k paní kolegyni od Zelených. Já samozřejmě chápu slova pana Kratochvíla, souhlasím s tím, že každá stavba komplikuje tu dopravní situaci ve městě, ale dovolil bych si vlastně tady jenom ocitovat pár věc z toho, z té přílohy A vlastně, která se zabývá tím vyhodnocením stavu té vodovodní a kanalizační sítě. Vlastně jsou to konkrétně body z toho závěru. Vodovodní a kanalizační síť ve městě Brně stárne, přestože je plněn plán financování obnovy. Při stávajícím tempu obnovy vodovodu bude v roce 2070 průměrné stáří vodovodní sítě 70 let, oproti současnému stáří 44 let. A při stávajícím tempu obnovy kanalizace bude v roce 2070 průměrné stáří kanalizační sítě 65 let, oproti současnému stáří 40 let. Takže tady je opravdu vidět, že by zřejmě to tempo obnovy bylo potřeba zvýšit, a ty finance, které město plánuje z roku na rok v rozpočtu a v dlouhodobém výhledu, což tady máme v těch dalších bodech, budeme se o tom ještě bavit, tak zřejmě by bylo potřeba směřovat více i do této oblasti.",0,31d42a3a0b7a27be
marek-lahoda,Z9/03,32,"Mgr. Marek Lahoda: Děkuji za představení rozpočtu. My samozřejmě vítáme, že je vyrovnaný, byť teda pouze při zapojení toho financování, přes 2.000.000.000, na příští rok. A já vlastně asi budu mít jenom krátce 2 dotazy. První se týká multifunkční haly. Zdali je, podle Vás, v rámci péče řádného hospodáře vlastně započínat tento obří projekt již v příštím roce, kdy je tam navrženo vlastně 250.000.000 na něj a v dalším roce už 1.250.000.000, zda by nebylo lepší počkat až, třeba ještě rok, jak se vyvine ta ekonomická situace a situace ohledně energií na trhu? Protože je to opravdu velký projekt, který s sebou nese velká rizika, tak jak se to teďka probírá v médiích, ještě není vlastně ani vybrán provozovatel a už tady plánujeme vlastně velké finance rozjetí této akce. Toto v rozpočtu je, ale co mi tam naopak chybí, tak jsou některé menší věci, které by možná občané města Brna ocenili mnohem více. Jednou z nich může být například rekonstrukce podchodu pod Hlavním nádražím, kterou jsem v rozpočtu, nebo nenašel jsem vlastně v rozpočtu finance na tuto akci, která se připravuje. Takže to je druhý dotaz, zdali s tímto město počítá, i s nějakými třeba dalšími takto významnými, ale finančně levnějšími akcemi?",0,31d42a3a0b7a27be
marek-lahoda,Z9/03,35,"Mgr. Marek Lahoda: Já mám jenom doplňující dotaz, protože mě by opravdu zajímala ta situace ohledně podchodu a v tom rozpočtu ho nevidím, tak jestli teda vedení města s rekonstrukcí podchodu pod hlavním nádražím stále počítá, případně v jakém časovém horizontu?",0,31d42a3a0b7a27be
marek-lahoda,Z9/03,75,"Mgr. Marek Lahoda: Já mám taky 2 dotazy. Pokusím se být stručný a taky poprosím o odpovědi v písemné formě. V médiích se teďka objevily opět další informace ohledně připravovaného horkovodu z Dukovan. A mě by vlastně zajímalo, v jaké, přesně, fázi tento projekt aktuálně je, jestli už existuje nějaký konkrétní návrh technického řešení, jestli teda se momentálně zpracovává nějaká ekonomická analýza, tak kdy nám bude předložena, nebo kdy bude nějak veřejná, abychom se s ní mohli seznámit? Odkud se vzal vlastně ten odhad těch 19.000.000.000, který teďka se objevil v médiích a zároveň se tam objevila informace o tom, že zhruba polovinu z toho by měly pokrýt Teplárny? Takže by mě zajímalo, jak je to vlastně řešeno, to investorství na straně těchTepláren? Protože těch 9.000.000.000 je opravdu hodně velká investice, a pokud vím, tak ty roční finanční prostředky v Teplárnách jsou podstatně menší. Takže by mě zajímalo, jak tadytodle je řešeno, na straně Tepláren? A také by mě zajímalo, jestli existuje nějaká studie proveditelnosti, nebo jestli vedení města nějak srovnávalo nějaké jiné varianty zajištění tepla, přívodu tepla do města Brna než pouze tímto horkovodem z Dukovan? Nabízí se například řešení pomocí tepelných čerpadel z čističky odpadních vod, jiné další řešení. Tak jestli se to nějak srovnávalo, co se týče vlastně toho tepelného výkonu i těch finančních investic? To je všechno tadyktomu prvnímu bodu. A k té druhé věci. Tak se opět v médiích objevily informace o tom, že se chystá nějaká restrukturalizace Kanceláře architekta města. Zřejmě se některé z agend mají přesunout na BKOM a některé se mají přesunout asi úplně jinam, to se zatím, to se zatím neobjevilo, nebo neví kam. Zatím to není veřejně známo. Tak by mě zajímaly víc informací tadyktéto věci. A také by mě zajímalo, zda tím nebude ohrožena tady, vlastně ta funkce, kterou zde Kancelář architekta města plnila? Protože mně přijde, že zde odváděla Kancelář architekta města dobrou práci, v těch posledních 8 letech, a že by vlastně tadyto rozdrobení těch jejich funkcí mohlo být v neprospěch města Brna.",2,31d42a3a0b7a27be
marek-lahoda,Z9/05,20,"Mgr. Marek Lahoda: Já jsem tady v mezičase ověřil teda u naší paní krajské radní pro sociální oblast a ona mi sdělila, že se s Vámi přes víc než rok nepotkala osobně a že o tomto projektu teda, s oficiální cestou, žádné bližší informace nemá. Takže ví o tom jenom vlastně od zaměstnanců. Takže, za nás bychom chtěli požádat teda o nějakou schůzku, tadytakto meziúrovňové a nějaké oficiální informace.",0,855e8c7abe4c7621
marek-lahoda,Z9/05,23,"Mgr. Marek Lahoda: Já bych se chtěl zeptat, jestli to navýšení o 1.500.000 Kč, což je vlastně 50 % té původní částky, která na ty ohňostroje byla dávána, tak jestli je jako zdůvodněné opravdu tak razantním nárůstem nákladů, nebo co je ten důvod?",0,855e8c7abe4c7621
