osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
marek-viskot,Z9/01,2,"ČSSD VAŠI STAROSTOVÉ – předseda JUDr. Jiří Oliva Mgr. Břetislav Štefan Mgr. Bc. Marek Viskot Zelení a Žít Brno – předseda Ing. Jana Drápalová Mgr. Jasna Flamiková Bc. Matěj Hollan Poté JUDr. Markéta Vaňková, primátorka, upozornila, že jednání se řídí platným Jednacím řádem Zastupitelstva města Brna. Jmenování zapisovatelek a pověření právní asistencí Zapisovatelkami jednání byly jmenovány Jana Sovová a Marie Doubravová, zaměstnankyně Organizačního odboru MMB, a právní asistencí byly pověřeny JUDr. Hana Doležalová a Mgr. Nikol Wagnerová, zaměstnankyně Právního oddělení Organizačního odboru MMB. Složení slibu členů Zastupitelstva města Brna Primátorka JUDr. Markéta Vaňková konstatovala, že všem přítomným členům Zastupitelstva města Brna, zvoleným ve volbách do zastupitelstev obcí konaných ve dnech 23. a 24. 9. 2022, bylo předáno „Osvědčení o zvolení členem Zastupitelstva města Brna“ podle § 53 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. V období od zvolení rezignovala na svůj mandát dne 19. 10. 2022 Bc. Petra Quittová. Prvním náhradníkem na kandidátní listině Lid. a Star. (KDU-ČSL+St. a nez.) byl Mgr. Jaroslav Suchý, který se v souladu s § 56 odst. 1 zákona o volbách do zastupitelstev obcí stal dne 20. 10. 2022 členem Zastupitelstva města Brna. Před složením slibu primátorka JUDr. Markéta Vaňková upozornila přítomné členy Zastupitelstva města Brna, že odmítnutí složit slib nebo složení slibu s výhradou má za následek okamžitý zánik mandátu dle § 55 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. Ing. Oliver Pospíšil, tajemník Magistrátu města Brna, přednesl slib stanovený v § 69 odst. 2 zákona o obcích: „Slibuji věrnost České republice. Slibuji na svou čest a svědomí, že svoji funkci budu vykonávat svědomitě, v zájmu města a jeho občanů, a řídit se Ústavou a zákony České republiky.“ Poté jmenovitě vyzval všechny přítomné členy Zastupitelstva města Brna, aby složili slib pronesením slova „slibuji“ a stvrdili jej podpisem na připravených listinách. Následně všech 54 členů Zastupitelstva města Brna složilo bez výhrad slib stanovený zákonem o obcích. Určení ověřovatelů zápisu a schválení programu ustavujícího zasedání Zastupitelstva města Brna Za ověřovatele zápisu byli navrženi JUDr. Robert Kerndl, Vít Prýgl a Mgr. Jaroslav Suchý. K hlasování o návrhu na ověřovatele zápisu bylo přistoupeno bez rozpravy. Hlasování je dále uváděno v pořadí: pro - proti - zdržel se - nehlasoval. Hlasování č. 1: 53 - 0 - 0 - 1",6,36036d38da50510d
marek-viskot,Z9/01,6,"nyní navržen pouze k vzetí na vědomí. Dále uvedla, že v souladu s tímto volebním řádem je třeba zvolit volební komisi, která bude sledovat průběh voleb a vyhotovovat a podepisovat zápis o průběhu a výsledku voleb. Poté ještě upozornila, že podle článku 4 odst. 2 volebního řádu nemůže být členem volební komise kandidát na tyto volené funkce. JUDr. Markéta Vaňková, primátorka, vyzvala přítomné členy Zastupitelstva města Brna k podání návrhů na členy volební komise. JUDr. Jiří Oliva navrhl Mgr. Bc. Marka Viskota, Ing. Karin Karasová navrhla Ing. Karla Kalivodu a Mgr. Bc. Marek Viskot navrhl Mgr. Břetislava Štefana. Hlasování o složení volební komise: Hlasování č. 7: 53 - 0 - 1 - 0",10,36036d38da50510d
marek-viskot,Z9/01,6,"Komise si ze svého středu volí předsedu, který dle článku 4 odst. 3 schváleného volebního řádu průběh voleb řídí. Předsedou volební komise byl členy volební komise zvolen Mgr. Bc. Marek Viskot. Schválené usnesení: 1. ZMB bere na vědomí Volební řád pro volbu primátora, náměstků primátora, dalších členů Rady města Brna a pro volbu dalších dlouhodobě uvolněných členů Zastupitelstva města Brna schválený na Z7/01. zasedání Zastupitelstva města Brna konaném dne 25. 11. 2014. 2. ZMB volí volební komisi pro volbu primátorky/primátora města Brna, náměstkyň/náměstků primátorky/primátora města Brna a dalších členek/členů Rady města Brna a pro volbu dalších dlouhodobě uvolněných členek/členů Zastupitelstva města Brna, pro volební období 2022–2026, ve složení:",0,36036d38da50510d
marek-viskot,Z9/01,6," Mgr. Bc. Marek Viskot - předseda  Mgr. Břetislav Štefan · Ing. Karel Kalivoda 6. Volba primátorky/primátora města Brna JUDr. Markéta Vaňková, primátorka – v úvodu tohoto bodu informovala, že členové Zastupitelstva města Brna obdrželi materiál s příslušným usnesením, které bude uvedeno v zápisu ze zasedání, a upozornila, že o tomto usnesení se nehlasuje, je to konstatování výsledků uskutečněných voleb. Poté vyzvala předsedu volební komise Mgr. Bc. Marka Viskota, aby se v souladu s volebním řádem ujal řízení volby. Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci primátorky/primátora města Brna. Člen Zastupitelstva města Brna JUDr. Robert Kerndl podal návrh na zvolení JUDr. Markéty Vaňkové do funkce primátorky města Brna. Jiný návrh na zvolení do funkce primátorky/primátora města Brna podán nebyl. Navržená kandidátka na primátorku města Brna JUDr. Markéta Vaňková vyslovila souhlas s kandidaturou a přednesla svůj kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě primátorky města Brna: Hlasování č. 8: Neplatné hlasování",6,36036d38da50510d
marek-viskot,Z9/01,7,"V úvodu projednávání tohoto bodu JUDr. Markéta Vaňková, primátorka, upozornila, že v rámci bodu č. 4) byla určena i funkce 4. náměstkyně/náměstka primátorky města Brna, tudíž proběhne volba i do této funkce. Průběh voleb řídil Mgr. Bc. Marek Viskot, předseda volební komise. Volba 1. náměstkyně/náměstka primátorky města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 1. náměstkyně/náměstka primátorky města Brna. Členka zastupitelstva Ing. Karin Karasová navrhla zvolit do funkce 1. náměstka primátorky města Brna Mgr. Reného Černého. Jiný návrh na zvolení do funkce 1. náměstkyně/náměstka primátorky města Brna podán nebyl. Navržený kandidát Mgr. René Černý vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě 1. náměstka primátorky města Brna. Výsledek hlasování: - hlasování se zúčastnilo ………………… 54 členů Zastupitelstva města Brna - pro Mgr. Reného Černého …………….. 42 hlasů Hlasování č. 10: 42 - 5 - 7 - 0",10,36036d38da50510d
marek-viskot,Z9/01,8,"JUDr. Roberta Kerndla v pořadí třetím náměstkem primátorky města Brna, Ing. Karin Karasovou v pořadí čtvrtou náměstkyní primátorky města Brna. 8. Volba dalších členek/členů Rady města Brna Průběh voleb řídil Mgr. Bc. Marek Viskot, předseda volební komise, opět podle platného volebního řádu, který určuje, že volba probíhá u každé další členky/člena Rady města Brna jednotlivě. JUDr. Markéta Vaňková, primátorka, upozornila, že oproti předloženému materiálu k tomuto bodu se bude volit o 1 členku/člena Rady města Brna méně, vzhledem ke zvolení 4. náměstkyně primátorky města Brna. Volba členky/člena Rady města Brna pro dopravu a správu městských účastí Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro dopravu a správu městských účastí. JUDr. Robert Kerndl, náměstek primátorky, navrhl zvolit do funkce člena Rady města Brna pro dopravu a správu městských účastí Ing. Petra Kratochvíla. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro dopravu a správu městských účastí podán nebyl. Navržený kandidát Ing. Petr Kratochvíl vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě člena Rady města Brna pro dopravu a správu městských účastí. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro Ing. Petra Kratochvíla ……....………... 41 hlasů Hlasování č. 14: 41 - 5 - 7 - 1",8,36036d38da50510d
marek-viskot,Z9/01,10,"Ing. Petra Kratochvíla členem Rady města Brna pro dopravu a správu městských účastí, Bc. Tomáše Aberla členem Rady města Brna pro sport a informační technologie, Ing. arch. Petra Bořeckého členem Rady města Brna pro územní plánování, JUDr. Jiřího Olivu členem Rady města Brna pro majetek, JUDr. Irenu Matonohovou členkou Rady města Brna pro školství, RNDr. Filipa Chvátala, Ph.D., členem Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku. 9. Volba dalších dlouhodobě uvolněných členek/členů Zastupitelstva města Brna Průběh voleb řídil Mgr. Bc. Marek Viskot, předseda volební komise, opět podle platného volebního řádu, který určuje, že volba probíhá u každé/každého další/dalšího dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna jednotlivě. Volba dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast marketingu a PR Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast marketingu a PR. Ing. Karin Karasová, náměstkyně primátorky, navrhla zvolit do funkce dlouhodobě uvolněné členky Zastupitelstva města Brna pro oblast marketingu a PR Bc. Kateřinu Jarošovou, MBA. Jiný návrh na zvolení do funkce dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna pro oblast marketingu a PR podán nebyl. Navržená kandidátka Bc. Kateřina Jarošová, MBA, vyslovila souhlas s kandidaturou a přednesla kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě dlouhodobě uvolněné členky Zastupitelstva města Brna pro oblast marketingu a PR. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro Bc. Kateřinu Jarošovou, MBA ……….. 42 hlasů Hlasování č. 20: 42 - 0 - 11 - 1",6,36036d38da50510d
marek-viskot,Z9/01,12,"Komise si ze svého středu volí předsedu, který dle článku 4 odst. 3 schváleného volebního řádu průběh voleb řídí. Předsedou volební komise byl členy volební komise zvolen Mgr. Bc. Marek Viskot. Schválené usnesení: 1. ZMB schvaluje Volební řád pro volbu neuvolněných předsedů, místopředsedů a členů výborů Zastupitelstva města Brna, který tvoří přílohu č. 1 tohoto zápisu. 2. ZMB volí volební komisi pro volbu neuvolněných předsedkyň/předsedů, místopředsedkyň/místopředsedů a členek/členů výborů Zastupitelstva města Brna, pro volební období 2022–2026, ve složení: Mgr. Bc. Marek Viskot - předseda Ing. Karel Kalivoda, RNDr. Miroslav Kubásek, Ph.D. 11. Volba neuvolněných předsedkyň/předsedů, místopředsedkyň/místopředsedů a členek/členů výborů Zastupitelstva města Brna JUDr. Markéta Vaňková, primátorka – v úvodu tohoto bodu informovala, že členové Zastupitelstva města Brna obdrželi materiál s příslušným usnesením, které bude uvedeno v zápisu ze zasedání, a upozornila, že o tomto usnesení se nehlasuje, je to konstatování výsledků uskutečněných voleb. Poté vyzvala předsedu volební komise Mgr. Bc. Marka Viskota, aby se v souladu s volebním řádem ujal řízení volby. Volba neuvolněné/neuvolněného předsedkyně/předsedy Finančního výboru Zastupitelstva města Brna Předseda volební komise seznámil přítomné členy Zastupitelstva města Brna s pořadím prováděných voleb a poté je vyzval k podání návrhů na funkci předsedkyně/předsedy Finančního výboru Zastupitelstva města Brna. JUDr. Robert Kerndl, náměstek primátorky, navrhl do funkce předsedkyně Finančního výboru Zastupitelstva města Brna Ing. Andreu Pazderovou. Jiný návrh na zvolení do funkce předsedkyně/předsedy Finančního výboru Zastupitelstva města Brna podán nebyl. Navržená kandidátka Ing. Andrea Pazderová vyslovila souhlas s kandidaturou. V souladu s volebním řádem kandidáti na funkce neuvolněných předsedkyň/předsedů, místopředsedkyň/místopředsedů a členek/členů výborů Zastupitelstva města Brna nevystupují se svým prohlášením a neodpovídají na případné dotazy. Hlasování o volbě předsedkyně Finančního výboru Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo …………… 53 členů Zastupitelstva města Brna - pro Ing. Andreu Pazderovou ……... 44 hlasů Hlasování č. 26: 44 - 1 - 8 - 0",8,36036d38da50510d
marek-viskot,Z9/02,6,"JUDr. Markéta Vaňková, primátorka, upozornila, že podle čl. 5 odst. 2 Volebního řádu pro volbu neuvolněných předsedů, místopředsedů a členů výborů Zastupitelstva města Brna členem volební komise nemůže být kandidát na funkce volené dle tohoto volebního řádu. Poté vyzvala přítomné členy Zastupitelstva města Brna k podání návrhů na členy volební komise. Mgr. Břetislav Štefan navrhl Mgr. Bc. Marka Viskota, Mgr. Bc. Marek Viskot navrhl Mgr. Břetislava Štefana a Mgr. Martin Maleček navrhl Mgr. Jitku Ivičičovou.",8,9d9381375d84a343
marek-viskot,Z9/02,6,Předsedou volební komise byl členy volební komise zvolen Mgr. Bc. Marek Viskot.,0,9d9381375d84a343
