osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
marketa-vankova,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
marketa-vankova,Z9/01,2,"ČSSD VAŠI STAROSTOVÉ – předseda JUDr. Jiří Oliva Mgr. Břetislav Štefan Mgr. Bc. Marek Viskot Zelení a Žít Brno – předseda Ing. Jana Drápalová Mgr. Jasna Flamiková Bc. Matěj Hollan Poté JUDr. Markéta Vaňková, primátorka, upozornila, že jednání se řídí platným Jednacím řádem Zastupitelstva města Brna. Jmenování zapisovatelek a pověření právní asistencí Zapisovatelkami jednání byly jmenovány Jana Sovová a Marie Doubravová, zaměstnankyně Organizačního odboru MMB, a právní asistencí byly pověřeny JUDr. Hana Doležalová a Mgr. Nikol Wagnerová, zaměstnankyně Právního oddělení Organizačního odboru MMB. Složení slibu členů Zastupitelstva města Brna Primátorka JUDr. Markéta Vaňková konstatovala, že všem přítomným členům Zastupitelstva města Brna, zvoleným ve volbách do zastupitelstev obcí konaných ve dnech 23. a 24. 9. 2022, bylo předáno „Osvědčení o zvolení členem Zastupitelstva města Brna“ podle § 53 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. V období od zvolení rezignovala na svůj mandát dne 19. 10. 2022 Bc. Petra Quittová. Prvním náhradníkem na kandidátní listině Lid. a Star. (KDU-ČSL+St. a nez.) byl Mgr. Jaroslav Suchý, který se v souladu s § 56 odst. 1 zákona o volbách do zastupitelstev obcí stal dne 20. 10. 2022 členem Zastupitelstva města Brna. Před složením slibu primátorka JUDr. Markéta Vaňková upozornila přítomné členy Zastupitelstva města Brna, že odmítnutí složit slib nebo složení slibu s výhradou má za následek okamžitý zánik mandátu dle § 55 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. Ing. Oliver Pospíšil, tajemník Magistrátu města Brna, přednesl slib stanovený v § 69 odst. 2 zákona o obcích: „Slibuji věrnost České republice. Slibuji na svou čest a svědomí, že svoji funkci budu vykonávat svědomitě, v zájmu města a jeho občanů, a řídit se Ústavou a zákony České republiky.“ Poté jmenovitě vyzval všechny přítomné členy Zastupitelstva města Brna, aby složili slib pronesením slova „slibuji“ a stvrdili jej podpisem na připravených listinách. Následně všech 54 členů Zastupitelstva města Brna složilo bez výhrad slib stanovený zákonem o obcích. Určení ověřovatelů zápisu a schválení programu ustavujícího zasedání Zastupitelstva města Brna Za ověřovatele zápisu byli navrženi JUDr. Robert Kerndl, Vít Prýgl a Mgr. Jaroslav Suchý. K hlasování o návrhu na ověřovatele zápisu bylo přistoupeno bez rozpravy. Hlasování je dále uváděno v pořadí: pro - proti - zdržel se - nehlasoval. Hlasování č. 1: 53 - 0 - 0 - 1",6,36036d38da50510d
marketa-vankova,Z9/01,3,"Schválení programu ustavujícího zasedání ZMB č. Z9/01 JUDr. Markéta Vaňková, primátorka, zdůvodnila tyto změny programu: - zařazení nových bodů: 15) Uložení úkolů neuvolněným členkám/členům Zastupitelstva města Brna 16) Určení člena Zastupitelstva města Brna pro spolupráci s Odborem územního plánování a rozvoje Magistrátu města Brna při pořizování územně plánovací dokumentace a jejích změn JUDr. Markéta Vaňková, primátorka, nechala hlasovat o navrženém programu zasedání včetně nově navržených bodů: Hlasování č. 2: 54 - 0 - 0 - 0",-3,36036d38da50510d
marketa-vankova,Z9/01,3,"Schválený program zasedání Zastupitelstva města Brna č. Z9/01: 1. Technický bod (složení slibu členů Zastupitelstva města Brna, zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) 2. Stanovení počtu členek/členů Rady města Brna 3. Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů 4. Určení funkcí, pro které budou členky/členové Zastupitelstva města Brna dlouhodobě uvolněny/uvolněni 5. Volební řád pro volbu primátora, náměstků primátora, dalších členů Rady města Brna a pro volbu dalších dlouhodobě uvolněných členů Zastupitelstva města Brna a volební komise pro jejich volbu 6. Volba primátorky/primátora města Brna 7. Volba náměstkyň/náměstků primátorky/primátora města Brna 8. Volba dalších členek/členů Rady města Brna 9. Volba dalších dlouhodobě uvolněných členek/členů Zastupitelstva města Brna 10. Volební řád pro volbu neuvolněných předsedů, místopředsedů a členů výborů Zastupitelstva města Brna a volební komise pro jejich volbu 11. Volba neuvolněných předsedkyň/předsedů, místopředsedkyň/místopředsedů a členek/členů výborů Zastupitelstva města Brna 12. Delegování zástupkyň/zástupců statutárního města Brna na valné hromady obchodních společností s menší než 100% majetkovou účastí města 13. Změny v orgánech obchodních společností s menší než 100% majetkovou účastí statutárního města Brna 14. Harmonogram zasedání Zastupitelstva města Brna do konce roku 2022 a v roce 2023 15. Uložení úkolů neuvolněným členkám/členům Zastupitelstva města Brna 16. Určení člena Zastupitelstva města Brna pro spolupráci s Odborem územního plánování a rozvoje Magistrátu města Brna při pořizování územně plánovací dokumentace a jejích změn Bod 3) byl opětovně projednán po bodu 10). Zápis obsahuje doslovný přepis rozpravy k jednotlivým bodům. Technické, provozní a organizační záležitosti jsou zapsány ve zkrácené podobě. 2. Stanovení počtu členek/členů Rady města Brna Primátorka JUDr. Markéta Vaňková v úvodu tohoto bodu informovala, že v § 99 odst. 3 zákona o obcích, v platném znění, je stanoveno, že počet členů rady obce je lichý a činí nejméně 5 a nejvýše 11 členů. V tomto počtu je zahrnuta funkce primátora a funkce náměstků primátora, kteří jsou ze zákona členy rady. Stejně jako v minulém volebním období bylo navrženo, aby Rada města Brna měla 11 členů. K hlasování o návrhu usnesení bylo přistoupeno bez rozpravy: Hlasování č. 3: 54 - 0 - 0 - 0",2,36036d38da50510d
marketa-vankova,Z9/01,3,"počet členek/členů Rady města Brna na 11 členek/členů. 3. Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů Primátorka JUDr. Markéta Vaňková úvodem tohoto bodu informovala, že povinnost zřídit finanční výbor a kontrolní výbor je dána zákonem o obcích, neboť funkční období výborů předchozího Zastupitelstva města Brna zaniklo spolu se zánikem původního zastupitelstva. Dále sdělila, že",0,36036d38da50510d
marketa-vankova,Z9/01,4," Finančního výboru Zastupitelstva města Brna na 7 členek/členů,  Kontrolního výboru Zastupitelstva města Brna na 9 členek/členů, · Výboru pro národnostní menšiny Zastupitelstva města Brna na 13 členek/členů. 4. Určení funkcí, pro které budou členky/členové Zastupitelstva města Brna dlouhodobě uvolněny/uvolněni JUDr. Markéta Vaňková, primátorka, upozornila, že v navrženém usnesení k tomuto bodu nejsou uvedeny gesce, a proto navrhla následující změnu a doplnění usnesení: - v pořadí čtvrtá/čtvrtý náměstkyně/náměstek primátorky/primátora města Brna - další členové Rady města Brna: člen Rady města Brna pro dopravu a správu městských účastí člen Rady města Brna pro sport a informační technologie člen Rady města Brna pro územní plánování člen Rady města Brna pro majetek člen Rady města Brna pro školství člen Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku - uvolnění členové Zastupitelstva města Brna: pro oblast marketingu a PR pro oblast inovací a spolupráce s výzkumnými organizacemi předseda Kontrolního výboru Zastupitelstva města Brna S námitkou proti tomuto návrhu nikdo nevystoupil, proto JUDr. Markéta Vaňková, primátorka, přistoupila k hlasování o výše navržené změně usnesení: Hlasování č. 5: 47 - 0 - 7 - 0",10,36036d38da50510d
marketa-vankova,Z9/01,4,"Navržená změna byla přijata. Poté JUDr. Markéta Vaňková, primátorka, přistoupila k projednání 2. části usnesení k bodu 4) spočívající ve svěření zabezpečování úkolů v samostatné působnosti: · primátorce/primátorovi města Brna v oblasti financí a rozpočtu, zahraničních vztahů a kultury · první/prvnímu náměstkyni/náměstkovi primátorky/primátora města Brna v oblasti investic a implementace evropských fondů · v pořadí druhé/druhému náměstkyni/náměstkovi primátorky/primátora města Brna v oblasti životního prostředí a vodního, lesního hospodářství a zemědělství, · v pořadí třetí/třetímu náměstkyni/náměstkovi primátorky/primátora města Brna v oblasti městské energetiky a sociální péče · v pořadí čtvrté/čtvrtému náměstkyni/náměstku primátorky/primátora města Brna v oblasti bytové problematiky a správy majetku",0,36036d38da50510d
marketa-vankova,Z9/01,5,"K výše uvedenému návrhu nikdo s námitkou nevystoupil, proto JUDr. Markéta Vaňková, primátorka, přistoupila k hlasování: Hlasování č. 6: 45 - 0 - 7 - 2",2,36036d38da50510d
marketa-vankova,Z9/01,5,"2. ZMB svěřuje  primátorce/primátorovi města Brna zabezpečování úkolů v samostatné působnosti v oblasti financí a rozpočtu, zahraničních vztahů a kultury,  první/prvnímu náměstkyni/náměstkovi primátorky/primátora města Brna zabezpečování úkolů v samostatné působnosti v oblasti investic a implementace evropských fondů,  v pořadí druhé/druhému náměstkyni/náměstkovi primátorky/primátora města Brna zabezpečování úkolů v samostatné působnosti v oblasti životního prostředí a vodního, lesního hospodářství a zemědělství,  v pořadí třetí/třetímu náměstkyni/náměstkovi primátorky/primátora města Brna zabezpečování úkolů v samostatné působnosti v oblasti městské energetiky, a sociální péče, · v pořadí čtvrté/čtvrtému náměstkyni/náměstku primátorky/primátora města Brna v oblasti bytové problematiky a správy majetku. 5. Volební řád pro volbu primátora, náměstků primátora, dalších členů Rady města Brna a pro volbu dalších dlouhodobě uvolněných členů Zastupitelstva města Brna a volební komise pro jejich volbu JUDr. Markéta Vaňková, primátorka – v úvodu informovala, že volba primátora města Brna, jeho náměstků, dalších členů Rady města Brna a dalších dlouhodobě uvolněných členů Zastupitelstva města Brna se řídí podle platného Volebního řádu pro volbu primátora, náměstků primátora, dalších členů Rady města Brna a pro volbu dalších dlouhodobě uvolněných členů Zastupitelstva města Brna (dále jen volební řád) schváleného na ustavujícím zasedání v roce 2014, který je 5",0,36036d38da50510d
marketa-vankova,Z9/01,6,"nyní navržen pouze k vzetí na vědomí. Dále uvedla, že v souladu s tímto volebním řádem je třeba zvolit volební komisi, která bude sledovat průběh voleb a vyhotovovat a podepisovat zápis o průběhu a výsledku voleb. Poté ještě upozornila, že podle článku 4 odst. 2 volebního řádu nemůže být členem volební komise kandidát na tyto volené funkce. JUDr. Markéta Vaňková, primátorka, vyzvala přítomné členy Zastupitelstva města Brna k podání návrhů na členy volební komise. JUDr. Jiří Oliva navrhl Mgr. Bc. Marka Viskota, Ing. Karin Karasová navrhla Ing. Karla Kalivodu a Mgr. Bc. Marek Viskot navrhl Mgr. Břetislava Štefana. Hlasování o složení volební komise: Hlasování č. 7: 53 - 0 - 1 - 0",10,36036d38da50510d
