osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
martin-malecek,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
martin-malecek,Z9/04,12,"Mgr. Martin Maleček, starosta MČ Brno-sever: Já bych jenom drobně doplnil, aby ta informace byla kompletní pro všechny zastupitele. Já samozřejmě chápu situaci rodičů, nicméně si myslím, že její řešení je především na soukromém subjektu veřejnoprávní školy TRIVIS a TRIVIS veterinární školy Emila Holuba. Co se týče té školy veřejnoprávní, tam bych jenom doplnil, není tam 20 let, ale je to nástupnický subjekt původního nájemce. Ta smlouva, která byla uzavřena městskou částí 21. 8. 2002 na 20 let, to znamená na dobu určitou, neumožňuje prodloužení té smlouvy. To znamená, městská část neměla možnost tuto smlouvu se školou TRIVIS, nebo s oběma školami TRIVIS, prodloužit a tímto se zabývala ta jednání, která probíhala od roku 2020. Pana jednatele i pana ředitele jsem opakovaně upozorňoval na to, že nemůžeme tuto smlouvu prodloužit, že budeme nuceni vypsat záměr o pronájmu, a opakovaně byli upozorněni na to, že ve zveřejněném zájmu o pronájmu se může přihlásit kdokoli a pokud nabídne vyšší částku než škola TRIVIS, tak budeme muset vybrat tuto vyšší částku. Na to jsem upozorňoval za účasti vedení městské části, případně to můžeme doložit. My jsme vypsali ten záměr o pronájmu s minimální částkou a upozornili jsme vedení TRIVIS, ať zváží, jestli nabídne tuto minimální částku, nebo nabídne víc. To, že někdo nabídl víc, nemáme jinou možnost než vybrat toho zájemce, který podal vyšší částku. A to je asi všechno, co bych k tomu řekl v této chvíli. Samozřejmě těch materiálů je hodně. Já jenom k tomu možná doplním. Škola TRIVIS se obrátila na soud v říjnu 2022, soud její žalobu označil za nedůvodnou, škola TRIVIS se obrátila v prosinci 2002 na Organizační odbor Magistrátu města Brna se žádostí o pozastavení usnesení městské části, Organizační odbor Magistrátu města Brna neshledal žádné pochybení na straně městské části.",2,a43c0850f687c0a3
martin-malecek,Z9/02,6,"JUDr. Markéta Vaňková, primátorka, upozornila, že podle čl. 5 odst. 2 Volebního řádu pro volbu neuvolněných předsedů, místopředsedů a členů výborů Zastupitelstva města Brna členem volební komise nemůže být kandidát na funkce volené dle tohoto volebního řádu. Poté vyzvala přítomné členy Zastupitelstva města Brna k podání návrhů na členy volební komise. Mgr. Břetislav Štefan navrhl Mgr. Bc. Marka Viskota, Mgr. Bc. Marek Viskot navrhl Mgr. Břetislava Štefana a Mgr. Martin Maleček navrhl Mgr. Jitku Ivičičovou.",8,9d9381375d84a343
martin-malecek,Z9/02,9,"Mgr. Martin Maleček: Já bych pokusil se stručně zareagovat na to, co uvedla paní Burešová. Zmiňovala tady rozhodnutí městského soudu, tam se jasně říká, že bylo potřeba souhlasu instituce památkové péče, což paní Burešová neměla. Paní Burešová neměla ani souhlas městské části, jako pronajímatele. Byla 2× vyzvána, aby síť a ukotvení odstranila, a byla upozorněna na to, že to bude bráno jako porušení nájemní smlouvy, takové, které má za důsledek výpověď nájemní smlouvy. Paní Burešová ani po dvojnásobné snaze o to, abysme jí vysvětlili, že je to potřeba oddělat, tak tak neučinila. Ano, i jiní nájemníci měli sítě, nicméně na rozdíl od paní Burešové, pokud byli vyzváni, tak tyto sítě odstranili. To je základní rozdíl mezi paní Burešovou a ostatními nájemníky. Soud rozhodl tak, jak rozhodl, myslím si, že městská část by měla respektovat rozhodnutí soudu. Paní Burešová, jak uvedla, se odvolala k vyšší instanci. Uvidíme, jak se na celou věc bude dívat vyšší instance.",0,9d9381375d84a343
martin-malecek,Z9/07,15,"Mgr. Martin Maleček: Já nechci tuhle diskusi zdržovat, paní Burešová, jak bylo řečeno, tady byla mnohokrát. Já jenom k tomu, co paní primátorka teď sdělila paní Burešové, tak uvedu – městská část byla domluvená s městem Brnem, paní Burešová mohla mít bydlení, mohla být zařazena do sociálních projektů, sama uvádí, že není na tom zdravotně dobře. Paní Burešová to odmítla.",0,736feb627c8ee927
martin-malecek,Z9/06,1,"Omluveni: RNDr. Jiří Herman, Ph.D. (od 13:00 hod.), Mgr. Petr Hladík (od 13:00 hod.), Mgr. Martin Maleček (od 13:00 hod.), Ing. Daniel Struž, MBA (od 13:00 hod.), Mgr. Bc. Marek Viskot, Libor Zábranský.",0,e715158e17e939ea
martin-malecek,Z9/08,55,"Mgr. Martin Maleček: Já bych chtěl jako starosta dotčené městské části zareagovat na jednu formulaci v důvodové zprávě, vůči které se musím důrazně ohradit. Je tam věta „vzhledem k zanedbané správě a minimální běžné údržbě“ a tak dál, a tak dál. Já bych chtěl připomenout, a je to v té důvodové zprávě hned o pár řádků níže, že Zastupitelstvo města Brna schválilo zařazení tohoto domu na seznam prodávaných domů už 1. října 2013, tedy před 10 lety. Ten proces prodeje, standardní, trvá rok, dva. Pokud městská část žije 10 let v tom, že se dům prodává, logicky jako správce do něj neinvestuje, protože každou chvíli čeká, že se buď dům prodá, anebo tak, jak jsme i v posledním období opakovaně vyzývali vedení města Brna, ať nám je sděleno, zda se s konečnou platností prodá, či neprodá, abychom si případně dali do rozpočtu peníze na nutné opravy a měli jistotu, že ten dům zůstane ve správě městské části, takže já bych vzhledem k tomu, že ten materiál samozřejmě je na stůl, pokud by byl jako řádný, tak bych žádal o úpravu té formulace v důvodové zprávě. A ještě jednou se vůči tomu ohrazují.",0,1b7d3b44f9e1e083
martin-malecek,Z9/08,80,"Mgr. Martin Maleček: Já bych to v krátkosti okomentoval. Je to případ, kdy to předkupní právo musí být nějakým způsobem vyřešeno do srpna. To znamená, další zastupitelstvo se nestihne, tudíž materiál šel ve středu do Rady města Brna. Městská část byla vyzvána v podstatě pár dní předtím. Já jsem avizoval verbálně radním, že bude usnesení kolektivního orgánů městské části doporučující. Ten důvod je následující. Je asi 6 garáží na ulici Jana Svobody v Husovicích. Jsou to garáže, který byly postaveny poté, co byla zrušena Stará Tišnovka, železniční trať, a byl ubourán násep. A v podstatě ty garáže jsou na vstupu do rozvojové lokality, kterou prověřuje město Brno na ulici Husovická, Svitavské nábřeží a Jana Svobody. Proto si myslím, že by bylo taktické tyto garáže, které jsou na pozemcích města Brna, v budoucnu nějakým způsobem pořešit tak, aby nebyly případně bariérou pro to, tu rozvojovou lokalitu, komplexním způsobem zpracovat.",0,1b7d3b44f9e1e083
martin-malecek,Z9/08,89,"Mgr. Martin Maleček: Já vím, že je to blbý, ale já jsem hlasoval jinak, než jsem chtěl. Já jsem hlasoval pro, a to jsem nechtěl. Já jsem předtím byl proti.",0,1b7d3b44f9e1e083
martin-malecek,Z9/08,92,"Mgr. Martin Maleček: Já jenom velice krátce. Na jednu stranu se nechce městským částem svěřovat, na druhou stranu, když žádají odsvěření, tak jim to není povoleno. Myslím si, že když pečovatelská služba a domov s pečovatelskou službou přešel pod Brno, tak ty pozemky, které na to navazují, a komunikace, by měly přejít do správy města Brna. Moc tomu nerozumím, ale.",0,1b7d3b44f9e1e083
