osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
martin-priborsky,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
martin-priborsky,Z9/01,16,"*** ZMB ukládá předsedovi Výboru pro národnostní menšiny Zastupitelstva města Brna připravit návrh na doplňující volbu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna a předložit jej na příští zasedání Zastupitelstva města Brna. T: do příštího zasedání Zastupitelstva města Brna *** úkol č.: [Z9/01/11] zodpovídá: předseda Výboru pro národnostní menšiny [75] termín: [viz usnesení] 12. Delegování zástupkyň/zástupců statutárního města Brna na valné hromady obchodních společností s menší než 100% majetkovou účastí města JUDr. Markéta Vaňková, primátorka, v úvodu projednání tohoto bodu sdělila, že u některých společností již obdržela návrhy na delegování zástupců statutárního města Brna a jejich náhradníků na valné hromady společností. U některých společností očekává návrhy v rámci tohoto zasedání Zastupitelstva města Brna. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce k zastupování na všech valných hromadách společnosti Automotodrom Brno, a.s. Návrh na náhradníka podán nebyl. Brněnské vodárny a kanalizace, a.s. – byl navržen člen zastupitelstva Ing. David Grund, jako zástupce, Ing. Karin Karasová, náměstkyně primátorky, jako náhradnice. Jihomoravská rozvojová společnost, s.r.o. – byla navržena členka zastupitelstva Kristýna Černá, jako zástupce, Mgr. René Černý, 1. náměstek primátorky, jako náhradník. KORDIS JMK, a.s. – byl navržen Ing. Petr Kratochvíl, člen Rady města Brna, jako zástupce, Ing. arch. Petr Bořecký, člen Rady města Brna, jako náhradník. Technologický Park Brno, a.s. – byl navržen Martin Drdla, MSc., jako zástupce, člen zastupitelstva JUDr. PhDr. Martin Příborský, EMLE, jako náhradník. Jiné návrhy zástupců statutárního města Brna a jejich náhradníků delegovaných na valné hromady výše uvedených společností předloženy nebyly. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o předložených návrzích na delegování zástupců a jejich náhradníků u výše uvedených společností: Hlasování č. 36: 47 - 1 - 5 - 1",1,36036d38da50510d
martin-priborsky,Z9/01,18,"Schválené usnesení: *** ZMB ukládá MUDr. Dagmar Seidlové, Ph.D., člence Zastupitelstva města Brna, plnění úkolů v oblasti zdravotnictví se zaměřením na zajištění optimálního fungování zdravotnictví na území statutárního města Brna. *** úkol č.: [Z9/01/15/01] zodpovídá: MUDr. Dagmar Seidlová, členka ZMB [3321] termín: [průběžně] *** ZMB ukládá Kristýně Černé, člence Zastupitelstva města Brna, plnění úkolů v oblasti cestovního ruchu se zaměřením na propagaci statutárního města Brna. *** úkol č.: [Z9/01/15/02] zodpovídá: Kristýna Černá, členka ZMB [3307] termín: [průběžně] *** ZMB ukládá JUDr. PhDr. Martinu Příborskému, EMLE, členu Zastupitelstva města Brna, plnění úkolů v oblasti strategického rozvoje, metropolitní spolupráce a integrovaných územních investic (ITI). *** úkol č.: [Z9/01/15/03] zodpovídá: JUDr. PhDr. Martin Příborský [3322] termín: [průběžně] 16. Určení člena Zastupitelstva města Brna pro spolupráci s Odborem územního plánování a rozvoje Magistrátu města Brna při pořizování územně plánovací dokumentace a jejích změn K hlasování o návrhu usnesení bylo přistoupeno bez rozpravy: Hlasování č. 40: 48 - 0 - 6 - 0 18",2,36036d38da50510d
martin-priborsky,Z9/04,1,"Schválení ověřovatelů zápisu Za ověřovatele zápisu byli navrženi Vít Prýgl a JUDr. PhDr. Martin Příborský, EMLE.",0,a43c0850f687c0a3
martin-priborsky,Z9/03,1,"Schválení ověřovatelů zápisu Za ověřovatele zápisu byli navrženi Ing. Daniel Struž, MBA, a JUDr. PhDr. Martin Příborský, EMLE.",0,31d42a3a0b7a27be
martin-priborsky,Z9/03,69,"Navržený kandidát JUDr. PhDr. Martin Příborský, EMLE, vyslovil souhlas s kandidaturou a přednesl kandidátský projev, přičemž odpověděl na dotaz Bc. Matěje Hollana vznesený v rámci předchozího bodu č. 103). Další dotazy vzneseny nebyly.",0,31d42a3a0b7a27be
martin-priborsky,Z9/03,69,"Dlouhodobě uvolněným členem Zastupitelstva města Brna pro oblast strategického rozvoje, metropolitní spolupráce a integrovaných územních investic (ITI) byl zvolen JUDr. PhDr. Martin Příborský, EMLE.",0,31d42a3a0b7a27be
martin-priborsky,Z9/06,1,"Schválení ověřovatelů zápisu Za ověřovatele zápisu byli navrženi Leoš Prokeš, MBA, JUDr. PhDr. Martin Příborský, EMLE, a Vít Prýgl.",0,e715158e17e939ea
martin-priborsky,Z9/08,1,"Schválení ověřovatelů zápisu Za ověřovatele zápisu byli navrženi JUDr. PhDr. Martin Příborský, EMLE, Vít Prýgl, Leoš Prokeš, MBA.",0,1b7d3b44f9e1e083
martin-priborsky,Z9/09,9,"3. ZMB volí volební komisi pro volbu členů Výboru pro národnostní menšiny Zastupitelstva města Brna ve složení: Mgr. Bc. Marek Viskot - předseda Mgr. Bc. Blanka Borovská JUDr. PhDr. Martin Příborský, EMLE",0,3662325cd3a42957
