osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
matej-hollan,Z9/01,2,"ČSSD VAŠI STAROSTOVÉ – předseda JUDr. Jiří Oliva Mgr. Břetislav Štefan Mgr. Bc. Marek Viskot Zelení a Žít Brno – předseda Ing. Jana Drápalová Mgr. Jasna Flamiková Bc. Matěj Hollan Poté JUDr. Markéta Vaňková, primátorka, upozornila, že jednání se řídí platným Jednacím řádem Zastupitelstva města Brna. Jmenování zapisovatelek a pověření právní asistencí Zapisovatelkami jednání byly jmenovány Jana Sovová a Marie Doubravová, zaměstnankyně Organizačního odboru MMB, a právní asistencí byly pověřeny JUDr. Hana Doležalová a Mgr. Nikol Wagnerová, zaměstnankyně Právního oddělení Organizačního odboru MMB. Složení slibu členů Zastupitelstva města Brna Primátorka JUDr. Markéta Vaňková konstatovala, že všem přítomným členům Zastupitelstva města Brna, zvoleným ve volbách do zastupitelstev obcí konaných ve dnech 23. a 24. 9. 2022, bylo předáno „Osvědčení o zvolení členem Zastupitelstva města Brna“ podle § 53 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. V období od zvolení rezignovala na svůj mandát dne 19. 10. 2022 Bc. Petra Quittová. Prvním náhradníkem na kandidátní listině Lid. a Star. (KDU-ČSL+St. a nez.) byl Mgr. Jaroslav Suchý, který se v souladu s § 56 odst. 1 zákona o volbách do zastupitelstev obcí stal dne 20. 10. 2022 členem Zastupitelstva města Brna. Před složením slibu primátorka JUDr. Markéta Vaňková upozornila přítomné členy Zastupitelstva města Brna, že odmítnutí složit slib nebo složení slibu s výhradou má za následek okamžitý zánik mandátu dle § 55 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění. Ing. Oliver Pospíšil, tajemník Magistrátu města Brna, přednesl slib stanovený v § 69 odst. 2 zákona o obcích: „Slibuji věrnost České republice. Slibuji na svou čest a svědomí, že svoji funkci budu vykonávat svědomitě, v zájmu města a jeho občanů, a řídit se Ústavou a zákony České republiky.“ Poté jmenovitě vyzval všechny přítomné členy Zastupitelstva města Brna, aby složili slib pronesením slova „slibuji“ a stvrdili jej podpisem na připravených listinách. Následně všech 54 členů Zastupitelstva města Brna složilo bez výhrad slib stanovený zákonem o obcích. Určení ověřovatelů zápisu a schválení programu ustavujícího zasedání Zastupitelstva města Brna Za ověřovatele zápisu byli navrženi JUDr. Robert Kerndl, Vít Prýgl a Mgr. Jaroslav Suchý. K hlasování o návrhu na ověřovatele zápisu bylo přistoupeno bez rozpravy. Hlasování je dále uváděno v pořadí: pro - proti - zdržel se - nehlasoval. Hlasování č. 1: 53 - 0 - 0 - 1",6,36036d38da50510d
matej-hollan,Z9/01,11,"Pokračování po přestávce JUDr. Markéta Vaňková, primátorka – přistoupila k dokončení voleb dlouhodobě uvolněné/uvolněného členky/člena Zastupitelstva města Brna, a to předsedkyně/předsedy Kontrolního výboru Zastupitelstva města Brna. Volba dlouhodobě uvolněné/uvolněného předsedkyně/předsedy Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci dlouhodobě uvolněné/uvolněného předsedkyně/předsedy Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Mgr. Bc. Tomáš Anderle, MBA, LL.M., navrhl zvolit do funkce dlouhodobě uvolněného předsedy Kontrolního výboru Zastupitelstva města Brna doc. MUDr. Tomáše Skřičku, CSc. Členka zastupitelstva Ing. Jana Drápalová navrhla zvolit do funkce dlouhodobě uvolněného předsedy Kontrolního výboru Zastupitelstva města Brna Bc. Matěje Hollana. Navržení kandidáti, doc. MUDr. Tomáš Skřička, CSc., i Bc. Matěj Hollan, vyslovili souhlas s kandidaturou a přednesli kandidátské projevy. Dotazy vzneseny nebyly. Hlasování o volbě dlouhodobě uvolněného předsedy Kontrolního výboru Zastupitelstva města Brna, v abecedním pořadí. Výsledek hlasování: - hlasování se zúčastnilo ………… 51 členů Zastupitelstva města Brna - pro Bc. Matěje Hollana …………. 4 hlasy Hlasování č. 22: 4 - 12 - 30 - 5",6,36036d38da50510d
matej-hollan,Z9/01,13,"Členy Kontrolního výboru Zastupitelstva města Brna byli zvoleni Mgr. et Mgr. Jana Nováková, Mgr. Adam Zemek, Vít Prýgl, Bc. Matěj Hollan, Bc. Jakub Hruška, Mgr. Michal Chládek a Jiří 13",0,36036d38da50510d
matej-hollan,Z9/04,18,"Bc. Matěj Hollan: Já se chci zeptat, jakým způsobem se došlo k tomu, že toto nezávislé divadlo má více než desetinásobek, desetinásobnou dotaci oproti jiným nezávislým divadlům? Jaký jiný důvod, než že se podílel na kampani ODS Bolek Polívka, k tomuto rozhodnutí vedlo? Poprosím o nějaké zdůvodnění z oblasti kulturní politiky, proč jsou ostatní nezávislá divadla tak špatná, že toto musí mít desetinásobek. Ten nepoměr je úplně zarážející. Samotná dramaturgie, výroba vlastních inscenací a tak v Divadle Bolka Polívky je samozřejmě kvalitní, tak jak je uvedeno v té žádosti, tak bude posilována vlastní tvorba, letos to mají být asi 4 vlastní inscenace, v příštím roce 3. Ale do toho je tam spousta stagiony, do toho je tam spousta pronájmů, jak je i uvedeno v žádosti. A když už tam ten pronájem je, tak není potřeba ho dále dotovat. Prostě ta suma, 10.000.000 ročně, rozdělená na 2 subjekty, 6 a 4.000.000, je obří a žádné jiné nezřizované divadlo, ať jsou to „burani“, nebo další, ani zlomkem nedosahuje této výše. V ostatních oblastech kultury takto velké nepoměry nepanují. Tady je to do očí bijící.",0,a43c0850f687c0a3
matej-hollan,Z9/04,39,"Bc. Matěj Hollan: Já se dostanu k hokejové, tedy multifunkční hale. A můj dotaz je na to, jakým způsobem se došlo k tomu, že se, i oficiálně, uvádí, že 60 % příjmů bude z kultury? Tuto informaci měla zjistit ve své studii společnost NEWTON Business Development. Já tu studii neznám, nenašel jsem ji jako zveřejněnou. Znám teďka aktualizovaný, aktivizovaný finanční plán, nebo jak se to jmenuje, analýza finanční mezery, která je aktuální, kde už nejsou ty podrobné kalkulace. Jak se k tomu došlo? Pouze se tam konstatuje, že jsou tady nějaké počty, předpokládané počty akcí a návštěvníků velkých, 10 velkých, 5 velkých koncertů nad 10 000, 7 středních nad 7 000, 10 menších nad 4 000, potom Family Show 3 000 osob, 8 akcí, celkový počet návštěvníků 163 000. Rád bych znal, jak se k této kalkulaci došlo, kdo ji vytvořil, na základě jakých podkladů, kdo ty podklady dodal, proč, jak se uvádí na konci té analýzy, tak ta vychází pouze z informací dodaných statutárních městem Brnem, tak bych rád znal ty podkladová data. Nenašel jsem v tom aktuálním materiálu na, v rámci těch koláčových grafů, očekávané provozní výnosy projektu, číslo, které by odpovídalo těch 60 % příjmů z kultury a 40 ze sportu, tak jak je i na Facebooku pana Kratochvíla uváděno, ale i v dalších oficiálních prohlášeních města. když se dívám na ten koláčový graf, očekávaná struktura výnosu dle náplně haly, tak je tam sport 18 %, kultura 20 % a klubová sedadla a Skyboxy 54 %. Přesně nevím, co tadytahle položka znamená. Chápu, že je to asi tam zapoložkováno nějakým jiným způsobem a že v tech klubových sedadlech a Skyboxech se můžou ukrývat různé věci. Zkrátka bych chtěl vidět, protože předpokládám, že to je i materiál, který projednává Evropská komise v rámci notifikace, jak se k těmto číslům došlo? 40 % ze sportu, 60 % z kultury. Ať jsem se bavil s kýmkoliv z kultury, tak si vůbec neumí představit, že bude tam takové kulturní využití, které by generovalo takovéto příjmy pro tu multifunkční halu. Ať to člověk počítá jakýmkoliv způsobem a dívá se na to, jak v České republice jsou často velké koncerty velkých kapel, středních kapel, tak to prostě jednoduše nevychází tak, aby ta příjmová stránka mohla být taková, jaká je. Ta samotná analýza, kterou mám k dispozici, tak uvádí, že ta současná situace není finančně dobrá, že se nacházíme v problematické době. Ale když se zároveň takto kategoricky prostě tvrdí, že tady bude 60 % příjmu z kultury, tak bych rád detailní vysvětlení toho, jak se k tomuto číslu došlo.",0,a43c0850f687c0a3
matej-hollan,Z9/04,40,"Bc. Matěj Hollan: Já se samozřejmě rád i s dalšími zástupci kultury nad těmi dodanými podklady potkám. To je Vaše představa, že tam donesete, že tam bude 60 % příjmů z kultury, ta není moje. Nikdo z kultury, kterého jsem se ptal, netuší, jak se k tomuto číslu došlo, odkud, jak město Brno, nebo firma ARÉNA BRNO chce získat takový zájem promotérů, aby tam proběhlo tolik kulturních událostí. Z té studie jsem, nebo z toho materiálu jsem nijak nezjistil, jak to bude, jaký to bude mít dopad na ostatní objekty, ve kteréch se dneska často kultury, kultura dělá, které taky mají nějakou ekonomiku, nebo i v těch budoucích, postavených. Toto se zatím zjistit nedá. Když pro příklad uvedu, jak vlastně ta, jak ta, jak ten poskytnutý materiál manipuluje. A obávám se, že tatéž manipulace může být i u tvorby odhadů příjmů z těch jednotlivých sektorů sportovního nebo kulturního. Tak když tam zkouší vyčarovat nějaké srovnání, na straně 9 toho materiálu, o tom, jaký je počet obyvatel a jak máme velkou halu, tak u ARENY BRNO se uvádí, že mám 381 000 a má tam být kapacita 13 300. Pro srovnání jsou tam uváděny některé další haly. Je to například v Gliwice, v Polsku, 180 000 a kapacita 17 000. Tam se tak ale trošku zapomíná, že v dojezdové vzdálenosti 20 minut od Gliwic jsou Katowice, které mají 300 000. Tím se nám to číslo trošičku posouvá. Celkově ta katowická oblast je vůbec největší konurbánní oblast v Polsku, kde dohromady, na jednom místě, bydlí 2 000 000 lidí, ve velmi nízké koncentraci. Najednou to vypadá, srovnání, trošku jinak. U Malmö, je tam taky vybráno účelově jenom jedno město, i když vedlejší Lund, který je asi 15 minut, má dalších 100 000. Otázka, jak se do toho dá počítat hned Kodaň, která je jenom přes ten most, která je taky trošku větší než 341 000. Pokud se podíváme na Mannheim, 308 000 počet obyvatel, kapacita 14 000, tak to je naprostá lež. Protože hned na druhé straně Rýna, kde leží Ludwighafen, tak to je stejně velké město, je to jedno velké souměstí a na té stejné straně Rýna, jako je Mannheim, máme i Heidelberg. Takže dohromady tam nemáme 308 000, ale jenom ty města jsou 800, třeba 800 000. Najednou ten obrázek vypadá jinak. Najednou z toho to Brno trčí úplně jiným způsobem, než když se tímto nefér způsobem manipuluje prostě s těmi daty a říká se, že důležité je jenom počet obyvatel a k tomu ta kapacita. To není pravda, důležitá je vždycky spádovost a důležité nemanipulovat. U toho Mannheimu je to zvlášť křiklavá manipulace.",0,a43c0850f687c0a3
matej-hollan,Z9/02,18,"Bc. Matěj Hollan: Já s materiálem samozřejmě souhlasím, ale chci se zeptat, proč takto bagatelní změnu musí projednávat komise, rada, zastupitelstvo nakonec, kdy jde o v podstatě slovíčkaření a mělo by to být pod rozlišovací schopnost zastupitelstva takto bagatelní změnu ze stolových vitrín na vitríny vůbec tady projednávat. Má to být, podle mě, zcela automatická změna projednaná interně nebo vůbec, protože nemáme nesvéprávné instituce kulturní, ale prostě myslím si, že tak jak to bylo původně schváleno, tak se to do toho zcela vejde a není potřeba tady slovíčkařit o tom, jestli je to stolové nebo není, a zaměstnávat tím armády úředníků a nás všechny.",0,9d9381375d84a343
matej-hollan,Z9/02,19,"Bc. Matěj Hollan: Já bych se tentokrát chtěl zeptat k Domu umění, k navýšení investiční dotace, neinvestiční dotace na výstavní činnost ve výši 1.000.000 Kč. Já jsem nebyl schopnej z toho materiálu pochopit, tak poprosím o vyjasnění, jestli toto navýšení je na tento rok, ještě na ten, na ty necelé, zbývající 2 měsíce, nebo jestli je to už jenom o příštím roku? Protože dále se tam hovoří, v tom materiálu, že od roku 2023 by to bylo navýšeno trvale, s čímž určitě souhlasím, protože tak jak je to tam popsáno, ty náklady na výstavy jsou vyšší, aby je bylo možné dělat dobře, nejen v souvislosti s inflací, ale obecně. Ale neporozuměl jsem prostě, jestli tohle je ještě na tento rok? A jak se to, v tom případě, vyčerpá, ten 1.000.000? Anebo jestli je to už převod do dalšího, nebo jestli je to ještě před schvalováním rozpočtu vlastně převedení peněz teďka, které jsou někde zbylé, za které se budou realizovat výstavy v příštím roce, a potom je předpoklad, že bude trvalé navýšení od rozpočtu 24? Děkuju za vyjasnění.",0,9d9381375d84a343
matej-hollan,Z9/02,26,"Bc. Matěj Hollan: Já bych se rád na to ještě doptal, protože ty planety byly v létě, o tom, že nebudou žádná opatření, se vědělo od března, nejpozději, respektive možná i dřív, protože nová vláda, která nastoupila loni, od prvopočátku celkem jasně deklarovala, jak chce ke covidu a těm opatřením přistupovat. Není pravda, že by se v průběhu 1. pololetí nevědělo o tom, jaká budou opatření. Ano, nevěděl se, dopředu těžko tušit, jak bude velká návštěvnost. Ale na to, projednat tyto změny dopředu, ne to z města vytahovat ex post, bylo času mnoho měsíců. Je pravda, že v tom roce 2011, někdy, když se to vymýšlelo, tak to nemuselo být jasné, ale velmi dlouho jasné, dopředu, to bylo. O to víc to bylo jasné u Festivalu vědy, který byl až teď, v září, hodně dlouho po jakýchkoliv posledních proticovidových opatření. Ještě bych rád poprosil o detailnější informace, v čem se tento materiál liší od materiálu, který neschválilo poslední zastupitelstvo, v minulém funkčním období, o 1 hlas. Protože ten pokus, zpětně si tadytu součást senátní kampaně zafinancovat, už v září proběhl a tentokrát, a tehdy neprošel. Tak v čem se to nyní liší? Všiml jsem si, že do toho byl účelově zapojen ten Festival vědy, aby to nevypadalo jako úplně stejný materiál, liší se to ještě v něčem?",0,9d9381375d84a343
matej-hollan,Z9/02,27,"Bc. Matěj Hollan: Já nevím, jestli si v tom celém materiálu rozumíme. Nikdo asi nerozporuje, že ten festival byl úspěšný, že je dobře, že se takové akce dějí, že to bylo masivně navštíveno, ale upozorňujeme na problémy samotné, toho materiálu, kdy, ať to řeknu ještě jednou jasně, VISUALOVE odvedli fantastickou práci, stejně jako teďka u festivalu Prototyp, kdy díky jejich práci tam proběhla akce, na kterou budou tisíce lidí vzpomínat dlouho, a o těch vodojemech se mluvilo všude. Stejně jako ty planety, byly opravdu výrazné a byly vidět, a na tom Kraváku to bylo strašně hezké. Ale pokud se tady vymlouváme na covid, a v tom materiálu dochází k několikanásobnému navýšení na položkách – umělecký výkon, autorské dílo, tak to prostě na covid svést nelze. A není možné tímto způsobem k tomu přistupovat, říct, že se umělci zdražili kvůli covidu. To není pravda, prostě tadyto zdůvodnění v tom materiálu, není pravda, že by ten nárůst byl kvůli covidu. A pokud se má nějakým jednotným způsobem k příspěvkovým organizacím přistupovat, tak je potřeba i od těch příspěvkových organizací nějaká jako elementární slušnost i vůči zřizovateli, že tyto změny se avizují dopředu. A pokud bylo dávno dopředu zřejmé, že to bude daleko dražší, než byla poskytnutá ta dotace, tak se to mělo normálně dopředu projednat. A nepokládám prakticky za jako možné, že by to neprošlo, protože ta akce se dala očekávat, že bude velmi úspěšná. Byla úspěšná ještě víc asi, než se očekávalo, ale že ty položky budou navyšovány, se prostě vědělo dávno předem, a s covidem to vůbec nesouvisí.",0,9d9381375d84a343
