hlasovani_id,zasedani,datum,osoba_id,jmeno_v_protokolu,klub_v_protokolu,volba,volba_original,zdroj_id,pouzitelne_pro_statistiky,omezeni_protokolu,predmet,url
Z9-32-001,Z9/32,2026-01-20,matous-vencalek,Matouš Vencálek,Zelení a Žít Brno,Ano,Ano,f552ab1a86580a1d,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - ověřovatelé zápisu",https://apl.brno.cz/protokoly-zmb/zmb-z9-32/20260120-1-33169.html
Z9-32-002,Z9/32,2026-01-20,matous-vencalek,Matouš Vencálek,Zelení a Žít Brno,Ano,Ano,7c95e263d0120633,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o stažení bodu č. 25, 40, 91",https://apl.brno.cz/protokoly-zmb/zmb-z9-32/20260120-2-33307.html
Z9-32-003,Z9/32,2026-01-20,matous-vencalek,Matouš Vencálek,Zelení a Žít Brno,Ano,Ano,f8efd27814101d8b,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o zařazení bodu č. 99",https://apl.brno.cz/protokoly-zmb/zmb-z9-32/20260120-3-33326.html
Z9-32-004,Z9/32,2026-01-20,matous-vencalek,Matouš Vencálek,Zelení a Žít Brno,Ano,Ano,6c4a55db325ff71a,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program",https://apl.brno.cz/protokoly-zmb/zmb-z9-32/20260120-4-33350.html
Z9-32-005,Z9/32,2026-01-20,matous-vencalek,Matouš Vencálek,Zelení a Žít Brno,Ano,Ano,9f77ab82604490dc,ano,,5. Přehled účastí na schůzích výborů ZMB,https://apl.brno.cz/protokoly-zmb/zmb-z9-32/20260120-5-33379.html
Z9-32-006,Z9/32,2026-01-20,matous-vencalek,Matouš Vencálek,Zelení a Žít Brno,Ano,Ano,cbbb4892d824a0c2,ano,,6. Poskytování příspěvků členům Zastupitelstva města Brna,https://apl.brno.cz/protokoly-zmb/zmb-z9-32/20260120-6-33410.html
Z9-32-008,Z9/32,2026-01-20,matous-vencalek,Matouš Vencálek,Zelení a Žít Brno,Ano,Ano,31a16ba892623678,ano,,8. Plán péče o seniory na území města Brna do roku 2050,https://apl.brno.cz/protokoly-zmb/zmb-z9-32/20260120-8-33478.html
Z9-32-007,Z9/32,2026-01-20,matous-vencalek,Matouš Vencálek,Zelení a Žít Brno,Ano,Ano,a82e7ebafd74d8f0,ano,,7. Návrh Dohody o spolupráci mezi městem Brnem (Česká republika) a městem Užhorodem (Ukrajina),https://apl.brno.cz/protokoly-zmb/zmb-z9-32/20260120-7-33446.html
Z9-32-009,Z9/32,2026-01-20,matous-vencalek,Matouš Vencálek,Zelení a Žít Brno,Ano,Ano,fe7b5560010b92b2,ano,,"9. Plán desegregačních opatření ve vzdělávání pro MČ Brno-sever na období 2026–2031 zpracovaný v rámci projektu Agentury pro sociální začleňování s názvem ""Desegregace vzdělávání dětí a žáků se sociálním znevýhodněním""",https://apl.brno.cz/protokoly-zmb/zmb-z9-32/20260120-9-33514.html
Z9-32-011,Z9/32,2026-01-20,matous-vencalek,Matouš Vencálek,Zelení a Žít Brno,Ano,Ano,47fa3da7d869c8a1,ano,,"11. Aktualizace rozpočtu běžných výdajů Odboru dopravy MMB, běžných výdajů Kanceláře marketingu a cestovního ruchu MMB a Fondu mobility – leden 2026 – návrh rozpočtového opatření",https://apl.brno.cz/protokoly-zmb/zmb-z9-32/20260120-11-33584.html
