osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
matous-vencalek,Z9/02,10,"Navržení kandidáti Mgr. Zdeňka Dubová, Oleg Beznosik a Mgr. Matouš Vencálek nebyli přítomni na zasedání Zastupitelstva města Brna, souhlas s kandidaturou poskytli písemně.",0,9d9381375d84a343
matous-vencalek,Z9/32,1,"Slib člena Zastupitelstva města Brna JUDr. Markéta Vaňková, primátorka, přivítala nového člena Zastupitelstva města Brna, Mgr. Matouše Vencálka, za Zelení a Žít Brno. Mgr. Matouš Vencálek se stal v souladu s § 56 odst. 1 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění, dne 7. ledna 2026 členem Zastupitelstva města Brna, a to po rezignaci Bc. Matěje Hollana na mandát člena zastupitelstva dne 6. ledna 2026.",0,f2d978b02f87f5fa
matous-vencalek,Z9/32,1,"Mgr. Matouš Vencálek složil zákonem stanovený slib a z rukou JUDr. Markéty Vaňkové, primátorky, převzal Osvědčení o nastoupení do funkce člena Zastupitelstva města Brna.",0,f2d978b02f87f5fa
matous-vencalek,Z9/32,43,"Mgr. Matouš Vencálek: Já jenom navážu na předchozí dotaz paní kolegyně Flamikové s drobným doplňujícím dotazem týkající se právě toho, toho pítka u té Veselé. Jaký bude jeho osud? Toho historického pítka, které původně stálo na Václavské, a je to jeden ze 3 dochovaných exemplářů, tak jestli bude uložen někdy v depozitáři, anebo se počítá s tím, že by se mohl objevit někde jinde ve veřejném prostoru?",0,f2d978b02f87f5fa
matous-vencalek,Z9/33,15,"Mgr. Matouš Vencálek: Určitě je správné a žádoucí diskutovat o tématu, které, které nějakým způsobem rozděluje společnost, ale udělejme to prosím pořádně. Já budu rád, když město předloží ten materiál, tak jak, tak jak tady bylo avizováno, a bude, a proběhne ta debata férově v tom smyslu, že občané celého Brna budou dopředu seznámeni s programem zastupitelstva o tom, že tento bod bude na programu zastupitelstva, aby se mohli do této debaty zapojit i, i ti, kteří, kteří třeba mají jiný názor než, než zde vystupující občané. Aby to prostě bylo transparentní. Aby, aby všichni věděli, že ten prostě bod na tom zastupitelstvu bude. To je celé. Takže my jsme proti zařazení tohoto bodu.",0,91c18ad4dbe746da
matous-vencalek,Z9/33,35,Mgr. Matouš Vencálek - požádal o samostatné hlasování o bodu 44).,2,91c18ad4dbe746da
matous-vencalek,Z9/33,46,"Mgr. Matouš Vencálek: Já se chci jenom zeptat, tady v těch, v těch kritériích, tam se mimo jiné tedy ruší horní limit příjmu pro ty, pro ty žadatele. Můj dotaz zní, z jakého důvodu tam původně byl ten limit a jestli teď jako ty, ty důvody pominuly, že ten limit, horní, rušíme?",0,91c18ad4dbe746da
matous-vencalek,Z9/33,50,"Mgr. Matouš Vencálek: No, ne, to byl můj dotaz, protože to bylo, já jsem se přihlásil ještě těsně před tím hlasováním.",0,91c18ad4dbe746da
matous-vencalek,Z9/33,54,Mgr. Matouš Vencálek - požádal o samostatné hlasování o bodu 76).,2,91c18ad4dbe746da
matous-vencalek,Z9/33,55,"Mgr. Matouš Vencálek: Já chápu, že ten, tadyten objekt už je dlouho vyřazený, řekněme, a že se ho město snaží prodat už delší čas. Nicméně je to velká parcela, de facto pro bydlení v centru města i s, se stavebním objektem, který chápu, že je teda ve špatném stavu, ale pořád je to prostor, kde by mohlo vznikat bydlení, městské, a ne, ne že ho prodáme nějakému, nějakému developerovi. Takže já jsem, já určitě nebudu hlasovat pro prodej takovýhle pozemku. To je jedna věc. A, pardon, druhá věc, nejsem Žít Brno, ono to tam pořád svítí a to byl můj předchůdce, já ne. Tak jenom kdyby to šlo z toho odstranit.",0,91c18ad4dbe746da
