osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
michal-chladek,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
michal-chladek,Z9/01,13,"Členy Kontrolního výboru Zastupitelstva města Brna byli zvoleni Mgr. et Mgr. Jana Nováková, Mgr. Adam Zemek, Vít Prýgl, Bc. Matěj Hollan, Bc. Jakub Hruška, Mgr. Michal Chládek a Jiří 13",0,36036d38da50510d
michal-chladek,Z9/01,14,"Předsedou Výboru pro národnostní menšiny Zastupitelstva města Brna byl zvolen Mgr. Břetislav Štefan. Volba neuvolněné/neuvolněného místopředsedkyně/místopředsedy Výboru pro národnostní menšiny Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci neuvolněné/neuvolněného místopředsedkyně/místopředsedy Výboru pro národnostní menšiny Zastupitelstva města Brna. JUDr. Robert Kerndl, náměstek primátorky, navrhl zvolit do funkce místopředsedy Výboru pro národnostní menšiny Zastupitelstva města Brna JUDr. Michala Chládka, MBA. Jiný návrh na zvolení do funkce neuvolněné/neuvolněného místopředsedkyně/místopředsedy Výboru pro národnostní menšiny Zastupitelstva města Brna podán nebyl. Navržený kandidát JUDr. Michal Chládek, MBA, vyslovil souhlas s kandidaturou. Hlasování o volbě místopředsedy Výboru pro národnostní menšiny Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo ……………… 54 členů Zastupitelstva města Brna - pro JUDr. Michala Chládka, MBA…… 46 hlasů Hlasování č. 32: 46 - 0 - 8 - 0",4,36036d38da50510d
michal-chladek,Z9/01,14,"Místopředsedou Výboru pro národnostní menšiny Zastupitelstva města Brna byl zvolen JUDr. Michal Chládek, MBA. Volba neuvolněných členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 4 neuvolněných členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna. Člen zastupitelstva Leoš Prokeš, MBA, navrhl nezastupitele Akopa Chodžajana, Ing. Jana Drápalová navrhla Mgr. Jasnu Flamikovou, Mgr. Marek Lahoda navrhl Bc. Tomáše Koláčného, Ing. Karin Karasová, náměstkyně primátorky, navrhla nezastupitelku Bc. Sabinu Benešovou, člen zastupitelstva JUDr. Michal Marek navrhl Mgr. Jitku Ivičičovou. JUDr. Markéta Vaňková, primátorka, na základě právní porady navrhla přerušení projednávání bodu 11), opětovné zařazení a projednání bodu 3) Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů z důvodu zájmu o navýšení počtu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna. 3. Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů JUDr. Markéta Vaňková, primátorka, navrhla hlasovat o revokaci usnesení o počtu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna a o změně usnesení spočívající v navýšení počtu ze 13 na 15 členů: Hlasování č. 33: 53 - 0 - 1 - 0",6,36036d38da50510d
michal-chladek,Z9/06,66,"JUDr. Michal Chládek, MBA – nahlásil střet zájmů k bodu 75).",0,e715158e17e939ea
michal-chladek,Z9/10,2,"JUDr. Michal Chládek, MBA – požádal o opětovné hlasování o stažení bodů 70), 72), 74), 77), 78), 81) a 118) z programu jednání.",2,eb0d7acd8a1bcc62
michal-chladek,Z9/14,1,"Připojeni on-line: Petr Bauer, JUDr. Michal Chládek, MBA (od 10:00 hod.).",0,198b605f95c9e2a9
michal-chladek,Z9/14,1,"Omluveni: JUDr. Michal Chládek, MBA (do 10:00 hod.), MUDr. Dagmar Seidlová, Ph.D. (do 9:30 hod.), Radomír Vondra.",0,198b605f95c9e2a9
michal-chladek,Z9/16,1,"Připojeni on-line: JUDr. Michal Chládek, MBA, Bc. Kateřina Jarošová, MBA.",0,d527a00c9a941791
michal-chladek,Z9/13,1,"Připojeni on-line: Petr Bauer, JUDr. Michal Chládek, MBA, Mgr. René Novotný a Libor Zábranský.",0,1f55fba1fd91456a
