osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
michal-marek,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
michal-marek,Z9/01,7,1. náměstkem primátorky města Brna byl zvolen Mgr. René Černý. Volba v pořadí 2. náměstkyně/náměstka primátorky města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci v pořadí 2. náměstkyně/náměstka primátorky města Brna. Člen zastupitelstva JUDr. Michal Marek navrhl zvolit do funkce v pořadí 2. náměstka primátorky města Brna Mgr. Jaroslava Suchého. Jiný návrh na zvolení do funkce 2. náměstkyně/náměstka primátorky města Brna podán nebyl. Navržený kandidát Mgr. Jaroslav Suchý vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě v pořadí 2. náměstka primátorky města Brna. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro Mgr. Jaroslava Suchého ……………... 46 hlasů Hlasování č. 11: 46 - 5 - 3 - 0,4,36036d38da50510d
michal-marek,Z9/01,9,Členem Rady města Brna pro majetek byl zvolen JUDr. Jiří Oliva. Volba členky/člena Rady města Brna pro školství Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro školství. Člen zastupitelstva JUDr. Michal Marek navrhl zvolit do funkce členky Rady města Brna pro školství JUDr. Irenu Matonohovou. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro školství podán nebyl. Navržená kandidátka JUDr. Irena Matonohová vyslovila souhlas s kandidaturou a přednesla kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě členky Rady města Brna pro školství. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro JUDr. Irenu Matonohovou …………… 41 hlasů Hlasování č. 18: 41 - 5 - 7 - 1,4,36036d38da50510d
michal-marek,Z9/01,9,"Členkou Rady města Brna pro školství byla zvolena JUDr. Irena Matonohová. Volba členky/člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku. Člen zastupitelstva JUDr. Michal Marek navrhl zvolit do funkce člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku RNDr. Filipa Chvátala, Ph.D. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku podán nebyl. Navržený kandidát RNDr. Filip Chvátal, Ph.D., vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě člena Rady města Brna pro participativní rozpočet, Brno bezbariérové, zdravé město a prorodinnou politiku. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro RNDr. Filipa Chvátala, Ph. …………… 43 hlasů Hlasování č. 19: 43 - 5 - 5 - 1",4,36036d38da50510d
michal-marek,Z9/01,13,Finančního výboru Zastupitelstva města Brna podán nebyl. Navržený kandidát JUDr. Michal Marek vyslovil souhlas s kandidaturou. Hlasování o volbě místopředsedy Finančního výboru Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo ……………… 54 členů Zastupitelstva města Brna - pro JUDr. Michala Marka. …………… 47 hlasů Hlasování č. 27: 47 - 0 - 7 - 0,0,36036d38da50510d
michal-marek,Z9/01,13,"Místopředsedou Finančního výboru Zastupitelstva města Brna byl zvolen JUDr. Michal Marek. Volba neuvolněných členek/členů Finančního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 5 neuvolněných členek/členů Finančního výboru Zastupitelstva města Brna. Člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., navrhl Bc. Jiřího Kmenta, Bc. Tomáš Koláčný navrhl Mgr. Marka Lahodu, Ing. Karin Karasová, náměstkyně primátorky, navrhla Ing. Daniela Struže, MBA, členka zastupitelstva Mgr. Jasna Flamiková navrhla Ing. Janu Drápalovou a JUDr. Jiří Oliva, člen Rady města Brna, navrhl nezastupitele Petra Šafaříka. O všech kandidátech na člena Finančního výboru Zastupitelstva města Brna bylo hlasováno společně. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - všichni navržení kandidáti obdrželi ……… 53 hlasů Hlasování č. 28: 53 - 0 - 1 - 0",6,36036d38da50510d
michal-marek,Z9/01,13,"Místopředsedkyní Kontrolního výboru Zastupitelstva města Brna byla zvolena Mgr. Monika Lukášová Spilková, Ph.D. Volba neuvolněných členek/členů Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 7 neuvolněných členek/členů Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Bc. Jiří Kment navrhl nezastupitelku Mgr. et Mgr. Janu Novákovou, Mgr. Marek Lahoda navrhl Mgr. Adama Zemka, Ing. Karin Karasová, náměstkyně primátorky, navrhla Víta Prýgla, členka zastupitelstva Ing. Jana Drápalová navrhla Bc. Matěje Hollana, JUDr. Michal Marek navhl Bc. Jakuba Hrušku, JUDr. Robert Kerndl, náměstek primátorky, navrhl nezastupitele",6,36036d38da50510d
michal-marek,Z9/01,14,"Ides. Volba neuvolněné/neuvolněného předsedkyně/předsedy Výboru pro národnostní menšiny Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci předsedkyně/předsedy Výboru pro národnostní menšiny Zastupitelstva města Brna. Člen zastupitelstva JUDr. Michal Marek navrhl Mgr. Jitku Ivičičovou, JUDr. Jiří Oliva, člen Rady města Brna, navrhl Mgr. Břetislava Štefana. Na základě odkazu JUDr. Markéty Vaňkové, primátorky, na sjednanou dohodu v rámci koaličního vyjednávání člen zastupitelstva JUDr. Michal Marek vzal zpět návrh kandidatury Mgr. Jitky Ivičičové. Navržený kandidát na funkci předsedy Výboru pro národnostní menšiny Zastupitelstva města Brna Mgr. Břetislav Štefan vyslovil souhlas s kandidaturou. Hlasování o volbě předsedy Výboru pro národnostní menšiny Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo …………… 54 členů Zastupitelstva města Brna - pro Mgr. Břetislava Štefana ..……... 47 hlasů Hlasování č. 31: 47 - 2 - 5 - 0",4,36036d38da50510d
michal-marek,Z9/01,14,"Místopředsedou Výboru pro národnostní menšiny Zastupitelstva města Brna byl zvolen JUDr. Michal Chládek, MBA. Volba neuvolněných členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 4 neuvolněných členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna. Člen zastupitelstva Leoš Prokeš, MBA, navrhl nezastupitele Akopa Chodžajana, Ing. Jana Drápalová navrhla Mgr. Jasnu Flamikovou, Mgr. Marek Lahoda navrhl Bc. Tomáše Koláčného, Ing. Karin Karasová, náměstkyně primátorky, navrhla nezastupitelku Bc. Sabinu Benešovou, člen zastupitelstva JUDr. Michal Marek navrhl Mgr. Jitku Ivičičovou. JUDr. Markéta Vaňková, primátorka, na základě právní porady navrhla přerušení projednávání bodu 11), opětovné zařazení a projednání bodu 3) Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů z důvodu zájmu o navýšení počtu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna. 3. Zřízení výborů Zastupitelstva města Brna a stanovení počtu jejich členek/členů JUDr. Markéta Vaňková, primátorka, navrhla hlasovat o revokaci usnesení o počtu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna a o změně usnesení spočívající v navýšení počtu ze 13 na 15 členů: Hlasování č. 33: 53 - 0 - 1 - 0",6,36036d38da50510d
michal-marek,Z9/01,17,"Martina Drdlu, MSc., narozeného X. X. XXXX, bytem XXXXXXXXX XXXXX, XXX XX XXXX, jako zástupce JUDr. Ph.Dr. Martina Příborského, EMLE, člena Zastupitelstva města Brna, jako náhradníka k zastupování na všech valných hromadách společnosti Technologický Park Brno, a. s.“ 13. Změny v orgánech obchodních společností s menší než 100% majetkovou účastí statutárního města Brna JUDr. Markéta Vaňková, primátorka – v úvodu bodu sdělila, že návrhy na změny ve funkcích členů představenstev a členů dozorčích rad budou uváděny k jednotlivým společnostem, v pořadí představenstvo, dozorčí rada, a pokud budou podány nějaké návrhy nad rámec těch, které již obdržela, je nutné tyto návrhy dodat písemně. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., se omluvil za nedorozumění, když v bodu 12) uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce na valných hromadách společnosti namísto jeho navržení do funkce člena dozorčí rady společnosti. JUDr. Markéta Vaňková, primátorka, sdělila, že člen zastupitelstva Petr Levíček, MBA, může být delegován do obou zmíněných funkcí. Doc. MUDr. Tomáš Skřička, CSc., oba návrhy potvrdil. Brněnské vodárny a kanalizace, a.s. – návrhy kandidátů do představenstva: Ing. David Grund, Ing. Jaroslav Folprecht, Ing. Daniel Struž, MBA. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Bc. Marka Viskota. Návrhy kandidátů do dozorčí rady: PhDr. Martin Krytinář a Ludvík Kadlec. Jihomoravská rozvojová společnost, s.r.o. – návrh kandidátky do dozorčí rady: Kristýna Černá. Jiný kandidát navržen nebyl. KORDIS JMK, a.s. – návrhy kandidátů do představenstva: Mgr. Jiří Dvořáček a Ing. Jan Seitl. Návrhy kandidátů do dozorčí rady: Vít Prýgl, Ing. Pavel Jankůj. Doc. MUDr. Tomáš Skřička, CSc., navrhl dalšího kandidáta Ak. arch. Tomáše Kotase. Technologický Park Brno, a.s. – návrhy kandidátů do představenstva: Ing. David Trllo, Dipl.-Kfm. Dalimil Ospalý, Ing. Karel Kalivoda, prof. Ing. Vladislav Musil a JUDr. Michal Marek. Návrh kandidáta do dozorčí rady: Ing. David Geryk. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Břetislava Štefana. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o odvolání předchozích členů představenstev a dozorčích rad výše uvedených společností a zároveň o přednesených návrzích na nové členy představenstev a dozorčích rad těchto společností: Hlasování č. 37: 47 - 2 - 5 - 0",1,36036d38da50510d
