osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
monika-lukasova-spilkova,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
monika-lukasova-spilkova,Z9/01,13,"Členy Finančního výboru Zastupitelstva města Brna byli zvoleni Bc. Jiří Kment, Mgr. Marek Lahoda, Ing. Daniel Struž, MBA, Ing. Jana Drápalová a Petr Šafařík. Volba neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Mgr. Marek Lahoda navrhl zvolit do funkce místopředsedkyně Kontrolního výboru Zastupitelstva města Brna Mgr. Moniku Lukášovou Spilkovou, Ph.D. Jiný návrh na zvolení do funkce neuvolněné/neuvolněného místopředsedkyně/místopředsedy Kontrolního výboru Zastupitelstva města Brna podán nebyl. Navržená kandidátka Mgr. Monika Lukášová Spilková, Ph.D., vyslovila souhlas s kandidaturou. Hlasování o volbě místopředsedkyně Kontrolního výboru Zastupitelstva města Brna. Výsledek hlasování: - hlasování se zúčastnilo ………………………. 53 členů Zastupitelstva města Brna - pro Mgr. Moniku Lukášovou Spilkovou, Ph.D. 45 hlasů Hlasování č. 29: 45 - 0 - 5 - 3",4,36036d38da50510d
monika-lukasova-spilkova,Z9/01,13,"Místopředsedkyní Kontrolního výboru Zastupitelstva města Brna byla zvolena Mgr. Monika Lukášová Spilková, Ph.D. Volba neuvolněných členek/členů Kontrolního výboru Zastupitelstva města Brna Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci 7 neuvolněných členek/členů Kontrolního výboru Zastupitelstva města Brna. Člen zastupitelstva Bc. Jiří Kment navrhl nezastupitelku Mgr. et Mgr. Janu Novákovou, Mgr. Marek Lahoda navrhl Mgr. Adama Zemka, Ing. Karin Karasová, náměstkyně primátorky, navrhla Víta Prýgla, členka zastupitelstva Ing. Jana Drápalová navrhla Bc. Matěje Hollana, JUDr. Michal Marek navhl Bc. Jakuba Hrušku, JUDr. Robert Kerndl, náměstek primátorky, navrhl nezastupitele",6,36036d38da50510d
monika-lukasova-spilkova,Z9/03,9,"- na Z8/01. zasedání Zastupitelstva města Brna dne 20. 11. 2018 pod bodem č. 14 byla JUDr. Markéta Vaňková, primátorka města Brna, jmenována do funkce členky zastupující statutární město Brno na jednáních (valných hromadách) dobrovolného svazku obcí České dědictví UNESCO, Ing. Marek Fišer byl jmenován jako její zástupce, a Ing. arch. Iveta Černá byla jmenována jako členka výkonného výboru dobrovolného svazku obcí České dědictví UNESCO za statutární město Brno, - na Z8/08. zasedání Zastupitelstva města Brna dne 3. 9. 2019 pod bodem č. 13 byl Bc. Tomáš Koláčný jmenován jako 2. zástupce za členku JUDr. Markétu Vaňkovou a Mgr. Monika Lukášová Spilková, Ph.D., byla jmenována jako 3. zástupkyně za členku JUDr. Markétu Vaňkovou k zastupování statutárního města Brna na jednáních (valných hromadách) dobrovolného svazku obcí České dědictví UNESCO.",0,31d42a3a0b7a27be
monika-lukasova-spilkova,Z9/05,42,"Mgr. Monika Lukášová Spilková, Ph.D.: Já bych si dovolila navrhnout protinávrh, který by spočíval v tom, že v rámci toho navrženého usnesení, tak ta odrážka č. 2 zůstane, to znamená, že neschvalujeme zařazení bytových domů, které byly teď nově navrženy k prodeji, a v odrážce č. 1 ta změna spočívá pouze v tom, že místo bere na vědomí seznam bytových domů Brno-sever a Brno-střed určených k prodeji, tak tam bude zrušuje seznam. Takže můj protinávrh spočívá v tom, že namísto bereme na vědomí, zrušujeme tento seznam.",2,855e8c7abe4c7621
monika-lukasova-spilkova,Z9/05,42,"Mgr. Monika Lukášová Spilková, Ph.D.: Já jsem to tam, v tom podkladu, lépe formulovala, že doporučuje zrušit městským částem.",0,855e8c7abe4c7621
monika-lukasova-spilkova,Z9/07,32,"Mgr. Monika Lukášová Spilková, Ph.D.: Tadytuto žádost jsme projednávali na komisi pro kulturu a vlastně výstupem z komise 9 hlasy bylo doporučení odpuštění 90.000 Kč. Nově vlastně radou to prošlo jako 60.000 Kč a tak je to i dnes navrženo. Z toho důvodu, že stojím za tím výstupem komise pro kulturu, kde to bylo hluboce diskutováno, bych chtěla navrhnout protinávrh, a tedy, že bychom hlasovali o té komisí přijaté výši odpuštění, 90.000 Kč.",2,736feb627c8ee927
monika-lukasova-spilkova,Z9/06,13,"Mgr. Monika Lukášová Spilková, Ph.D.: Já bych se chtěla tadykté, v této věci zeptat, v souvislosti s tou variantou b), což je sdílení provozu Divadla Bolka Polívky a Národního divadla, tak v této souvislosti, jaké jsou vlastně plány vedení města s tím souborem v Divadle Reduta? Jestli do budoucna, nezávisle tadynatomto stavebním problému, který se vyskytl v budově Divadla Bolka Polívky, jestli vedení města plánuje tento soubor zachovat v příštích letech, anebo jestli uvažuje nad jeho zrušením?",0,e715158e17e939ea
monika-lukasova-spilkova,Z9/06,38,"Mgr. Monika Lukášová Spilková, Ph.D.: Já se omlouvám, já jsem se chtěla pustit ještě o té diskusi, o integraci a inkluzi, tady s kolegy z SPD, ale radši jsem si to rozmyslela, protože nechci všechny ostatní zbytečně zdržovat. A uklidním se tady sama, v lavici.",0,e715158e17e939ea
monika-lukasova-spilkova,Z9/06,45,"Mgr. Monika Lukášová Spilková, Ph.D.: Já bych Vás chtěla poprosit o jednu věc. Když se hlásíme do diskuse a náš příspěvek začíná slovy, nejsem odborník, ale, tak si ten příspěvek rovnou můžem odpustit. Protože to, co je za tím ale, už se vlastně nepočítá. A druhá věc je ta, že pokud se tady zase, v duchu „Everyday Patriarchy Bullshit“, bavíme o tom, že muži z SPD si myslí, že podpora kojení je dostatečná, tak je to úplně směšné. Protože, troufám si říct, že skutečně neví, jak to ve skutečnosti je. Takže prosím, vraťme se zpátky k podpoře tadytohoto usnesení, pojďme o něm hlasovat. A už tady dneska nadělejme takové trapné divadlo.",0,e715158e17e939ea
