hlasovani_id,zasedani,datum,osoba_id,jmeno_v_protokolu,klub_v_protokolu,volba,volba_original,zdroj_id,pouzitelne_pro_statistiky,omezeni_protokolu,predmet,url
Z9-34-001,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Ano,Ano,d111eff5bf59cd4d,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - ověřovatelé zápisu",https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-1-33539.html
Z9-34-002,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Ano,Ano,878b2ef411cf357d,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o stažení bodu č. 31, 91, 114, 123, 89, 117",https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-2-34157.html
Z9-34-005,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Zdržel se,Zdržel se,b74d14734257f15e,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o návrhu p. Kmenta na zařazení bodu II",https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-5-34399.html
Z9-34-006,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Ano,Ano,d0a4ef7399f60b6d,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program",https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-6-34483.html
Z9-34-008,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Ano,Ano,71136bd630aa2b1a,ano,,3. Informace k 76. Sudetoněmeckému sněmu konaném ve dnech 22.–25. května 2026 v Brně - hlasování o návrhu pí Vaňkové,https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-8-45083.html
Z9-34-009,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Zdržel se,Zdržel se,a00067d5c6a567d1,ano,,3. Informace k 76. Sudetoněmeckému sněmu konaném ve dnech 22.–25. května 2026 v Brně - o hlasování po odrážkách,https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-9-45267.html
Z9-34-010,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Ano,Ano,44f98fd549e0ffdd,ano,,3. Informace k 76. Sudetoněmeckému sněmu konaném ve dnech 22.–25. května 2026 v Brně - hlasování o návrhu p. Zemka,https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-10-45342.html
Z9-34-011,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Ano,Ano,4d9b0e9ee593a9d1,ano,,3. Informace k 76. Sudetoněmeckému sněmu konaném ve dnech 22.–25. května 2026 v Brně - hlasování o návrhu p. Vencálka,https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-11-45435.html
Z9-34-013,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Ano,Ano,ebede24e93acb83d,ano,,6. Přehled účastí na schůzích výborů ZMB,https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-13-45666.html
Z9-34-012,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Ne,Ne,43b4b94634b827fd,ano,,3. Informace k 76. Sudetoněmeckému sněmu konaném ve dnech 22.–25. května 2026 v Brně - hlasování o návrhu p. Kmenta,https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-12-45505.html
Z9-34-014,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Ano,Ano,13bafcc75c165e82,ano,,7. Návrh na stanovení počtu členů Zastupitelstva města Brna pro volební období 2026–2030 a návrh na ponechání jednoho volebního obvodu na území města Brna pro volby do Zastupitelstva města Brna v roce 2026,https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-14-45697.html
Z9-34-015,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Ano,Ano,73e02670e2189a07,ano,,8. Poskytování příspěvků členům Zastupitelstva města Brna,https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-15-45752.html
Z9-34-016,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Ano,Ano,e067e5a2b8d05c14,ano,,9. Návrh na uzavření dohod o provedení práce se členy Zastupitelstva města Brna pro hodnocení žádostí o dotace v oblasti kultury,https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-16-45788.html
Z9-34-017,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Ano,Ano,237d68e85dd069a3,ano,,"10. Návrh změny stanov obchodních společností ARENA, BKOM, DPMB, LMB, PHSMB, RSMB a. s., SAKO, STAREZ, TSB, Teplárny Brno a BVV",https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-17-45824.html
Z9-34-018,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Ano,Ano,4ceea0d97af050d9,ano,,"11. Horkovod z jaderné elektrárny Dukovany do Brna – návrh na založení společností Teplárny Brno Prodej, s. r. o., Teplárny Brno Distribuce, a. s., a Teplárny Brno Výroba, a. s., v rámci unbundlingu společnosti Teplárny Brno, a. s., vč. úpravy",https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-18-45920.html
Z9-34-020,Z9/34,2026-04-14,pavel-jankuj,Pavel Jankůj,ODS a TOP 09,Ano,Ano,f3b30b1b52d22703,ano,,13. Návrh aktualizace Integrované strategie rozvoje Brněnské metropolitní oblasti 2021+,https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-20-46081.html
