osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
pavel-outrata,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
pavel-outrata,Z9/07,7,"členy Zastupitelstva města Brna k podání návrhů na členy volební komise. Ing. Jana Drápalová navrhla Mgr. Jasnu Flamikovou, Ing. Karin Podivinská, náměstkyně primátorky, navrhla Petra Bauera, doc. MUDr. Tomáš Skřička, CSc., navrhl Mgr. Bc. Blanku Borovskou a Mgr. Pavel Outrata navrhl Mgr. Bc. Marka Viskota. Po právní konzultaci s JUDr. Hanou Doležalovou, vedoucí Právního oddělení Organizačního odboru MMB, že je přípustný sudý počet členů volební komise, nechala JUDr. Markéta Vaňková, primátorka, o návrzích na členy volební komise hlasovat.",6,736feb627c8ee927
pavel-outrata,Z9/18,1,"Omluveni: Mgr. Vladan Krásný (od 8:00 do 9:00 hod.), Mgr. Marek Lahoda, JUDr. Michal Marek, Mgr. Pavel Outrata, Mgr. Jaroslav Suchý (do 12:25 hod.), JUDr. Markéta Vaňková, primátorka.",0,aeee21aca2ee1a98
pavel-outrata,Z9/23,1,"Omluveni: Mgr. Jasna Flamiková (od 9:30 hod.), Mgr. Pavel Outrata, Ing. Andrea Pazderová, Ing. Karin Podivinská, náměstkyně primátorky, doc. RNDr. Anna Putnová, Ph.D., MBA, Libor Zábranský.",0,4658264f1b9b47c0
pavel-outrata,Z9/30,1,"Připojeni on-line: Ing. Pavel Kříž, Ph.D., Mgr. Pavel Outrata (do 10:30 hod.).",0,b92d222bc5bd1312
pavel-outrata,Z9/31,1,"Omluveni: Mgr. Petr Hladík, Petr Levíček, MBA, Mgr. Pavel Outrata.",0,be8083cfb4f00a99
pavel-outrata,Z9/32,2,"Předsedou Klubu ANO 2011, jehož členy jsou RNDr. Miroslav Kubásek, Ph.D., Mgr. René Novotný a Mgr. Pavel Outrata, se stal Mgr. René Novotný.",0,f2d978b02f87f5fa
pavel-outrata,Z9/33,1,"Omluveni: Mgr. Bc. Blanka Borovská, Mgr. Petr Hladík (od 10:30 hod.), Bc. Jakub Hruška, JUDr. Michal Chládek, MBA (od 11:00 do 12:00 hod.), Mgr. Pavel Outrata (od 10:30 hod.), Ing. Karin Podivinská, náměstkyně primátorky, Ing. Pavel Urubek (od 12:00 hod.), JUDr. Markéta Vaňková, primátorka, Libor Zábranský (od 10:30 do 12:30 hod.).",0,91c18ad4dbe746da
pavel-outrata,Z9/34,1,"Připojeni on-line: JUDr. Markéta Vaňková, Ing. Andrea Pazderová, Libor Zábranský, Ing. Pavel Outrata, Mgr. Vladan Krásný (od 11.00), Mgr. Monika Lukášová Spilková, Ph.D. (od 14.30).",0,75ba75c42ae44f62
pavel-outrata,Z9/34,1,"Omluveni: Mgr. Petr Hladík (od 11.30), Mgr. Vladan Krásný (do 11.00), Mgr. Břetislav Štefan, Ing. Pavel Outrata (10.30−11.00), doc. RNDr. Anna Putnová, Ph.D., MBA (od 12.30), Leoš Prokeš, MBA (od 11.00), JUDr. PhDr. Martin Příborský, EMLE (11.30-13.00)",0,75ba75c42ae44f62
pavel-outrata,Z9/35,1,"Omluveni: Mgr. Bc. Marek Viskot (od 10:00 do 13:00hod), Mgr. Vladan Krásný, JUDr. Michal Chládek (od13:00hod), Ing. Karin Podivinská, náměstkyně primátorky, Ing. Daniel Struž, MBA (od 12:00hod), Mgr. Petr Hladík (od 11:00 hod), Mgr. Jaroslav Suchý (od 13:00hod), Leoš Prokeš, MBA (od 12:00hod), Mgr. Jasna Flamiková (od 12:00hod), Mgr. Pavel Outrata.",0,0e845920a9ca9f72
pavel-outrata,Z9/36,1,"Omluveni: Petr Leviček, MBA, MUDr. Dagmar Seidlová, Ph.D., MBA Radomír Vondra, Ing. Andrea Pazderová (od 12:30hod), Mgr. Pavel Outrata (od 10:45hod), Mgr. Monika Spilková, Ph.D. (od 14. 30hod), Leoš Prokeš MBA (od 14:30hod).",0,597f2a8effabe498
