osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
pavel-urubek,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
pavel-urubek,Z9/03,69,"ZMB volí volební komisi pro volbu dlouhodobě uvolněného člena Zastupitelstva města pro volební období 2022–2026 ve složení: Mgr. Bc. Marek Viskot RNDr. Miroslav Kubásek, Ph.D. Ing. Pavel Urubek",0,31d42a3a0b7a27be
pavel-urubek,Z9/06,84,"Ing. Pavel Urubek: Já to nechcu prodlužovat. Já jsem na té akci byl a myslím, že ty tři stovky byly pouze ti, co běželi. Byli tam, podle mě, o hodně víc lidí, jestli to bylo 1000, 1500. A podle mě, tady stavíme 1 ten náklad jakdyby na 1 den, ale to je prostě dlouhodobý proces toho fondu a prostě je to nějaká investice do toho fondu, který je dlouhodobý. Tak já bych chtěl jenom, ať se to prostě nezapadne tak, že to byla jednodenní akce proti těm nákladům. Tak to podle mě vůbec není. A opravdu tam byli, 1000, nebo 2, ale to byli běžci, ale opravdu tam bylo víc lidí. Ať to nevypadá, že na celé akci byly tři stovky lidí.",0,e715158e17e939ea
pavel-urubek,Z9/08,88,"JUDr. Markéta Vaňková, primátorka: Usnesení nebylo přijato. Tak, Pavel Urubek se hlásí.",0,1b7d3b44f9e1e083
pavel-urubek,Z9/08,88,"Ing. Pavel Urubek: Já jsem myslel, že jsem zmáčkl, a já jsem nezmáčkl. Takže já se fakt vomlouvám, ale hlásím, že jsem, že jsem nehlasoval.",0,1b7d3b44f9e1e083
pavel-urubek,Z9/11,23,"Ing. Pavel Urubek: Já bych chtěl, jak pan Struž, nahlásit podjatost a střet zájmů.",0,8b2034d2529405ca
pavel-urubek,Z9/20,42,"Ing. Pavel Urubek: Vomlouvám, můžem eště jednou? Zmatečné, omlouvám se.",0,21185e2ff631d16f
pavel-urubek,Z9/18,17,"Ing. Pavel Urubek: Já jenom chci říct, že opravdu ta cesta k tomuto byla velmi složitá, děkuju managementu SAKO, které na tom opravdu bedlivě a tvrdě pracovalo. Já jenom chcu říct, že to výběrové řízení, když bude takhle, tak my se můžem v jakékoliv době rozhodnout a odvodit jakékoliv řešení, a neohrozí to to výběrové řízení. To bych jenom chtěl říct, že ta komplikace, je tady pan vlastně, pan MT legal, pan Šebesta, který to může vysvětlit, ale to výběrové řízení je teďka nastavené tak, abysme mohli odvodit jakékoliv řešení, a je to tou cestou, které vybere představenstva, management. Tak jenom bych to chtěl říct takhle a nemyslím si, že ta vlečka je komplikace, protože bude míň uchazečů. Myslím, že ty kritéria se opravdu teďka nastavily tak, abysme dostali co nejvíce nabídek, ale samozřejmě jsou tam kritéria, abyste měli, aby vlastně, když to řeknu, když to přehodím, aby opravdu už měl někdo, že někde něco hořelo, aby to opravdu nemohl každý, ale ty kritéria jsou rozšířeny tak, abysme, věříme tomu, že budeme mět více uchazečů o tuto nabídku.",0,aeee21aca2ee1a98
pavel-urubek,Z9/21,1,"Připojeni on-line: JUDr. Michal Chládek, MBA, Mgr. Vladan Krásný, Ing. Pavel Urubek.",0,f9d440624b7d3d49
pavel-urubek,Z9/21,55,"Mgr. René Černý, 1. náměstek primátorky: Ano. Pavel, Pavel Urubek XXX X XXXX XXXXX. XX XX XXXX XXXXXXX XX XXXXXX XXXXXX. XXXXX, XXXXX, XXX XX XX XXXXX. Tak. Budete ušetřeni oživení, z mé strany. Pan náměstek Kerndl.",0,f9d440624b7d3d49
pavel-urubek,Z9/22,29,"Ing. Pavel Urubek: Já bych chtěl jenom doplnit, že vlastně SAKO ani z nejnižších cen, a ty ceny, jenom doplním paní Drápalovou, se neměnily, jedny od roku 2010, čili 14 let, a druhé od roku 2014, 10 let, což je grich viato, takže to navýšení je, podle mě, úplně marginální. Na, za poslední 3 roky 70 zaměstnanců navíc atd., atd., musí, SAKO musí provozovat nějakej zisk, protože zařízení jsou za polovinou své životnosti a musí si vydělat na další obnovu. Ale rád doplním paní Dráparové ty věci, co chtěla, a pan, pan generální ředitel to připraví.",0,0a5e067d7f1d3081
pavel-urubek,Z9/25,1,"Omluveni: Mgr. Bc. Tomáš Anderle, MBA, LL.M., MUDr. Alena Gruberová (od 11:00 hod.), Mgr. Petr Hladík, Mgr. Marek Lahoda (od 11:00 hod.), Ing. Pavel Urubek (od 9:50 do 10:50 hod.), Libor Zábranský.",0,e988b29ad183637c
pavel-urubek,Z9/29,1,"Připojeni on-line: JUDr. Michal Chládek, MBA, JUDr. PhDr. Martin Příborský, EMLE, Ing. Pavel Urubek, Libor Zábranský.",0,af870d56898ecc01
pavel-urubek,Z9/33,1,"Omluveni: Mgr. Bc. Blanka Borovská, Mgr. Petr Hladík (od 10:30 hod.), Bc. Jakub Hruška, JUDr. Michal Chládek, MBA (od 11:00 do 12:00 hod.), Mgr. Pavel Outrata (od 10:30 hod.), Ing. Karin Podivinská, náměstkyně primátorky, Ing. Pavel Urubek (od 12:00 hod.), JUDr. Markéta Vaňková, primátorka, Libor Zábranský (od 10:30 do 12:30 hod.).",0,91c18ad4dbe746da
