hlasovani_id,zasedani,datum,osoba_id,jmeno_v_protokolu,klub_v_protokolu,volba,volba_original,zdroj_id,pouzitelne_pro_statistiky,omezeni_protokolu,predmet,url
Z9-14-001,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,286b231185112a4b,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - ověřovatelé zápisu",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-1-29722.html
Z9-14-003,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,c9ec1a2589669bab,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o zařazení bodu č. 95, 96",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-3-29964.html
Z9-14-002,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,5dee7d30380f39df,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o stažení bodu č. 86",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-2-29943.html
Z9-14-004,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,6388e1bc361dd0af,ano,,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-4-29987.html
Z9-14-005,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,fc92f8e7ec147cb9,ano,,"6. Určení funkcí, pro které budou členky/členové Zastupitelstva města Brna dlouhodobě uvolněny/i – návrh na změnu usnesení Z9/01. zasedání Zastupitelstva města Brna konaného dne 20.10.2022, bod č. 4, ve znění pozdějších změn",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-5-30884.html
Z9-14-007,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,650923ce9085f67f,ano,,7. Změna ve složení Výboru pro národnostní menšiny Zastupitelstva města Brna - volba volební komise,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-7-31948.html
Z9-14-008,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,697bdbf983f3508d,ano,,"7. Změna ve složení Výboru pro národnostní menšiny Zastupitelstva města Brna - volba předsedkyně/předsedy Výboru pro národnostní menšiny Zastupitelstva města Brna Mgr. Monika Lukášová Spilková, Ph.D.",https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-8-32502.html
Z9-14-006,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,e3eeb0a3ed9d3ed1,ano,,7. Změna ve složení Výboru pro národnostní menšiny Zastupitelstva města Brna - bere na vědomí,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-6-31863.html
Z9-14-009,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,316276d6e631a91d,ano,,7. Změna ve složení Výboru pro národnostní menšiny Zastupitelstva města Brna - volba členky/člena Výboru pro národnostní menšiny Zastupitelstva města Brna - bere na vědomí,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-9-32767.html
Z9-14-010,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Ano,Ano,971c52ab5cf4495d,ano,,7. Změna ve složení Výboru pro národnostní menšiny Zastupitelstva města Brna - volba členky/člena Výboru pro národnostní menšiny Zastupitelstva města Brna - volba volební komise,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-10-32832.html
Z9-14-011,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Nehlasoval,Nehlasoval,bdcbdcaf98bded80,ano,,7. Změna ve složení Výboru pro národnostní menšiny Zastupitelstva města Brna - volba členky/člena Výboru pro národnostní menšiny Zastupitelstva města Brna - pí Fuchsová,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-11-33264.html
Z9-14-013,Z9/14,2024-01-30,petr-borecky-1,Petr Bořecký,Lidovci a Starostové,Nehlasoval,Nehlasoval,b851278c48549797,ano,,7. Změna ve složení Výboru pro národnostní menšiny Zastupitelstva města Brna - volba členky/člena Výboru pro národnostní menšiny Zastupitelstva města Brna - p. Pernes,https://apl.brno.cz/protokoly-zmb/zmb-z9-14/20240130-13-33332.html
