osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
petr-borecky-1,Z9/14,1,"Slib člena Zastupitelstva města Brna JUDr. Markéta Vaňková, primátorka, přivítala nového člena Zastupitelstva města Brna, pana Petra Bořeckého, za Lidovci a Starostové (KDU-ČSL+St. a nez.). Pan Petr Bořecký se stal v souladu s § 56 odst. 1 zákona č. 491/2001 Sb., o volbách do zastupitelstev obcí a o změně některých zákonů, v platném znění, dne 25. ledna 2024 členem Zastupitelstva města Brna, a to po rezignaci Mgr. Jitky Ivičičové na mandát členky zastupitelstva, a vzhledem k tomu, že náhradníci z příslušné kandidátní listiny v pořadí před ním rezignovali na svoje postavení náhradníka dne 23. ledna 2024. Novému členovi zastupitelstva bude na schůzi Rady města Brna konané dne 31. ledna 2024 předáno Osvědčení o nastoupení do funkce člena Zastupitelstva města Brna.",0,198b605f95c9e2a9
petr-borecky-1,Z9/14,36,Navržený kandidát Petr Bořecký (Lidovci a Starostové) vyslovil souhlas s kandidaturou a přednesl svůj kandidátský projev. Mgr. Adam Zemek vznesl dotaz v souvislosti s podáváním projektů do participativního rozpočtu činěné politiky a Petr Bořecký (Lidovci a Starostové) na dotaz krátce reagoval.,0,198b605f95c9e2a9
petr-borecky-1,Z9/14,36,Petr Bořecký (Lidovci a Starostové) byl zvolen členem Rady města Brna pro participaci s účinností od 31. 1. 2024.,0,198b605f95c9e2a9
petr-borecky-1,Z9/14,40,"JUDr. Robert Kerndl, náměstek primátorky: Já bych, paní primátorko, asi navrhl, vzhledem k věku, tak bysme mohli rozlišovat Petr Bořecký senior a Petr Bořecký junior.",2,198b605f95c9e2a9
petr-borecky-1,Z9/14,41,"Petr Bořecký (Lidovci a Starostové): Já jenom se omlouvám, že do toho vnáším takové zmatky, ale věřím, že to vyladíme.",0,198b605f95c9e2a9
petr-borecky-1,Z9/14,66,"Petr Bořecký (Lidovci a Starostové): K záměně nedošlo. Nebyl jsem si jistý, nechtěl jsem nic podcenit, hlasoval jsem pro sebe a na své kartičce mám napsaný za ménem KDU, takže to asi bude správně.",0,198b605f95c9e2a9
petr-borecky-1,Z9/15,70,"Ing. Petr Kratochvíl, člen Rady města Brna: Já možná doplním, nebo navážu na kolegy. Já právě souhlasím s tím, co tady řekl můj kolega, Petr Bořecký, a udivuje mě, že vlastně Vy nezastáváte ten stejný názor, který jsem jako vnímal, jako z Vaší strany, prostě odstavit ty auta přijíždějící do Brna nad tím, na, na okraji Brna a využít právě, řekl bych, alternativní dopravy. Což je právě účel té lanovky. Proto ju stavíme. Má zhruba kapacit, nebo rádi bysme ji stavěli. Ale samozřejmě musí to být ekonomicky smysluplné. To je naprosto jasné. Co se týš, týče eště dopravy, prosím Vás, okolí výstaviště, v sobotu, já nevím, jestli Vám nějaká statistika něco poví. Prostě stálo to skutečně všude. Na výstavišti bylo 75 000 návštěvníků. Zaskočilo to úplně vše, všechny. Můžu Vám ale říci, že probíhaly, týdny dopředu, diskuse a koordinace s Policií České republiky. Nicméně ta kapacita těch návštěvníků, nebo ten, to množství těch návštěvníků zaskočilo skutečně všechny. Já jsem sám šel pěšky kolem celé Bauerové a Hlinkách vlastně a tak dále, na Viniční, a telefonoval jsem i s panem ředitelem Kubatou, s panem Rybkou z Policie České republiky, nebylo to možný skutečně nikterak vyřešit, protože tu situaci tam znáte. A já pevně věřím tomu, že to, bohužel, musíme ještě tento rok takle vydržet, ta situace bude lepší. Ale skutečně všechny složky, které byly, bylo možné aktivovat, tak aktivovány byly. Ale ten problém byl v absolutním deficitu parkovacích míst, takže ti lidé jezdili neustále, v uvozovkách, dokola a všechno se zablokovalo. A všechno stálo.",0,f5c65d180b769ffd
petr-borecky-1,Z9/17,27,"Petr Bořecký, člen Rady města Brna (Lidovci a Starostové) - nahlásil střet zájmů k tomuto bodu.",0,7ebec469c9c23f69
petr-borecky-1,Z9/20,1,"Připojeni on-line: Petr Bořecký (Lidovci a Starostové), člen Rady města Brna, Kristýna Černá, Mgr. Monika Lukášová Spilková, Ph.D., Ing. David Trllo.",0,21185e2ff631d16f
petr-borecky-1,Z9/18,1,"Připojeni on-line: Petr Bauer, Petr Bořecký (Lidovci a Starostové, člen Rady města Brna, od 14:30 hod.), Kristýna Černá, Mgr. Petr Hladík, JUDr. Michal Chládek, MBA, RNDr. Filip Chvátal, Ph.D., náměstek primátorky (od 14:30 hod.), Libor Zábranský.",0,aeee21aca2ee1a98
