osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
petr-borecky,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
petr-borecky,Z9/01,9,pro územní plánování Ing. arch. Petra Bořeckého. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro územní plánování podán nebyl. Navržený kandidát Ing. arch. Petr Bořecký vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě člena Rady města Brna pro územní plánování. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro Ing. arch. Petra Bořeckého ………….. 42 hlasů Hlasování č. 16: 42 - 3 - 7 - 2,2,36036d38da50510d
petr-borecky,Z9/01,9,Členem Rady města Brna pro územní plánování byl zvolen Ing. arch. Petr Bořecký. Volba členky/člena Rady města Brna pro majetek Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro majetek. Člen zastupitelstva Mgr. Břetislav Štefan navrhl zvolit do funkce člena Rady města Brna pro majetek JUDr. Jiřího Olivu. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro majetek podán nebyl. Navržený kandidát JUDr. Jiří Oliva vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě člena Rady města Brna pro majetek. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro JUDr. Jiřího Olivu …………………… .. 41 hlasů Hlasování č. 17: 41 - 5 - 6 - 2,4,36036d38da50510d
petr-borecky,Z9/01,16,"*** ZMB ukládá předsedovi Výboru pro národnostní menšiny Zastupitelstva města Brna připravit návrh na doplňující volbu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna a předložit jej na příští zasedání Zastupitelstva města Brna. T: do příštího zasedání Zastupitelstva města Brna *** úkol č.: [Z9/01/11] zodpovídá: předseda Výboru pro národnostní menšiny [75] termín: [viz usnesení] 12. Delegování zástupkyň/zástupců statutárního města Brna na valné hromady obchodních společností s menší než 100% majetkovou účastí města JUDr. Markéta Vaňková, primátorka, v úvodu projednání tohoto bodu sdělila, že u některých společností již obdržela návrhy na delegování zástupců statutárního města Brna a jejich náhradníků na valné hromady společností. U některých společností očekává návrhy v rámci tohoto zasedání Zastupitelstva města Brna. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce k zastupování na všech valných hromadách společnosti Automotodrom Brno, a.s. Návrh na náhradníka podán nebyl. Brněnské vodárny a kanalizace, a.s. – byl navržen člen zastupitelstva Ing. David Grund, jako zástupce, Ing. Karin Karasová, náměstkyně primátorky, jako náhradnice. Jihomoravská rozvojová společnost, s.r.o. – byla navržena členka zastupitelstva Kristýna Černá, jako zástupce, Mgr. René Černý, 1. náměstek primátorky, jako náhradník. KORDIS JMK, a.s. – byl navržen Ing. Petr Kratochvíl, člen Rady města Brna, jako zástupce, Ing. arch. Petr Bořecký, člen Rady města Brna, jako náhradník. Technologický Park Brno, a.s. – byl navržen Martin Drdla, MSc., jako zástupce, člen zastupitelstva JUDr. PhDr. Martin Příborský, EMLE, jako náhradník. Jiné návrhy zástupců statutárního města Brna a jejich náhradníků delegovaných na valné hromady výše uvedených společností předloženy nebyly. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o předložených návrzích na delegování zástupců a jejich náhradníků u výše uvedených společností: Hlasování č. 36: 47 - 1 - 5 - 1",1,36036d38da50510d
petr-borecky,Z9/02,37,"JUDr. Markéta Vaňková, primátorka – z důvodu opomenutí doplnění návrhu kandidáta pro funkci náhradníka pro zastupování statutárního města Brna, jako člena Bytových družstev, na členských schůzích Bytových družstev, prohlásila hlasování za zmatečné. Dle usnesení Rady města Brna byl na tuto funkci navržen Ing. arch. Petr Bořecký, člen Rady města Brna. JUDr. Markéta Vaňková, primátorka, nechala opětovně hlasovat o přijetí usnesení k bodu 62), včetně navrženého náhradníka pro zastupování statutárního města Brna, Ing. arch. Petra Bořeckého, člena Rady města Brna: Hlasování č. 71: 54 - 0 - 0 - 0",2,9d9381375d84a343
petr-borecky,Z9/03,22,"Ing. arch. Petr Bořecký, člen Rady města Brna: Já se pokusím reagovat tadynatento příspěvek. Na tom Mendláku je to trošku těžší. My, když jsme vybírali tyto přístřešky, tak jsme je taky vybrali s tím, aby sloužily skutečně jako přístřešek proti dešti. Protože kdyby tam byly klasické přístřešky, který mají všechny 3 strany, tak slouží k přespávání bezdomovců či alkoholiků, takže stejnak ten čekající na zastávce autobusu toho přístřešku nevyužije. Takže toto je v současné době nejlepší řešení, který pro Mendlák můžeme udělat.",0,31d42a3a0b7a27be
petr-borecky,Z9/03,61,"Ing. arch. Petr Bořecký: Já bych si dovolil, na úvod tohoto bodu, udělat takové úvodní slovo k bodům 91) - 99), to je k tem změnám, proč jsou vlastně předkládány. Hlavní důvod toho je ten, že na dokončení a úpravu nového územního plánu budem potřebovat nějaký čas, tak abysme do té doby nebránili udržitelnému rozvoji města, tak jsme přistoupili k pořízení těchto změn. Proč jsou změny předkládány tak rychle? Tak to je z toho důvodu, že prováděcí předpis ke stavebnímu zákonu nám ukládá, že od roku 2023 můžem pořizovat změny územního plánu, pouze pokud prošel standardizací. A provádění standardizace stávajícího územního plánu teďka nemá žádný smysl. Tyto změny, které jsou předkládány, jsou pouze jako návrh na pořízení změn, takže jejich projednávání bude pak probíhat na výrobních výborech, bude veřejné projednání, budou předkládány k vyjádření městskejm částem, kde se budou moct vyjádřit. A dále bych chtěl eště doplnit, že na stůl byly předloženy další 3 změny, a to z toho důvodu, že městská část Tuřany a Pohřební služby města Brna předložily požadavky na nějaké změny po termínu, a to z technických důvodů či ze zásahu vyšší moci. A těmto změnám jsme samozřejmě vyhověli. A nyní, po tom stručném úvodu, bych se konkrétně vrátil k tomu bodu 91). Včera jste dostali od pana Kotíka, zastupitele Brno-Černovice, asi všichni dopis, takže ta, k této změně, konkrétně. Tato změna, B1/19, již byla schválena, k návrhu pořízení, akorát nebyla dále zpracována. Při tom, kdy jsme shromažďovali další podněty, byl rozšířen záměr i o černovickou pískovnu, kde jsme tuto změnu spojili, protože nám to přišlo koncepční, protože zahrnuje i mimoúrovňové křížení křižovatek. Pořizovat tyto změny zvlášť by bylo skutečně nekoncepční. Dále se pan zastupitel Kotík tady vyjadřuje, proč v materiálech není usnesení městské části? Tady bych chtěl konstatovat, že v materiálu, v obsahu, v 2. odrážce, usnesení městské části je obsahem, a dále se odkazuje, proč tam není zmínka o architektonické soutěži? Zmínka o architektonické soutěži tam není, je tam zmínka o územní studii, která následovala po architektonické soutěži. Takže tolik za mě, stručně, a jsme připraveni, já i s panem vedoucím, k nějakým dotazům, ke všem, případně k této konkrétní.",2,31d42a3a0b7a27be
petr-borecky,Z9/03,62,"Ing. arch. Petr Bořecký: Já panu Hruškovi odpovím. Myslím, že nejste jediný ze zástupců městské části, který budou pokračovat s těmito stanovisky. Ale my jsme si dopředu stanovili nějaký kritéria, tak abysme postupovali ve všech podnětech stejně, takže zde předkládáme tyto podněty k zahájení a pak městská část se samozřejmě bude vyjadřovat, buď kladně, či záporně. S tím počítáme.",0,31d42a3a0b7a27be
petr-borecky,Z9/03,62,"Ing. arch. Petr Bořecký: Tys mě asi neposlouchal. Já jsem to říkal, že tam sice není odkaz na tu soutěž, ale je tam odkaz na územní studii, která následovala po dokončení té architektonické soutěže.",0,31d42a3a0b7a27be
petr-borecky,Z9/03,62,"Ing. arch. Petr Bořecký: Také jsem to říkal, ano. Je to z toho důvodu, že prováděcí vyhláška ke stavebnímu zákonu nám nařizuje, že další změny bysme mohli provádět pouze poté, co stávající územní plán podlehne jisté standardizaci. Takže od příštího roku, pokud nebudem dělat tuto standardizaci, bohužel nezahájíme žádnou změnu. Takže proto je to tak narychlo. A proto předkládáme tyto návrhy, na změny.",2,31d42a3a0b7a27be
