osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
petr-hladik,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
petr-hladik,Z9/04,37,"Mgr. Petr Hladík: A já jenom do diskuse. Já jsem pro, to usnesení by asi mělo směřovat – privatizace městských bytů, tečka. Protože zastupitelstvo nemůže znát a nezná rozhodnutí kontrolního výboru. A pokud",0,a43c0850f687c0a3
petr-hladik,Z9/02,27,"Mgr. Petr Hladík: Já možná bych jenom poprosil o jednu, jedinou věc, pana vedoucího Kubeše a příspěvkovou organizaci, zda by všem zastupitelům poslali, jak byla provedena předběžná, průběžná a následná kontrola při zajištění této akce, u všech výdajů, včetně průběhu výběrových řízení.",0,9d9381375d84a343
petr-hladik,Z9/03,62,"Mgr. Petr Hladík: Já mám jedinou věc. Tady u toho, 91), mě tam zaujalo, v tom e-mailu od pana Kutíka, a přiznám se, že jsem to nekontroloval, že u tý 91) není odkaz na tu proběhnuvší architektonicko- krajinářskou soutěž. Tak jenom poprosím Petra o reakci, jestli to tam je. Pokud ne, tak by bylo asi záhodno to tam dodat.",0,31d42a3a0b7a27be
petr-hladik,Z9/07,1,"Omluveni: Mgr. Petr Hladík (od 12:00 hod.), Mgr. Vladan Krásný, Ing. Pavel Kříž, Ph.D., Mgr. Filip Leder a Libor Zábranský.",0,736feb627c8ee927
petr-hladik,Z9/07,15,"Mgr. Petr Hladík: Jenom krátký komentář. Paní Burešová, my se o Vašem případu, i s panem starostou, i s paní poslankyní Jílkovou a s celou řadou dalších lidí, bavíme opakovaně, ve všech pracovních, i nepracovních schůzkách. A vlastně mě trošku mrzí, že kdybyste tu energii, kterou věnujete teď té, v té poslední fázi, k tomu udržení bytu, věnovala v té, v té předchozí fázi, tak by to možná, možno dopadnout lépe. Tímto neodsuzuji, jenom zdůrazňuji, že ten postup, který tady byl nastíněn, je postup správný. Nikdo ze zastupitelů nechce, abyste ztratila bydlení. Zároveň je potřeba dodržovat zákony a pravidla dané městské části.",0,736feb627c8ee927
petr-hladik,Z9/07,16,"Mgr. Petr Hladík: Vážená paní primátorko, ještě krátce k té diskusi, která tady byla o lesních klubech v zoo. Já bych možná poprosil, jako informativní zprávu pro zastupitele, do budoucna, jak vlastně byly organizovány lesní kluby, kdo je financoval, komu šel zisk, v minulých letech. Takže bych poprosil třeba o nějakou informativní zprávu, paní ředitelky.",0,736feb627c8ee927
petr-hladik,Z9/07,40,"Mgr. Petr Hladík: Ta studie byla iniciována před 2 lety, ty městské části byly vybrány na základě 2 kritérií. Zaprvé, kdo měl odvahu a přihlásil se, zadruhé, tam, kde byla společná kanalizace dešťová a splašková, což jsou některé městské části. Po Novém Lískovci, Bohunicích, Kohoutovicích, Lesné jsme přidali ještě Židenice a Černovice, a to z toho důvodu, protože ty adaptační opatření a odpojení dešťové kanalizace i v těchto 2 městských částech výrazným způsobem sníží výplachy na kmenové stoce E, která do Svitav, do Svitavy je někde na úrovni 2leté vody. To znamená, to je ten hlavní důvod. A opravdu ty finanční prostředky budou velmi dobře vynaloženy, z toho důvodu, že drtivá většina těch opatřeních je možné financovat z dotačních titulů.",0,736feb627c8ee927
petr-hladik,Z9/06,1,"Omluveni: RNDr. Jiří Herman, Ph.D. (od 13:00 hod.), Mgr. Petr Hladík (od 13:00 hod.), Mgr. Martin Maleček (od 13:00 hod.), Ing. Daniel Struž, MBA (od 13:00 hod.), Mgr. Bc. Marek Viskot, Libor Zábranský.",0,e715158e17e939ea
petr-hladik,Z9/06,17,"Mgr. Petr Hladík: Já moc děkuju za předložení toho materiálu, protože vyčísluje ty náklady a dává ty možnosti a řešení do budoucna. Musím zmínit, že právě ta jedna z možností je tam Sál Břetislava Bakaly. My jsme vlastně, minulé volební období, rozhodli o tom, že se dá ta investice do přechodu na topení a vzduchotechniku, takže díky tomu teď ten sál může být potenciálně nachystán, jako ta náhrada. Neumím řešit to zázemí, protože to je tam poměrně malé. Já možná ještě upřu pozornost k jedné věci a požádám o nějakou, zvážení ještě jedné možnosti. Máme, protože, jak o tom hovořila i paní Ivičičová, o té složité majetkoprávní situaci vlastně v tom, v tom areálu, kde sídlí Divadlo Bolka Polívky, tak ještě dávám na zvážení opravdu případně ten areál Králíkova divadla na výstavišti, jo? Já vím, že ho chtěli Veletrhy prodávat, ale samozřejmě, když už uvažujeme o všech, o všech možnostech, tak bych chtěl zmínit i tudletu, pro nějaké budoucí uvažování.",0,e715158e17e939ea
