osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
petr-kratochvil,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
petr-kratochvil,Z9/01,8,"JUDr. Roberta Kerndla v pořadí třetím náměstkem primátorky města Brna, Ing. Karin Karasovou v pořadí čtvrtou náměstkyní primátorky města Brna. 8. Volba dalších členek/členů Rady města Brna Průběh voleb řídil Mgr. Bc. Marek Viskot, předseda volební komise, opět podle platného volebního řádu, který určuje, že volba probíhá u každé další členky/člena Rady města Brna jednotlivě. JUDr. Markéta Vaňková, primátorka, upozornila, že oproti předloženému materiálu k tomuto bodu se bude volit o 1 členku/člena Rady města Brna méně, vzhledem ke zvolení 4. náměstkyně primátorky města Brna. Volba členky/člena Rady města Brna pro dopravu a správu městských účastí Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro dopravu a správu městských účastí. JUDr. Robert Kerndl, náměstek primátorky, navrhl zvolit do funkce člena Rady města Brna pro dopravu a správu městských účastí Ing. Petra Kratochvíla. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro dopravu a správu městských účastí podán nebyl. Navržený kandidát Ing. Petr Kratochvíl vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě člena Rady města Brna pro dopravu a správu městských účastí. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro Ing. Petra Kratochvíla ……....………... 41 hlasů Hlasování č. 14: 41 - 5 - 7 - 1",8,36036d38da50510d
petr-kratochvil,Z9/01,8,"Členem Rady města Brna pro dopravu a správu městských účastí byl zvolen Ing. Petr Kratochvíl. Volba členky/člena Rady města Brna pro sport a informační technologie Předseda volební komise vyzval členy Zastupitelstva města Brna k podávání návrhů na funkci členky/člena Rady města Brna pro sport a informační technologie. JUDr. Robert Kerndl, náměstek primátorky, navrhl zvolit do funkce člena Rady města Brna pro sport a informační technologie Bc. Tomáše Aberla. Jiný návrh na zvolení do funkce členky/člena Rady města Brna pro sport a informační technologie podán nebyl. Navržený kandidát Bc. Tomáš Aberl vyslovil souhlas s kandidaturou a přednesl kandidátský projev. Dotazy vzneseny nebyly. Hlasování o volbě člena Rady města Brna pro sport a informační technologie. Výsledek hlasování: - hlasování se zúčastnilo …………………… 54 členů Zastupitelstva města Brna - pro Bc. Tomáše Aberla ………………….... 43 hlasů Hlasování č. 15: 43 - 6 - 5 - 0",4,36036d38da50510d
petr-kratochvil,Z9/01,16,"*** ZMB ukládá předsedovi Výboru pro národnostní menšiny Zastupitelstva města Brna připravit návrh na doplňující volbu členek/členů Výboru pro národnostní menšiny Zastupitelstva města Brna a předložit jej na příští zasedání Zastupitelstva města Brna. T: do příštího zasedání Zastupitelstva města Brna *** úkol č.: [Z9/01/11] zodpovídá: předseda Výboru pro národnostní menšiny [75] termín: [viz usnesení] 12. Delegování zástupkyň/zástupců statutárního města Brna na valné hromady obchodních společností s menší než 100% majetkovou účastí města JUDr. Markéta Vaňková, primátorka, v úvodu projednání tohoto bodu sdělila, že u některých společností již obdržela návrhy na delegování zástupců statutárního města Brna a jejich náhradníků na valné hromady společností. U některých společností očekává návrhy v rámci tohoto zasedání Zastupitelstva města Brna. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce k zastupování na všech valných hromadách společnosti Automotodrom Brno, a.s. Návrh na náhradníka podán nebyl. Brněnské vodárny a kanalizace, a.s. – byl navržen člen zastupitelstva Ing. David Grund, jako zástupce, Ing. Karin Karasová, náměstkyně primátorky, jako náhradnice. Jihomoravská rozvojová společnost, s.r.o. – byla navržena členka zastupitelstva Kristýna Černá, jako zástupce, Mgr. René Černý, 1. náměstek primátorky, jako náhradník. KORDIS JMK, a.s. – byl navržen Ing. Petr Kratochvíl, člen Rady města Brna, jako zástupce, Ing. arch. Petr Bořecký, člen Rady města Brna, jako náhradník. Technologický Park Brno, a.s. – byl navržen Martin Drdla, MSc., jako zástupce, člen zastupitelstva JUDr. PhDr. Martin Příborský, EMLE, jako náhradník. Jiné návrhy zástupců statutárního města Brna a jejich náhradníků delegovaných na valné hromady výše uvedených společností předloženy nebyly. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o předložených návrzích na delegování zástupců a jejich náhradníků u výše uvedených společností: Hlasování č. 36: 47 - 1 - 5 - 1",1,36036d38da50510d
petr-kratochvil,Z9/04,39,"Ing. Petr Kratochvíl, člen Rady města Brna: Jestli dovolíte, to je poměrně složitější věc, já bych Vám to poslal písemně, samozřejmě, odpověď na tuto interpelaci.",2,a43c0850f687c0a3
petr-kratochvil,Z9/04,40,"Ing. Petr Kratochvíl, člen Rady města Brna: Vy jste, pane kolego, v podstatě velmi obšírně poptal množství dotazů, ta baterie Vašich dotazů je poměrně široká. Já jsem myslel, že bych byl schopen odpovědět Vám vlastně na ty prvotní, tak jestli dovolíte, já Vám samozřejmě ty podklady připravím, pošlu i v rámci Vaší interpelace. Co se týče toho vlastního poměru kultura a sport, tak vycházíme z jakési analýzy a predikce. Předpokládám, že Vy, jako velký podporovatel kultury, ano, uděláte právě všechno pro to, abysme tento stánek, které si velká část Brňanů přeje, naplnili nejen sportem, ale i kulturou. Proto se ten, ta hala vlastně jmenuje multifunkční hala a kultura tam bude hrát nepochybně svoji roli. To je velmi důležitá část těch výnosů a příjmů. Ale budu rád samozřejmě za jakoukoli Vaši pomoc. A pokud budete mít zájem se nějakým způsobem v této věci aktivovat, nabízím Vám samozřejmě svoji, za sebe, jakou diskusi a velice rád Vás zapojím tak, abysme těch podstatě predikovaných 50, nebo 60 % kultury tam společně s Vámi naplnili.",2,a43c0850f687c0a3
petr-kratochvil,Z9/02,55,"Ing. Petr Kratochvíl, člen Rady města Brna: Já bych se chtěl, prosím Vás, trošku vymezit vůči slovům pana Hollana o tom, jestliže pokračujem v nějakém trendu snižování těch přepravních výkonů. My jsme před rokem velmi intenzivně a citlivě opravdu, v rámci té situace, která tady byla, diskutovali mnohonásobně na radě a představenstvu, Áda Zemek mně to potvrdí, my jsme několikrát, několikrát, tam a zpět probírali každou zastávku, každej spoj tak, abysme nesnížili kvalitu a komfort toho cestování. Ale je nutné si uvědomit, že to město se rozvíjí a budují se prostě nové bytové zástavby, komerční zástavby, a to, co platilo v té dopravě, myslím z hlediska té obslužnosti, včera, nebude samozřejmě platit zítra. To znamená, my musíme reagovat na mobilitu i ve městě a samozřejmě i v budoucnu přijdeme s dalšími úpravami, které budou reagovat na další výstavby, ať už komerčního, nebo bytového typu. To znamená, diskuse vo tom, že tady fungovalo něco 20 let, neznamená, že to funguje aktuálně zrovna správně. A myslím si, za mě, že zrovna teda pan Seitl, a teď musím říct, i kolega, v podstatě velký fanoušek dopravy, Áda Zemek, který v podstatě se mnou v představenstvu Dopravního podniku 4 roky seděl, tak jsme mnohonásobně diskutovali, a to zásadně vždycky bylo vo tom, aby si nesnížil komfort vlastně cestujících ve městě Brně. A to je cíl, za kterým si tady stojíme. A jestli se tomuto cíli podřídí nějaká změna linky odpovídající, řekněme na rovinu, dalšímu rozvoji města Brna, viz třeba kampus, to samozřejmě můžeme v budoucnu očekávat. To je celé.",0,9d9381375d84a343
petr-kratochvil,Z9/02,56,"Ing. Petr Kratochvíl, člen Rady města Brna: Já ještě jenom velmi krátce a trochu odlehčím to vážné téma. Já zcela nepochybně, pane kolego Hollane, s Vámi neumím diskutovat na téma kultury, jo? To se přiznám na rovinu, že to byste mě položil na lopatky velmi rychle, a to téma je pro mě velmi složité. Nicméně obráceně si myslím, že lidé v Brně úplně ne s láskou vzpomínají na to období, když jste vedl tu dopravu Vy. A myslím si, že ti lidé, kteří se tou dopravou ve městě Brně zabývají, myslím teď konkrétně lidé v Dopravním podniku, a kteří navrhují, zejména z té své odborné stránky, apoliticky, apoliticky to dopravní řešení, ten dopravní skelet, který, jehož cílem je zachovat co nejvyšší komfort pro cestující ve městě Brně, tak si myslím, že toho prostě skutečně dosahují a je nutno jim věřit. Já bych Vás chtěl ujistit, že my budeme velmi pečlivě sledovat v podstatě jakékoliv změny, jakékoliv pohyby, a v případě, že uznáme za vhodné, a ta situace si to vyžádá, tak velmi rychle budeme reagovat na potřeby těch Brňanů tak, abysme zajistili, v případě potřeby, to doplnění té dopravy na požadovanou úroveň. A to samozřejmě bedlivě, bedlivě, v měsíčních intervalech sledovat budeme.",0,9d9381375d84a343
petr-kratochvil,Z9/02,56,"Ing. Petr Kratochvíl, člen Rady města Brna: Takle, já nechci reagovat na ten požadavek, na ten přímej spoj. To prosím opravdu je výsostně technická disciplína, to bych poprosil, že budem diskutovat s Dopravním podnikem. Já bych reagoval jenom krátce na tu oblast vlastně, té křižovatky. Ta křižovatka samozřejmě v tuto chvíli není dokončena, a to Vy víte, že se tam, myslím, teďka dělá balená. A součástí toho by měly být, předpokládám, tak jak jsem projekt viděl, doufám, i přechody. Na druhou stranu, buďme upřímní, ta křižovatka se vlastně staví na druhé straně té smyčky, to znamená, vlastně vůbec to není v lokaci, kudyma ti lidé, si myslím, běžně chodili. Že chodili, podle mě, pod tím mostem. Aspoň si to myslím, pardon, jo? A následně potom přecházeli na druhou stranu. Ale možný je samozřejmě cokoliv. Ta nově vytvářená dopravní napojení je především pro tu oblast budoucí, rozvojovou, co se týče teďka toho stávajícího stavebního skeletu. Jestli jsem to vysvětlil správně?",0,9d9381375d84a343
petr-kratochvil,Z9/02,58,"JUDr. Markéta Vaňková, primátorka: Tak, hlásí se pan Kratochvíl, možná nám ještě neutekl úplně pan Seitl, já jenom úplně na úvod. Nepochopila jste správně to, jak je služba využívána v jiných městech. Ten princip je zcela jiný, než Vy jste popsala. Ten princip je takový, že z určitého místa budou dané osoby dovezeny na nejbližší spoj městské hromadné dopravy a dále pokračují veřejnou hromadnou dopravou. To znamená, je to naopak podpora toho, aby městská hromadná doprava byla využívána co možná nejvíce. A Vaše čtvrť byla zvolená jako testovací, právě s ohledem na to, že tam ta síť městské hromadné dopravy není tak velká, jak je tomu v jiných částech města Brna, ani ta intenzita těch spojů tam není tak velká. Pokud se tadytento provoz osvědčí, jako že já mám z praxe už informace o tom, že je to poměrně oblíbené, i třeba u studentů, kteří tuto službu využívají, tak to zanalyzujeme a budeme se bavit o tom, jestli tuto službu případně budeme využívat i v jiných částech města Brna, s tím, že pokud by tomu tak bylo, tak využití této služby by bylo součástí běžné městské hromadné dopravy a to jízdné by bylo v rámci jízdného za městskou hromadnou dopravu. Ale možná, s bližšími podrobnostmi, Petr Kratochvíl už se odhlásil, tak možná pan vedoucí Seitl, jestli má ještě nějaké podrobnosti.",0,9d9381375d84a343
