osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
petr-levicek,Z9/01,1,"ZÁPIS o průběhu ustavujícího zasedání Zastupitelstva města Brna č. Z9/01 konaného od 8:00 hodin dne 20. října 2022, v zasedací síni Nové radnice, Dominikánské náměstí č. 1, včetně přijatých usnesení a protokolů o výsledcích hlasování _________________________________________________________________________________ 1. Technický bod Zasedání Zastupitelstva města Brna bylo zahájeno v 8:00 hodin dosavadní primátorkou města Brna JUDr. Markétou Vaňkovou. Při jednání bylo přítomno 54 členů Zastupitelstva města Brna. Omluven: Petr Levíček, MBA. Primátorka JUDr. Markéta Vaňková konstatovala, že zasedání bylo řádně svoláno tak, aby se v souladu s § 91 odst. 1 zákona č. 128/2000 Sb., o obcích (obecní zřízení), v platném znění (dále jen zákona o obcích), konalo do 15 dnů ode dne uplynutí lhůty pro podání návrhu soudu na neplatnost voleb nebo neplatnost hlasování, neboť žádný návrh na neplatnost voleb nebo hlasování nebyl podán. Informace o konání zasedání, podle § 93 odst. 1 zákona o obcích, byla na úřední desce Magistrátu města Brna zveřejněna v souladu se zákonem, a to od 13. října 2022 do 20. října 2022. JUDr. Markéta Vaňková, primátorka, v úvodu upozornila na skutečnost, že jednání Zastupitelstva města Brna je audiovizuálně přenášeno prostřednictvím internetových stránek města a přenos je zaznamenáván, archivován a následně bude zveřejněn. Přítomné občany města Brna informovala, že vzadu ve středové uličce zasedací síně mají k dispozici materiály pro veřejnost. Dále JUDr. Markéta Vaňková, primátorka, sdělila, že byly ustaveny kluby zastupitelů města Brna, jejichž členy se stali všichni členové zastupitelstva zvolení za následující politické subjekty (dle počtu získaných mandátů): SPOLEČNĚ – ODS a TOP 09 – předseda JUDr. Robert Kerndl Bc. Tomáš Aberl Kristýna Černá Ing. David Grund RNDr. Jiří Herman, Ph.D. JUDr. Michal Chládek, MBA Mgr. Vladan Krásný Ing. Petr Kratochvíl Ing. Andrea Pazderová JUDr. PhDr. Martin Příborský, EMLE doc. RNDr. Anna Putnová, Ph.D., MBA MUDr. Dagmar Seidlová, Ph.D. Ing. David Trllo Ing. Pavel Urubek JUDr. Markéta Vaňková Libor Zábranský ANO 2011 – předsedkyně Ing. Karin Karasová Petr Bauer Ing. arch. Petr Bořecký Mgr. René Černý MUDr. Alena Gruberová Bc. Kateřina Jarošová, MBA Ing. Karel Kalivoda Ing. Pavel Kříž, Ph.D. RNDr. Miroslav Kubásek, Ph.D. Mgr. René Novotný Mgr. Pavel Outrata 1",6,36036d38da50510d
petr-levicek,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
petr-levicek,Z9/01,17,"Martina Drdlu, MSc., narozeného X. X. XXXX, bytem XXXXXXXXX XXXXX, XXX XX XXXX, jako zástupce JUDr. Ph.Dr. Martina Příborského, EMLE, člena Zastupitelstva města Brna, jako náhradníka k zastupování na všech valných hromadách společnosti Technologický Park Brno, a. s.“ 13. Změny v orgánech obchodních společností s menší než 100% majetkovou účastí statutárního města Brna JUDr. Markéta Vaňková, primátorka – v úvodu bodu sdělila, že návrhy na změny ve funkcích členů představenstev a členů dozorčích rad budou uváděny k jednotlivým společnostem, v pořadí představenstvo, dozorčí rada, a pokud budou podány nějaké návrhy nad rámec těch, které již obdržela, je nutné tyto návrhy dodat písemně. Automotodrom Brno, a.s. – člen zastupitelstva doc. MUDr. Tomáš Skřička, CSc., se omluvil za nedorozumění, když v bodu 12) uvedl, že písemně navrhl člena zastupitelstva Petra Levíčka, MBA, jako zástupce na valných hromadách společnosti namísto jeho navržení do funkce člena dozorčí rady společnosti. JUDr. Markéta Vaňková, primátorka, sdělila, že člen zastupitelstva Petr Levíček, MBA, může být delegován do obou zmíněných funkcí. Doc. MUDr. Tomáš Skřička, CSc., oba návrhy potvrdil. Brněnské vodárny a kanalizace, a.s. – návrhy kandidátů do představenstva: Ing. David Grund, Ing. Jaroslav Folprecht, Ing. Daniel Struž, MBA. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Bc. Marka Viskota. Návrhy kandidátů do dozorčí rady: PhDr. Martin Krytinář a Ludvík Kadlec. Jihomoravská rozvojová společnost, s.r.o. – návrh kandidátky do dozorčí rady: Kristýna Černá. Jiný kandidát navržen nebyl. KORDIS JMK, a.s. – návrhy kandidátů do představenstva: Mgr. Jiří Dvořáček a Ing. Jan Seitl. Návrhy kandidátů do dozorčí rady: Vít Prýgl, Ing. Pavel Jankůj. Doc. MUDr. Tomáš Skřička, CSc., navrhl dalšího kandidáta Ak. arch. Tomáše Kotase. Technologický Park Brno, a.s. – návrhy kandidátů do představenstva: Ing. David Trllo, Dipl.-Kfm. Dalimil Ospalý, Ing. Karel Kalivoda, prof. Ing. Vladislav Musil a JUDr. Michal Marek. Návrh kandidáta do dozorčí rady: Ing. David Geryk. JUDr. Jiří Oliva, člen Rady města Brna, navrhl dalšího kandidáta Mgr. Břetislava Štefana. JUDr. Markéta Vaňková, primátorka – nechala hlasovat o odvolání předchozích členů představenstev a dozorčích rad výše uvedených společností a zároveň o přednesených návrzích na nové členy představenstev a dozorčích rad těchto společností: Hlasování č. 37: 47 - 2 - 5 - 0",1,36036d38da50510d
petr-levicek,Z9/02,1,"Petr Levíček, MBA, složil v souladu se zákonem č. 128/2000 Sb., o obcích, v platném znění, slib člena Zastupitelstva města Brna.",0,9d9381375d84a343
petr-levicek,Z9/02,19,"Petr Levíček, MBA: V tomto návrhu jsou 4 body a já bych chtěl požádat, zda by bylo možné, kdybychom mohli hlasovat o každém jednotlivém bodu.",2,9d9381375d84a343
petr-levicek,Z9/05,1,"Omluveni: Kristýna Černá, Mgr. Vladan Krásný (od 11:00 hod.), Petr Levíček, MBA, Ing. Daniel Struž, MBA.",0,855e8c7abe4c7621
petr-levicek,Z9/12,1,"Omluveni: Bc. Matěj Hollan, Petr Levíček, MBA, JUDr. Jiří Oliva, člen Rady města Brna, Vít Prýgl.",0,36a4e03789f899b5
petr-levicek,Z9/16,25,"Petr Levíček, MBA: Já bych se chtěl zeptat, zda existuje nějaká evaluace, protože, tadytěchto projektů? Protože všichni víme, že drogová kriminalita s sebou přináší druhotnou kriminalitu v podobě různých krádeží, vandalismu a tak dále. To znamená, jestli existuje nějaká evaluace, kdy bylo méně vykradených aut, méně výjezdů záchranné služby k předrogovaným jedincům a tak dále?",0,d527a00c9a941791
petr-levicek,Z9/17,1,"Omluveni: Ing. Jana Drápalová (od 10:00 hod.), Mgr. Petr Hladík, Bc. Matěj Hollan, JUDr. Michal Chládek, MBA, RNDr. Filip Chvátal, Ph.D., náměstek primátorky (od 8:45 do 10:45 hod.), Mgr. Vladan Krásný, Petr Levíček, MBA, Mgr. Monika Lukášová Spilková, Ph.D., Libor Zábranský.",0,7ebec469c9c23f69
petr-levicek,Z9/20,58,"Petr Levíček, MBA: Vážená paní primátorko, chtěl bych se zeptat, zda by bylo možné spojit body 84) – 111) do jednoho bloku?",0,21185e2ff631d16f
