osoba_id,zasedani,pdf_strana,pasaz,priorita_rejstriku,zdroj_id
radomir-vondra,Z9/01,2,"Vít Prýgl Ing. Daniel Struž, MBA KDU-ČSL a Starostové – předseda JUDr. Michal Marek Mgr. Petr Hladík Bc. Jakub Hruška RNDr. Filip Chvátal, Ph.D. Mgr. Jitka Ivičičová Mgr. Filip Leder Mgr. Martin Maleček JUDr. Irena Matonohová Mgr. Jaroslav Suchý Radomír Vondra SPD a Trikolora – předseda doc. MUDr. Tomáš Skřička, CSc. Mgr. Bc. Tomáš Anderle, MBA, LL.M. Mgr. Bc. Blanka Borovská Bc. Jiří Kment Petr Levíček, MBA Leoš Prokeš, MBA Piráti – předseda Mgr. Marek Lahoda Bc. Tomáš Koláčný Mgr. Monika Lukášová Spilková, Ph.D. Mgr. Adam Zemek",0,36036d38da50510d
radomir-vondra,Z9/04,33,"Radomír Vondra: Nevím, jestli mám aktuální materiál, je variantní? Je to ve variantách předloženo?",0,a43c0850f687c0a3
radomir-vondra,Z9/04,34,"Radomír Vondra: Já jenom vysvětlím. V tom materiálu je stanovisko městské části, které jednomyslně doporučilo odkup té chatky, vysvětlím proč, z jakého důvodu. Ta chatka zasahuje do komunikačního pozemku. A ten komunikační pozemek je poměrně dost důležitý z pohledu budoucnosti, protože je to jedna z obslužných tras poměrně velké lokality pro bydlení, která je dokonce uvedena ve strategii bydlení města Brna. A městská část si myslí, že by nebylo vhodné si takovýmhle způsobem zkomplikovat tu situaci v tom území. Město Brno by se stalo výhradním majitelem chatky, protože z větší části je na městském pozemku, a kdyby se ta chatka, je to zahradní chatka, následně zbourala, tak dojde k vyčištění celého území a odstranění té možné komplikace. Takže to jenom tolik z pohledu městské části.",0,a43c0850f687c0a3
radomir-vondra,Z9/03,12,"Radomír Vondra: Jenom stručně. Já jsem se toho včerejšího jednání účastnil a musím se Vám přiznat, že jsem byl velmi zklamán. A bohužel z úst pana radního zaznělo, že ho obchvat Tuřan nezajímá. To je vše.",0,31d42a3a0b7a27be
radomir-vondra,Z9/14,1,"Omluveni: JUDr. Michal Chládek, MBA (do 10:00 hod.), MUDr. Dagmar Seidlová, Ph.D. (do 9:30 hod.), Radomír Vondra.",0,198b605f95c9e2a9
radomir-vondra,Z9/16,12,"Radomír Vondra, starosta městské části Brno-Tuřany: Protože jsem byl vyzván, tak bych si dovolil reagovat. Ten materiál pana Kirchnera byl z jednání majetkové komise, poslední, stažen, protože posudek města Brna je víc než jak, myslím, 2 roky starý a není aktuální. Takže když jsme se o tom bavili s paní vedoucí, je potřeba ten posudek udělat nový. Já jsem apeloval na to, aby ho dělal soudní znalec, na kterém se shodnou obě dvě strany, aby do budoucna nebylo možno rozporovat ten posudek, který si myslím, že ten hlavní důvod je proto, že není aktuální posudek. Já vím, že už je to dlouhé, že těch posudků byla dlouhá řada, ale v tuhle chvíli ta situace je prostě takto.",0,d527a00c9a941791
radomir-vondra,Z9/16,58,"Radomír Vondra: Já bych chtěl jenom upozornit, že v té anotaci je chybná částka, nějakých 13.000.000. Má tam být jenom 3.000.000, nicméně na usnesení to vliv nemá.",0,d527a00c9a941791
radomir-vondra,Z9/13,12,"Radomír Vondra: Ne, to nebylo k tomudle návrhu, to už bylo přihlášení do diskuse.",2,1f55fba1fd91456a
radomir-vondra,Z9/13,12,"Radomír Vondra: Máme předložený materiál, který je jakousi revolucí v postavení stavebních úřadů ve městě Brně. Ne každá revoluce se časem ukáže jako prospěšná. Jedná se o materiál natolik zásadní, že si zaslouží velmi důkladnou přípravu a diskusi. Stalo se tak? Dovolím si tvrdit, že zdaleka ne. Celá věc je šitá horkou jehlou, provádí ji řada nejasností, nezodpovězených otázek, značná míra nejistoty. Rada města Brna má zřízeny svoje poradní orgány. Nabízí se otázka, proč? Když jim v takto důležitém případě nenaslouchá. Sněm starostů opakovaně vyjádřil jasný nesouhlas s připravovanou změnou. Opravdu nevezmeme v potaz názor demokraticky zvolených představitelů samospráv, tedy starostů a zastupitelstev městských částí? Máte předložený přehled stanovisek městských částí. Co z tabulky vyplývá? Že samosprávy zastupující 297 000 obyvatel města Brna, tedy 75 %, s návrhem nesouhlasí. Před rokem jsme v této místnosti skládali slib zastupitele, ve kterém se mimo jiné říká, že svoji funkci budete vykonávat svědomitě, v zájmu obce a jejich občanů. Nejsem přesvědčený, že předložený návrh je v zájmu obce a občanů, když je zde tak výrazná míra nesouhlasu. Nemám v úmyslu se dnes slibu zastupitele zpronevěřit. Obdrželi jsme analýzu stavební fakulty. Přiznám se, že jsem mizernou úrovní materiálu překvapen, a myslím, že tato pseudoanalýza raději neměla být nikdy zveřejněna. Je zřejmé, že byla dělána ve spěchu. Dovolím si citovat: „Řešitel neměl možnost verifikovat podklady od objednatele na jednotlivých městských částech. Rovněž nebyla prováděna podrobná analýza výkonu agend na úřadech městských částí. Řešitel neměl k dispozici přesné statistiky personálních nákladů, počtu úředních úkonů, průměrné doby správního řízení či například počtu vyřízených spisů na městských částech. Pak je otázkou, k čemu nám taková analýza vlastně je? Analýza pracuje s nepřesným počtem obyvatel a je tím pádem zkreslená. Zpracovatelé nechali zmizet 30 000 obyvatel, kteří se nám následně, v bodě 14), kdy budeme jednat o rozpočtu, zničehonic objeví. Kouzlo, za které by se nemusel stydět ani David Copperfield. Argument, že 34 % obyvatel v městské části střed a sever bude mít stavební úřad dostupnější, je naprosto zavádějící. Většina těchto obyvatel nebude stavební úřad nikdy potřebovat, protože bydlí v nájmu v bytových domech. Ale i přesto městská",2,1f55fba1fd91456a
radomir-vondra,Z9/17,2,"Radomír Vondra: Vážená paní primátorko, kolegyně, kolegové. Máte dodatečně předložený bod č. 107), který má řešit majetkoprávní vypořádání pozemků pod obchvatem Tuřan. Tento bod byl zařazen po několika urgencích na přání majitele pozemku, pana Kirchnera. Pan Kirchner se snaží dohodnout s městem již více než 10 let, investoval do jednání spoustu času a do mnoha znaleckých posudků již značnou finanční část. Rozumím důvodům, proč trvá na dnešním projednání, nicméně považuji zařazení tohoto bodu za předčasné. Uvažovanou směnu či prodej pozemků řešila majetková komise 21. 3., tedy cca před 2 měsíci. Z jednání komise byl materiál stažen z důvodu zastaralého znaleckého posudku. Ten pochází z roku 2021. Nepředpokládám, že by někdo ze zde přítomných zastupitelů hlasoval pro prodej na základě 3 let starého posudku. A ani nepředpokládám, že by ho akceptovala samospráva Jihomoravského kraje. Závěrem jednání komise byl požadavek na vypracování nového znaleckého posudku. Přestože se bohužel jedná již o několikátý posudek, mám za to, že tento požadavek všichni přítomní akceptovali. To znamená, že součástí dnešního projednávání by měl být nový znalecký posudek, což není. Pokud se nepletu, možná eště není ani zadán. Vzhledem k tomu, že komise proběhla před 2 měsíci, nerozumím tomu, na čem pořízení posudku vázne. Apeloval jsem na to, aby znalecký ústav byl určen po vzájemné dohodě s panem Kirchnerem, aby v budoucnu zamezili zpochybnění některé",0,7ebec469c9c23f69
